z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 4.9223253550e+01 6.5946368585e-01
7.5206098700e-06 5.2476390730e+01 6.5946368585e-01
8.0390564108e-06 5.5944518959e+01 6.5946368585e-01
8.5932442744e-06 5.9641858519e+01 6.5946368585e-01
9.1856354629e-06 6.3583542633e+01 6.5946368585e-01
9.8188638731e-06 6.7785718697e+01 6.5946368585e-01
1.0495745300e-05 7.2265602892e+01 6.5946368585e-01
1.1219289263e-05 7.7041546009e+01 6.5946368585e-01
1.1992711734e-05 8.2133104301e+01 6.5946368585e-01
1.2819450603e-05 8.7561127114e+01 6.5946368585e-01
1.3703183868e-05 9.3347860736e+01 6.5946368585e-01
1.4647837816e-05 9.9516985640e+01 6.5946368585e-01
1.5657613403e-05 1.0609377149e+02 6.5946368585e-01
1.6736999896e-05 1.1310514709e+02 6.5946368585e-01
1.7890795789e-05 1.2057981636e+02 6.5946368585e-01
1.9124130631e-05 1.2854837828e+02 6.5946368585e-01
2.0442488676e-05 1.3704345660e+02 6.5946368585e-01
2.1851728889e-05 1.4609980408e+02 6.5946368585e-01
2.3358117687e-05 1.5575448648e+02 6.5946368585e-01
2.4968352591e-05 1.6604700537e+02 6.5946368585e-01
2.6689593142e-05 1.7701946507e+02 6.5946368585e-01
2.8529490010e-05 1.8871672510e+02 6.5946368585e-01
3.0496221370e-05 2.0118659587e+02 6.5946368585e-01
3.2598534744e-05 2.1448006519e+02 6.5946368585e-01
3.4845776099e-05 2.2865144032e+02 6.5946368585e-01
3.7247933506e-05 2.4375857834e+02 6.5946368585e-01
3.9815688069e-05 2.5986315750e+02 6.5946368585e-01
4.2560455768e-05 2.7703088612e+02 6.5946368585e-01
4.5494442020e-05 2.9533178608e+02 6.5946368585e-01
4.8630685342e-05 3.1484040230e+02 6.5946368585e-01
5.1983130106e-05 3.3563618715e+02 6.5946368585e-01
5.5566681112e-05 3.5780376396e+02 6.5946368585e-01
5.9397272707e-05 3.8143327337e+02 6.5946368585e-01
6.3491934270e-05 4.0662068873e+02 6.5946368585e-01
6.7868866609e-05 4.3346819004e+02 6.5946368585e-01
7.2547532909e-05 4.6208461713e+02 6.5946368585e-01
7.7548735135e-05 4.9258582308e+02 6.5946368585e-01
8.2894701336e-05 5.2509508420e+02 6.5946368585e-01
8.8609194791e-05 5.5974363174e+02 6.5946368585e-01
9.4717637694e-05 5.9667125881e+02 6.5946368585e-01
1.0124716937e-04 6.3602651969e+02 6.5946368585e-01
1.0822682816e-04 6.7796766558e+02 6.5946368585e-01
1.1568764603e-04 7.2266303982e+02 6.5946368585e-01
1.2366278679e-04 7.7029172600e+02 6.5946368585e-01
1.3218770619e-04 8.2104431464e+02 6.5946368585e-01
1.4130031923e-04 8.7512370059e+02 6.5946368585e-01
1.5104110935e-04 9.3274552457e+02 6.5946368585e-01
1.6145341215e-04 9.9413963787e+02 6.5946368585e-01
1.7258350272e-04 1.0595503898e+03 6.5946368585e-01
1.8448085757e-04 1.1292379341e+03 6.5946368585e-01
1.9719838747e-04 1.2034793412e+03 6.5946368585e-01
2.1079262660e-04 1.2825694349e+03 6.5946368585e-01
2.2532400908e-04 1.3668221135e+03 6.5946368585e-01
2.4085713085e-04 1.4565715513e+03 6.5946368585e-01
2.5746106985e-04 1.5521736975e+03 6.5946368585e-01
2.7520960430e-04 1.6540071403e+03 6.5946368585e-01
2.9418169288e-04 1.7624754218e+03 6.5946368585e-01
3.1446164940e-04 1.8780075324e+03 6.5946368585e-01
3.3613966662e-04 2.0010603303e+03 6.5946368585e-01
3.5931204911e-04 2.1321192139e+03 6.5946368585e-01
3.8408191176e-04 2.2717013353e+03 6.5946368585e-01
4.1055929614e-04 2.4203554034e+03 6.5946368585e-01
4.3886195635e-04 2.5786651352e+03 6.5946368585e-01
4.6911570826e-04 2.7472500876e+03 6.5946368585e-01
5.0145509886e-04 2.9267681042e+03 6.5946368585e-01
5.3602381376e-04 3.1179160900e+03 6.5946368585e-01
5.7297560852e-04 3.3214334367e+03 6.5946368585e-01
6.1247474514e-04 3.5381023974e+03 6.5946368585e-01
6.5469677793e-04 3.7687500331e+03 6.5946368585e-01
6.9982954301e-04 4.0142508136e+03 6.5946368585e-01
7.4807356577e-04 4.2755255045e+03 6.5946368585e-01
7.9964339966e-04 4.5535444635e+03 6.5946368585e-01
8.5476832464e-04 4.8493266337e+03 6.5946368585e-01
9.1369333677e-04 5.1639391260e+03 6.5946368585e-01
9.7668042872e-04 5.4984971210e+03 6.5946368585e-01
1.0440096958e-03 5.8541613066e+03 6.5946368585e-01
1.1159804417e-03 6.2321334672e+03 6.5946368585e-01
1.1929126922e-03 6.6336519549e+03 6.5946368585e-01
1.2751482427e-03 7.0599819742e+03 6.5946368585e-01
1.3630529866e-03 7.5124092350e+03 6.5946368585e-01
1.4570176136e-03 7.9922212612e+03 6.5946368585e-01
1.5574598219e-03 8.5006920985e+03 6.5946368585e-01
1.6648261808e-03 9.0390601627e+03 6.5946368585e-01
1.7795939930e-03 9.6085006844e+03 6.5946368585e-01
1.9022736233e-03 1.0210094909e+04 6.5946368585e-01
2.0334103610e-03 1.0844791659e+04 6.5946368585e-01
2.1735872142e-03 1.1513368875e+04 6.5946368585e-01
2.3234274704e-03 1.2216390694e+04 6.5946368585e-01
2.4835972581e-03 1.2954163260e+04 6.5946368585e-01
2.6548085734e-03 1.3726693951e+04 6.5946368585e-01
2.8378227726e-03 1.4533656591e+04 6.5946368585e-01
3.0334533658e-03 1.5374360020e+04 6.5946368585e-01
3.2425699755e-03 1.6247730316e+04 6.5946368585e-01
3.4661025274e-03 1.7152302885e+04 6.5946368585e-01
3.7050447427e-03 1.8086219958e+04 6.5946368585e-01
3.9604585618e-03 1.9047238111e+04 6.5946368585e-01
4.2334804311e-03 2.0032744860e+04 6.5946368585e-01
4.5253229327e-03 2.1039756367e+04 6.5946368585e-01
4.8372847959e-03 2.2064939564e+04 6.5946368585e-01
5.1707518287e-03 2.3104593170e+04 6.5946368585e-01
5.5272071622e-03 2.4154649237e+04 6.5946368585e-01
5.9082354419e-03 2.5210642458e+04 6.5946368585e-01
6.3155302778e-03 2.6267678534e+04 6.5946368585e-01
6.7509030923e-03 2.7320394333e+04 6.5946368585e-01
7.2162891738e-03 2.8362899922e+04 6.5946368585e-01
7.7137574553e-03 2.9388718996e+04 6.5946368585e-01
8.2455193624e-03 3.0390713875e+04 6.5946368585e-01
8.8139399886e-03 3.1360999813e+04 6.5946368585e-01
9.4215450808e-03 3.2290834422e+04 6.5946368585e-01
1.0071036406e-02 3.3170502754e+04 6.5946368585e-01
1.0765301995e-02 3.3989176477e+04 6.5946368585e-01
1.1507427320e-02 3.4734771232e+04 6.5946368585e-01
1.2300713919e-02 3.5393833382e+04 6.5946368585e-01
1.3148685917e-02 3.5951487499e+04 6.5946368585e-01
1.4055115171e-02 3.6391555660e+04 6.5946368585e-01
1.5024030581e-02 3.6696938186e+04 6.5946368585e-01
1.6059739515e-02 3.6850420044e+04 6.5946368585e-01
1.7166847363e-02 3.6836015485e+04 6.5946368585e-01
1.8350275233e-02 3.6640879808e+04 6.5946368585e-01
1.9615285099e-02 3.6257606783e+04 6.5946368585e-01
2.0967502147e-02 3.5686445089e+04 6.5946368585e-01
2.2412935272e-02 3.4936732822e+04 6.5946368585e-01
2.3958012462e-02 3.4026840189e+04 6.5946368585e-01
2.5609601289e-02 3.2982315635e+04 6.5946368585e-01
2.7375046164e-02 3.1832565178e+04 6.5946368585e-01
2.9262196273e-02 3.0607020711e+04 6.5946368585e-01
3.1279440969e-02 2.9331891983e+04 6.5946368585e-01
