z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 5.0517494069e+01 5.0431067681e-01
7.5206098700e-06 5.3856203851e+01 5.0431067681e-01
8.0390564108e-06 5.7415557159e+01 5.0431067681e-01
8.5932442744e-06 6.1210163066e+01 5.0431067681e-01
9.1856354629e-06 6.5255534340e+01 5.0431067681e-01
9.8188638731e-06 6.9568271179e+01 5.0431067681e-01
1.0495745300e-05 7.4166042465e+01 5.0431067681e-01
1.1219289263e-05 7.9067664506e+01 5.0431067681e-01
1.1992711734e-05 8.4293236028e+01 5.0431067681e-01
1.2819450603e-05 8.9864138178e+01 5.0431067681e-01
1.3703183868e-05 9.5803252006e+01 5.0431067681e-01
1.4647837816e-05 1.0213485347e+02 5.0431067681e-01
1.5657613403e-05 1.0888489844e+02 5.0431067681e-01
1.6736999896e-05 1.1608104515e+02 5.0431067681e-01
1.7890795789e-05 1.2375276674e+02 5.0431067681e-01
1.9124130631e-05 1.3193147871e+02 5.0431067681e-01
2.0442488676e-05 1.4065071145e+02 5.0431067681e-01
2.1851728889e-05 1.4994614770e+02 5.0431067681e-01
2.3358117687e-05 1.5985588503e+02 5.0431067681e-01
2.4968352591e-05 1.7042052589e+02 5.0431067681e-01
2.6689593142e-05 1.8168334253e+02 5.0431067681e-01
2.8529490010e-05 1.9369042702e+02 5.0431067681e-01
3.0496221370e-05 2.0649094626e+02 5.0431067681e-01
3.2598534744e-05 2.2013736692e+02 5.0431067681e-01
3.4845776099e-05 2.3468556047e+02 5.0431067681e-01
3.7247933506e-05 2.5019508812e+02 5.0431067681e-01
3.9815688069e-05 2.6672942587e+02 5.0431067681e-01
4.2560455768e-05 2.8435630942e+02 5.0431067681e-01
4.5494442020e-05 3.0314786920e+02 5.0431067681e-01
4.8630685342e-05 3.2318096034e+02 5.0431067681e-01
5.1983130106e-05 3.4453765765e+02 5.0431067681e-01
5.5566681112e-05 3.6730525559e+02 5.0431067681e-01
5.9397272707e-05 3.9157689827e+02 5.0431067681e-01
6.3491934270e-05 4.1745184940e+02 5.0431067681e-01
6.7868866609e-05 4.4503603227e+02 5.0431067681e-01
7.2547532909e-05 4.7444208975e+02 5.0431067681e-01
7.7548735135e-05 5.0579016422e+02 5.0431067681e-01
8.2894701336e-05 5.3920834758e+02 5.0431067681e-01
8.8609194791e-05 5.7483283119e+02 5.0431067681e-01
9.4717637694e-05 6.1280934583e+02 5.0431067681e-01
1.0124716937e-04 6.5329256170e+02 5.0431067681e-01
1.0822682816e-04 6.9644758834e+02 5.0431067681e-01
1.1568764603e-04 7.4244997464e+02 5.0431067681e-01
1.2366278679e-04 7.9148726871e+02 5.0431067681e-01
1.3218770619e-04 8.4375859795e+02 5.0431067681e-01
1.4130031923e-04 8.9947604891e+02 5.0431067681e-01
1.5104110935e-04 9.5886574728e+02 5.0431067681e-01
1.6145341215e-04 1.0221682178e+03 5.0431067681e-01
1.7258350272e-04 1.0896395843e+03 5.0431067681e-01
1.8448085757e-04 1.1615516295e+03 5.0431067681e-01
1.9719838747e-04 1.2381946151e+03 5.0431067681e-01
2.1079262660e-04 1.3198760816e+03 5.0431067681e-01
2.2532400908e-04 1.4069228882e+03 5.0431067681e-01
2.4085713085e-04 1.4996832529e+03 5.0431067681e-01
2.5746106985e-04 1.5985263924e+03 5.0431067681e-01
2.7520960430e-04 1.7038436018e+03 5.0431067681e-01
2.9418169288e-04 1.8160508948e+03 5.0431067681e-01
3.1446164940e-04 1.9355890035e+03 5.0431067681e-01
3.3613966662e-04 2.0629239784e+03 5.0431067681e-01
3.5931204911e-04 2.1985499481e+03 5.0431067681e-01
3.8408191176e-04 2.3429898395e+03 5.0431067681e-01
4.1055929614e-04 2.4967932179e+03 5.0431067681e-01
4.3886195635e-04 2.6605439662e+03 5.0431067681e-01
4.6911570826e-04 2.8348552457e+03 5.0431067681e-01
5.0145509886e-04 3.0203716555e+03 5.0431067681e-01
5.3602381376e-04 3.2177713925e+03 5.0431067681e-01
5.7297560852e-04 3.4277674518e+03 5.0431067681e-01
6.1247474514e-04 3.6511037861e+03 5.0431067681e-01
6.5469677793e-04 3.8885596261e+03 5.0431067681e-01
6.9982954301e-04 4.1409497202e+03 5.0431067681e-01
7.4807356577e-04 4.4091192948e+03 5.0431067681e-01
7.9964339966e-04 4.6939486143e+03 5.0431067681e-01
8.5476832464e-04 4.9963477009e+03 5.0431067681e-01
9.1369333677e-04 5.3172587350e+03 5.0431067681e-01
9.7668042872e-04 5.6576488554e+03 5.0431067681e-01
1.0440096958e-03 6.0185135189e+03 5.0431067681e-01
1.1159804417e-03 6.4008669014e+03 5.0431067681e-01
1.1929126922e-03 6.8057361377e+03 5.0431067681e-01
1.2751482427e-03 7.2341594022e+03 5.0431067681e-01
1.3630529866e-03 7.6871763090e+03 5.0431067681e-01
1.4570176136e-03 8.1658091933e+03 5.0431067681e-01
1.5574598219e-03 8.6710674312e+03 5.0431067681e-01
1.6648261808e-03 9.2039229612e+03 5.0431067681e-01
1.7795939930e-03 9.7652973248e+03 5.0431067681e-01
1.9022736233e-03 1.0356054467e+04 5.0431067681e-01
2.0334103610e-03 1.0976980579e+04 5.0431067681e-01
2.1735872142e-03 1.1628761057e+04 5.0431067681e-01
2.3234274704e-03 1.2311972823e+04 5.0431067681e-01
2.4835972581e-03 1.3027045932e+04 5.0431067681e-01
2.6548085734e-03 1.3774256845e+04 5.0431067681e-01
2.8378227726e-03 1.4553691957e+04 5.0431067681e-01
3.0334533658e-03 1.5365225516e+04 5.0431067681e-01
3.2425699755e-03 1.6208483146e+04 5.0431067681e-01
3.4661025274e-03 1.7082813047e+04 5.0431067681e-01
3.7050447427e-03 1.7987248562e+04 5.0431067681e-01
3.9604585618e-03 1.8920461134e+04 5.0431067681e-01
4.2334804311e-03 1.9880724793e+04 5.0431067681e-01
4.5253229327e-03 2.0865866236e+04 5.0431067681e-01
4.8372847959e-03 2.1874259326e+04 5.0431067681e-01
5.1707518287e-03 2.2900674315e+04 5.0431067681e-01
5.5272071622e-03 2.3942348498e+04 5.0431067681e-01
5.9082354419e-03 2.4994925669e+04 5.0431067681e-01
6.3155302778e-03 2.6052759468e+04 5.0431067681e-01
6.7509030923e-03 2.7111182670e+04 5.0431067681e-01
7.2162891738e-03 2.8163203077e+04 5.0431067681e-01
7.7137574553e-03 2.9201701780e+04 5.0431067681e-01
8.2455193624e-03 3.0218029728e+04 5.0431067681e-01
8.8139399886e-03 3.1203132773e+04 5.0431067681e-01
9.4215450808e-03 3.2147252175e+04 5.0431067681e-01
1.0071036406e-02 3.3039494542e+04 5.0431067681e-01
1.0765301995e-02 3.3868198533e+04 5.0431067681e-01
1.1507427320e-02 3.4620621916e+04 5.0431067681e-01
1.2300713919e-02 3.5283348580e+04 5.0431067681e-01
1.3148685917e-02 3.5842344215e+04 5.0431067681e-01
1.4055115171e-02 3.6283048461e+04 5.0431067681e-01
1.5024030581e-02 3.6590828007e+04 5.0431067681e-01
1.6059739515e-02 3.6751306803e+04 5.0431067681e-01
1.7166847363e-02 3.6750815314e+04 5.0431067681e-01
1.8350275233e-02 3.6577054800e+04 5.0431067681e-01
1.9615285099e-02 3.6219926699e+04 5.0431067681e-01
2.0967502147e-02 3.5672527131e+04 5.0431067681e-01
2.2412935272e-02 3.4932102988e+04 5.0431067681e-01
2.3958012462e-02 3.4001280664e+04 5.0431067681e-01
2.5609601289e-02 3.2889121986e+04 5.0431067681e-01
2.7375046164e-02 3.1612043834e+04 5.0431067681e-01
2.9262196273e-02 3.0194396025e+04 5.0431067681e-01
3.1279440969e-02 2.8668488193e+04 5.0431067681e-01
3.3435747027e-02 2.7073860234e+04 5.0431067681e-01
3.5740699619e-02 2.5455684966e+04 5.0431067681e-01
3.8204550743e-02 2.3862015026e+04 5.0431067681e-01
4.0838252753e-02 2.2340142778e+04 5.0431067681e-01
4.3653514236e-02 2.0932123159e+04 5.0431067681e-01
4.6478152275e-02 1.9740356724e+04 5.0431067681e-01
4.9302790314e-02 1.8749434527e+04 5.0431067681e-01
5.2127432078e-02 1.7929412225e+04 5.0431067681e-01
5.4952070117e-02 1.7244935259e+04 5.0431067681e-01
5.7776708156e-02 1.6658865499e+04 5.0431067681e-01
6.0601349920e-02 1.6134836610e+04 5.0431067681e-01
6.3425987959e-02 1.5639940916e+04 5.0431067681e-01
6.6250629723e-02 1.5146735675e+04 5.0431067681e-01
6.9075264037e-02 1.4635310787e+04 5.0431067681e-01
7.1899905801e-02 1.4092109993e+04 5.0431067681e-01
7.4724547565e-02 1.3511806588e+04 5.0431067681e-01
7.7549181879e-02 1.2899417216e+04 5.0431067681e-01
8.0373823643e-02 1.2261238117e+04 5.0431067681e-01
8.3198465407e-02 1.1609800338e+04 5.0431067681e-01
8.6023099720e-02 1.0961868256e+04 5.0431067681e-01
8.8847741485e-02 1.0335150831e+04 5.0431067681e-01
9.1672383249e-02 9.7438849210e+03 5.0431067681e-01
9.5292858779e-02 9.0526394232e+03 5.0431067681e-01
9.8913334310e-02 8.4488309473e+03 5.0431067681e-01
1.0253380984e-01 7.9419508921e+03 5.0431067681e-01
1.0615429282e-01 7.5314564120e+03 5.0431067681e-01
1.0977476835e-01 7.2052287546e+03 5.0431067681e-01
1.1339524388e-01 6.9462213197e+03 5.0431067681e-01
1.1701571941e-01 6.7366176356e+03 5.0431067681e-01
1.2063620240e-01 6.5571464429e+03 5.0431067681e-01
1.2425667793e-01 6.3885580810e+03 5.0431067681e-01
1.2787716091e-01 6.2150946678e+03 5.0431067681e-01
1.3149763644e-01 6.0257346615e+03 5.0431067681e-01
1.3511811197e-01 5.8128321464e+03 5.0431067681e-01
1.3873858750e-01 5.5760098662e+03 5.0431067681e-01
1.4235906303e-01 5.3208177096e+03 5.0431067681e-01
1.4597953856e-01 5.0560439199e+03 5.0431067681e-01
1.4960001409e-01 4.7909471106e+03 5.0431067681e-01
1.5322048962e-01 4.5347431780e+03 5.0431067681e-01
1.5684096515e-01 4.2962314049e+03 5.0431067681e-01
1.6046145558e-01 4.0822830360e+03 5.0431067681e-01
1.6408193111e-01 3.8965811180e+03 5.0431067681e-01
1.6770240664e-01 3.7396996946e+03 5.0431067681e-01
1.7132288217e-01 3.6098218408e+03 5.0431067681e-01
1.7494335771e-01 3.5032347518e+03 5.0431067681e-01
1.7856383324e-01 3.4146868403e+03 5.0431067681e-01
1.8218430877e-01 3.3380688131e+03 5.0431067681e-01
1.8580478430e-01 3.2673356932e+03 5.0431067681e-01
1.8942527473e-01 3.1971970157e+03 5.0431067681e-01
1.9304575026e-01 3.1234290480e+03 5.0431067681e-01
1.9666622579e-01 3.0431222145e+03 5.0431067681e-01
2.0028670132e-01 2.9550108353e+03 5.0431067681e-01
2.0390717685e-01 2.8595878392e+03 5.0431067681e-01
2.0752765238e-01 2.7587392667e+03 5.0431067681e-01
2.1114812791e-01 2.6551668668e+03 5.0431067681e-01
2.1476860344e-01 2.5519438848e+03 5.0431067681e-01
2.1838907898e-01 2.4521690043e+03 5.0431067681e-01
2.2200956941e-01 2.3585161361e+03 5.0431067681e-01
2.2563004494e-01 2.2728989189e+03 5.0431067681e-01
2.2925052047e-01 2.1964188830e+03 5.0431067681e-01
2.3287099600e-01 2.1293491311e+03 5.0431067681e-01
2.3649147153e-01 2.0710736222e+03 5.0431067681e-01
2.4011194706e-01 2.0202993181e+03 5.0431067681e-01
2.4373242259e-01 1.9754484389e+03 5.0431067681e-01
2.4735289812e-01 1.9347890142e+03 5.0431067681e-01
2.5097337365e-01 1.8963860465e+03 5.0431067681e-01
2.5459384918e-01 1.8583756940e+03 5.0431067681e-01
2.5821432471e-01 1.8194042024e+03 5.0431067681e-01
2.6183480024e-01 1.7787232991e+03 5.0431067681e-01
2.6545527577e-01 1.7360098445e+03 5.0431067681e-01
2.6907578111e-01 1.6913228749e+03 5.0431067681e-01
2.7269625664e-01 1.6451345603e+03 5.0431067681e-01
2.7631673217e-01 1.5982302512e+03 5.0431067681e-01
2.7993720770e-01 1.5515542875e+03 5.0431067681e-01
2.8355768323e-01 1.5060987666e+03 5.0431067681e-01
2.8717815876e-01 1.4627463525e+03 5.0431067681e-01
2.9079863429e-01 1.4221218455e+03 5.0431067681e-01
2.9441910982e-01 1.3845717839e+03 5.0431067681e-01
2.9803958535e-01 1.3502141200e+03 5.0431067681e-01
3.0166006088e-01 1.3189441006e+03 5.0431067681e-01
3.0528053641e-01 1.2904349863e+03 5.0431067681e-01
3.0890101194e-01 1.2641859289e+03 5.0431067681e-01
3.1252148747e-01 1.2396032059e+03 5.0431067681e-01
3.1614196301e-01 1.2160872154e+03 5.0431067681e-01
3.1976243854e-01 1.1931045910e+03 5.0431067681e-01
3.2338291407e-01 1.1702161608e+03 5.0431067681e-01
