z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.5300000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 4.9122060974e+01 3.9929411076e-01
7.5206098700e-06 5.2368510423e+01 3.9929411076e-01
8.0390564108e-06 5.5829508951e+01 3.9929411076e-01
8.5932442744e-06 5.9519247606e+01 3.9929411076e-01
9.1856354629e-06 6.3452828504e+01 3.9929411076e-01
9.8188638731e-06 6.7646365849e+01 3.9929411076e-01
1.0495745300e-05 7.2117040429e+01 3.9929411076e-01
1.1219289263e-05 7.6883165317e+01 3.9929411076e-01
1.1992711734e-05 8.1964256566e+01 3.9929411076e-01
1.2819450603e-05 8.7381120664e+01 3.9929411076e-01
1.3703183868e-05 9.3155958174e+01 3.9929411076e-01
1.4647837816e-05 9.9312400893e+01 3.9929411076e-01
1.5657613403e-05 1.0587566654e+02 3.9929411076e-01
1.6736999896e-05 1.1287262859e+02 3.9929411076e-01
1.7890795789e-05 1.2033193195e+02 3.9929411076e-01
1.9124130631e-05 1.2828411271e+02 3.9929411076e-01
2.0442488676e-05 1.3676172758e+02 3.9929411076e-01
2.1851728889e-05 1.4579945791e+02 3.9929411076e-01
2.3358117687e-05 1.5543429328e+02 3.9929411076e-01
2.4968352591e-05 1.6570565409e+02 3.9929411076e-01
2.6689593142e-05 1.7665555815e+02 3.9929411076e-01
2.8529490010e-05 1.8832877282e+02 3.9929411076e-01
3.0496221370e-05 2.0077301029e+02 3.9929411076e-01
3.2598534744e-05 2.1403915363e+02 3.9929411076e-01
3.4845776099e-05 2.2818139855e+02 3.9929411076e-01
3.7247933506e-05 2.4325748333e+02 3.9929411076e-01
3.9815688069e-05 2.5932895955e+02 3.9929411076e-01
4.2560455768e-05 2.7646140064e+02 3.9929411076e-01
4.5494442020e-05 2.9472468474e+02 3.9929411076e-01
4.8630685342e-05 3.1419320381e+02 3.9929411076e-01
5.1983130106e-05 3.3494624718e+02 3.9929411076e-01
5.5566681112e-05 3.5706826461e+02 3.9929411076e-01
5.9397272707e-05 3.8064921192e+02 3.9929411076e-01
6.3491934270e-05 4.0578486572e+02 3.9929411076e-01
6.7868866609e-05 4.3257719665e+02 3.9929411076e-01
7.2547532909e-05 4.6113482163e+02 3.9929411076e-01
7.7548735135e-05 4.9157335658e+02 3.9929411076e-01
8.2894701336e-05 5.2401582560e+02 3.9929411076e-01
8.8609194791e-05 5.5859319164e+02 3.9929411076e-01
9.4717637694e-05 5.9544496220e+02 3.9929411076e-01
1.0124716937e-04 6.3471938829e+02 3.9929411076e-01
1.0822682816e-04 6.7657439833e+02 3.9929411076e-01
1.1568764603e-04 7.2117799265e+02 3.9929411076e-01
1.2366278679e-04 7.6870889037e+02 3.9929411076e-01
1.3218770619e-04 8.1935729456e+02 3.9929411076e-01
1.4130031923e-04 8.7332568817e+02 3.9929411076e-01
1.5104110935e-04 9.3082927486e+02 3.9929411076e-01
1.6145341215e-04 9.9209744078e+02 3.9929411076e-01
1.7258350272e-04 1.0573740417e+03 3.9929411076e-01
1.8448085757e-04 1.1269187068e+03 3.9929411076e-01
1.9719838747e-04 1.2010079494e+03 3.9929411076e-01
2.1079262660e-04 1.2799360018e+03 3.9929411076e-01
2.2532400908e-04 1.3640161339e+03 3.9929411076e-01
2.4085713085e-04 1.4535818533e+03 3.9929411076e-01
2.5746106985e-04 1.5489884013e+03 3.9929411076e-01
2.7520960430e-04 1.6506136157e+03 3.9929411076e-01
2.9418169288e-04 1.7588602420e+03 3.9929411076e-01
3.1446164940e-04 1.8741564270e+03 3.9929411076e-01
3.3613966662e-04 1.9969581352e+03 3.9929411076e-01
3.5931204911e-04 2.1277498200e+03 3.9929411076e-01
3.8408191176e-04 2.2670476325e+03 3.9929411076e-01
4.1055929614e-04 2.4153992263e+03 3.9929411076e-01
4.3886195635e-04 2.5733872035e+03 3.9929411076e-01
4.6911570826e-04 2.7416299467e+03 3.9929411076e-01
5.0145509886e-04 2.9207840636e+03 3.9929411076e-01
5.3602381376e-04 3.1115451624e+03 3.9929411076e-01
5.7297560852e-04 3.3146512733e+03 3.9929411076e-01
6.1247474514e-04 3.5308832266e+03 3.9929411076e-01
6.5469677793e-04 3.7610665986e+03 3.9929411076e-01
6.9982954301e-04 4.0060743135e+03 3.9929411076e-01
7.4807356577e-04 4.2668255369e+03 3.9929411076e-01
7.9964339966e-04 4.5442889729e+03 3.9929411076e-01
8.5476832464e-04 4.8394818667e+03 3.9929411076e-01
9.1369333677e-04 5.1534695963e+03 3.9929411076e-01
9.7668042872e-04 5.4873655848e+03 3.9929411076e-01
1.0440096958e-03 5.8423287540e+03 3.9929411076e-01
1.1159804417e-03 6.2195591360e+03 3.9929411076e-01
1.1929126922e-03 6.6202933668e+03 3.9929411076e-01
1.2751482427e-03 7.0457950079e+03 3.9929411076e-01
1.3630529866e-03 7.4973482292e+03 3.9929411076e-01
1.4570176136e-03 7.9762391757e+03 3.9929411076e-01
1.5574598219e-03 8.4837407269e+03 3.9929411076e-01
1.6648261808e-03 9.0210904138e+03 3.9929411076e-01
1.7795939930e-03 9.5894629431e+03 3.9929411076e-01
1.9022736233e-03 1.0189939486e+04 3.9929411076e-01
2.0334103610e-03 1.0823469339e+04 3.9929411076e-01
2.1735872142e-03 1.1490831576e+04 3.9929411076e-01
2.3234274704e-03 1.2192592229e+04 3.9929411076e-01
2.4835972581e-03 1.2929060210e+04 3.9929411076e-01
2.6548085734e-03 1.3700246644e+04 3.9929411076e-01
2.8378227726e-03 1.4505830151e+04 3.9929411076e-01
3.0334533658e-03 1.5345125496e+04 3.9929411076e-01
3.2425699755e-03 1.6217065839e+04 3.9929411076e-01
3.4661025274e-03 1.7120194825e+04 3.9929411076e-01
3.7050447427e-03 1.8052664073e+04 3.9929411076e-01
3.9604585618e-03 1.9012240637e+04 3.9929411076e-01
4.2334804311e-03 1.9996323521e+04 3.9929411076e-01
4.5253229327e-03 2.1001941320e+04 3.9929411076e-01
4.8372847959e-03 2.2025774213e+04 3.9929411076e-01
5.1707518287e-03 2.3064134900e+04 3.9929411076e-01
5.5272071622e-03 2.4112970006e+04 3.9929411076e-01
5.9082354419e-03 2.5167829276e+04 3.9929411076e-01
6.3155302778e-03 2.6223833793e+04 3.9929411076e-01
6.7509030923e-03 2.7275635971e+04 3.9929411076e-01
7.2162891738e-03 2.8317361408e+04 3.9929411076e-01
7.7137574553e-03 2.9342549107e+04 3.9929411076e-01
8.2455193624e-03 3.0344076242e+04 3.9929411076e-01
8.8139399886e-03 3.1314072224e+04 3.9929411076e-01
9.4215450808e-03 3.2243807870e+04 3.9929411076e-01
1.0071036406e-02 3.3123580210e+04 3.9929411076e-01
1.0765301995e-02 3.3942571408e+04 3.9929411076e-01
1.1507427320e-02 3.4688705808e+04 3.9929411076e-01
1.2300713919e-02 3.5348536371e+04 3.9929411076e-01
1.3148685917e-02 3.5907191724e+04 3.9929411076e-01
1.4055115171e-02 3.6348494923e+04 3.9929411076e-01
1.5024030581e-02 3.6655343418e+04 3.9929411076e-01
1.6059739515e-02 3.6810514455e+04 3.9929411076e-01
1.7166847363e-02 3.6798008511e+04 3.9929411076e-01
1.8350275233e-02 3.6604959821e+04 3.9929411076e-01
1.9615285099e-02 3.6223932913e+04 3.9929411076e-01
2.0967502147e-02 3.5655139030e+04 3.9929411076e-01
2.2412935272e-02 3.4907871968e+04 3.9929411076e-01
2.3958012462e-02 3.4000453667e+04 3.9929411076e-01
2.5609601289e-02 3.2958384354e+04 3.9929411076e-01
2.7375046164e-02 3.1811026150e+04 3.9929411076e-01
2.9262196273e-02 3.0587774746e+04 3.9929411076e-01
3.1279440969e-02 2.9314813124e+04 3.9929411076e-01
3.3435747027e-02 2.8013203157e+04 3.9929411076e-01
3.5740699619e-02 2.6698460605e+04 3.9929411076e-01
3.8204550743e-02 2.5381256387e+04 3.9929411076e-01
4.0838252753e-02 2.4068697371e+04 3.9929411076e-01
4.3653514236e-02 2.2765671305e+04 3.9929411076e-01
4.6478152275e-02 2.1552258881e+04 3.9929411076e-01
4.9302790314e-02 2.0423796466e+04 3.9929411076e-01
5.2127432078e-02 1.9372344561e+04 3.9929411076e-01
5.4952070117e-02 1.8391080319e+04 3.9929411076e-01
5.7776708156e-02 1.7474089355e+04 3.9929411076e-01
6.0601349920e-02 1.6616184072e+04 3.9929411076e-01
6.3425987959e-02 1.5812762970e+04 3.9929411076e-01
6.6250629723e-02 1.5059697066e+04 3.9929411076e-01
6.9075264037e-02 1.4353250781e+04 3.9929411076e-01
7.1899905801e-02 1.3690017497e+04 3.9929411076e-01
7.4724547565e-02 1.3066887845e+04 3.9929411076e-01
7.7549181879e-02 1.2481006040e+04 3.9929411076e-01
8.0373823643e-02 1.1929741154e+04 3.9929411076e-01
8.3198465407e-02 1.1410674593e+04 3.9929411076e-01
8.6023099720e-02 1.0921574638e+04 3.9929411076e-01
8.8847741485e-02 1.0460377722e+04 3.9929411076e-01
9.1672383249e-02 1.0025182052e+04 3.9929411076e-01
9.5292858779e-02 9.5025947606e+03 3.9929411076e-01
9.8913334310e-02 9.0164582092e+03 3.9929411076e-01
1.0253380984e-01 8.5637069749e+03 3.9929411076e-01
1.0615429282e-01 8.1415648285e+03 3.9929411076e-01
1.0977476835e-01 7.7475189324e+03 3.9929411076e-01
1.1339524388e-01 7.3792884343e+03 3.9929411076e-01
1.1701571941e-01 7.0348044674e+03 3.9929411076e-01
1.2063620240e-01 6.7121874763e+03 3.9929411076e-01
1.2425667793e-01 6.4097308616e+03 3.9929411076e-01
1.2787716091e-01 6.1258794236e+03 3.9929411076e-01
1.3149763644e-01 5.8592191042e+03 3.9929411076e-01
1.3511811197e-01 5.6084591301e+03 3.9929411076e-01
