z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6875000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 5.0397899196e+01 3.7732102432e-01
7.5206098700e-06 5.3728698782e+01 3.7732102432e-01
8.0390564108e-06 5.7279624736e+01 3.7732102432e-01
8.5932442744e-06 6.1065253012e+01 3.7732102432e-01
9.1856354629e-06 6.5101050464e+01 3.7732102432e-01
9.8188638731e-06 6.9403575805e+01 3.7732102432e-01
1.0495745300e-05 7.3990446109e+01 3.7732102432e-01
1.1219289263e-05 7.8880477486e+01 3.7732102432e-01
1.1992711734e-05 8.4093664983e+01 3.7732102432e-01
1.2819450603e-05 8.9651410331e+01 3.7732102432e-01
1.3703183868e-05 9.5576441569e+01 3.7732102432e-01
1.4647837816e-05 1.0189306088e+02 3.7732102432e-01
1.5657613403e-05 1.0862713121e+02 3.7732102432e-01
1.6736999896e-05 1.1580624371e+02 3.7732102432e-01
1.7890795789e-05 1.2345979813e+02 3.7732102432e-01
1.9124130631e-05 1.3161917029e+02 3.7732102432e-01
2.0442488676e-05 1.4031778573e+02 3.7732102432e-01
2.1851728889e-05 1.4959122693e+02 3.7732102432e-01
2.3358117687e-05 1.5947752802e+02 3.7732102432e-01
2.4968352591e-05 1.7001718818e+02 3.7732102432e-01
2.6689593142e-05 1.8125333240e+02 3.7732102432e-01
2.8529490010e-05 1.9323204642e+02 3.7732102432e-01
3.0496221370e-05 2.0600228293e+02 3.7732102432e-01
3.2598534744e-05 2.1961649125e+02 3.7732102432e-01
3.4845776099e-05 2.3413029580e+02 3.7732102432e-01
3.7247933506e-05 2.4960320611e+02 3.7732102432e-01
3.9815688069e-05 2.6609846950e+02 3.7732102432e-01
4.2560455768e-05 2.8368368730e+02 3.7732102432e-01
4.5494442020e-05 3.0243093548e+02 3.7732102432e-01
4.8630685342e-05 3.2241679136e+02 3.7732102432e-01
5.1983130106e-05 3.4372311071e+02 3.7732102432e-01
5.5566681112e-05 3.6643702773e+02 3.7732102432e-01
5.9397272707e-05 3.9065151771e+02 3.7732102432e-01
6.3491934270e-05 4.1646563819e+02 3.7732102432e-01
6.7868866609e-05 4.4398498443e+02 3.7732102432e-01
7.2547532909e-05 4.7332187703e+02 3.7732102432e-01
7.7548735135e-05 5.0459651401e+02 3.7732102432e-01
