z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 5.0524907844e+01
7.5267644206e-06 5.3864444074e+01
8.0456893556e-06 5.7424716847e+01
8.6003910838e-06 6.1220308199e+01
9.1933361546e-06 6.5266770251e+01
9.8271611932e-06 6.9580695445e+01
1.0504683814e-05 7.4179751660e+01
1.1228918993e-05 7.9082791949e+01
1.2003084521e-05 8.4309894043e+01
1.2830624655e-05 8.9882478874e+01
1.3715219211e-05 9.5823398361e+01
1.4660800844e-05 1.0215697931e+02
1.5671574147e-05 1.0890919020e+02
1.6752033844e-05 1.1610764999e+02
1.7906986613e-05 1.2378194414e+02
1.9141563825e-05 1.3196340517e+02
2.0461258828e-05 1.4068563934e+02
2.1871939680e-05 1.4998436869e+02
2.3379878257e-05 1.5989764171e+02
2.4991779355e-05 1.7046611427e+02
2.6714811611e-05 1.8173306719e+02
2.8556636607e-05 1.9374466082e+02
3.0525443435e-05 2.0655005794e+02
3.2629988709e-05 2.2020173984e+02
3.4879627492e-05 2.3475562919e+02
3.7284367863e-05 2.5027135344e+02
3.9854901843e-05 2.6681238525e+02
4.2602656322e-05 2.8444648150e+02
4.5539851271e-05 3.0324582369e+02
4.8679547035e-05 3.2328735160e+02
5.2035709814e-05 3.4465307928e+02
5.5623255321e-05 3.6743055163e+02
5.9458143369e-05 3.9171282680e+02
6.3557425165e-05 4.1759921360e+02
6.7939326982e-05 4.4519562275e+02
7.2623326560e-05 4.7461481263e+02
7.7630269516e-05 5.0597702135e+02
8.2982405729e-05 5.3941049360e+02
8.8703542133e-05 5.7505151563e+02
9.4819115475e-05 6.1304553909e+02
1.0135632329e-04 6.5354753211e+02
1.0834422574e-04 6.9672271679e+02
1.1581390572e-04 7.4274674475e+02
1.2379857071e-04 7.9180678578e+02
