z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 4.9085768463e+01
7.5267644206e-06 5.2330150780e+01
8.0456893556e-06 5.5788974329e+01
8.6003910838e-06 5.9476409850e+01
9.1933361546e-06 6.3407564839e+01
9.8271611932e-06 6.7598545023e+01
1.0504683814e-05 7.2066514925e+01
1.1228918993e-05 7.6829793407e+01
1.2003084521e-05 8.1907876289e+01
1.2830624655e-05 8.7321577463e+01
1.3715219211e-05 9.3093072719e+01
1.4660800844e-05 9.9245996354e+01
1.5671574147e-05 1.0580554807e+02
1.6752033844e-05 1.1279859231e+02
1.7906986613e-05 1.2025377953e+02
1.9141563825e-05 1.2820160700e+02
2.0461258828e-05 1.3667463606e+02
2.1871939680e-05 1.4570754890e+02
2.3379878257e-05 1.5533730862e+02
2.4991779355e-05 1.6560331664e+02
2.6714811611e-05 1.7654757893e+02
2.8556636607e-05 1.8821485773e+02
3.0525443435e-05 2.0065285490e+02
3.2629988709e-05 2.1391242620e+02
3.4879627492e-05 2.2804773439e+02
3.7284367863e-05 2.4311654709e+02
3.9854901843e-05 2.5918038132e+02
4.2602656322e-05 2.7630476909e+02
4.5539851271e-05 2.9455956241e+02
4.8679547035e-05 3.1401916424e+02
5.2035709814e-05 3.3476286596e+02
5.5623255321e-05 3.5687504281e+02
5.9458143369e-05 3.8044565619e+02
6.3557425165e-05 4.0557045535e+02
6.7939326982e-05 4.3235139472e+02
7.2623326560e-05 4.6089699654e+02
7.7630269516e-05 4.9132294680e+02
8.2982405729e-05 5.2375219307e+02
8.8703542133e-05 5.5831573952e+02
9.4819115475e-05 5.9515294338e+02
1.0135632329e-04 6.3441215249e+02
1.0834422574e-04 6.7625115519e+02
1.1581390572e-04 7.2083796782e+02
1.2379857071e-04 7.6835126166e+02
1.3233373465e-04 8.1898125681e+02
1.4145734895e-04 8.7293030073e+02
1.5120998432e-04 9.3041373841e+02
1.6163499095e-04 9.9166064164e+02
1.7277874576e-04 1.0569150383e+03
1.8469079805e-04 1.1264365273e+03
1.9742411678e-04 1.2005014749e+03
2.1103530889e-04 1.2794040178e+03
2.2558492492e-04 1.3634575464e+03
2.4113764812e-04 1.4529954799e+03
2.5776261464e-04 1.5483727628e+03
2.7553379186e-04 1.6499676424e+03
2.9453018215e-04 1.7581823906e+03
3.1483627390e-04 1.8734453777e+03
3.3654231811e-04 1.9962120734e+03
3.5974488128e-04 2.1269675303e+03
3.8454713649e-04 2.2662272809e+03
4.1105932905e-04 2.4145391130e+03
4.3939938769e-04 2.5724855220e+03
4.6969330288e-04 2.7406847039e+03
5.0207582535e-04 2.9197931544e+03
5.3669093177e-04 3.1105067569e+03
