z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0260000000e+00        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 5.0414278140e+01
7.5267644206e-06 5.3746503953e+01
8.0456893556e-06 5.7298970653e+01
8.6003910838e-06 6.1086252449e+01
9.1933361546e-06 6.5123863431e+01
9.8271611932e-06 6.9428341561e+01
1.0504683814e-05 7.4017328669e+01
1.1228918993e-05 7.8909646438e+01
1.2003084521e-05 8.4125284408e+01
1.2830624655e-05 8.9685695936e+01
1.3715219211e-05 9.5613606227e+01
1.4660800844e-05 1.0193333229e+02
1.5671574147e-05 1.0867073493e+02
1.6752033844e-05 1.1585346676e+02
1.7906986613e-05 1.2351095614e+02
1.9141563825e-05 1.3167451923e+02
2.0461258828e-05 1.4037767989e+02
2.1871939680e-05 1.4965602575e+02
2.3379878257e-05 1.5954760813e+02
2.4991779355e-05 1.7009298202e+02
2.6714811611e-05 1.8133527812e+02
2.8556636607e-05 1.9332061876e+02
3.0525443435e-05 2.0609805389e+02
3.2629988709e-05 2.1971989708e+02
3.4879627492e-05 2.3424194946e+02
3.7284367863e-05 2.4972378768e+02
3.9854901843e-05 2.6622871597e+02
4.2602656322e-05 2.8382429401e+02
4.5539851271e-05 3.0258259291e+02
4.8679547035e-05 3.2258045123e+02
5.2035709814e-05 3.4389961890e+02
5.5623255321e-05 3.6662741317e+02
5.9458143369e-05 3.9085681460e+02
6.3557425165e-05 4.1668701097e+02
6.7939326982e-05 4.4422339732e+02
7.2623326560e-05 4.7357879175e+02
7.7630269516e-05 5.0487314750e+02
8.2982405729e-05 5.3823416085e+02
8.8703542133e-05 5.7379810302e+02
9.4819115475e-05 6.1171030014e+02
1.0135632329e-04 6.5212516518e+02
1.0834422574e-04 6.9520766984e+02
1.1581390572e-04 7.4113308854e+02
1.2379857071e-04 7.9008853426e+02
1.3233373465e-04 8.4227302250e+02
1.4145734895e-04 8.9789843116e+02
1.5120998432e-04 9.5719058846e+02
1.6163499095e-04 1.0203895288e+03
1.7277874576e-04 1.0877506449e+03
1.8469079805e-04 1.1595462230e+03
1.9742411678e-04 1.2360651878e+03
2.1103530889e-04 1.3176154691e+03
2.2558492492e-04 1.4045236830e+03
2.4113764812e-04 1.4971364106e+03
2.5776261464e-04 1.5958231425e+03
2.7553379186e-04 1.7009753826e+03
2.9453018215e-04 1.8130074157e+03
3.1483627390e-04 1.9323604037e+03
3.3654231811e-04 2.0594989293e+03
3.5974488128e-04 2.1949175237e+03
3.8454713649e-04 2.3391373386e+03
4.1105932905e-04 2.4927094743e+03
4.3939938769e-04 2.6562152352e+03
4.6969330288e-04 2.8302668979e+03
5.0207582535e-04 3.0155102709e+03
5.3669093177e-04 3.2126216231e+03
5.7369249407e-04 3.4223122907e+03
6.1324512353e-04 3.6453276541e+03
6.5552472370e-04 3.8824448337e+03
7.0071918890e-04 4.1344775531e+03
7.4902951019e-04 4.4022689727e+03
8.0067059025e-04 4.6866996241e+03
8.5587194189e-04 4.9886774274e+03
9.1487914324e-04 5.3091422991e+03
9.7795459442e-04 5.6490628238e+03
1.0453786235e-03 6.0094295997e+03
1.1174511164e-03 6.3912531902e+03
1.1944926810e-03 6.7955651485e+03
1.2768456945e-03 7.2233975395e+03
1.3648765162e-03 7.6757885714e+03
1.4589765342e-03 8.1537605824e+03
1.5595641453e-03 8.6583215763e+03
1.6670866171e-03 9.1904421857e+03
1.7820221838e-03 9.7510418494e+03
1.9048817921e-03 1.0340985741e+04
2.0362120122e-03 1.0961052004e+04
2.1765963174e-03 1.1611928683e+04
2.3266596254e-03 1.2294193242e+04
2.4870687630e-03 1.3008273661e+04
2.6585371233e-03 1.3754441266e+04
2.8418272268e-03 1.4532785134e+04
3.0377539806e-03 1.5343173185e+04
3.2471886370e-03 1.6185234778e+04
3.4710627515e-03 1.7058324871e+04
3.7103716750e-03 1.7961462593e+04
3.9661792107e-03 1.8893331243e+04
4.2396234348e-03 1.9852195353e+04
4.5319199562e-03 2.0835882264e+04
4.8443684354e-03 2.1842776302e+04
5.1783579402e-03 2.2867641376e+04
5.5353748612e-03 2.3907725312e+04
5.9170052409e-03 2.4958656170e+04
6.3249468803e-03 2.6014814927e+04
6.7610139959e-03 2.7071518386e+04
7.2271451354e-03 2.8121781678e+04
7.7254129574e-03 2.9158507308e+04
8.2580335438e-03 3.0173023063e+04
8.8273752481e-03 3.1156298377e+04
9.4359694049e-03 3.2098588016e+04
1.0086522438e-02 3.2989000008e+04
1.0781927034e-02 3.3815878574e+04
1.1525275186e-02 3.4566496959e+04
1.2319874018e-02 3.5227456748e+04
1.3169254176e-02 3.5784722679e+04
1.4077194966e-02 3.6223768025e+04
1.5047732741e-02 3.6529975964e+04
1.6085183248e-02 3.6688987686e+04
1.7194159329e-02 3.6687161095e+04
1.8379593268e-02 3.6512221989e+04
1.9646754488e-02 3.6154132309e+04
2.1001279354e-02 3.5606007526e+04
2.2449189797e-02 3.4865128230e+04
2.3996926844e-02 3.3934187210e+04
2.5651369244e-02 3.2822301041e+04
2.7419876307e-02 3.1545921327e+04
2.9310310260e-02 3.0129428558e+04
3.1331080943e-02 2.8605181244e+04
3.3491168171e-02 2.7012717304e+04
3.5800181329e-02 2.5397189579e+04
3.8268387318e-02 2.3806587042e+04
4.0906760842e-02 2.2288130760e+04
4.3727036565e-02 2.0883729942e+04
4.6556431800e-02 1.9695509873e+04
4.9385830760e-02 1.8707772516e+04
5.2215225995e-02 1.7890469220e+04
5.5044624955e-02 1.7208210804e+04
5.7874020189e-02 1.6623824501e+04
6.0703415424e-02 1.6100965855e+04
6.3532814384e-02 1.5606784895e+04
6.6362209618e-02 1.5113923709e+04
6.9191604853e-02 1.4602595932e+04
7.2021000087e-02 1.4059337622e+04
7.4850402772e-02 1.3478984358e+04
7.7679798007e-02 1.2866632985e+04
8.0509193242e-02 1.2228675547e+04
8.3338588476e-02 1.1577751770e+04
8.6167983711e-02 1.0930721786e+04
8.8997386396e-02 1.0305253563e+04
9.1826781630e-02 9.7154601814e+03
9.5449604094e-02 9.0269551105e+03
9.9072426557e-02 8.4258939955e+03
1.0269524902e-01 7.9216601293e+03
1.0631807148e-01 7.5134676887e+03
1.0994090140e-01 7.1890660216e+03
1.1356372386e-01 6.9314588204e+03
1.1718654633e-01 6.7228752164e+03
1.2080936879e-01 6.5440581883e+03
1.2443219125e-01 6.3758403035e+03
1.2805502117e-01 6.2025706245e+03
1.3167783618e-01 6.0133044507e+03
1.3530066609e-01 5.8004861040e+03
1.3892348111e-01 5.5638432341e+03
1.4254631102e-01 5.3089876941e+03
1.4616914093e-01 5.0446884526e+03
1.4979195595e-01 4.7801629350e+03
1.5341478586e-01 4.5246116727e+03
1.5703760087e-01 4.2868100334e+03
1.6066043079e-01 4.0735770178e+03
1.6428324580e-01 3.8885448188e+03
1.6790607572e-01 3.7322558335e+03
1.7152890563e-01 3.6028806553e+03
1.7515172064e-01 3.4966998058e+03
1.7877455056e-01 3.4084628595e+03
1.8239736557e-01 3.3320695754e+03
1.8602019548e-01 3.2615008542e+03
1.8964301050e-01 3.1914891204e+03
1.9326584041e-01 3.1178285558e+03
1.9688867032e-01 3.0376251807e+03
2.0051148534e-01 2.9496314044e+03
2.0413431525e-01 2.8543535329e+03
2.0775713027e-01 2.7536803575e+03
2.1137996018e-01 2.6503041548e+03
2.1500279009e-01 2.5472942430e+03
2.1862560511e-01 2.4477406738e+03
2.2224843502e-01 2.3543065433e+03
2.2587125003e-01 2.2688952332e+03
2.2949407995e-01 2.1926045924e+03
2.3311689496e-01 2.1257018519e+03
2.3673972487e-01 2.0675676961e+03
2.4036255479e-01 2.0169111478e+03
2.4398536980e-01 1.9721633761e+03
2.4760819972e-01 1.9315950579e+03
2.5123101473e-01 1.8932700476e+03
2.5485384464e-01 1.8553301419e+03
2.5847667456e-01 1.8164330421e+03
2.6209950447e-01 1.7758323439e+03
2.6572230458e-01 1.7332028395e+03
2.6934513450e-01 1.6886027616e+03
2.7296796441e-01 1.6425048841e+03
2.7659079433e-01 1.5956919587e+03
2.8021359444e-01 1.5491065892e+03
