z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6020000000e+00        0.022445000000000007        0.6693300000000001        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0413088906e-06 4.9026414396e+01
7.5267644206e-06 5.2266873653e+01
8.0456893556e-06 5.5721514847e+01
8.6003910838e-06 5.9404491580e+01
9.1933361546e-06 6.3330893084e+01
9.8271611932e-06 6.7516805613e+01
1.0504683814e-05 7.1979372936e+01
1.1228918993e-05 7.6736891766e+01
1.2003084521e-05 8.1808834352e+01
1.2830624655e-05 8.7215989421e+01
1.3715219211e-05 9.2980505955e+01
1.4660800844e-05 9.9125989673e+01
1.5671574147e-05 1.0567760981e+02
1.6752033844e-05 1.1266219835e+02
1.7906986613e-05 1.2010837109e+02
1.9141563825e-05 1.2804658844e+02
2.0461258828e-05 1.3650937239e+02
2.1871939680e-05 1.4553136320e+02
2.3379878257e-05 1.5514947930e+02
2.4991779355e-05 1.6540307448e+02
2.6714811611e-05 1.7633410396e+02
2.8556636607e-05 1.8798727588e+02
3.0525443435e-05 2.0041023447e+02
3.2629988709e-05 2.1365377403e+02
3.4879627492e-05 2.2777199191e+02
3.7284367863e-05 2.4282258594e+02
3.9854901843e-05 2.5886699887e+02
4.2602656322e-05 2.7597068355e+02
4.5539851271e-05 2.9420340769e+02
4.8679547035e-05 3.1363948444e+02
5.2035709814e-05 3.3435810951e+02
5.5623255321e-05 3.5644355636e+02
5.9458143369e-05 3.7998567790e+02
6.3557425165e-05 4.0508010797e+02
6.7939326982e-05 4.3182867815e+02
7.2623326560e-05 4.6033978000e+02
7.7630269516e-05 4.9072896024e+02
8.2982405729e-05 5.2311901856e+02
8.8703542133e-05 5.5764080164e+02
9.4819115475e-05 5.9443349932e+02
1.0135632329e-04 6.3364528139e+02
1.0834422574e-04 6.7543374701e+02
1.1581390572e-04 7.1996671129e+02
1.2379857071e-04 7.6742263177e+02
1.3233373465e-04 8.1799150129e+02
1.4145734895e-04 8.7187542590e+02
1.5120998432e-04 9.2928949415e+02
1.6163499095e-04 9.9046250546e+02
1.7277874576e-04 1.0556381982e+03
1.8469079805e-04 1.1250758638e+03
1.9742411678e-04 1.1990515422e+03
2.1103530889e-04 1.2778590236e+03
2.2558492492e-04 1.3618113302e+03
2.4113764812e-04 1.4512414907e+03
2.5776261464e-04 1.5465040353e+03
2.7553379186e-04 1.6479767717e+03
2.9453018215e-04 1.7560615060e+03
3.1483627390e-04 1.8711861146e+03
3.3654231811e-04 1.9938055451e+03
3.5974488128e-04 2.1244042969e+03
3.8454713649e-04 2.2634973182e+03
4.1105932905e-04 2.4116317800e+03
4.3939938769e-04 2.5693895270e+03
4.6969330288e-04 2.7373880702e+03
5.0207582535e-04 2.9162831845e+03
5.3669093177e-04 3.1067699974e+03
5.7369249407e-04 3.3095849565e+03
6.1324512353e-04 3.5255084440e+03
6.5552472370e-04 3.7553654253e+03
7.0071918890e-04 4.0000264669e+03
7.4902951019e-04 4.2604104204e+03
8.0067059025e-04 4.5374848509e+03
8.5587194189e-04 4.8322650490e+03
9.1487914324e-04 5.1458160985e+03
9.7795459442e-04 5.4792499673e+03
1.0453786235e-03 5.8337229763e+03
1.1174511164e-03 6.2104341617e+03
1.1944926810e-03 6.6106188957e+03
1.2768456945e-03 7.0355392024e+03
1.3648765162e-03 7.4864768273e+03
1.4589765342e-03 7.9647164022e+03
1.5595641453e-03 8.4715289790e+03
1.6670866171e-03 9.0081499447e+03
1.7820221838e-03 9.5757526962e+03
1.9048817921e-03 1.0175415048e+04
2.0362120122e-03 1.0808086042e+04
2.1765963174e-03 1.1474540264e+04
2.3266596254e-03 1.2175344537e+04
2.4870687630e-03 1.2910803927e+04
2.6585371233e-03 1.3680928803e+04
2.8418272268e-03 1.4485395846e+04
3.0377539806e-03 1.5323518897e+04
3.2471886370e-03 1.6194231186e+04
3.4710627515e-03 1.7096076455e+04
3.7103716750e-03 1.8027206532e+04
3.9661792107e-03 1.8985389729e+04
4.2396234348e-03 1.9968025586e+04
4.5319199562e-03 2.0972148238e+04
4.8443684354e-03 2.1994436113e+04
5.1783579402e-03 2.3031208045e+04
5.5353748612e-03 2.4078416090e+04
5.9170052409e-03 2.5131609801e+04
6.3249468803e-03 2.6185917794e+04
6.7610139959e-03 2.7235995662e+04
7.2271451354e-03 2.8275973213e+04
7.7254129574e-03 2.9299394419e+04
8.2580335438e-03 3.0299142778e+04
8.8273752481e-03 3.1267350973e+04
9.4359694049e-03 3.2195296842e+04
1.0086522438e-02 3.3073282241e+04
1.0781927034e-02 3.3890494121e+04
1.1525275186e-02 3.4634863780e+04
1.2319874018e-02 3.5292950367e+04
1.3169254176e-02 3.5849891107e+04
1.4077194966e-02 3.6289521182e+04
1.5047732741e-02 3.6594755529e+04
1.6085183248e-02 3.6748397898e+04
1.7194159329e-02 3.6734487526e+04
1.8379593268e-02 3.6540211974e+04
1.9646754488e-02 3.6158203297e+04
2.1001279354e-02 3.5588747536e+04
2.2449189797e-02 3.4841207715e+04
2.3996926844e-02 3.3933954794e+04
2.5651369244e-02 3.2892505865e+04
2.7419876307e-02 3.1746198693e+04
2.9310310260e-02 3.0524371880e+04
3.1331080943e-02 2.9253126571e+04
3.3491168171e-02 2.7953444348e+04
3.5800181329e-02 2.6640764353e+04
3.8268387318e-02 2.5325704235e+04
4.0906760842e-02 2.4015332339e+04
4.3727036565e-02 2.2714512644e+04
4.6556431800e-02 2.1503304032e+04
4.9385830760e-02 2.0376914465e+04
5.2215225995e-02 1.9327421190e+04
5.5044624955e-02 1.8348006855e+04
5.7874020189e-02 1.7432770248e+04
6.0703415424e-02 1.6576531050e+04
6.3532814384e-02 1.5774691045e+04
6.6362209618e-02 1.5023130777e+04
6.9191604853e-02 1.4318115193e+04
7.2021000087e-02 1.3656245698e+04
7.4850402772e-02 1.3034413086e+04
7.7679798007e-02 1.2449766710e+04
8.0509193242e-02 1.1899680321e+04
8.3338588476e-02 1.1381736709e+04
8.6167983711e-02 1.0893705706e+04
8.8997386396e-02 1.0433527878e+04
9.1826781630e-02 9.9993050681e+03
9.5449604094e-02 9.4784184007e+03
9.9072426557e-02 8.9938414339e+03
1.0269524902e-01 8.5425222951e+03
1.0631807148e-01 8.1216977189e+03
1.0994090140e-01 7.7288632109e+03
1.1356372386e-01 7.3617501611e+03
1.1718654633e-01 7.0182975941e+03
1.2080936879e-01 6.6966344304e+03
1.2443219125e-01 6.3950597812e+03
1.2805502117e-01 6.1120254598e+03
1.3167783618e-01 5.8461236254e+03
1.3530066609e-01 5.5960670422e+03
1.3892348111e-01 5.3606850229e+03
1.4254631102e-01 5.1389042675e+03
1.4616914093e-01 4.9297459923e+03
1.4979195595e-01 4.7323140318e+03
1.5341478586e-01 4.5457847602e+03
1.5703760087e-01 4.3694056145e+03
1.6066043079e-01 4.2024825999e+03
1.6428324580e-01 4.0443804216e+03
1.6790607572e-01 3.8945118681e+03
1.7152890563e-01 3.7523378468e+03
1.7515172064e-01 3.6173611560e+03
1.7877455056e-01 3.4891212319e+03
1.8239736557e-01 3.3671945930e+03
1.8602019548e-01 3.2511875825e+03
1.8964301050e-01 3.1407376444e+03
1.9326584041e-01 3.0355070112e+03
1.9688867032e-01 2.9351837028e+03
2.0051148534e-01 2.8394780377e+03
2.0413431525e-01 2.7481196923e+03
2.0775713027e-01 2.6608587425e+03
2.1137996018e-01 2.5774611304e+03
2.1500279009e-01 2.4977098314e+03
2.1862560511e-01 2.4214024532e+03
2.2224843502e-01 2.3483492140e+03
2.2587125003e-01 2.2783740557e+03
2.2949407995e-01 2.2113112832e+03
2.3311689496e-01 2.1470069969e+03
2.3673972487e-01 2.0853160814e+03
2.4036255479e-01 2.0261033559e+03
2.4398536980e-01 1.9692420655e+03
2.4760819972e-01 1.9146126080e+03
2.5123101473e-01 1.8621035862e+03
2.5485384464e-01 1.8116094896e+03
2.5847667456e-01 1.7630317507e+03
2.6209950447e-01 1.7162774347e+03
2.6572230458e-01 1.6712594205e+03
2.6934513450e-01 1.6278945594e+03
2.7296796441e-01 1.5861055540e+03
2.7659079433e-01 1.5458191464e+03
2.8021359444e-01 1.5069665155e+03
2.8383642435e-01 1.4694817403e+03
2.8745925427e-01 1.4333034664e+03
2.9108208418e-01 1.3983733834e+03
2.9470491409e-01 1.3646363359e+03
2.9832771420e-01 1.3320403875e+03
3.0195054412e-01 1.3005355723e+03
3.0557337403e-01 1.2700753315e+03
3.0919620395e-01 1.2406152722e+03
3.1281903386e-01 1.2121132914e+03
3.1644183397e-01 1.1845296610e+03
3.2006466389e-01 1.1578259994e+03
3.2368749380e-01 1.1319665121e+03
3.2731032372e-01 1.1069169650e+03
3.3093315363e-01 1.0826448112e+03
3.3455595374e-01 1.0591192838e+03
3.3817878365e-01 1.0363105369e+03
3.4180161357e-01 1.0141907216e+03
3.4542444348e-01 9.9273312648e+02
3.4904724360e-01 9.7191246815e+02
3.5267007351e-01 9.5170414229e+02
3.5629290342e-01 9.3208518532e+02
3.5991573334e-01 9.1303352325e+02
3.6353856325e-01 8.9452808829e+02
3.6716136336e-01 8.7654891063e+02
3.7078419328e-01 8.5907648073e+02
3.7440702319e-01 8.4209258910e+02
3.7802985311e-01 8.2557968584e+02
3.8165268302e-01 8.0952098876e+02
3.8527548313e-01 7.9390057075e+02
3.8889831305e-01 7.7870281215e+02
3.9252114296e-01 7.6391313666e+02
3.9614397287e-01 7.4951746098e+02
3.9976677299e-01 7.3550240776e+02
4.0338960290e-01 7.2185481826e+02
