z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 5.0433974605e+01
7.5328712228e-06 5.3767442172e+01
8.0522077042e-06 5.7321228659e+01
8.6073478087e-06 6.1109910990e+01
9.2007612693e-06 6.5148993074e+01
9.8350856206e-06 6.9455046386e+01
1.0513142115e-05 7.4045714364e+01
1.1237945728e-05 7.8939791488e+01
1.2012719708e-05 8.4157346290e+01
1.2840908312e-05 8.9719756502e+01
1.3726194084e-05 9.5649796921e+01
1.4672514226e-05 1.0197179757e+02
1.5684076061e-05 1.0871161732e+02
1.6765377950e-05 1.1589692511e+02
1.7921227482e-05 1.2355708564e+02
1.9156763301e-05 1.3172357244e+02
2.0477480575e-05 1.4042976569e+02
2.1889252821e-05 1.4971139158e+02
2.3398355552e-05 1.5960642570e+02
2.5011499019e-05 1.7015542687e+02
2.6735857318e-05 1.8140166015e+02
2.8579097488e-05 1.9339111449e+02
3.0549417716e-05 2.0617292439e+02
3.2655574614e-05 2.1979942268e+02
3.4906934161e-05 2.3432643924e+02
3.7313511712e-05 2.4981349432e+02
3.9886002924e-05 2.6632393911e+02
4.2635849240e-05 2.8392541265e+02
4.5575277909e-05 3.0268998240e+02
4.8717356549e-05 3.2269437273e+02
5.2076058637e-05 3.4402054477e+02
5.5666318076e-05 3.6675569649e+02
5.9504101955e-05 3.9099293040e+02
6.3606472395e-05 4.1683128876e+02
6.7991670221e-05 4.4437645645e+02
7.2679191362e-05 4.7374090162e+02
7.7689888713e-05 5.0504478944e+02
8.3046033979e-05 5.3841601725e+02
8.8771448645e-05 5.7399060121e+02
9.4891584013e-05 6.1191387123e+02
1.0143365944e-04 6.5234033040e+02
1.0842676420e-04 6.9543495542e+02
1.1590198846e-04 7.4137298570e+02
1.2389257608e-04 7.9034139950e+02
1.3243405556e-04 8.4253933571e+02
1.4156440739e-04 8.9817837500e+02
1.5132423141e-04 9.5748436745e+02
1.6175692144e-04 1.0206972919e+03
1.7290886899e-04 1.0880727323e+03
1.8482966698e-04 1.1598821584e+03
1.9757231348e-04 1.2364147540e+03
2.1119345911e-04 1.3179776275e+03
2.2575369803e-04 1.4048972174e+03
2.4131775717e-04 1.4975206287e+03
2.5795484544e-04 1.5962159133e+03
2.7573891566e-04 1.7013736167e+03
2.9474907205e-04 1.8134083247e+03
3.1506986124e-04 1.9327593658e+03
3.3679162152e-04 2.0598919363e+03
