z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 4.8996000757e+01
7.5328712228e-06 5.2234387790e+01
8.0522077042e-06 5.5686818782e+01
8.6073478087e-06 5.9367429193e+01
9.2007612693e-06 6.3291306799e+01
9.8350856206e-06 6.7474519804e+01
1.0513142115e-05 7.1934210317e+01
1.1237945728e-05 7.6688647697e+01
1.2012719708e-05 8.1757310854e+01
1.2840908312e-05 8.7160957405e+01
1.3726194084e-05 9.2921721066e+01
1.4672514226e-05 9.9063201859e+01
1.5684076061e-05 1.0561054907e+02
1.6765377950e-05 1.1259057810e+02
1.7921227482e-05 1.2003186788e+02
1.9156763301e-05 1.2796488014e+02
2.0477480575e-05 1.3642209994e+02
2.1889252821e-05 1.4543815070e+02
2.3398355552e-05 1.5504991893e+02
2.5011499019e-05 1.6529673439e+02
2.6735857318e-05 1.7622052425e+02
2.8579097488e-05 1.8786596440e+02
3.0549417716e-05 2.0028068525e+02
3.2655574614e-05 2.1351540521e+02
3.4906934161e-05 2.2762420939e+02
3.7313511712e-05 2.4266475497e+02
3.9886002924e-05 2.5869841560e+02
4.2635849240e-05 2.7579063702e+02
4.5575277909e-05 2.9401112769e+02
4.8717356549e-05 3.1343413471e+02
5.2076058637e-05 3.3413878038e+02
5.5666318076e-05 3.5620932415e+02
5.9504101955e-05 3.7973552906e+02
6.3606472395e-05 4.0481295265e+02
6.7991670221e-05 4.3154336288e+02
7.2679191362e-05 4.6003509956e+02
7.7689888713e-05 4.9040358024e+02
8.3046033979e-05 5.2277155251e+02
8.8771448645e-05 5.5726975424e+02
9.4891584013e-05 5.9403725363e+02
1.0143365944e-04 6.3322212851e+02
1.0842676420e-04 6.7498191449e+02
1.1590198846e-04 7.1948421664e+02
1.2389257608e-04 7.6690743913e+02
1.3243405556e-04 8.1744137324e+02
1.4156440739e-04 8.7128799060e+02
1.5132423141e-04 9.2866222431e+02
1.6175692144e-04 9.8979278142e+02
1.7290886899e-04 1.0549231131e+03
1.8482966698e-04 1.1243123689e+03
1.9757231348e-04 1.1982363346e+03
2.1119345911e-04 1.2769886019e+03
2.2575369803e-04 1.3608819628e+03
2.4131775717e-04 1.4502491828e+03
2.5795484544e-04 1.5454446595e+03
2.7573891566e-04 1.6468455307e+03
2.9474907205e-04 1.7548535579e+03
3.1506986124e-04 1.8698962788e+03
3.3679162152e-04 1.9924284203e+03
3.6001091939e-04 2.1229337188e+03
3.8483101525e-04 2.2619268004e+03
4.1136227082e-04 2.4099546187e+03
4.3972267304e-04 2.5675984133e+03
4.7003829968e-04 2.7354751893e+03
5.0244398881e-04 2.9142401454e+03
5.3708377527e-04 3.1045876010e+03
5.7411176385e-04 3.3072540748e+03
6.1369256582e-04 3.5230186572e+03
6.5600214293e-04 3.7527052584e+03
7.0122862235e-04 3.9971842442e+03
7.4957316974e-04 4.2573738414e+03
8.0125074601e-04 4.5342402578e+03
8.5649109678e-04 4.8287982541e+03
9.1553980019e-04 5.1421110249e+03
9.7865960561e-04 5.4752903847e+03
1.0461308993e-03 5.8294908333e+03
1.1182539165e-03 6.2059109855e+03
1.1953492649e-03 6.6057838369e+03
1.2777597876e-03 7.0303713287e+03
1.3658519601e-03 7.4809531808e+03
1.4600174036e-03 7.9588124892e+03
1.5606748639e-03 8.4652192483e+03
1.6682718415e-03 9.0014070998e+03
1.7832869198e-03 9.5685481976e+03
1.9062313950e-03 1.0167719044e+04
2.0376520697e-03 1.0799866763e+04
2.1781332325e-03 1.1465766771e+04
2.3282994516e-03 1.2165981180e+04
2.4888184853e-03 1.2900816399e+04
2.6604041923e-03 1.3670281872e+04
2.8438193258e-03 1.4474052307e+04
3.0398797244e-03 1.5311442558e+04
3.2494571060e-03 1.6181384673e+04
3.4734832589e-03 1.7082420183e+04
3.7129542325e-03 1.8012700523e+04
3.9689349942e-03 1.8969995120e+04
4.2425640859e-03 1.9951701727e+04
4.5350575820e-03 2.0954852745e+04
4.8477165401e-03 2.1976128018e+04
5.1819304936e-03 2.3011844701e+04
5.5391867645e-03 2.4057955009e+04
