z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4220000000e+00        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 4.8951639272e+01
7.5328712228e-06 5.2187094250e+01
8.0522077042e-06 5.5636399391e+01
8.6073478087e-06 5.9313677359e+01
9.2007612693e-06 6.3234002269e+01
9.8350856206e-06 6.7413427779e+01
1.0513142115e-05 7.1869080478e+01
1.1237945728e-05 7.6619213187e+01
1.2012719708e-05 8.1683287180e+01
1.2840908312e-05 8.7082041283e+01
1.3726194084e-05 9.2837589173e+01
1.4672514226e-05 9.8973509512e+01
1.5684076061e-05 1.0551492882e+02
1.6765377950e-05 1.1248863821e+02
1.7921227482e-05 1.1992319077e+02
1.9156763301e-05 1.2784902064e+02
2.0477480575e-05 1.3629858347e+02
2.1889252821e-05 1.4530647137e+02
2.3398355552e-05 1.5490953744e+02
2.5011499019e-05 1.6514707586e+02
2.6735857318e-05 1.7606097586e+02
2.8579097488e-05 1.8769587290e+02
3.0549417716e-05 2.0009935431e+02
3.2655574614e-05 2.1332209260e+02
3.4906934161e-05 2.2741812398e+02
3.7313511712e-05 2.4244505344e+02
3.9886002924e-05 2.5846419919e+02
4.2635849240e-05 2.7554094775e+02
4.5575277909e-05 2.9374494458e+02
4.8717356549e-05 3.1315036969e+02
5.2076058637e-05 3.3383627387e+02
5.5666318076e-05 3.5588684049e+02
5.9504101955e-05 3.7939175151e+02
6.3606472395e-05 4.0444647823e+02
6.7991670221e-05 4.3115269679e+02
7.2679191362e-05 4.5961864928e+02
7.7689888713e-05 4.8995964923e+02
8.3046033979e-05 5.2229833365e+02
8.8771448645e-05 5.5676532273e+02
9.4891584013e-05 5.9349955955e+02
1.0143365944e-04 6.3264898888e+02
1.0842676420e-04 6.7437100485e+02
1.1590198846e-04 7.1883306220e+02
1.2389257608e-04 7.6621340526e+02
1.3243405556e-04 8.1670165550e+02
1.4156440739e-04 8.7049960406e+02
1.5132423141e-04 9.2782199233e+02
1.6175692144e-04 9.8889732369e+02
1.7290886899e-04 1.0539688329e+03
1.8482966698e-04 1.1232954397e+03
1.9757231348e-04 1.1971526859e+03
2.1119345911e-04 1.2758339039e+03
2.2575369803e-04 1.3596516106e+03
2.4131775717e-04 1.4489382793e+03
2.5795484544e-04 1.5440479979e+03
2.7573891566e-04 1.6453575754e+03
2.9474907205e-04 1.7532684249e+03
3.1506986124e-04 1.8682077146e+03
3.3679162152e-04 1.9906297807e+03
3.6001091939e-04 2.1210179458e+03
3.8483101525e-04 2.2598863989e+03
4.1136227082e-04 2.4077816317e+03
4.3972267304e-04 2.5652843969e+03
4.7003829968e-04 2.7330111865e+03
5.0244398881e-04 2.9116166598e+03
5.3708377527e-04 3.1017945700e+03
5.7411176385e-04 3.3042808420e+03
6.1369256582e-04 3.5198539460e+03
6.5600214293e-04 3.7493371458e+03
7.0122862235e-04 3.9936001347e+03
7.4957316974e-04 4.2535604431e+03
8.0125074601e-04 4.5301835611e+03
8.5649109678e-04 4.8244835130e+03
9.1553980019e-04 5.1375227427e+03
9.7865960561e-04 5.4704123042e+03
1.0461308993e-03 5.8243059368e+03
1.1182539165e-03 6.2004015002e+03
1.1953492649e-03 6.5999312548e+03
1.2777597876e-03 7.0241564391e+03
1.3658519601e-03 7.4743561208e+03
1.4600174036e-03 7.9518128159e+03
1.5606748639e-03 8.4577960354e+03
1.6682718415e-03 8.9935390653e+03
1.7832869198e-03 9.5602138653e+03
1.9062313950e-03 1.0158896946e+04
2.0376520697e-03 1.0790535685e+04
2.1781332325e-03 1.1455906043e+04
2.3282994516e-03 1.2155571020e+04
2.4888184853e-03 1.2889838297e+04
2.6604041923e-03 1.3658719023e+04
2.8438193258e-03 1.4461890078e+04
3.0398797244e-03 1.5298668984e+04
3.2494571060e-03 1.6167990965e+04
3.4734832589e-03 1.7068401239e+04
3.7129542325e-03 1.7998055429e+04
3.9689349942e-03 1.8954727624e+04
4.2425640859e-03 1.9935820679e+04
4.5350575820e-03 2.0938372499e+04
4.8477165401e-03 2.1959068780e+04
5.1819304936e-03 2.2994232833e+04
5.5391867645e-03 2.4039823269e+04
5.9210727923e-03 2.5091398061e+04
6.3292868435e-03 2.6144092363e+04
6.7656449974e-03 2.7192572848e+04
7.2320862673e-03 2.8230977961e+04
7.7306851745e-03 2.9252864828e+04
8.2636587322e-03 3.0251129513e+04
8.8333776221e-03 3.1217921583e+04
9.4423741102e-03 3.2144535217e+04
1.0093355551e-02 3.3021291464e+04
1.0789218359e-02 3.3837402769e+04
1.1533055455e-02 3.4580825040e+04
1.2328174897e-02 3.5238145771e+04
1.3178111054e-02 3.5794535567e+04
1.4086645097e-02 3.6233862705e+04
1.5057815239e-02 3.6539074810e+04
1.6095941886e-02 3.6693004518e+04
1.7205636948e-02 3.6679709736e+04
1.8391840160e-02 3.6486381852e+04
1.9659820944e-02 3.6105636948e+04
2.1015221253e-02 3.5537722316e+04
2.2464066744e-02 3.4791943839e+04
2.4012798443e-02 3.3886607703e+04
2.5668302551e-02 3.2847163566e+04
2.7437943965e-02 3.1702894492e+04
2.9329586774e-02 3.0483104829e+04
3.1351648271e-02 2.9213875887e+04
3.3513110131e-02 2.7916186431e+04
3.5823594779e-02 2.6605473627e+04
3.8293365389e-02 2.5292364821e+04
4.0933411568e-02 2.3983926294e+04
4.3755467981e-02 2.2685024763e+04
4.6586707234e-02 2.1475575794e+04
4.9417942762e-02 2.0350823666e+04
5.2249178290e-02 1.9302851004e+04
5.5080413818e-02 1.8324851817e+04
5.7911653072e-02 1.7410928819e+04
6.0742888600e-02 1.6555912501e+04
6.3574127853e-02 1.5755210359e+04
6.6405363381e-02 1.5004709156e+04
6.9236598909e-02 1.4300679616e+04
7.2067834437e-02 1.3639728847e+04
7.4899069965e-02 1.3018754299e+04
7.7730305493e-02 1.2434906761e+04
8.0561541021e-02 1.1885566172e+04
8.3392776549e-02 1.1368319360e+04
8.6224012077e-02 1.0880939872e+04
8.9055255055e-02 1.0421371772e+04
9.1886490583e-02 9.9877200516e+03
9.5512367785e-02 9.4674161994e+03
9.9138244986e-02 8.9833823602e+03
1.0276412219e-01 8.5325699577e+03
1.0638999939e-01 8.1122187114e+03
1.1001587659e-01 7.7198276138e+03
1.1364175379e-01 7.3531288985e+03
1.1726763845e-01 7.0100639739e+03
1.2089351565e-01 6.6887651934e+03
1.2451939285e-01 6.3875327824e+03
1.2814526260e-01 6.1048213592e+03
1.3177114725e-01 5.8392212305e+03
1.3539703190e-01 5.5894499364e+03
1.3902290165e-01 5.3543369334e+03
1.4264878631e-01 5.1328100891e+03
1.4627465606e-01 4.9238925183e+03
1.4990054071e-01 4.7266865283e+03
1.5352641046e-01 4.5403726391e+03
1.5715229511e-01 4.3641960405e+03
1.6077816486e-01 4.1974663969e+03
1.6440404952e-01 4.0395463632e+03
1.6802993417e-01 3.8898513725e+03
1.7165580392e-01 3.7478428244e+03
1.7528168857e-01 3.6130223580e+03
1.7890755832e-01 3.4849321357e+03
1.8253344297e-01 3.3631470334e+03
1.8615931272e-01 3.2472758340e+03
1.8978519738e-01 3.1369544743e+03
1.9341106713e-01 3.0318473767e+03
1.9703695178e-01 2.9316415793e+03
2.0066283643e-01 2.8360477803e+03
2.0428870618e-01 2.7447971085e+03
2.0791459084e-01 2.6576384160e+03
2.1154046059e-01 2.5743393407e+03
2.1516634524e-01 2.4946820494e+03
2.1879221499e-01 2.4184647263e+03
2.2241809964e-01 2.3454978026e+03
2.2604396939e-01 2.2756054169e+03
2.2966985405e-01 2.2086220609e+03
2.3329573870e-01 2.1443937493e+03
2.3692160845e-01 2.0827763057e+03
2.4054749310e-01 2.0236339265e+03
2.4417336285e-01 1.9668402581e+03
2.4779924750e-01 1.9122758340e+03
2.5142511725e-01 1.8598293827e+03
2.5505098701e-01 1.8093957174e+03
2.5867688656e-01 1.7608757720e+03
2.6230275631e-01 1.7141775161e+03
2.6592862606e-01 1.6692131590e+03
2.6955452561e-01 1.6259000376e+03
2.7318039536e-01 1.5841612785e+03
2.7680626512e-01 1.5439233457e+03
2.8043213487e-01 1.5051171841e+03
2.8405803442e-01 1.4676772849e+03
2.8768390417e-01 1.4315426549e+03
2.9130977392e-01 1.3966547380e+03
2.9493564367e-01 1.3629584430e+03
2.9856154323e-01 1.3304013677e+03
3.0218741298e-01 1.2989346744e+03
3.0581328273e-01 1.2685113141e+03
3.0943918228e-01 1.2390867078e+03
3.1306505203e-01 1.2106192852e+03
3.1669092178e-01 1.1830688957e+03
3.2031679153e-01 1.1563976558e+03
3.2394269109e-01 1.1305693735e+03
3.2756856084e-01 1.1055502795e+03
3.3119443059e-01 1.0813076493e+03
3.3482033014e-01 1.0578103717e+03
3.3844619989e-01 1.0350294084e+03
3.4207206964e-01 1.0129365509e+03
3.4569793940e-01 9.9150511914e+02
3.4932383895e-01 9.7070952281e+02
3.5294970870e-01 9.5052587031e+02
3.5657557845e-01 9.3093087803e+02
3.6020144820e-01 9.1190249813e+02
3.6382734775e-01 8.9341953804e+02
3.6745321751e-01 8.7546220971e+02
3.7107908726e-01 8.5801116793e+02
3.7470498681e-01 8.4104793754e+02
3.7833085656e-01 8.2455526822e+02
3.8195672631e-01 8.0851625633e+02
3.8558259606e-01 7.9291486714e+02
3.8920849562e-01 7.7773563314e+02
3.9283436537e-01 7.6296411469e+02
3.9646023512e-01 7.4858611884e+02
4.0008613467e-01 7.3458805704e+02
4.0371200442e-01 7.2095724654e+02
4.0733787417e-01 7.0768119270e+02
4.1096374393e-01 6.9474802610e+02
4.1458964348e-01 6.8214625911e+02
4.1821551323e-01 6.6986517435e+02
4.2184138298e-01 6.5789418127e+02
4.2546725273e-01 6.4622321245e+02
4.2909315229e-01 6.3484250663e+02
4.3271902204e-01 6.2374296191e+02
4.3634489179e-01 6.1291555708e+02
4.3997079134e-01 6.0235162564e+02
4.4359666109e-01 5.9204309046e+02
4.4722253084e-01 5.8198192797e+02
4.5084840059e-01 5.7216050341e+02
4.5447430015e-01 5.6257139162e+02
4.5810016990e-01 5.5320767761e+02
4.6172603965e-01 5.4406247167e+02
4.6535193920e-01 5.3512914246e+02
4.6897780895e-01 5.2640151821e+02
4.7260367870e-01 5.1787343596e+02
4.7622954845e-01 5.0953902706e+02
4.7985544801e-01 5.0139256729e+02
4.8348131776e-01 4.9342873429e+02
4.8710718751e-01 4.8564219736e+02
4.9073305726e-01 4.7802787872e+02
4.9435895681e-01 4.7058081759e+02
4.9798482656e-01 4.6329640633e+02
5.0161069632e-01 4.5617001626e+02
5.0523656607e-01 4.4919723721e+02
5.0886243582e-01 4.4237380928e+02
5.1248836517e-01 4.3569550819e+02
5.1611423492e-01 4.2915857628e+02
5.1974010467e-01 4.2275905841e+02
5.2336597443e-01 4.1649323812e+02
5.2699184418e-01 4.1035752174e+02
5.3061771393e-01 4.0434843354e+02
5.3424358368e-01 3.9846261118e+02
5.3786951303e-01 3.9269670757e+02
5.4149538279e-01 3.8704776379e+02
5.4512125254e-01 3.8151263655e+02
5.4874712229e-01 3.7608837537e+02
5.5237299204e-01 3.7077212318e+02
5.5599886179e-01 3.6556111289e+02
5.5962473154e-01 3.6045266395e+02
5.6325060129e-01 3.5544417924e+02
5.6687653065e-01 3.5053306203e+02
5.7050240040e-01 3.4571703437e+02
5.7412827015e-01 3.4099364995e+02
5.7775413990e-01 3.3636061588e+02
5.8138000965e-01 3.3181570862e+02
6.2945324182e-01 2.7893853076e+02
7.6881581545e-01 1.7901029525e+02
9.3903356791e-01 1.1387151055e+02
1.1469380856e+00 7.1843735248e+01
1.4008729458e+00 4.4982107516e+01
1.7110313177e+00 2.7963200417e+01
2.0898580551e+00 1.7267852626e+01
2.5525579452e+00 1.0597131696e+01
3.1177008152e+00 6.4657921612e+00
3.8079674244e+00 3.9238615592e+00
4.6510658264e+00 2.3693420855e+00
5.6808233261e+00 1.4240361084e+00
