z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4940000000e+00        0.022445000000000007        0.66866        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0470305218e-06 5.0246728066e+01
7.5328712228e-06 5.3567820770e+01
8.0522077042e-06 5.7108417423e+01
8.6073478087e-06 6.0883027064e+01
9.2007612693e-06 6.4907133785e+01
9.8350856206e-06 6.9197196734e+01
1.0513142115e-05 7.3770825271e+01
1.1237945728e-05 7.8646732261e+01
1.2012719708e-05 8.3844920910e+01
1.2840908312e-05 8.9386690605e+01
1.3726194084e-05 9.5294712811e+01
1.4672514226e-05 1.0159323543e+02
1.5684076061e-05 1.0830806529e+02
1.6765377950e-05 1.1546669074e+02
1.7921227482e-05 1.2309845682e+02
1.9156763301e-05 1.3123462364e+02
2.0477480575e-05 1.3990852990e+02
2.1889252821e-05 1.4915572126e+02
2.3398355552e-05 1.5901404385e+02
2.5011499019e-05 1.6952393613e+02
2.6735857318e-05 1.8072844061e+02
2.8579097488e-05 1.9267343739e+02
3.0549417716e-05 2.0540788937e+02
3.2655574614e-05 2.1898391230e+02
3.4906934161e-05 2.3345707843e+02
3.7313511712e-05 2.4888670843e+02
3.9886002924e-05 2.6533602316e+02
4.2635849240e-05 2.8287240062e+02
4.5575277909e-05 3.0156753940e+02
4.8717356549e-05 3.2149790242e+02
5.2076058637e-05 3.4274525411e+02
5.5666318076e-05 3.6539649688e+02
5.9504101955e-05 3.8954416163e+02
6.3606472395e-05 4.1528734187e+02
6.7991670221e-05 4.4273089972e+02
7.2679191362e-05 4.7198738094e+02
7.7689888713e-05 5.0317622091e+02
8.3046033979e-05 5.3642484225e+02
8.8771448645e-05 5.7186921540e+02
9.4891584013e-05 6.0965362501e+02
1.0143365944e-04 6.4993253834e+02
1.0842676420e-04 6.9287004473e+02
1.1590198846e-04 7.3864135030e+02
1.2389257608e-04 7.8743249773e+02
1.3243405556e-04 8.3944195432e+02
1.4156440739e-04 8.9488126593e+02
1.5132423141e-04 9.5397510373e+02
1.6175692144e-04 1.0169631792e+03
1.7290886899e-04 1.0841001508e+03
1.8482966698e-04 1.1556573055e+03
1.9757231348e-04 1.2319230257e+03
2.1119345911e-04 1.3132040038e+03
2.2575369803e-04 1.3998264569e+03
2.4131775717e-04 1.4921362196e+03
2.5795484544e-04 1.5905015471e+03
2.7573891566e-04 1.6953128348e+03
2.9474907205e-04 1.8069847667e+03
3.1506986124e-04 1.9259556619e+03
3.3679162152e-04 2.0526914909e+03
3.6001091939e-04 2.1876840081e+03
3.8483101525e-04 2.3314548617e+03
4.1136227082e-04 2.4845537251e+03
4.3972267304e-04 2.6475620344e+03
4.7003829968e-04 2.8210901850e+03
5.0244398881e-04 3.0057833241e+03
5.3708377527e-04 3.2023185479e+03
5.7411176385e-04 3.4114056493e+03
6.1369256582e-04 3.6337873040e+03
6.5600214293e-04 3.8702418740e+03
7.0122862235e-04 4.1215794831e+03
7.4957316974e-04 4.3886435124e+03
8.0125074601e-04 4.6723102259e+03
8.5649109678e-04 4.9734846609e+03
9.1553980019e-04 5.2931028692e+03
9.7865960561e-04 5.6321281809e+03
1.0461308993e-03 5.9915463466e+03
1.1182539165e-03 6.3723651635e+03
1.1953492649e-03 6.7756073757e+03
1.2777597876e-03 7.2023005854e+03
1.3658519601e-03 7.6534806151e+03
1.4600174036e-03 8.1301713301e+03
1.5606748639e-03 8.6333771646e+03
1.6682718415e-03 9.1640674276e+03
1.7832869198e-03 9.7231673343e+03
1.9062313950e-03 1.0311534839e+04
2.0376520697e-03 1.0929952414e+04
2.1781332325e-03 1.1579103134e+04
2.3282994516e-03 1.2259557225e+04
2.4888184853e-03 1.2971754874e+04
2.6604041923e-03 1.3715961390e+04
2.8438193258e-03 1.4492272432e+04
3.0398797244e-03 1.5300566930e+04
3.2494571060e-03 1.6140460749e+04
3.4734832589e-03 1.7011323128e+04
3.7129542325e-03 1.7912188493e+04
3.9689349942e-03 1.8841729558e+04
4.2425640859e-03 1.9798240877e+04
4.5350575820e-03 2.0779553649e+04
4.8477165401e-03 2.1784052110e+04
5.1819304936e-03 2.2806525758e+04
5.5391867645e-03 2.3844230335e+04
5.9210727923e-03 2.4892825251e+04
6.3292868435e-03 2.5946687467e+04
6.7656449974e-03 2.7001166992e+04
7.2320862673e-03 2.8049312005e+04
7.7306851745e-03 2.9084034668e+04
8.2636587322e-03 3.0096701630e+04
8.8333776221e-03 3.1078302878e+04
9.4423741102e-03 3.2019104965e+04
1.0093355551e-02 3.2908268374e+04
1.0789218359e-02 3.3734167375e+04
1.1533055455e-02 3.4484103052e+04
1.2328174897e-02 3.5144703873e+04
1.3178111054e-02 3.5701955591e+04
1.4086645097e-02 3.6141374623e+04
1.5057815239e-02 3.6448366780e+04
1.6095941886e-02 3.6608600938e+04
1.7205636948e-02 3.6608421574e+04
1.8391840160e-02 3.6435587149e+04
1.9659820944e-02 3.6080032393e+04
2.1015221253e-02 3.5534869758e+04
2.2464066744e-02 3.4797351997e+04
2.4012798443e-02 3.3870094824e+04
2.5668302551e-02 3.2762159072e+04
2.7437943965e-02 3.1489899681e+04
2.9329586774e-02 3.0077605423e+04
3.1351648271e-02 2.8557501895e+04
3.3513110131e-02 2.6969025098e+04
3.5823594779e-02 2.5357204173e+04
3.8293365389e-02 2.3769927615e+04
4.0933411568e-02 2.2254329094e+04
4.3755467981e-02 2.0852313845e+04
4.6586707234e-02 1.9665878274e+04
4.9417942762e-02 1.8679495501e+04
5.2249178290e-02 1.7863274641e+04
5.5080413818e-02 1.7181943912e+04
5.7911653072e-02 1.6598469287e+04
6.0742888600e-02 1.6076585013e+04
6.3574127853e-02 1.5583510960e+04
6.6405363381e-02 1.5091918148e+04
6.9236598909e-02 1.4582016833e+04
7.2067834437e-02 1.4040314414e+04
7.4899069965e-02 1.3461603378e+04
7.7730305493e-02 1.2850887960e+04
8.0561541021e-02 1.2214504166e+04
8.3392776549e-02 1.1565024614e+04
8.6224012077e-02 1.0919247417e+04
8.9055255055e-02 1.0294812205e+04
9.1886490583e-02 9.7058154347e+03
9.5512367785e-02 9.0178736755e+03
9.9138244986e-02 8.4170845185e+03
1.0276412219e-01 7.9129078804e+03
1.0638999939e-01 7.5046412551e+03
1.1001587659e-01 7.1801200777e+03
1.1364175379e-01 6.9224274045e+03
1.1726763845e-01 6.7138570935e+03
1.2089351565e-01 6.5351866360e+03
1.2451939285e-01 6.3672697525e+03
1.2814526260e-01 6.1944551314e+03
1.3177114725e-01 6.0057280007e+03
1.3539703190e-01 5.7935577199e+03
1.3902290165e-01 5.5575814519e+03
1.4264878631e-01 5.3033575892e+03
1.4627465606e-01 5.0396020645e+03
1.4990054071e-01 4.7755012656e+03
1.5352641046e-01 4.5202471852e+03
1.5715229511e-01 4.2826204017e+03
1.6077816486e-01 4.0694557759e+03
1.6440404952e-01 3.8844111969e+03
1.6802993417e-01 3.7280587589e+03
1.7165580392e-01 3.5986055766e+03
1.7528168857e-01 3.4923586356e+03
1.7890755832e-01 3.4040906181e+03
1.8253344297e-01 3.3277218575e+03
1.8615931272e-01 3.2572414429e+03
1.8978519738e-01 3.1873809524e+03
1.9341106713e-01 3.1139242289e+03
1.9703695178e-01 3.0339637192e+03
2.0066283643e-01 2.9462306153e+03
2.0428870618e-01 2.8512120004e+03
2.0791459084e-01 2.7507753076e+03
2.1154046059e-01 2.6475979070e+03
2.1516634524e-01 2.5447411182e+03
2.1879221499e-01 2.4452933522e+03
2.2241809964e-01 2.3519189004e+03
2.2604396939e-01 2.2665292894e+03
2.2966985405e-01 2.1902332083e+03
2.3329573870e-01 2.1233107252e+03
2.3692160845e-01 2.0651531262e+03
2.4054749310e-01 2.0144800193e+03
2.4417336285e-01 1.9697337466e+03
2.4779924750e-01 1.9291892449e+03
2.5142511725e-01 1.8909112594e+03
2.5505098701e-01 1.8530409516e+03
2.5867688656e-01 1.8142340314e+03
2.6230275631e-01 1.7737371730e+03
2.6592862606e-01 1.7312178072e+03
2.6955452561e-01 1.6867250720e+03
2.7318039536e-01 1.6407262460e+03
2.7680626512e-01 1.5939980094e+03
2.8043213487e-01 1.5474809918e+03
2.8405803442e-01 1.5021638396e+03
2.8768390417e-01 1.4589273945e+03
2.9130977392e-01 1.4183956911e+03
2.9493564367e-01 1.3809195153e+03
2.9856154323e-01 1.3466229268e+03
3.0218741298e-01 1.3154072758e+03
3.0581328273e-01 1.2869498952e+03
3.0943918228e-01 1.2607543599e+03
3.1306505203e-01 1.2362309198e+03
3.1669092178e-01 1.2127833790e+03
3.2031679153e-01 1.1898793461e+03
3.2394269109e-01 1.1670776064e+03
3.2756856084e-01 1.1440529704e+03
3.3119443059e-01 1.1206357905e+03
3.3482033014e-01 1.0968214892e+03
3.3844619989e-01 1.0727217014e+03
3.4207206964e-01 1.0485353147e+03
3.4569793940e-01 1.0245383805e+03
3.4932383895e-01 1.0010317992e+03
3.5294970870e-01 9.7827069645e+02
3.5657557845e-01 9.5645115732e+02
3.6020144820e-01 9.3572508007e+02
3.6382734775e-01 9.1617859644e+02
3.6745321751e-01 8.9780385928e+02
3.7107908726e-01 8.8050941201e+02
3.7470498681e-01 8.6415054960e+02
3.7833085656e-01 8.4855005742e+02
3.8195672631e-01 8.3352520917e+02
3.8558259606e-01 8.1891084119e+02
3.8920849562e-01 8.0456150109e+02
3.9283436537e-01 7.9034836495e+02
3.9646023512e-01 7.7618114394e+02
4.0008613467e-01 7.6203101849e+02
4.0371200442e-01 7.4792517334e+02
4.0733787417e-01 7.3391895887e+02
4.1096374393e-01 7.2007505879e+02
4.1458964348e-01 7.0646325664e+02
4.1821551323e-01 6.9316207052e+02
4.2184138298e-01 6.8024838375e+02
4.2546725273e-01 6.6778034926e+02
4.2909315229e-01 6.5578678661e+02
4.3271902204e-01 6.4426788264e+02
4.3634489179e-01 6.3320411291e+02
4.3997079134e-01 6.2256189352e+02
4.4359666109e-01 6.1229633695e+02
4.4722253084e-01 6.0235344740e+02
4.5084840059e-01 5.9267390420e+02
4.5447430015e-01 5.8319950771e+02
4.5810016990e-01 5.7388429610e+02
4.6172603965e-01 5.6470047742e+02
4.6535193920e-01 5.5563273105e+02
4.6897780895e-01 5.4667395719e+02
4.7260367870e-01 5.3782504332e+02
4.7622954845e-01 5.2909813382e+02
4.7985544801e-01 5.2051410771e+02
4.8348131776e-01 5.1209697349e+02
4.8710718751e-01 5.0387008576e+02
4.9073305726e-01 4.9584997957e+02
4.9435895681e-01 4.8804370800e+02
4.9798482656e-01 4.8045257890e+02
5.0161069632e-01 4.7307673242e+02
5.0523656607e-01 4.6591238510e+02
5.0886243582e-01 4.5894687875e+02
5.1248836517e-01 4.5216003501e+02
5.1611423492e-01 4.4552980716e+02
5.1974010467e-01 4.3903835227e+02
5.2336597443e-01 4.3267268520e+02
5.2699184418e-01 4.2642182930e+02
5.3061771393e-01 4.2027480790e+02
5.3424358368e-01 4.1422246601e+02
5.3786951303e-01 4.0826073992e+02
5.4149538279e-01 4.0239224536e+02
5.4512125254e-01 3.9662314793e+02
5.4874712229e-01 3.9095865570e+02
5.5237299204e-01 3.8540098737e+02
5.5599886179e-01 3.7995224485e+02
5.5962473154e-01 3.7461586125e+02
5.6325060129e-01 3.6939629731e+02
5.6687653065e-01 3.6429476747e+02
5.7050240040e-01 3.5930744157e+02
5.7412827015e-01 3.5442822407e+02
5.7775413990e-01 3.4965125296e+02
5.8138000965e-01 3.4497227771e+02
6.2945324182e-01 2.9020228528e+02
7.6881581545e-01 1.8636078524e+02
9.3903356791e-01 1.1848657930e+02
1.1469380856e+00 7.4658159548e+01
1.4008729458e+00 4.6657854557e+01
1.7110313177e+00 2.8942046704e+01
2.0898580551e+00 1.7830527057e+01
2.5525579452e+00 1.0916583996e+01
3.1177008152e+00 6.6453645514e+00
3.8079674244e+00 4.0240392119e+00
4.6510658264e+00 2.4249057603e+00
5.6808233261e+00 1.4547273715e+00
