z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 5.0707070428e+01
7.5145258052e-06 5.4058368919e+01
8.0325635281e-06 5.7631154527e+01
8.5863139248e-06 6.1440080878e+01
9.1782385425e-06 6.5500721833e+01
9.8109694591e-06 6.9829751151e+01
1.0487319742e-05 7.4444885523e+01
1.1210296179e-05 7.9365024797e+01
1.1983113836e-05 8.4610348384e+01
1.2809206964e-05 9.0202328405e+01
1.3692250832e-05 9.6163891827e+01
1.4636168999e-05 1.0251943799e+02
1.5645160602e-05 1.0929504018e+02
1.6723708541e-05 1.1651841935e+02
1.7876611309e-05 1.2421918073e+02
1.9108991182e-05 1.3242888396e+02
2.0426330593e-05 1.4118113948e+02
2.1834483050e-05 1.5051181887e+02
2.3339713152e-05 1.6045912498e+02
2.4948709324e-05 1.7106379350e+02
2.6668629289e-05 1.8236932956e+02
2.8507114621e-05 1.9442193768e+02
3.0472343497e-05 2.0727103001e+02
3.2573050703e-05 2.2096924393e+02
3.4818578570e-05 2.3557268740e+02
3.7218906073e-05 2.5114106169e+02
3.9784710680e-05 2.6773818719e+02
4.2527393816e-05 2.8543195086e+02
4.5459153625e-05 3.0429486713e+02
4.8593024985e-05 3.2440402528e+02
5.1942937716e-05 3.4584175557e+02
5.5523789342e-05 3.6869583952e+02
5.9351499658e-05 3.9305966772e+02
6.3443083491e-05 4.1903290587e+02
6.7816734372e-05 4.4672177523e+02
7.2491893661e-05 4.7623933308e+02
7.7489348769e-05 5.0770631411e+02
8.2831327745e-05 5.4125109529e+02
8.8541564764e-05 5.7701078269e+02
9.4645460194e-05 6.1513107122e+02
1.0117013881e-04 6.5576747163e+02
1.0814462439e-04 6.9908562598e+02
1.1559991981e-04 7.4526179849e+02
1.2356915977e-04 7.9448382199e+02
1.3208779274e-04 8.4695186924e+02
1.4119368279e-04 9.0287887356e+02
1.5092732792e-04 9.6249144034e+02
1.6133197642e-04 1.0260308285e+03
1.7245390336e-04 1.0937536520e+03
