z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 4.9258979869e+01
7.5145258052e-06 5.2514539656e+01
8.0325635281e-06 5.5985260094e+01
8.5863139248e-06 5.9685359870e+01
9.1782385425e-06 6.3629993426e+01
9.8109694591e-06 6.7835321874e+01
1.0487319742e-05 7.2318570818e+01
1.1210296179e-05 7.7098102366e+01
1.1983113836e-05 8.2193498067e+01
1.2809206964e-05 8.7625616635e+01
1.3692250832e-05 9.3416722037e+01
1.4636168999e-05 9.9590514756e+01
1.5645160602e-05 1.0617229296e+02
1.6723708541e-05 1.1318898705e+02
1.7876611309e-05 1.2066934687e+02
1.9108991182e-05 1.2864397313e+02
2.0426330593e-05 1.3714553004e+02
2.1834483050e-05 1.4620879077e+02
2.3339713152e-05 1.5587086863e+02
2.4948709324e-05 1.6617126999e+02
2.6668629289e-05 1.7715215490e+02
2.8507114621e-05 1.8885839661e+02
3.0472343497e-05 2.0133788198e+02
3.2573050703e-05 2.1464159949e+02
3.4818578570e-05 2.2882392029e+02
3.7218906073e-05 2.4394273662e+02
3.9784710680e-05 2.6005980247e+02
4.2527393816e-05 2.7724083990e+02
4.5459153625e-05 2.9555593745e+02
4.8593024985e-05 3.1507973659e+02
5.1942937716e-05 3.3589172616e+02
5.5523789342e-05 3.5807661976e+02
5.9351499658e-05 3.8172461222e+02
6.3443083491e-05 4.0693174088e+02
6.7816734372e-05 4.3380030474e+02
7.2491893661e-05 4.6243918416e+02
7.7489348769e-05 4.9296432926e+02
8.2831327745e-05 5.2549921419e+02
8.8541564764e-05 5.6017510358e+02
9.4645460194e-05 5.9713188300e+02
1.0117013881e-04 6.3651825796e+02
1.0814462439e-04 6.7849264671e+02
1.1559991981e-04 7.2322348899e+02
1.2356915977e-04 7.7088998335e+02
1.3208779274e-04 8.2168298506e+02
1.4119368279e-04 8.7580541416e+02
1.5092732792e-04 9.3347334742e+02
1.6133197642e-04 9.9491649245e+02
1.7245390336e-04 1.0603795972e+03
1.8434255617e-04 1.1301230680e+03
1.9705080194e-04 1.2044241719e+03
2.1063511667e-04 1.2835778753e+03
2.2515591991e-04 1.3678985070e+03
2.4067774939e-04 1.4577204522e+03
2.5726962485e-04 1.5533999100e+03
2.7500532451e-04 1.6553160928e+03
2.9396370519e-04 1.7638726240e+03
3.1422902248e-04 1.8794988724e+03
3.3589138184e-04 2.0026519589e+03
3.5904711694e-04 2.1338182557e+03
3.8379916805e-04 2.2735147897e+03
4.1025757673e-04 2.4222911910e+03
4.3854000978e-04 2.5807316666e+03
4.6877213754e-04 2.7494560063e+03
5.0108844880e-04 2.9291228478e+03
5.3563254187e-04 3.1204298006e+03
5.7255808497e-04 3.3241170420e+03
6.1202916550e-04 3.5409672147e+03
6.5422133775e-04 3.7718088184e+03
6.9932214683e-04 4.0175162653e+03
7.4753217632e-04 4.2790122677e+03
7.9906563042e-04 4.5572670231e+03
8.5415178910e-04 4.8533013172e+03
9.1303541558e-04 5.1681829597e+03
9.7597844433e-04 5.5030288829e+03
1.0432605632e-03 5.8589997906e+03
1.1151810177e-03 6.2372994631e+03
1.1920596007e-03 6.6391674419e+03
1.2742379913e-03 7.0658708412e+03
1.3620816171e-03 7.5186955855e+03
1.4559810516e-03 7.9989313255e+03
1.5563537599e-03 8.5078537102e+03
1.6636458458e-03 9.0467016571e+03
1.7783346120e-03 9.6166532840e+03
1.9009297248e-03 1.0218789269e+04
2.0319763571e-03 1.0854060756e+04
2.1720570512e-03 1.1523246272e+04
2.3217946291e-03 1.2226910525e+04
2.4818549864e-03 1.2965361268e+04
2.6529494207e-03 1.3738605294e+04
2.8358388227e-03 1.4546316923e+04
3.0313364696e-03 1.5387806479e+04
3.2403112855e-03 1.6261999501e+04
3.4636922646e-03 1.7167430075e+04
3.7024728954e-03 1.8102242095e+04
3.9577148855e-03 1.9064193699e+04
4.2305523530e-03 2.0050666400e+04
4.5221988112e-03 2.1058682458e+04
4.8339506611e-03 2.2084903372e+04
5.1671946421e-03 2.3125633256e+04
5.5234115571e-03 2.4176798785e+04
5.9041851200e-03 2.5233933637e+04
6.3112089410e-03 2.6292144265e+04
6.7462921143e-03 2.7346061367e+04
7.2113694623e-03 2.8389792734e+04
7.7085080557e-03 2.9416855254e+04
8.2399183884e-03 3.0420104981e+04
8.8079627603e-03 3.1391645656e+04
9.4151683152e-03 3.2322728050e+04
1.0064232163e-02 3.3203617828e+04
1.0758042335e-02 3.4023471251e+04
1.1499681510e-02 3.4770181107e+04
1.2292448431e-02 3.5430267720e+04
1.3139867224e-02 3.5988828127e+04
1.4045706019e-02 3.6429651154e+04
1.5013990924e-02 3.6735604234e+04
1.6049027443e-02 3.6889442119e+04
1.7155418172e-02 3.6875155314e+04
1.8338082358e-02 3.6679887203e+04
1.9602276385e-02 3.6296236917e+04
2.0953619853e-02 3.5724477903e+04
2.2398125380e-02 3.4973983894e+04
2.3942209780e-02 3.4063175848e+04
2.5592742488e-02 3.3017644355e+04
2.7357058600e-02 3.1866833763e+04
2.9243005440e-02 3.0640194681e+04
3.1258963049e-02 2.9363946086e+04
3.3413898200e-02 2.8059160752e+04
3.5717394203e-02 2.6741354840e+04
3.8179684430e-02 2.5421203297e+04
4.0811721235e-02 2.4105805184e+04
4.3625205755e-02 2.2800046110e+04
4.6448014677e-02 2.1584180465e+04
4.9270823598e-02 2.0453496301e+04
