z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0980000000e+00        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 5.0583891730e+01
7.5145258052e-06 5.3927057008e+01
8.0325635281e-06 5.7491164341e+01
8.5863139248e-06 6.1290837078e+01
9.1782385425e-06 6.5341611204e+01
9.8109694591e-06 6.9660126349e+01
1.0487319742e-05 7.4264045144e+01
1.1210296179e-05 7.9172252723e+01
1.1983113836e-05 8.4404822763e+01
1.2809206964e-05 8.9983225486e+01
1.3692250832e-05 9.5930306425e+01
1.4636168999e-05 1.0227043076e+02
1.5645160602e-05 1.0902958517e+02
1.6723708541e-05 1.1623542882e+02
1.7876611309e-05 1.2391748006e+02
1.9108991182e-05 1.3210724383e+02
2.0426330593e-05 1.4083826257e+02
2.1834483050e-05 1.5014626056e+02
2.3339713152e-05 1.6006945801e+02
2.4948709324e-05 1.7064842676e+02
2.6668629289e-05 1.8192649776e+02
2.8507114621e-05 1.9394987148e+02
3.0472343497e-05 2.0676782159e+02
3.2573050703e-05 2.2043283085e+02
3.4818578570e-05 2.3500079485e+02
3.7218906073e-05 2.5053146344e+02
3.9784710680e-05 2.6708835587e+02
4.2527393816e-05 2.8473933808e+02
4.5459153625e-05 3.0355653777e+02
4.8593024985e-05 3.2361704059e+02
5.1942937716e-05 3.4500297501e+02
5.5523789342e-05 3.6780178399e+02
5.9351499658e-05 3.9210681926e+02
6.3443083491e-05 4.1801744321e+02
6.7816734372e-05 4.4563950425e+02
7.2491893661e-05 4.7508608399e+02
7.7489348769e-05 5.0647732735e+02
8.2831327745e-05 5.3994163116e+02
8.8541564764e-05 5.7561561021e+02
9.4645460194e-05 6.1364470847e+02
1.0117013881e-04 6.5418408200e+02
1.0814462439e-04 6.9739904047e+02
1.1559991981e-04 7.4346569230e+02
1.2356915977e-04 7.9257114847e+02
1.3208779274e-04 8.4491528831e+02
1.4119368279e-04 9.0071103119e+02
1.5092732792e-04 9.6018413278e+02
1.6133197642e-04 1.0235758338e+03
1.7245390336e-04 1.0911421129e+03
1.8434255617e-04 1.1631561996e+03
1.9705080194e-04 1.2399078273e+03
2.1063511667e-04 1.3217056781e+03
2.2515591991e-04 1.4088769756e+03
2.4067774939e-04 1.5017709481e+03
2.5726962485e-04 1.6007563844e+03
2.7500532451e-04 1.7062262514e+03
2.9396370519e-04 1.8185974228e+03
3.1422902248e-04 1.9383104074e+03
3.3589138184e-04 2.0658334240e+03
3.5904711694e-04 2.2016610434e+03
3.8379916805e-04 2.3463163612e+03
4.1025757673e-04 2.5003520848e+03
4.3854000978e-04 2.6643517560e+03
4.6877213754e-04 2.8389296149e+03
5.0108844880e-04 3.0247330451e+03
5.3563254187e-04 3.2224404002e+03
5.7255808497e-04 3.4327658940e+03
6.1202916550e-04 3.6564555254e+03
6.5422133775e-04 3.8942914249e+03
6.9932214683e-04 4.1470869650e+03
7.4753217632e-04 4.4156900198e+03
7.9906563042e-04 4.7009816069e+03
8.5415178910e-04 5.0038739856e+03
9.1303541558e-04 5.3253076688e+03
9.7597844433e-04 5.6662546825e+03
1.0432605632e-03 6.0277071564e+03
1.1151810177e-03 6.4106805834e+03
1.1920596007e-03 6.8162056700e+03
1.2742379913e-03 7.2453185558e+03
1.3620816171e-03 7.6990613572e+03
1.4559810516e-03 8.1784604338e+03
1.5563537599e-03 8.6845253020e+03
1.6636458458e-03 9.2182279880e+03
1.7783346120e-03 9.7804970511e+03
1.9009297248e-03 1.0372193134e+04
2.0319763571e-03 1.0994099725e+04
2.1720570512e-03 1.1646910121e+04
2.3217946291e-03 1.2331195909e+04
2.4818549864e-03 1.3047391757e+04
2.6529494207e-03 1.3795770419e+04
2.8358388227e-03 1.4576423177e+04
3.0313364696e-03 1.5389215281e+04
3.2403112855e-03 1.6233780526e+04
3.4636922646e-03 1.7109460389e+04
3.7024728954e-03 1.8015290994e+04
3.9577148855e-03 1.8949940083e+04
4.2305523530e-03 1.9911664638e+04
4.5221988112e-03 2.0898308706e+04
4.8339506611e-03 2.1908231416e+04
5.1671946421e-03 2.2936192846e+04
5.5234115571e-03 2.3979424160e+04
5.9041851200e-03 2.5033565640e+04
6.3112089410e-03 2.6092955735e+04
6.7462921143e-03 2.7152928285e+04
7.2113694623e-03 2.8206463403e+04
7.7085080557e-03 2.9246449921e+04
8.2399183884e-03 3.0264201001e+04
8.8079627603e-03 3.1250647295e+04
9.4151683152e-03 3.2196028336e+04
1.0064232163e-02 3.3089427437e+04
1.0758042335e-02 3.3919149858e+04
1.1499681510e-02 3.4672440269e+04
1.2292448431e-02 3.5335856562e+04
1.3139867224e-02 3.5895326364e+04
1.4045706019e-02 3.6336279604e+04
1.5013990924e-02 3.6644059280e+04
1.6049027443e-02 3.6804269191e+04
1.7155418172e-02 3.6803204254e+04
1.8338082358e-02 3.6628563368e+04
1.9602276385e-02 3.6270249197e+04
2.0953619853e-02 3.5721335306e+04
2.2398125380e-02 3.4979120235e+04
2.3942209780e-02 3.4046218511e+04
2.5592742488e-02 3.2931771201e+04
2.7357058600e-02 3.1652221794e+04
2.9243005440e-02 3.0232022533e+04
3.1258963049e-02 2.8703558355e+04
3.3413898200e-02 2.7106464455e+04
3.5717394203e-02 2.5486002807e+04
3.8179684430e-02 2.3890308539e+04
4.0811721235e-02 2.2366727855e+04
4.3625205755e-02 2.0957367039e+04
4.6448014677e-02 1.9764659940e+04
4.9270823598e-02 1.8773084564e+04
5.2093628794e-02 1.7952564063e+04
5.4916437715e-02 1.7267642573e+04
5.7739246637e-02 1.6681083179e+04
6.0562051833e-02 1.6156441146e+04
6.3384860754e-02 1.5660759952e+04
6.6207669675e-02 1.5166578362e+04
6.9030478597e-02 1.4654005971e+04
7.1853287518e-02 1.4109488747e+04
7.4676088989e-02 1.3527796546e+04
7.7498897910e-02 1.2913950872e+04
8.0321706832e-02 1.2274322868e+04
8.3144515753e-02 1.1621557026e+04
8.5967324674e-02 1.0972542369e+04
8.8790133596e-02 1.0344998134e+04
9.1612935066e-02 9.7530814574e+03
9.5230370760e-02 9.0613112309e+03
9.8847806454e-02 8.4572678619e+03
1.0246524215e-01 7.9504684048e+03
1.0608267784e-01 7.5401619709e+03
1.0970010608e-01 7.2140686474e+03
1.1331754178e-01 6.9551603177e+03
1.1693497747e-01 6.7456014695e+03
1.2055241317e-01 6.5660298193e+03
1.2416984886e-01 6.3971732771e+03
1.2778727710e-01 6.2233061003e+03
1.3140471280e-01 6.0333888097e+03
1.3502214849e-01 5.8198201498e+03
1.3863958418e-01 5.5823279096e+03
1.4225701988e-01 5.3265502757e+03
1.4587445557e-01 5.0612767774e+03
1.4949189127e-01 4.7957522583e+03
1.5310931206e-01 4.5392316139e+03
1.5672674775e-01 4.3005483836e+03
1.6034418345e-01 4.0865485874e+03
1.6396161914e-01 3.9008687659e+03
1.6757905483e-01 3.7440498091e+03
1.7119649053e-01 3.6142555166e+03
1.7481392622e-01 3.5077431257e+03
1.7843136191e-01 3.4192276177e+03
1.8204879761e-01 3.3425815328e+03
1.8566623330e-01 3.2717613566e+03
1.8928365409e-01 3.2014801687e+03
1.9290108979e-01 3.1275143550e+03
1.9651852548e-01 3.0469619637e+03
2.0013596117e-01 2.9585833760e+03
2.0375339687e-01 2.8629010086e+03
2.0737083256e-01 2.7618184354e+03
2.1098826826e-01 2.6580436375e+03
2.1460570395e-01 2.5546627575e+03
2.1822313964e-01 2.4547812261e+03
2.2184057534e-01 2.3610660028e+03
2.2545801103e-01 2.2754228348e+03
2.2907543182e-01 2.1989472213e+03
2.3269286752e-01 2.1318987404e+03
2.3631030321e-01 2.0736410111e+03
2.3992773890e-01 2.0228739688e+03
2.4354517460e-01 1.9780252022e+03
2.4716261029e-01 1.9373511495e+03
2.5078004599e-01 1.8988986576e+03
2.5439748168e-01 1.8608062608e+03
2.5801491737e-01 1.8217404795e+03
2.6163235307e-01 1.7809595257e+03
2.6524978876e-01 1.7381386209e+03
2.6886722445e-01 1.6933407919e+03
2.7248466015e-01 1.6470493353e+03
2.7610209584e-01 1.6000546674e+03
2.7971953154e-01 1.5533065377e+03
2.8333693743e-01 1.5078003358e+03
2.8695437312e-01 1.4644157210e+03
2.9057180881e-01 1.4237696501e+03
2.9418924451e-01 1.3862065974e+03
2.9780668020e-01 1.3518433799e+03
3.0142411590e-01 1.3205713306e+03
3.0504155159e-01 1.2920579286e+03
3.0865898728e-01 1.2657977366e+03
3.1227642298e-01 1.2411949877e+03
