z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.67067        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0298974606e-06 4.9191577979e+01
7.5145258052e-06 5.2442683151e+01
8.0325635281e-06 5.5908654569e+01
8.5863139248e-06 5.9603691467e+01
9.1782385425e-06 6.3542927553e+01
9.8109694591e-06 6.7742501826e+01
1.0487319742e-05 7.2219616322e+01
1.1210296179e-05 7.6992608029e+01
1.1983113836e-05 8.2081031703e+01
1.2809206964e-05 8.7505717523e+01
1.3692250832e-05 9.3288898994e+01
1.4636168999e-05 9.9454244176e+01
1.5645160602e-05 1.0602701663e+02
1.6723708541e-05 1.1303410991e+02
1.7876611309e-05 1.2050423453e+02
1.9108991182e-05 1.2846794936e+02
2.0426330593e-05 1.3695787392e+02
2.1834483050e-05 1.4600873381e+02
2.3339713152e-05 1.5565759158e+02
2.4948709324e-05 1.6594389958e+02
2.6668629289e-05 1.7690976020e+02
2.8507114621e-05 1.8859998534e+02
3.0472343497e-05 2.0106239636e+02
3.2573050703e-05 2.1434791206e+02
3.4818578570e-05 2.2851082926e+02
3.7218906073e-05 2.4360896108e+02
3.9784710680e-05 2.5970397710e+02
4.2527393816e-05 2.7686150960e+02
4.5459153625e-05 2.9515155138e+02
4.8593024985e-05 3.1464864196e+02
5.1942937716e-05 3.3543216166e+02
5.5523789342e-05 3.5758670845e+02
5.9351499658e-05 3.8120235411e+02
6.3443083491e-05 4.0637500497e+02
6.7816734372e-05 4.3320682056e+02
7.2491893661e-05 4.6180653291e+02
7.7489348769e-05 4.9228993420e+02
8.2831327745e-05 5.2478033052e+02
8.8541564764e-05 5.5940880798e+02
9.4645460194e-05 5.9631506206e+02
1.0117013881e-04 6.3564759635e+02
1.0814462439e-04 6.7756461421e+02
1.1559991981e-04 7.2223432715e+02
1.2356915977e-04 7.6983569122e+02
1.3208779274e-04 8.2055930376e+02
1.4119368279e-04 8.7460781097e+02
1.5092732792e-04 9.3219699854e+02
1.6133197642e-04 9.9355626521e+02
1.7245390336e-04 1.0589300305e+03
1.8434255617e-04 1.1285783520e+03
1.9705080194e-04 1.2027781263e+03
2.1063511667e-04 1.2818239272e+03
2.2515591991e-04 1.3660296657e+03
2.4067774939e-04 1.4557292844e+03
2.5726962485e-04 1.5512785125e+03
2.7500532451e-04 1.6530560639e+03
2.9396370519e-04 1.7614650340e+03
3.1422902248e-04 1.8769342323e+03
3.3589138184e-04 1.9999201874e+03
3.5904711694e-04 2.1309086450e+03
3.8379916805e-04 2.2704159701e+03
4.1025757673e-04 2.4189910940e+03
4.3854000978e-04 2.5772174868e+03
4.6877213754e-04 2.7457141631e+03
5.0108844880e-04 2.9251389446e+03
5.3563254187e-04 3.1161885862e+03
5.7255808497e-04 3.3196023683e+03
6.1202916550e-04 3.5361619984e+03
6.5422133775e-04 3.7666950009e+03
6.9932214683e-04 4.0120747757e+03
7.4753217632e-04 4.2732229870e+03
7.9906563042e-04 4.5511087545e+03
8.5415178910e-04 4.8467517574e+03
9.1303541558e-04 5.1612186809e+03
9.7597844433e-04 5.4956253201e+03
1.0432605632e-03 5.8511312434e+03
1.1151810177e-03 6.2289391078e+03
1.1920596007e-03 6.6302873639e+03
1.2742379913e-03 7.0564420901e+03
1.3620816171e-03 7.5086882543e+03
1.4559810516e-03 7.9883146648e+03
1.5563537599e-03 8.4965962809e+03
1.6636458458e-03 9.0347715301e+03
1.7783346120e-03 9.6040182899e+03
1.9009297248e-03 1.0205417314e+04
2.0319763571e-03 1.0839920198e+04
2.1720570512e-03 1.1508306373e+04
2.3217946291e-03 1.2211141973e+04
2.4818549864e-03 1.2948736772e+04
2.6529494207e-03 1.3721100244e+04
2.8358388227e-03 1.4527910106e+04
3.0313364696e-03 1.5368480828e+04
3.2403112855e-03 1.6241742877e+04
3.4636922646e-03 1.7146236036e+04
3.7024728954e-03 1.8080110650e+04
3.9577148855e-03 1.9041132023e+04
4.2305523530e-03 2.0026689494e+04
4.5221988112e-03 2.1033813733e+04
4.8339506611e-03 2.2059175167e+04
5.1671946421e-03 2.3099087263e+04
5.5234115571e-03 2.4149486390e+04
5.9041851200e-03 2.5205916159e+04
6.3112089410e-03 2.6263493087e+04
6.7462921143e-03 2.7316857943e+04
7.2113694623e-03 2.8360128466e+04
7.7085080557e-03 2.9386831220e+04
8.2399183884e-03 3.0389831497e+04
8.8079627603e-03 3.1361241675e+04
9.4151683152e-03 3.2292320389e+04
1.0064232163e-02 3.3173340222e+04
1.0758042335e-02 3.3993463237e+04
1.1499681510e-02 3.4740586729e+04
1.2292448431e-02 3.5401234043e+04
1.3139867224e-02 3.5960503498e+04
1.4045706019e-02 3.6402183156e+04
1.5013990924e-02 3.6709137182e+04
1.6049027443e-02 3.6864113975e+04
1.7155418172e-02 3.6851093893e+04
1.8338082358e-02 3.6657205673e+04
1.9602276385e-02 3.6275028816e+04
2.0953619853e-02 3.5704812234e+04
2.2398125380e-02 3.4955901146e+04
2.3942209780e-02 3.4046685865e+04
2.5592742488e-02 3.3002726769e+04
2.7357058600e-02 3.1853441055e+04
2.9243005440e-02 3.0628257283e+04
3.1258963049e-02 2.9353378481e+04
3.3413898200e-02 2.8049867470e+04
3.5717394203e-02 2.6733235566e+04
3.8179684430e-02 2.5414156734e+04
4.0811721235e-02 2.4099731725e+04
4.3625205755e-02 2.2794849533e+04
4.6448014677e-02 2.1579724724e+04
4.9270823598e-02 2.0449667234e+04
5.2093628794e-02 1.9396731699e+04
5.4916437715e-02 1.8414082305e+04
5.7739246637e-02 1.7495800794e+04
6.0562051833e-02 1.6636695450e+04
6.3384860754e-02 1.5832153920e+04
6.6207669675e-02 1.5078044759e+04
6.9030478597e-02 1.4370624153e+04
7.1853287518e-02 1.3706483865e+04
7.4676088989e-02 1.3082509395e+04
7.7498897910e-02 1.2495835723e+04
8.0321706832e-02 1.1943832414e+04
8.3144515753e-02 1.1424075403e+04
8.5967324674e-02 1.0934328149e+04
8.8790133596e-02 1.0472526297e+04
9.1612935066e-02 1.0036764782e+04
9.5230370760e-02 9.5135980639e+03
9.8847806454e-02 9.0269211435e+03
1.0246524215e-01 8.5736654131e+03
1.0608267784e-01 8.1510525854e+03
1.0970010608e-01 7.7565662426e+03
1.1331754178e-01 7.3879224147e+03
1.1693497747e-01 7.0430508945e+03
1.2055241317e-01 6.7200707837e+03
1.2416984886e-01 6.4172723486e+03
1.2778727710e-01 6.1331005579e+03
1.3140471280e-01 5.8661375137e+03
1.3502214849e-01 5.6150922739e+03
1.3863958418e-01 5.3787862113e+03
1.4225701988e-01 5.1561426427e+03
1.4587445557e-01 4.9461769670e+03
1.4949189127e-01 4.7479878583e+03
1.5310931206e-01 4.5607500900e+03
1.5672674775e-01 4.3837044054e+03
1.6034418345e-01 4.2161557635e+03
1.6396161914e-01 4.0574644915e+03
1.6757905483e-01 3.9070419405e+03
1.7119649053e-01 3.7643458508e+03
1.7481392622e-01 3.6288761919e+03
1.7843136191e-01 3.5001714148e+03
1.8204879761e-01 3.3778050605e+03
1.8566623330e-01 3.2613827107e+03
1.8928365409e-01 3.1505396787e+03
1.9290108979e-01 3.0449367045e+03
1.9651852548e-01 2.9442604382e+03
2.0013596117e-01 2.8482195499e+03
2.0375339687e-01 2.7565433376e+03
2.0737083256e-01 2.6689800455e+03
2.1098826826e-01 2.5852953374e+03
2.1460570395e-01 2.5052709008e+03
2.1822313964e-01 2.4287031824e+03
2.2184057534e-01 2.3554022364e+03
2.2545801103e-01 2.2851906684e+03
2.2907543182e-01 2.2179029472e+03
2.3269286752e-01 2.1533834326e+03
2.3631030321e-01 2.0914872310e+03
2.3992773890e-01 2.0320783421e+03
2.4354517460e-01 1.9750292695e+03
2.4716261029e-01 1.9202204012e+03
2.5078004599e-01 1.8675394434e+03
2.5439748168e-01 1.8168809006e+03
2.5801491737e-01 1.7681455958e+03
2.6163235307e-01 1.7212402297e+03
2.6524978876e-01 1.6760769762e+03
2.6886722445e-01 1.6325731073e+03
2.7248466015e-01 1.5906506481e+03
2.7610209584e-01 1.5502360593e+03
2.7971953154e-01 1.5112599418e+03
2.8333693743e-01 1.4736570693e+03
2.8695437312e-01 1.4373649091e+03
2.9057180881e-01 1.4023252468e+03
2.9418924451e-01 1.3684827198e+03
2.9780668020e-01 1.3357849332e+03
3.0142411590e-01 1.3041822735e+03
3.0504155159e-01 1.2736277357e+03
3.0865898728e-01 1.2440767633e+03
3.1227642298e-01 1.2154870989e+03
3.1589385867e-01 1.1878186452e+03
3.1951129436e-01 1.1610333361e+03
3.2312873006e-01 1.1350950159e+03
3.2674616575e-01 1.1099693270e+03
3.3036360145e-01 1.0856236056e+03
3.3398103714e-01 1.0620267833e+03
3.3759847283e-01 1.0391492959e+03
3.4121590853e-01 1.0169629984e+03
3.4483334422e-01 9.9544108483e+02
3.4845077992e-01 9.7455801327e+02
3.5206821561e-01 9.5428943648e+02
3.5568562150e-01 9.3461229581e+02
3.5930305719e-01 9.1550411614e+02
3.6292049289e-01 8.9694392090e+02
3.6653792858e-01 8.7891152482e+02
3.7015536428e-01 8.6138764765e+02
3.7377279997e-01 8.4435386663e+02
3.7739023566e-01 8.2779257170e+02
3.8100767136e-01 8.1168692323e+02
3.8462510705e-01 7.9602081263e+02
3.8824254274e-01 7.8077882497e+02
3.9185997844e-01 7.6594620383e+02
3.9547741413e-01 7.5150881832e+02
3.9909484982e-01 7.3745313192e+02
4.0271228552e-01 7.2376617299e+02
4.0632972121e-01 7.1043550718e+02
4.0994715691e-01 6.9744921119e+02
4.1356459260e-01 6.8479584805e+02
4.1718202829e-01 6.7246444387e+02
4.2079946399e-01 6.6044446574e+02
4.2441689968e-01 6.4872580084e+02
4.2803430557e-01 6.3729882976e+02
4.3165174127e-01 6.2615403370e+02
4.3526917696e-01 6.1528254147e+02
4.3888661265e-01 6.0467573393e+02
4.4250404835e-01 5.9432532354e+02
4.4612148404e-01 5.8422333923e+02
4.4973891974e-01 5.7436211226e+02
4.5335635543e-01 5.6473426270e+02
4.5697379112e-01 5.5533268661e+02
4.6059122682e-01 5.4615054387e+02
4.6420866251e-01 5.3718124670e+02
4.6782609820e-01 5.2841844865e+02
4.7144353390e-01 5.1985603420e+02
4.7506096959e-01 5.1148810886e+02
4.7867840528e-01 5.0330898976e+02
4.8229584098e-01 4.9531319670e+02
4.8591327667e-01 4.8749544366e+02
4.8953071237e-01 4.7985063064e+02
4.9314814806e-01 4.7237383598e+02
4.9676558375e-01 4.6506030903e+02
5.0038301945e-01 4.5790546311e+02
5.0400042534e-01 4.5090492591e+02
5.0761789083e-01 4.4405424786e+02
5.1123529673e-01 4.3734952126e+02
5.1485276222e-01 4.3078653069e+02
5.1847016811e-01 4.2436163167e+02
5.2208763361e-01 4.1807087993e+02
5.2570503950e-01 4.1191087362e+02
5.2932250500e-01 4.0587791898e+02
5.3293991089e-01 3.9996883807e+02
5.3655731678e-01 3.9418026325e+02
5.4017478228e-01 3.8850894014e+02
5.4379218817e-01 3.8295199508e+02
5.4740965366e-01 3.7750628177e+02
5.5102705955e-01 3.7216911044e+02
5.5464452505e-01 3.6693752623e+02
5.5826193094e-01 3.6180900960e+02
