z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 4.9403402933e+01
7.5084535638e-06 5.2668567250e+01
8.0260824689e-06 5.6149533260e+01
8.5793963080e-06 5.9860558509e+01
9.1708561740e-06 6.3816852079e+01
9.8030895970e-06 6.8034606213e+01
1.0478909644e-05 7.2531112132e+01
1.1201320376e-05 7.7324783687e+01
1.1973534129e-05 8.2435258884e+01
1.2798983334e-05 8.7883463806e+01
1.3681338714e-05 9.3691717185e+01
1.4624522919e-05 9.9883803761e+01
1.5632729628e-05 1.0648508221e+02
1.6710442651e-05 1.1352259136e+02
1.7862452296e-05 1.2102513703e+02
1.9093880837e-05 1.2902343644e+02
2.0410201614e-05 1.3755021908e+02
2.1817271772e-05 1.4664041399e+02
2.3321343178e-05 1.5633119346e+02
2.4929104256e-05 1.6666221425e+02
2.6647703635e-05 1.7767573846e+02
2.8484782888e-05 1.8941681009e+02
3.0448509278e-05 2.0193342841e+02
3.2547613955e-05 2.1527675278e+02
3.4791428334e-05 2.2950129193e+02
3.7189933209e-05 2.4466516982e+02
3.9753787860e-05 2.6083026036e+02
4.2494393711e-05 2.7806253570e+02
4.5423934353e-05 2.9643225947e+02
4.8555437388e-05 3.1601431152e+02
5.1902825362e-05 3.3688843753e+02
5.5480977608e-05 3.5913955995e+02
5.9305806644e-05 3.8285817159e+02
6.3394320023e-05 4.0814062986e+02
6.7764689447e-05 4.3508948788e+02
7.2436356277e-05 4.6381404001e+02
7.7430078818e-05 4.9443049827e+02
8.2768070570e-05 5.2706271739e+02
8.8474058430e-05 5.6184241668e+02
9.4573413662e-05 5.9890983625e+02
1.0109325376e-04 6.3841420282e+02
1.0806257342e-04 6.8051436057e+02
1.1551235366e-04 7.2537925794e+02
1.2347570737e-04 7.7318864345e+02
1.3198806846e-04 8.2413401033e+02
1.4108725009e-04 8.7841874533e+02
1.5081373567e-04 9.3625966011e+02
1.6121075896e-04 9.9788724834e+02
1.7232455139e-04 1.0635469285e+03
1.8420451670e-04 1.1334998382e+03
1.9690347835e-04 1.2080240404e+03
2.1047789778e-04 1.2874155359e+03
2.2498813632e-04 1.3719895045e+03
2.4049870262e-04 1.4620814292e+03
2.5707855821e-04 1.5580485192e+03
2.7480142307e-04 1.6602710847e+03
2.9374609585e-04 1.7691539394e+03
3.1399680302e-04 1.8851279051e+03
3.3564359182e-04 2.0086514911e+03
3.5878267954e-04 2.1402122361e+03
3.8351697731e-04 2.2803289449e+03
4.0995643940e-04 2.4295528141e+03
4.3821861618e-04 2.5884695820e+03
4.6842917800e-04 2.7577013533e+03
5.0072243903e-04 2.9379082421e+03
5.3524202667e-04 3.1297906123e+03
5.7214131812e-04 3.3340897677e+03
6.1158445897e-04 3.5515915674e+03
6.5374677069e-04 3.7831262783e+03
6.9881574018e-04 4.0295712035e+03
7.4699171819e-04 4.2918511566e+03
7.9848896712e-04 4.5709401804e+03
