z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 5.0705826752e+01
7.5084535638e-06 5.4057100291e+01
8.0260824689e-06 5.7629876593e+01
8.5793963080e-06 6.1438777114e+01
9.1708561740e-06 6.5499419571e+01
9.8030895970e-06 6.9828450545e+01
1.0478909644e-05 7.4443578082e+01
1.1201320376e-05 7.9363734725e+01
1.1973534129e-05 8.4609070263e+01
1.2798983334e-05 9.0201089395e+01
1.3681338714e-05 9.6162673470e+01
1.4624522919e-05 1.0251828336e+02
1.5632729628e-05 1.0929390150e+02
1.6710442651e-05 1.1651736517e+02
1.7862452296e-05 1.2421823609e+02
1.9093880837e-05 1.3242803226e+02
2.0410201614e-05 1.4118040188e+02
2.1817271772e-05 1.5051121027e+02
2.3321343178e-05 1.6045869928e+02
2.4929104256e-05 1.7106355973e+02
2.6647703635e-05 1.8236930822e+02
2.8484782888e-05 1.9442217116e+02
3.0448509278e-05 2.0727154850e+02
3.2547613955e-05 2.2097010067e+02
3.4791428334e-05 2.3557385003e+02
3.7189933209e-05 2.5114264455e+02
3.9753787860e-05 2.6774027379e+02
4.2494393711e-05 2.8543464276e+02
4.5423934353e-05 3.0429814868e+02
4.8555437388e-05 3.2440799980e+02
5.1902825362e-05 3.4584656318e+02
5.5480977608e-05 3.6870150961e+02
5.9305806644e-05 3.9306642219e+02
6.3394320023e-05 4.1904079642e+02
6.7764689447e-05 4.4673093853e+02
7.2436356277e-05 4.7625005252e+02
7.7430078818e-05 5.0771867484e+02
8.2768070570e-05 5.4126554387e+02
8.8474058430e-05 5.7702739706e+02
9.4573413662e-05 6.1515024609e+02
1.0109325376e-04 6.5578966676e+02
1.0806257342e-04 6.9911108875e+02
1.1551235366e-04 7.4529136069e+02
1.2347570737e-04 7.9451782273e+02
1.3198806846e-04 8.4699114675e+02
1.4108725009e-04 9.0292400324e+02
1.5081373567e-04 9.6254355369e+02
1.6121075896e-04 1.0260910449e+03
1.7232455139e-04 1.0938233161e+03
