z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 4.9281468247e+01
7.5084535638e-06 5.2538573706e+01
8.0260824689e-06 5.6010948236e+01
8.5793963080e-06 5.9712814195e+01
9.1708561740e-06 6.3659343129e+01
9.8030895970e-06 6.7866687319e+01
1.0478909644e-05 7.2352095314e+01
1.1201320376e-05 7.7133935521e+01
1.1973534129e-05 8.2231797482e+01
1.2798983334e-05 8.7666555639e+01
1.3681338714e-05 9.3460473645e+01
1.4624522919e-05 9.9637277546e+01
1.5632729628e-05 1.0622226344e+02
1.6710442651e-05 1.1324240343e+02
1.7862452296e-05 1.2072643227e+02
1.9093880837e-05 1.2870499137e+02
2.0410201614e-05 1.3721072947e+02
2.1817271772e-05 1.4627848945e+02
2.3321343178e-05 1.5594535185e+02
2.4929104256e-05 1.6625087564e+02
2.6647703635e-05 1.7723721865e+02
2.8484782888e-05 1.8894931377e+02
3.0448509278e-05 2.0143504191e+02
3.2547613955e-05 2.1474543623e+02
3.4791428334e-05 2.2893487106e+02
3.7189933209e-05 2.4406132708e+02
3.9753787860e-05 2.6018652564e+02
4.2494393711e-05 2.7737627629e+02
4.5423934353e-05 2.9570066953e+02
4.8555437388e-05 3.1523440072e+02
5.1902825362e-05 3.3605701910e+02
5.5480977608e-05 3.5825323802e+02
5.9305806644e-05 3.8191332752e+02
6.3394320023e-05 4.0713340792e+02
6.7764689447e-05 4.3401578007e+02
7.2436356277e-05 4.6266946961e+02
7.7430078818e-05 4.9321040301e+02
8.2768070570e-05 5.2576213082e+02
8.8474058430e-05 5.6045604906e+02
9.4573413662e-05 5.9743205393e+02
1.0109325376e-04 6.3683900648e+02
1.0806257342e-04 6.7883536200e+02
1.1551235366e-04 7.2358965574e+02
1.2347570737e-04 7.7128119714e+02
1.3198806846e-04 8.2210101222e+02
1.4108725009e-04 8.7625199223e+02
1.5081373567e-04 9.3395042141e+02
1.6121075896e-04 9.9542623372e+02
1.7232455139e-04 1.0609242528e+03
1.8420451670e-04 1.1307049846e+03
1.9690347835e-04 1.2050458211e+03
2.1047789778e-04 1.2842420505e+03
2.2498813632e-04 1.3686080960e+03
2.4049870262e-04 1.4584786375e+03
2.5707855821e-04 1.5542100323e+03
2.7480142307e-04 1.6561816865e+03
2.9374609585e-04 1.7647974553e+03
3.1399680302e-04 1.8804871452e+03
3.3564359182e-04 2.0037081898e+03
3.5878267954e-04 2.1349469902e+03
3.8351697731e-04 2.2747211478e+03
4.0995643940e-04 2.4235805889e+03
4.3821861618e-04 2.5821097116e+03
4.6842917800e-04 2.7509292086e+03
5.0072243903e-04 2.9306977088e+03
5.3524202667e-04 3.1221140160e+03
5.7214131812e-04 3.3259178009e+03
6.1158445897e-04 3.5428932125e+03
6.5374677069e-04 3.7738687361e+03
6.9881574018e-04 4.0197198213e+03
7.4699171819e-04 4.2813693623e+03
7.9848896712e-04 4.5597894205e+03
8.5353635950e-04 4.8560002368e+03
9.1237871675e-04 5.1710717033e+03
9.7527762409e-04 5.5061207700e+03
1.0425128276e-03 5.8623104565e+03
1.1143831070e-03 6.2408442113e+03
1.1912080226e-03 6.6429626286e+03
1.2733293697e-03 7.0699358255e+03
1.3611119939e-03 7.5230492253e+03
1.4549463522e-03 8.0035945411e+03
1.5552496770e-03 8.5128490033e+03
1.6624677228e-03 9.0520526416e+03
1.7770774430e-03 9.6223848137e+03
1.8995882710e-03 1.0224928115e+04
2.0305449143e-03 1.0860634555e+04
2.1705296822e-03 1.1530284744e+04
2.3201648146e-03 1.2234443884e+04
2.4801157415e-03 1.2973420900e+04
2.6510935277e-03 1.3747224919e+04
2.8338585980e-03 1.4555531617e+04
3.0292235315e-03 1.5397651827e+04
3.2380565535e-03 1.6272511872e+04
3.4612864256e-03 1.7178648793e+04
3.6999057047e-03 1.8114206807e+04
3.9549754001e-03 1.9076945659e+04
4.2276293971e-03 2.0064250362e+04
4.5190798119e-03 2.1073142597e+04
4.8306230456e-03 2.2100288252e+04
5.1636435091e-03 2.3141988137e+04
5.5196224712e-03 2.4194174414e+04
5.9001427144e-03 2.5252381112e+04
6.3068955205e-03 2.6311710849e+04
6.7416895181e-03 2.7366794867e+04
7.2064581327e-03 2.8411737882e+04
7.7032675035e-03 2.9440053303e+04
8.2343267277e-03 3.0444590801e+04
8.8019976392e-03 3.1417447054e+04
9.4088027254e-03 3.2349856337e+04
1.0057440028e-02 3.3232073968e+04
1.0750794783e-02 3.4053236340e+04
1.1491949670e-02 3.4801215634e+04
1.2284198776e-02 3.5462502540e+04
1.3131065294e-02 3.6022164406e+04
1.4036313631e-02 3.6463955259e+04
1.5003969893e-02 3.6770708343e+04
1.6038335860e-02 3.6925144307e+04
1.7144011334e-02 3.6911226697e+04
1.8325909972e-02 3.6716084278e+04
1.9589288160e-02 3.6332317045e+04
2.0939763635e-02 3.5760216475e+04
2.2383341566e-02 3.5009192456e+04
2.3926436901e-02 3.4097708254e+04
2.5575913489e-02 3.3051397483e+04
2.7339102700e-02 3.1899736724e+04
2.9223846272e-02 3.0672195932e+04
3.1238524243e-02 2.9394996647e+04
3.3392090350e-02 2.8089213628e+04
3.5694126040e-02 2.6770354423e+04
3.8154859096e-02 2.5449088802e+04
4.0785238147e-02 2.4132513358e+04
4.3596949428e-02 2.2825520950e+04
4.6417929232e-02 2.1608471018e+04
4.9238909036e-02 2.0476638753e+04
5.2059888840e-02 1.9422063078e+04
5.4880868644e-02 1.8437898855e+04
5.7701844722e-02 1.7518217059e+04
6.0522824526e-02 1.6657813105e+04
6.3343808055e-02 1.5852068324e+04
6.6164784133e-02 1.5096845351e+04
6.8985760212e-02 1.4388391160e+04
7.1806743741e-02 1.3723289078e+04
7.4627719820e-02 1.3098420521e+04
7.7448703349e-02 1.2510915008e+04
8.0269679427e-02 1.1958138397e+04
8.3090662956e-02 1.1437659096e+04
8.5911639035e-02 1.0947239155e+04
8.8732615113e-02 1.0484808934e+04
9.1553598642e-02 1.0048457636e+04
9.5167994499e-02 9.5246893116e+03
9.8782390356e-02 9.0374531959e+03
1.0239678621e-01 8.5836769672e+03
1.0601118952e-01 8.1605781590e+03
1.0962558538e-01 7.7656383113e+03
1.1323998123e-01 7.3965714734e+03
1.1685437709e-01 7.0513041635e+03
1.2046877295e-01 6.7279532845e+03
1.2408316881e-01 6.4248071145e+03
1.2769757211e-01 6.1403076861e+03
1.3131196797e-01 5.8730378062e+03
1.3492636383e-01 5.6217038405e+03
1.3854075968e-01 5.3851258123e+03
1.4215515554e-01 5.1622258093e+03
1.4576955140e-01 4.9520181081e+03
1.4938394725e-01 4.7536003580e+03
1.5299834311e-01 4.5661456453e+03
1.5661273897e-01 4.3888953940e+03
1.6022713482e-01 4.2211529828e+03
1.6384153068e-01 4.0622780152e+03
1.6745594144e-01 3.9116805724e+03
1.7107033730e-01 3.7688190229e+03
