z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
2.2000000000e+00        0.022445000000000007        0.67134        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0242085712e-06 5.0503267044e+01
7.5084535638e-06 5.3841164582e+01
8.0260824689e-06 5.7399660716e+01
8.5793963080e-06 6.1193354535e+01
9.1708561740e-06 6.5237781741e+01
9.8030895970e-06 6.9549512508e+01
1.0478909644e-05 7.4146216718e+01
1.1201320376e-05 7.9046710559e+01
1.1973534129e-05 8.4271105637e+01
1.2798983334e-05 8.9840781018e+01
1.3681338714e-05 9.5778569619e+01
1.4624522919e-05 1.0210878617e+02
1.5632729628e-05 1.0885736699e+02
1.6710442651e-05 1.1605198186e+02
1.7862452296e-05 1.2372208057e+02
1.9093880837e-05 1.3189909800e+02
2.0410201614e-05 1.4061653796e+02
2.1817271772e-05 1.4991010367e+02
2.3321343178e-05 1.5981789348e+02
2.4929104256e-05 1.7038040089e+02
2.6647703635e-05 1.8164101774e+02
2.8484782888e-05 1.9364581993e+02
3.0448509278e-05 2.0644395881e+02
3.2547613955e-05 2.2008786622e+02
3.4791428334e-05 2.3463338494e+02
3.7189933209e-05 2.5014016015e+02
3.9753787860e-05 2.6667158347e+02
4.2494393711e-05 2.8429542674e+02
4.5423934353e-05 3.0308378606e+02
4.8555437388e-05 3.2311365961e+02
5.1902825362e-05 3.4446692903e+02
5.5480977608e-05 3.6723103040e+02
5.9305806644e-05 3.9149904749e+02
6.3394320023e-05 4.1737028949e+02
6.7764689447e-05 4.4495062659e+02
7.2436356277e-05 4.7435275088e+02
7.7430078818e-05 5.0569681010e+02
8.2768070570e-05 5.3911100408e+02
8.8474058430e-05 5.7473162206e+02
9.4573413662e-05 6.1270427279e+02
1.0109325376e-04 6.5318373550e+02
1.0806257342e-04 6.9633515275e+02
1.1551235366e-04 7.4233440325e+02
1.2347570737e-04 7.9136877283e+02
1.3198806846e-04 8.4363777458e+02
1.4108725009e-04 8.9935381987e+02
1.5081373567e-04 9.5874303846e+02
1.6121075896e-04 1.0220462477e+03
1.7232455139e-04 1.0895199219e+03
1.8420451670e-04 1.1614362666e+03
1.9690347835e-04 1.2380859775e+03
2.1047789778e-04 1.3197768983e+03
2.2498813632e-04 1.4068369283e+03
2.4049870262e-04 1.4996152899e+03
2.5707855821e-04 1.5984817832e+03
2.7480142307e-04 1.7038293208e+03
2.9374609585e-04 1.8160748224e+03
3.1399680302e-04 1.9356601096e+03
3.3564359182e-04 2.0630548882e+03
3.5878267954e-04 2.1987539148e+03
3.8351697731e-04 2.3432826634e+03
4.0995643940e-04 2.4971947903e+03
4.3821861618e-04 2.6610764584e+03
4.6842917800e-04 2.8355436532e+03
5.0072243903e-04 3.0212465070e+03
5.3524202667e-04 3.2188670625e+03
5.7214131812e-04 3.4291216581e+03
6.1158445897e-04 3.6527585425e+03
6.5374677069e-04 3.8905632425e+03
6.9881574018e-04 4.1433520024e+03
7.4699171819e-04 4.4119735729e+03
7.9848896712e-04 4.6973110008e+03
8.5353635950e-04 5.0002732784e+03
9.1237871675e-04 5.3218033960e+03
9.7527762409e-04 5.6628652195e+03
1.0425128276e-03 6.0244491570e+03
1.1143831070e-03 6.4075626153e+03
1.1912080226e-03 6.8132297022e+03
1.2733293697e-03 7.2424828754e+03
1.3611119939e-03 7.6963534000e+03
1.4549463522e-03 8.1758713481e+03
1.5552496770e-03 8.6820441267e+03
1.6624677228e-03 9.2158511094e+03
1.7770774430e-03 9.7782221645e+03
1.8995882710e-03 1.0370028708e+04
2.0305449143e-03 1.0992058652e+04
2.1705296822e-03 1.1645000303e+04
2.3201648146e-03 1.2329425061e+04
2.4801157415e-03 1.3045763563e+04
2.6510935277e-03 1.3794294951e+04
2.8338585980e-03 1.4575109883e+04
