z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1105105709e+01
7.5206098700e-06 5.4479168996e+01
8.0390564108e-06 5.8075975946e+01
8.5932442744e-06 6.1910260266e+01
9.1856354629e-06 6.5997690513e+01
9.8188638731e-06 7.0354957869e+01
1.0495745300e-05 7.4999916586e+01
1.1219289263e-05 7.9951540102e+01
1.1992711734e-05 8.5230061480e+01
1.2819450603e-05 9.0857083139e+01
1.3703183868e-05 9.6855594405e+01
1.4647837816e-05 1.0325012951e+02
1.5657613403e-05 1.1006684662e+02
1.6736999896e-05 1.1733358922e+02
1.7890795789e-05 1.2508007930e+02
1.9124130631e-05 1.3333798753e+02
2.0442488676e-05 1.4214105617e+02
2.1851728889e-05 1.5152530972e+02
2.3358117687e-05 1.6152908129e+02
2.4968352591e-05 1.7219323201e+02
2.6689593142e-05 1.8356140561e+02
2.8529490010e-05 1.9568008987e+02
3.0496221370e-05 2.0859872193e+02
3.2598534744e-05 2.2237014476e+02
3.4845776099e-05 2.3705069495e+02
3.7247933506e-05 2.5270034311e+02
3.9815688069e-05 2.6938288704e+02
4.2560455768e-05 2.8716665395e+02
4.5494442020e-05 3.0612425462e+02
4.8630685342e-05 3.2633305751e+02
5.1983130106e-05 3.4787557488e+02
5.5566681112e-05 3.7083990177e+02
5.9397272707e-05 3.9531964573e+02
6.3491934270e-05 4.2141473440e+02
6.7868866609e-05 4.4923173151e+02
7.2547532909e-05 4.7888394223e+02
7.7548735135e-05 5.1049236116e+02
8.2894701336e-05 5.4418588303e+02
8.8609194791e-05 5.8010151333e+02
9.4717637694e-05 6.1838566748e+02
1.0124716937e-04 6.5919420591e+02
1.0822682816e-04 7.0269278519e+02
1.1568764603e-04 7.4905850829e+02
1.2366278679e-04 7.9847936276e+02
1.3218770619e-04 8.5115576566e+02
1.4130031923e-04 9.0730105514e+02
1.5104110935e-04 9.6714247354e+02
1.6145341215e-04 1.0309217292e+03
1.7258350272e-04 1.0988959795e+03
1.8448085757e-04 1.1713387439e+03
1.9719838747e-04 1.2485408869e+03
2.1079262660e-04 1.3308117420e+03
2.2532400908e-04 1.4184796727e+03
2.4085713085e-04 1.5118935481e+03
2.5746106985e-04 1.6114247086e+03
2.7520960430e-04 1.7174651402e+03
2.9418169288e-04 1.8304332328e+03
3.1446164940e-04 1.9507697073e+03
3.3613966662e-04 2.0789430931e+03
3.5931204911e-04 2.2154481829e+03
3.8408191176e-04 2.3608085611e+03
4.1055929614e-04 2.5155766035e+03
4.3886195635e-04 2.6803357247e+03
4.6911570826e-04 2.8557007990e+03
5.0145509886e-04 3.0423187229e+03
5.3602381376e-04 3.2408678526e+03
5.7297560852e-04 3.4520627796e+03
6.1247474514e-04 3.6766512408e+03
6.5469677793e-04 3.9154124329e+03
6.9982954301e-04 4.1691645969e+03
7.4807356577e-04 4.4387565912e+03
7.9964339966e-04 4.7250715428e+03
8.5476832464e-04 5.0290257244e+03
9.1369333677e-04 5.3515643405e+03
9.7668042872e-04 5.6936620893e+03
