z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0125000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9641528551e+01
7.5206098700e-06 5.2918922493e+01
8.0390564108e-06 5.6412686948e+01
8.5932442744e-06 6.0137118686e+01
9.1856354629e-06 6.4107431307e+01
9.8188638731e-06 6.8339856955e+01
1.0495745300e-05 7.2851701066e+01
1.1219289263e-05 7.7661408384e+01
1.1992711734e-05 8.2788634011e+01
1.2819450603e-05 8.8254331340e+01
1.3703183868e-05 9.4080856287e+01
1.4647837816e-05 1.0029200442e+02
1.5657613403e-05 1.0691316666e+02
1.6736999896e-05 1.1397139925e+02
1.7890795789e-05 1.2149554014e+02
1.9124130631e-05 1.2951632915e+02
2.0442488676e-05 1.3806653817e+02
2.1851728889e-05 1.4718107543e+02
2.3358117687e-05 1.5689717020e+02
2.4968352591e-05 1.6725449570e+02
2.6689593142e-05 1.7829533652e+02
2.8529490010e-05 1.9006474129e+02
3.0496221370e-05 2.0261071889e+02
3.2598534744e-05 2.1598446555e+02
3.4845776099e-05 2.3024050692e+02
3.7247933506e-05 2.4543692898e+02
3.9815688069e-05 2.6163565003e+02
4.2560455768e-05 2.7890262980e+02
4.5494442020e-05 2.9730815357e+02
4.8630685342e-05 3.1692704170e+02
5.1983130106e-05 3.3783903498e+02
5.5566681112e-05 3.6012905839e+02
5.9397272707e-05 3.8388756797e+02
6.3491934270e-05 4.0921086652e+02
6.7868866609e-05 4.3620147799e+02
7.2547532909e-05 4.6496860152e+02
7.7548735135e-05 4.9562846486e+02
8.2894701336e-05 5.2830473480e+02
8.8609194791e-05 5.6312904954e+02
9.4717637694e-05 6.0024162669e+02
1.0124716937e-04 6.3979146132e+02
1.0822682816e-04 6.8193726406e+02
1.1568764603e-04 7.2684785576e+02
1.2366278679e-04 7.7470281608e+02
1.3218770619e-04 8.2569325108e+02
1.4130031923e-04 8.8002259135e+02
1.5104110935e-04 9.3790703256e+02
1.6145341215e-04 9.9957700347e+02
1.7258350272e-04 1.0652774512e+03
1.8448085757e-04 1.1352691494e+03
1.9719838747e-04 1.2098298122e+03
2.1079262660e-04 1.2892549293e+03
2.2532400908e-04 1.3738590888e+03
2.4085713085e-04 1.4639771789e+03
2.5746106985e-04 1.5599658878e+03
2.7520960430e-04 1.6622045659e+03
2.9418169288e-04 1.7710975445e+03
3.1446164940e-04 1.8870746255e+03
3.3613966662e-04 2.0105935045e+03
3.5931204911e-04 2.1421404388e+03
3.8408191176e-04 2.2822334654e+03
4.1055929614e-04 2.4314221960e+03
4.3886195635e-04 2.5902912733e+03
4.6911570826e-04 2.7594611968e+03
5.0145509886e-04 2.9395907697e+03
5.3602381376e-04 3.1313778673e+03
5.7297560852e-04 3.3355628640e+03
6.1247474514e-04 3.5529289997e+03
6.5469677793e-04 3.7843043220e+03
6.9982954301e-04 4.0305642857e+03
7.4807356577e-04 4.2926306243e+03
7.9964339966e-04 4.5714746465e+03
8.5476832464e-04 4.8681162141e+03
9.1369333677e-04 5.1836233129e+03
9.7668042872e-04 5.5191119426e+03
1.0440096958e-03 5.8757435354e+03
1.1159804417e-03 6.2547205230e+03
1.1929126922e-03 6.6572817844e+03
1.2751482427e-03 7.0846928961e+03
1.3630529866e-03 7.5382397597e+03
1.4570176136e-03 8.0192098565e+03
1.5574598219e-03 8.5288769131e+03
1.6648261808e-03 9.0684786954e+03
1.7795939930e-03 9.6391893901e+03
1.9022736233e-03 1.0242088743e+04
2.0334103610e-03 1.0878123549e+04
2.1735872142e-03 1.1548069134e+04
2.3234274704e-03 1.2252486376e+04
2.4835972581e-03 1.2991677469e+04
2.6548085734e-03 1.3765645134e+04
2.8378227726e-03 1.4574057829e+04
3.0334533658e-03 1.5416218359e+04
3.2425699755e-03 1.6291046160e+04
3.4661025274e-03 1.7197069487e+04
3.7050447427e-03 1.8132423027e+04
3.9604585618e-03 1.9094855541e+04
4.2334804311e-03 2.0081746597e+04
4.5253229327e-03 2.1090104359e+04
4.8372847959e-03 2.2116587828e+04
5.1707518287e-03 2.3157487882e+04
5.5272071622e-03 2.4208728858e+04
5.9082354419e-03 2.5265837834e+04
6.3155302778e-03 2.6323912947e+04
6.7509030923e-03 2.7377583478e+04
7.2162891738e-03 2.8420951778e+04
7.7137574553e-03 2.9447533579e+04
8.2455193624e-03 3.0450182845e+04
8.8139399886e-03 3.1421005915e+04
9.4215450808e-03 3.2351250746e+04
1.0071036406e-02 3.3231191793e+04
1.0765301995e-02 3.4049988996e+04
1.1507427320e-02 3.4795544963e+04
1.2300713919e-02 3.5454391640e+04
1.3148685917e-02 3.6011637882e+04
1.4055115171e-02 3.6451089127e+04
1.5024030581e-02 3.6755628967e+04
1.6059739515e-02 3.6908027004e+04
1.7166847363e-02 3.6892285649e+04
1.8350275233e-02 3.6695554681e+04
1.9615285099e-02 3.6310431681e+04
2.0967502147e-02 3.5737180947e+04
2.2412935272e-02 3.4985168950e+04
2.3958012462e-02 3.4072805647e+04
2.5609601289e-02 3.3025686809e+04
2.7375046164e-02 3.1873267982e+04
2.9262196273e-02 3.0645027386e+04
3.1279440969e-02 2.9367213925e+04
3.3435747027e-02 2.8060937055e+04
3.5740699619e-02 2.6741743405e+04
3.8204550743e-02 2.5420321604e+04
4.0838252753e-02 2.4103787093e+04
4.3653514236e-02 2.2797030494e+04
4.6478152275e-02 2.1580332712e+04
4.9302790314e-02 2.0448974887e+04
5.2127432078e-02 1.9394961488e+04
5.4952070117e-02 1.8411423536e+04
5.7776708156e-02 1.7492408299e+04
6.0601349920e-02 1.6632696032e+04
6.3425987959e-02 1.5827658062e+04
6.6250629723e-02 1.5073142258e+04
6.9075264037e-02 1.4365393216e+04
7.1899905801e-02 1.3700987219e+04
7.4724547565e-02 1.3076800113e+04
7.7549181879e-02 1.2489963258e+04
8.0373823643e-02 1.1937834503e+04
8.3198465407e-02 1.1417985443e+04
8.6023099720e-02 1.0928175747e+04
