z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7100000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.95904
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0881468734e+01
7.5206098700e-06 5.4240757416e+01
8.0390564108e-06 5.7821835968e+01
8.5932442744e-06 6.1639341481e+01
9.1856354629e-06 6.5708881404e+01
9.8188638731e-06 7.0047084613e+01
1.0495745300e-05 7.4671710369e+01
1.1219289263e-05 7.9601675552e+01
1.1992711734e-05 8.4857115951e+01
1.2819450603e-05 9.0459495209e+01
1.3703183868e-05 9.6431768262e+01
1.4647837816e-05 1.0279834047e+02
1.5657613403e-05 1.0958525149e+02
1.6736999896e-05 1.1682020931e+02
1.7890795789e-05 1.2453280814e+02
1.9124130631e-05 1.3275458295e+02
2.0442488676e-05 1.4151915919e+02
2.1851728889e-05 1.5086236863e+02
2.3358117687e-05 1.6082235826e+02
2.4968352591e-05 1.7143994443e+02
2.6689593142e-05 1.8275843576e+02
2.8529490010e-05 1.9482413706e+02
3.0496221370e-05 2.0768634935e+02
3.2598534744e-05 2.2139757413e+02
3.4845776099e-05 2.3601408537e+02
3.7247933506e-05 2.5159530305e+02
3.9815688069e-05 2.6820505973e+02
4.2560455768e-05 2.8591126005e+02
4.5494442020e-05 3.0478613954e+02
4.8630685342e-05 3.2490686382e+02
5.1983130106e-05 3.4635555585e+02
5.5566681112e-05 3.6921986793e+02
5.9397272707e-05 3.9359311789e+02
6.3491934270e-05 4.1957477937e+02
6.7868866609e-05 4.4727086317e+02
7.2547532909e-05 4.7679446201e+02
7.7548735135e-05 5.0826594119e+02
8.2894701336e-05 5.4181356504e+02
8.8609194791e-05 5.7757406897e+02
9.4717637694e-05 6.1569306804e+02
1.0124716937e-04 6.5632592852e+02
1.0822682816e-04 6.9963782242e+02
1.1568764603e-04 7.4580487150e+02
1.2366278679e-04 7.9501480094e+02
1.3218770619e-04 8.4746704832e+02
1.4130031923e-04 9.0337450686e+02
1.5104110935e-04 9.6296363436e+02
1.6145341215e-04 1.0264751069e+03
1.7258350272e-04 1.0941657801e+03
1.8448085757e-04 1.1663082532e+03
1.9719838747e-04 1.2431927755e+03
2.1079262660e-04 1.3251279007e+03
2.2532400908e-04 1.4124419028e+03
2.4085713085e-04 1.5054831028e+03
2.5746106985e-04 1.6046212856e+03
2.7520960430e-04 1.7102498788e+03
2.9418169288e-04 1.8227851899e+03
3.1446164940e-04 1.9426693482e+03
3.3613966662e-04 2.0703706317e+03
3.5931204911e-04 2.2063832490e+03
3.8408191176e-04 2.3512321333e+03
4.1055929614e-04 2.5054716350e+03
4.3886195635e-04 2.6696837784e+03
4.6911570826e-04 2.8444858886e+03
5.0145509886e-04 3.0305251434e+03
5.3602381376e-04 3.2284818423e+03
5.7297560852e-04 3.4390702782e+03
6.1247474514e-04 3.6630385188e+03
6.5469677793e-04 3.9011681897e+03
6.9982954301e-04 4.1542731661e+03
7.4807356577e-04 4.4232006627e+03
7.9964339966e-04 4.7088318875e+03
8.5476832464e-04 5.0120755046e+03
9.1369333677e-04 5.3338698129e+03
9.7668042872e-04 5.6751814392e+03
1.0440096958e-03 6.0370001083e+03
1.1159804417e-03 6.4203321054e+03
1.1929126922e-03 6.8262063782e+03
1.2751482427e-03 7.2556518742e+03
1.3630529866e-03 7.7097058214e+03
1.4570176136e-03 8.1893906302e+03
1.5574598219e-03 8.6957182517e+03
1.6648261808e-03 9.2296587990e+03
1.7795939930e-03 9.7921405474e+03
1.9022736233e-03 1.0384025529e+04
2.0334103610e-03 1.1006089487e+04
2.1735872142e-03 1.1659027101e+04
2.3234274704e-03 1.2343394466e+04
2.4835972581e-03 1.3059628262e+04
2.6548085734e-03 1.3808001308e+04
2.8378227726e-03 1.4588597279e+04
3.0334533658e-03 1.5401281944e+04
3.2425699755e-03 1.6245690096e+04
3.4661025274e-03 1.7121154073e+04
3.7050447427e-03 1.8026706378e+04
3.9604585618e-03 1.8961020403e+04
4.2334804311e-03 1.9922359882e+04
4.5253229327e-03 2.0908549251e+04
4.8372847959e-03 2.1917965554e+04
5.1707518287e-03 2.2945354663e+04
5.5272071622e-03 2.3987957031e+04
5.9082354419e-03 2.5041404096e+04
6.3155302778e-03 2.6100049503e+04
6.7509030923e-03 2.7159217883e+04
7.2162891738e-03 2.8211911868e+04
7.7137574553e-03 2.9251020782e+04
8.2455193624e-03 3.0267870261e+04
8.8139399886e-03 3.1253397199e+04
9.4215450808e-03 3.2197822018e+04
1.0071036406e-02 3.3090266899e+04
1.0765301995e-02 3.3919052131e+04
1.1507427320e-02 3.4671438116e+04
1.2300713919e-02 3.5333980984e+04
1.3148685917e-02 3.5892619760e+04
1.4055115171e-02 3.6332819305e+04
1.5024030581e-02 3.6639925942e+04
1.6059739515e-02 3.6799537021e+04
1.7166847363e-02 3.6797992510e+04
1.8350275233e-02 3.6622978160e+04
1.9615285099e-02 3.6264404097e+04
2.0967502147e-02 3.5715363603e+04
2.2412935272e-02 3.4973109330e+04
2.3958012462e-02 3.4040277059e+04
2.5609601289e-02 3.2925949071e+04
2.7375046164e-02 3.1646592014e+04
2.9262196273e-02 3.0226565926e+04
3.1279440969e-02 2.8698232321e+04
3.3435747027e-02 2.7101185415e+04
3.5740699619e-02 2.5480641372e+04
3.8204550743e-02 2.3884696194e+04
4.0838252753e-02 2.2360696284e+04
4.3653514236e-02 2.0950719977e+04
4.6478152275e-02 1.9757294205e+04
4.9302790314e-02 1.8764963400e+04
5.2127432078e-02 1.7943747317e+04
5.4952070117e-02 1.7258237258e+04
5.7776708156e-02 1.6671258626e+04
6.0601349920e-02 1.6146409077e+04
6.3425987959e-02 1.5650748342e+04
6.6250629723e-02 1.5156816902e+04
6.9075264037e-02 1.4644682548e+04
7.1899905801e-02 1.4100792457e+04
7.4724547565e-02 1.3519806213e+04
7.7549181879e-02 1.2906746091e+04
8.0373823643e-02 1.2267923493e+04
8.3198465407e-02 1.1615867959e+04
8.6023099720e-02 1.0967355560e+04
8.8847741485e-02 1.0340097618e+04
9.1672383249e-02 9.7483407641e+03
9.5292858779e-02 9.0565349934e+03
9.8913334310e-02 8.4522459852e+03
1.0253380984e-01 7.9449578384e+03
1.0615429282e-01 7.5341170741e+03
1.0977476835e-01 7.2075968414e+03
1.1339524388e-01 6.9483373553e+03
1.1701571941e-01 6.7385104976e+03
1.2063620240e-01 6.5588382099e+03
1.2425667793e-01 6.3900616098e+03
1.2787716091e-01 6.2164200619e+03
1.3149763644e-01 6.0268365817e+03
1.3511811197e-01 5.8137725268e+03
1.3873858750e-01 5.5767964452e+03
1.4235906303e-01 5.3214592497e+03
1.4597953856e-01 5.0565529725e+03
1.4960001409e-01 4.7913359628e+03
1.5322048962e-01 4.5350234243e+03
