z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1598982919e+01
7.5206098700e-06 5.5002133257e+01
8.0390564108e-06 5.8629715930e+01
8.5932442744e-06 6.2496554303e+01
9.1856354629e-06 6.6618429220e+01
9.8188638731e-06 7.1012140495e+01
1.0495745300e-05 7.5695638674e+01
1.1219289263e-05 8.0688025035e+01
1.1992711734e-05 8.6009678961e+01
1.2819450603e-05 9.1682297465e+01
1.3703183868e-05 9.7729044525e+01
1.4647837816e-05 1.0417456865e+02
1.5657613403e-05 1.1104521372e+02
1.6736999896e-05 1.1836896622e+02
1.7890795789e-05 1.2617574522e+02
1.9124130631e-05 1.3449737591e+02
2.0442488676e-05 1.4336781809e+02
2.1851728889e-05 1.5282328029e+02
2.3358117687e-05 1.6290232522e+02
2.4968352591e-05 1.7364601910e+02
2.6689593142e-05 1.8509824786e+02
2.8529490010e-05 1.9730577868e+02
3.0496221370e-05 2.1031827751e+02
3.2598534744e-05 2.2418888887e+02
3.4845776099e-05 2.3897420066e+02
3.7247933506e-05 2.5473452534e+02
3.9815688069e-05 2.7153400523e+02
4.2560455768e-05 2.8944124508e+02
4.5494442020e-05 3.0852925928e+02
4.8630685342e-05 3.2887575302e+02
5.1983130106e-05 3.5056373713e+02
5.5566681112e-05 3.7368158084e+02
5.9397272707e-05 3.9832341580e+02
6.3491934270e-05 4.2458962805e+02
6.7868866609e-05 4.5258720932e+02
7.2547532909e-05 4.8243003822e+02
7.7548735135e-05 5.1423961801e+02
8.2894701336e-05 5.4814535777e+02
8.8609194791e-05 5.8428492373e+02
9.4717637694e-05 6.2280529342e+02
1.0124716937e-04 6.6386300155e+02
1.0822682816e-04 7.0762435092e+02
1.1568764603e-04 7.5426727460e+02
1.2366278679e-04 8.0398031702e+02
1.3218770619e-04 8.5696474214e+02
1.4130031923e-04 9.1343474430e+02
1.5104110935e-04 9.7361843202e+02
1.6145341215e-04 1.0377583199e+03
