z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0177931940e+01
7.5206098700e-06 5.3487316678e+01
8.0390564108e-06 5.7014958159e+01
8.5932442744e-06 6.0775262907e+01
9.1856354629e-06 6.4783560273e+01
9.8188638731e-06 6.9056204890e+01
1.0495745300e-05 7.3610631667e+01
1.1219289263e-05 7.8465422146e+01
1.1992711734e-05 8.3640375927e+01
1.2819450603e-05 8.9156599092e+01
1.3703183868e-05 9.5036609065e+01
1.4647837816e-05 1.0130437172e+02
1.5657613403e-05 1.0798545809e+02
1.6736999896e-05 1.1510711462e+02
1.7890795789e-05 1.2269838007e+02
1.9124130631e-05 1.3079020637e+02
2.0442488676e-05 1.3941558940e+02
2.1851728889e-05 1.4860967369e+02
2.3358117687e-05 1.5840993816e+02
2.4968352591e-05 1.6885631946e+02
2.6689593142e-05 1.7999138022e+02
2.8529490010e-05 1.9186046234e+02
3.0496221370e-05 2.0451188409e+02
3.2598534744e-05 2.1799716837e+02
3.4845776099e-05 2.3237118512e+02
3.7247933506e-05 2.4769238327e+02
3.9815688069e-05 2.6402306401e+02
4.2560455768e-05 2.8142959060e+02
4.5494442020e-05 2.9998267373e+02
4.8630685342e-05 3.1975758153e+02
5.1983130106e-05 3.4083452685e+02
5.5566681112e-05 3.6329893178e+02
5.9397272707e-05 3.8724177581e+02
6.3491934270e-05 4.1275991256e+02
6.7868866609e-05 4.3995644549e+02
7.2547532909e-05 4.6894118369e+02
7.7548735135e-05 4.9983099628e+02
8.2894701336e-05 5.3275022395e+02
8.8609194791e-05 5.6783121337e+02
9.4717637694e-05 6.0521492749e+02
1.0124716937e-04 6.4505114276e+02
1.0822682816e-04 6.8749939164e+02
1.1568764603e-04 7.3272935752e+02
1.2366278679e-04 7.8092152519e+02
1.3218770619e-04 8.3226795092e+02
1.4130031923e-04 8.8697306314e+02
1.5104110935e-04 9.4525410264e+02
