z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6000000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0068929966e+01
7.5206098700e-06 5.3371125729e+01
8.0390564108e-06 5.6891104121e+01
8.5932442744e-06 6.0643240370e+01
9.1856354629e-06 6.4642830531e+01
9.8188638731e-06 6.8906193713e+01
1.0495745300e-05 7.3450726953e+01
1.1219289263e-05 7.8294971433e+01
1.1992711734e-05 8.3458683746e+01
1.2819450603e-05 8.8962924133e+01
1.3703183868e-05 9.4830161107e+01
1.4647837816e-05 1.0108430849e+02
1.5657613403e-05 1.0775088178e+02
1.6736999896e-05 1.1485706825e+02
1.7890795789e-05 1.2243184358e+02
1.9124130631e-05 1.3050609249e+02
2.0442488676e-05 1.3911273921e+02
2.1851728889e-05 1.4828685195e+02
2.3358117687e-05 1.5806582824e+02
2.4968352591e-05 1.6848951803e+02
2.6689593142e-05 1.7960039153e+02
2.8529490010e-05 1.9144369221e+02
3.0496221370e-05 2.0406763345e+02
3.2598534744e-05 2.1752362630e+02
3.4845776099e-05 2.3186642164e+02
3.7247933506e-05 2.4715434156e+02
3.9815688069e-05 2.6344955206e+02
4.2560455768e-05 2.8081827244e+02
4.5494442020e-05 2.9933106002e+02
4.8630685342e-05 3.1906301971e+02
5.1983130106e-05 3.4009419047e+02
5.5566681112e-05 3.6250980924e+02
5.9397272707e-05 3.8640065840e+02
6.3491934270e-05 4.1186338178e+02
6.7868866609e-05 4.3900085963e+02
7.2547532909e-05 4.6792266340e+02
7.7548735135e-05 4.9874540943e+02
8.2894701336e-05 5.3159316963e+02
8.8609194791e-05 5.6659800476e+02
9.4717637694e-05 6.0390057346e+02
1.0124716937e-04 6.4365032912e+02
1.0822682816e-04 6.8600646040e+02
1.1568764603e-04 7.3113828540e+02
1.2366278679e-04 7.7922590079e+02
1.3218770619e-04 8.3046095035e+02
1.4130031923e-04 8.8504742407e+02
1.5104110935e-04 9.4320209751e+02
1.6145341215e-04 1.0051560035e+03
1.7258350272e-04 1.0711547152e+03
1.8448085757e-04 1.1414596563e+03
1.9719838747e-04 1.2163492162e+03
2.1079262660e-04 1.2961195846e+03
2.2532400908e-04 1.3810860752e+03
2.4085713085e-04 1.4715843286e+03
2.5746106985e-04 1.5679718125e+03
2.7520960430e-04 1.6706286828e+03
2.9418169288e-04 1.7799601062e+03
3.1446164940e-04 1.8963967450e+03
3.3613966662e-04 2.0203971845e+03
3.5931204911e-04 2.1524485958e+03
3.8408191176e-04 2.2930699600e+03
4.1055929614e-04 2.4428118544e+03
4.3886195635e-04 2.6022599138e+03
4.6911570826e-04 2.7720356509e+03
5.0145509886e-04 2.9527989040e+03
5.3602381376e-04 3.1452485980e+03
5.7297560852e-04 3.3501261748e+03
6.1247474514e-04 3.5682159509e+03
6.5469677793e-04 3.8003470558e+03
6.9982954301e-04 4.0473960293e+03
7.4807356577e-04 4.3102856795e+03
7.9964339966e-04 4.5899883781e+03
8.5476832464e-04 4.8875250242e+03
9.1369333677e-04 5.2039646025e+03
9.7668042872e-04 5.5404240618e+03
1.0440096958e-03 5.8980657149e+03
1.1159804417e-03 6.2780927821e+03
1.1929126922e-03 6.6817448156e+03
1.2751482427e-03 7.1102879138e+03
1.3630529866e-03 7.5650083231e+03
1.4570176136e-03 8.0471936362e+03
1.5574598219e-03 8.5581174137e+03
1.6648261808e-03 9.0990169202e+03
1.7795939930e-03 9.6710654407e+03
1.9022736233e-03 1.0275341352e+04
2.0334103610e-03 1.0912789535e+04
2.1735872142e-03 1.1584182796e+04
2.3234274704e-03 1.2290078816e+04
2.4835972581e-03 1.3030775874e+04
2.6548085734e-03 1.3806272022e+04
2.8378227726e-03 1.4616230298e+04
3.0334533658e-03 1.5459947361e+04
3.2425699755e-03 1.6336335839e+04
3.4661025274e-03 1.7243916609e+04
3.7050447427e-03 1.8180816515e+04
3.9604585618e-03 1.9144776136e+04
4.2334804311e-03 2.0133166645e+04
4.5253229327e-03 2.1142987689e+04
4.8372847959e-03 2.2170889725e+04
5.1707518287e-03 2.3213155088e+04
5.5272071622e-03 2.4265699598e+04
5.9082354419e-03 2.5324041805e+04
6.3155302778e-03 2.6383271258e+04
6.7509030923e-03 2.7438008503e+04
7.2162891738e-03 2.8482346901e+04
7.7137574553e-03 2.9509792818e+04
8.2455193624e-03 3.0513190333e+04
8.8139399886e-03 3.1484635225e+04
9.4215450808e-03 3.2415364036e+04
1.0071036406e-02 3.3295638783e+04
1.0765301995e-02 3.4114605766e+04
1.1507427320e-02 3.4860152623e+04
1.2300713919e-02 3.5518794958e+04
1.3148685917e-02 3.6075624063e+04
1.4055115171e-02 3.6514427051e+04
1.5024030581e-02 3.6818069379e+04
1.6059739515e-02 3.6969304299e+04
1.7166847363e-02 3.6952122008e+04
1.8350275233e-02 3.6753667197e+04
1.9615285099e-02 3.6366542681e+04
2.0967502147e-02 3.5791030888e+04
2.2412935272e-02 3.5036530233e+04
2.3958012462e-02 3.4121494807e+04
2.5609601289e-02 3.3071572538e+04
2.7375046164e-02 3.1916273306e+04
2.9262196273e-02 3.0685126008e+04
3.1279440969e-02 2.9404422325e+04
3.3435747027e-02 2.8095304734e+04
3.5740699619e-02 2.6773343503e+04
3.8204550743e-02 2.5449243320e+04
4.0838252753e-02 2.4130130397e+04
4.3653514236e-02 2.2820902892e+04
4.6478152275e-02 2.1601984505e+04
4.9302790314e-02 2.0468632355e+04
5.2127432078e-02 1.9412823398e+04
5.4952070117e-02 1.8427665392e+04
5.7776708156e-02 1.7507185746e+04
6.0601349920e-02 1.6646147609e+04
6.3425987959e-02 1.5839907458e+04
6.6250629723e-02 1.5084300180e+04
6.9075264037e-02 1.4375558963e+04
7.1899905801e-02 1.3710250016e+04
7.4724547565e-02 1.3085240270e+04
7.7549181879e-02 1.2497653163e+04
8.0373823643e-02 1.1944839491e+04
8.3198465407e-02 1.1424364564e+04
8.6023099720e-02 1.0933982433e+04
8.8847741485e-02 1.0471616916e+04
9.1672383249e-02 1.0035355033e+04
9.5292858779e-02 9.5115350546e+03
9.8913334310e-02 9.0242993741e+03
1.0253380984e-01 8.5705666575e+03
1.0615429282e-01 8.1475468760e+03
