z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7100000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9580799999999999
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.1373195348e+01
7.5206098700e-06 5.4761439745e+01
8.0390564108e-06 5.8373163425e+01
8.5932442744e-06 6.2223085559e+01
9.1856354629e-06 6.6326920228e+01
9.8188638731e-06 7.0701396860e+01
1.0495745300e-05 7.5364403339e+01
1.1219289263e-05 8.0334958741e+01
1.1992711734e-05 8.5633336003e+01
1.2819450603e-05 9.1281116428e+01
1.3703183868e-05 9.7301407753e+01
1.4647837816e-05 1.0371875556e+02
1.5657613403e-05 1.1055935453e+02
1.6736999896e-05 1.1785108249e+02
1.7890795789e-05 1.2562370489e+02
1.9124130631e-05 1.3390893609e+02
2.0442488676e-05 1.4274057566e+02
2.1851728889e-05 1.5215468559e+02
2.3358117687e-05 1.6218961749e+02
2.4968352591e-05 1.7288640787e+02
2.6689593142e-05 1.8428860094e+02
2.8529490010e-05 1.9644275291e+02
3.0496221370e-05 2.0939841832e+02
3.2598534744e-05 2.2320839538e+02
3.4845776099e-05 2.3792920299e+02
3.7247933506e-05 2.5362065823e+02
3.9815688069e-05 2.7034681675e+02
4.2560455768e-05 2.8817593191e+02
4.5494442020e-05 3.0718067280e+02
4.8630685342e-05 3.2743853314e+02
5.1983130106e-05 3.4903202206e+02
5.5566681112e-05 3.7204920928e+02
5.9397272707e-05 3.9658386137e+02
6.3491934270e-05 4.2273587790e+02
6.7868866609e-05 4.5061175482e+02
7.2547532909e-05 4.8032518408e+02
7.7548735135e-05 5.1199691743e+02
8.2894701336e-05 5.4575588390e+02
8.8609194791e-05 5.8173935341e+02
9.4717637694e-05 6.2009353640e+02
1.0124716937e-04 6.6097451060e+02
1.0822682816e-04 7.0454811203e+02
1.1568764603e-04 7.5099113429e+02
1.2366278679e-04 8.0049198280e+02
1.3218770619e-04 8.5325100183e+02
1.4130031923e-04 9.0948183746e+02
1.5104110935e-04 9.6941176458e+02
1.6145341215e-04 1.0332823957e+03
1.7258350272e-04 1.1013514799e+03
1.8448085757e-04 1.1738926847e+03
1.9719838747e-04 1.2511970136e+03
2.1079262660e-04 1.3335743324e+03
2.2532400908e-04 1.4213539145e+03
2.4085713085e-04 1.5148852039e+03
2.5746106985e-04 1.6145392328e+03
2.7520960430e-04 1.7207105841e+03
2.9418169288e-04 1.8338167370e+03
3.1446164940e-04 1.9543013383e+03
3.3613966662e-04 2.0826339842e+03
3.5931204911e-04 2.2193103291e+03
3.8408191176e-04 2.3648565561e+03
4.1055929614e-04 2.5198285049e+03
4.3886195635e-04 2.6848097088e+03
4.6911570826e-04 2.8604192453e+03
5.0145509886e-04 3.0473056302e+03
5.3602381376e-04 3.2461505247e+03
5.7297560852e-04 3.4576702620e+03
6.1247474514e-04 3.6826143203e+03
6.5469677793e-04 3.9217653236e+03
6.9982954301e-04 4.1759394773e+03
7.4807356577e-04 4.4459850416e+03
7.9964339966e-04 4.7327847309e+03
8.5476832464e-04 5.0372482991e+03
9.1369333677e-04 5.3603155924e+03
9.7668042872e-04 5.7029543693e+03
1.0440096958e-03 6.0661559388e+03
1.1159804417e-03 6.4509264379e+03
1.1929126922e-03 6.8582955546e+03
1.2751482427e-03 7.2892934129e+03
1.3630529866e-03 7.7449571147e+03
1.4570176136e-03 8.2263084976e+03
1.5574598219e-03 8.7343602408e+03
1.6648261808e-03 9.2700787941e+03
1.7795939930e-03 9.8343957176e+03
1.9022736233e-03 1.0428166686e+04
2.0334103610e-03 1.1052167999e+04
2.1735872142e-03 1.1707089604e+04
2.3234274704e-03 1.2393485379e+04
2.4835972581e-03 1.3111786213e+04
2.6548085734e-03 1.3862260759e+04
2.8378227726e-03 1.4644987519e+04
3.0334533658e-03 1.5459823444e+04
3.2425699755e-03 1.6306396957e+04
3.4661025274e-03 1.7184032939e+04
3.7050447427e-03 1.8091752728e+04
3.9604585618e-03 1.9028221786e+04
4.2334804311e-03 1.9991688640e+04
4.5253229327e-03 2.0979967440e+04
4.8372847959e-03 2.1991423593e+04
5.1707518287e-03 2.3020783493e+04
5.5272071622e-03 2.4065271649e+04
5.9082354419e-03 2.5120507635e+04
6.3155302778e-03 2.6180820100e+04
6.7509030923e-03 2.7241523333e+04
7.2162891738e-03 2.8295597486e+04
7.7137574553e-03 2.9335911066e+04
8.2455193624e-03 3.0353771259e+04
8.8139399886e-03 3.1340087502e+04
9.4215450808e-03 3.2285066204e+04
1.0071036406e-02 3.3177804274e+04
1.0765301995e-02 3.4006606622e+04
1.1507427320e-02 3.4758707037e+04
1.2300713919e-02 3.5420651977e+04
1.3148685917e-02 3.5978359883e+04
1.4055115171e-02 3.6417281672e+04
1.5024030581e-02 3.6722749632e+04
1.6059739515e-02 3.6880361219e+04
1.7166847363e-02 3.6876453552e+04
1.8350275233e-02 3.6698717477e+04
1.9615285099e-02 3.6337076794e+04
2.0967502147e-02 3.5784644239e+04
2.2412935272e-02 3.5038708867e+04
