z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0131430768e+01
7.5206098700e-06 5.3448049871e+01
8.0390564108e-06 5.6984077035e+01
8.5932442744e-06 6.0754045091e+01
9.1856354629e-06 6.4773429138e+01
9.8188638731e-06 6.9058712280e+01
1.0495745300e-05 7.3627512728e+01
1.1219289263e-05 7.8498570645e+01
1.1992711734e-05 8.3691884015e+01
1.2819450603e-05 8.9228769993e+01
1.3703183868e-05 9.5131956946e+01
1.4647837816e-05 1.0142567210e+02
1.5657613403e-05 1.0813577303e+02
1.6736999896e-05 1.1528977395e+02
1.7890795789e-05 1.2291706482e+02
1.9124130631e-05 1.3104893770e+02
2.0442488676e-05 1.3971877076e+02
2.1851728889e-05 1.4896216856e+02
2.3358117687e-05 1.5881704094e+02
2.4968352591e-05 1.6932382211e+02
2.6689593142e-05 1.8052565478e+02
2.8529490010e-05 1.9246855666e+02
3.0496221370e-05 2.0520143800e+02
3.2598534744e-05 2.1877657492e+02
3.4845776099e-05 2.3324973212e+02
3.7247933506e-05 2.4868026806e+02
3.9815688069e-05 2.6513136287e+02
4.2560455768e-05 2.8267064944e+02
4.5494442020e-05 3.0137000304e+02
4.8630685342e-05 3.2130606727e+02
5.1983130106e-05 3.4256060464e+02
5.5566681112e-05 3.6522081214e+02
5.9397272707e-05 3.8937946148e+02
6.3491934270e-05 4.1513556523e+02
6.7868866609e-05 4.4259472748e+02
7.2547532909e-05 4.7186924895e+02
7.7548735135e-05 5.0307907372e+02
8.2894701336e-05 5.3635192943e+02
8.8609194791e-05 5.7182371294e+02
9.4717637694e-05 6.0963961232e+02
1.0124716937e-04 6.4995414190e+02
1.0822682816e-04 6.9293170323e+02
1.1568764603e-04 7.3874788237e+02
1.2366278679e-04 7.8758927456e+02
1.3218770619e-04 8.3965474643e+02
1.4130031923e-04 8.9515592685e+02
1.5104110935e-04 9.5431839903e+02
1.6145341215e-04 1.0173821913e+03
1.7258350272e-04 1.0846025487e+03
1.8448085757e-04 1.1562509843e+03
1.9719838747e-04 1.2326166122e+03
2.1079262660e-04 1.3140062170e+03
2.2532400908e-04 1.4007464281e+03
2.4085713085e-04 1.4931836493e+03
2.5746106985e-04 1.5916867234e+03
2.7520960430e-04 1.6966453899e+03
2.9418169288e-04 1.8084754735e+03
3.1446164940e-04 1.9276152381e+03
3.3613966662e-04 2.0545301551e+03
3.5931204911e-04 2.1897124824e+03
3.8408191176e-04 2.3336829478e+03
4.1055929614e-04 2.4869910289e+03
4.3886195635e-04 2.6502173378e+03
4.6911570826e-04 2.8239729197e+03
5.0145509886e-04 3.0089026183e+03
5.3602381376e-04 3.2056815706e+03
5.7297560852e-04 3.4150205355e+03
6.1247474514e-04 3.6376644914e+03
6.5469677793e-04 3.8743898316e+03
6.9982954301e-04 4.1260116569e+03
7.4807356577e-04 4.3933750803e+03
7.9964339966e-04 4.6773619590e+03
8.5476832464e-04 4.9788838818e+03
9.1369333677e-04 5.2988846940e+03
9.7668042872e-04 5.6383368505e+03
1.0440096958e-03 5.9982349650e+03
1.1159804417e-03 6.3795960903e+03
1.1929126922e-03 6.7834501815e+03
1.2751482427e-03 7.2108344867e+03
1.3630529866e-03 7.6627851319e+03
1.4570176136e-03 8.1403303893e+03
1.5574598219e-03 8.6444749703e+03
1.6648261808e-03 9.1761876834e+03
1.7795939930e-03 9.7363991908e+03
1.9022736233e-03 1.0325975642e+04
2.0334103610e-03 1.0945705773e+04
2.1735872142e-03 1.1596278463e+04
2.3234274704e-03 1.2278271520e+04
2.4835972581e-03 1.2992115774e+04
2.6548085734e-03 1.3738096203e+04
2.8378227726e-03 1.4516300319e+04
3.0334533658e-03 1.5326605829e+04
3.2425699755e-03 1.6168643609e+04
3.4661025274e-03 1.7041770779e+04
3.7050447427e-03 1.7945020213e+04
3.9604585618e-03 1.8877066882e+04
4.2334804311e-03 1.9836195315e+04
4.5253229327e-03 2.0820233406e+04
4.8372847959e-03 2.1827567784e+04
5.1707518287e-03 2.2852972378e+04
5.5272071622e-03 2.3893696155e+04
5.9082354419e-03 2.4945376950e+04
6.3155302778e-03 2.6002402741e+04
6.7509030923e-03 2.7060088243e+04
7.2162891738e-03 2.8111454890e+04
7.7137574553e-03 2.9149389485e+04
8.2455193624e-03 3.0165255213e+04
8.8139399886e-03 3.1150009112e+04
9.4215450808e-03 3.2093910364e+04
1.0071036406e-02 3.2986058047e+04
1.0765301995e-02 3.3814801775e+04
1.1507427320e-02 3.4567405108e+04
1.2300713919e-02 3.5230474140e+04
1.3148685917e-02 3.5789982181e+04
1.4055115171e-02 3.6231364004e+04
1.5024030581e-02 3.6540020724e+04
1.6059739515e-02 3.6701555404e+04
1.7166847363e-02 3.6702307114e+04
1.8350275233e-02 3.6529983709e+04
1.9615285099e-02 3.6174507782e+04
2.0967502147e-02 3.5628936673e+04
2.2412935272e-02 3.4890526079e+04
2.3958012462e-02 3.3961865472e+04
2.5609601289e-02 3.2852018011e+04
2.7375046164e-02 3.1577355271e+04
2.9262196273e-02 3.0162196762e+04
3.1279440969e-02 2.8638796464e+04
3.3435747027e-02 2.7046665166e+04
3.5740699619e-02 2.5430909970e+04
3.8204550743e-02 2.3839546090e+04
4.0838252753e-02 2.2319837026e+04
4.3653514236e-02 2.0913786552e+04
4.6478152275e-02 1.9723687850e+04
4.9302790314e-02 1.8734172372e+04
5.2127432078e-02 1.7915344487e+04
5.4952070117e-02 1.7231892888e+04
5.7776708156e-02 1.6646726844e+04
6.0601349920e-02 1.6123509579e+04
6.3425987959e-02 1.5629367793e+04
6.6250629723e-02 1.5136882014e+04
6.9075264037e-02 1.4626150992e+04
7.1899905801e-02 1.4083631603e+04
7.4724547565e-02 1.3504000166e+04
7.7549181879e-02 1.2892258359e+04
8.0373823643e-02 1.2254711574e+04
8.3198465407e-02 1.1603877468e+04
8.6023099720e-02 1.0956514693e+04
8.8847741485e-02 1.0330323220e+04
9.1672383249e-02 9.7395373007e+03
9.5292858779e-02 9.0488378684e+03
9.8913334310e-02 8.4455006313e+03
1.0253380984e-01 7.9390178949e+03
1.0615429282e-01 7.5288595351e+03
1.0977476835e-01 7.2029168460e+03
1.1339524388e-01 6.9441551757e+03
1.1701571941e-01 6.7347685278e+03
1.2063620240e-01 6.5554929244e+03
1.2425667793e-01 6.3870890708e+03
1.2787716091e-01 6.2137985396e+03
1.3149763644e-01 6.0246553366e+03
1.3511811197e-01 5.8119106755e+03
1.3873858750e-01 5.5752391892e+03
1.4235906303e-01 5.3201889480e+03
1.4597953856e-01 5.0555448645e+03
1.4960001409e-01 4.7905658772e+03
1.5322048962e-01 4.5344682905e+03
1.5684096515e-01 4.2960513218e+03
1.6046145558e-01 4.0821849856e+03
1.6408193111e-01 3.8965571500e+03
1.6770240664e-01 3.7397428173e+03
1.7132288217e-01 3.6099258220e+03
1.7494335771e-01 3.5033952957e+03
1.7856383324e-01 3.4149004863e+03
1.8218430877e-01 3.3383326259e+03
1.8580478430e-01 3.2676466178e+03
1.8942527473e-01 3.1975530023e+03
1.9304575026e-01 3.1238256531e+03
1.9666622579e-01 3.0435553392e+03
