z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8699035188e+01
7.5206098700e-06 5.1920849809e+01
8.0390564108e-06 5.5355805283e+01
8.5932442744e-06 5.9018014046e+01
9.1856354629e-06 6.2922495569e+01
9.8188638731e-06 6.7085276868e+01
1.0495745300e-05 7.1523446866e+01
1.1219289263e-05 7.6255221886e+01
1.1992711734e-05 8.1300016134e+01
1.2819450603e-05 8.6678528836e+01
1.3703183868e-05 9.2412847486e+01
1.4647837816e-05 9.8526485097e+01
1.5657613403e-05 1.0504453419e+02
1.6736999896e-05 1.1199373655e+02
1.7890795789e-05 1.1940259855e+02
1.9124130631e-05 1.2730151056e+02
2.0442488676e-05 1.3572287597e+02
2.1851728889e-05 1.4470121507e+02
2.3358117687e-05 1.5427334802e+02
2.4968352591e-05 1.6447851715e+02
2.6689593142e-05 1.7535855319e+02
2.8529490010e-05 1.8695802707e+02
3.0496221370e-05 1.9932444471e+02
3.2598534744e-05 2.1250847238e+02
3.4845776099e-05 2.2656407843e+02
3.7247933506e-05 2.4154876267e+02
3.9815688069e-05 2.5752382641e+02
4.2560455768e-05 2.7455458065e+02
4.5494442020e-05 2.9271062845e+02
4.8630685342e-05 3.1206607378e+02
5.1983130106e-05 3.3269990416e+02
5.5566681112e-05 3.5469625336e+02
5.9397272707e-05 3.7814474647e+02
6.3491934270e-05 4.0314081431e+02
6.7868866609e-05 4.2978606606e+02
7.2547532909e-05 4.5818874070e+02
7.7548735135e-05 4.8846405944e+02
8.2894701336e-05 5.2073463467e+02
8.8609194791e-05 5.5513099960e+02
9.4717637694e-05 5.9179221294e+02
1.0124716937e-04 6.3086605901e+02
1.0822682816e-04 6.7250997910e+02
1.1568764603e-04 7.1689146653e+02
1.2366278679e-04 7.6418871284e+02
1.3218770619e-04 8.1459137197e+02
1.4130031923e-04 8.6830135525e+02
1.5104110935e-04 9.2553327319e+02
1.6145341215e-04 9.8651589367e+02
1.7258350272e-04 1.0514924312e+03
1.8448085757e-04 1.1207218485e+03
1.9719838747e-04 1.1944799659e+03
2.1079262660e-04 1.2730602970e+03
2.2532400908e-04 1.3567753655e+03
2.4085713085e-04 1.4459579054e+03
2.5746106985e-04 1.5409623547e+03
2.7520960430e-04 1.6421657210e+03
2.9418169288e-04 1.7499698880e+03
3.1446164940e-04 1.8648021136e+03
3.3613966662e-04 1.9871174423e+03
3.5931204911e-04 2.1173993813e+03
3.8408191176e-04 2.2561631031e+03
4.1055929614e-04 2.4039552592e+03
4.3886195635e-04 2.5613574208e+03
4.6911570826e-04 2.7289869159e+03
5.0145509886e-04 2.9074992736e+03
5.3602381376e-04 3.0975890060e+03
5.7297560852e-04 3.2999930274e+03
6.1247474514e-04 3.5154910402e+03
6.5469677793e-04 3.7449074852e+03
6.9982954301e-04 3.9891141450e+03
7.4807356577e-04 4.2490290520e+03
7.9964339966e-04 4.5256197867e+03
8.5476832464e-04 4.8199024938e+03
9.1369333677e-04 5.1329414878e+03
9.7668042872e-04 5.4658491766e+03
1.0440096958e-03 5.8197835345e+03
1.1159804417e-03 6.1959437379e+03
1.1929126922e-03 6.5955656834e+03
1.2751482427e-03 7.0199123457e+03
1.3630529866e-03 7.4702674885e+03
1.4570176136e-03 7.9479170884e+03
1.5574598219e-03 8.4541341407e+03
1.6648261808e-03 8.9901566359e+03
1.7795939930e-03 9.5571601525e+03
1.9022736233e-03 1.0156227215e+04
2.0334103610e-03 1.0788309037e+04
2.1735872142e-03 1.1454187237e+04
2.3234274704e-03 1.2154431091e+04
2.4835972581e-03 1.2889353509e+04
2.6548085734e-03 1.3658970397e+04
2.8378227726e-03 1.4462965944e+04
3.0334533658e-03 1.5300661249e+04
3.2425699755e-03 1.6170996511e+04
3.4661025274e-03 1.7072523027e+04
3.7050447427e-03 1.8003400572e+04
3.9604585618e-03 1.8961404735e+04
4.2334804311e-03 1.9943943307e+04
4.5253229327e-03 2.0948053828e+04
4.8372847959e-03 2.1970425474e+04
5.1707518287e-03 2.3007379969e+04
5.5272071622e-03 2.4054872956e+04
5.9082354419e-03 2.5108463217e+04
6.3155302778e-03 2.6163280944e+04
6.7509030923e-03 2.7213987799e+04
7.2162891738e-03 2.8254718874e+04
7.7137574553e-03 2.9279023022e+04
8.2455193624e-03 3.0279787756e+04
8.8139399886e-03 3.1249153462e+04
9.4215450808e-03 3.2178402733e+04
1.0071036406e-02 3.3057845345e+04
1.0765301995e-02 3.3876677336e+04
1.1507427320e-02 3.4622838185e+04
1.2300713919e-02 3.5282897268e+04
1.3148685917e-02 3.5842000761e+04
1.4055115171e-02 3.6283989922e+04
1.5024030581e-02 3.6591780091e+04
1.6059739515e-02 3.6748164480e+04
