z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0000000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8698136140e+01
7.5206098700e-06 5.1919891283e+01
8.0390564108e-06 5.5354783344e+01
8.5932442744e-06 5.9016924498e+01
9.1856354629e-06 6.2921333940e+01
9.8188638731e-06 6.7084038389e+01
1.0495745300e-05 7.1522126454e+01
1.1219289263e-05 7.6253814120e+01
1.1992711734e-05 8.1298515235e+01
1.2819450603e-05 8.6676928644e+01
1.3703183868e-05 9.2411141433e+01
1.4647837816e-05 9.8524666180e+01
1.5657613403e-05 1.0504259494e+02
1.6736999896e-05 1.1199166901e+02
1.7890795789e-05 1.1940039425e+02
1.9124130631e-05 1.2729916044e+02
2.0442488676e-05 1.3572037038e+02
2.1851728889e-05 1.4469854374e+02
2.3358117687e-05 1.5427049998e+02
2.4968352591e-05 1.6447548071e+02
2.6689593142e-05 1.7535531591e+02
2.8529490010e-05 1.8695457567e+02
3.0496221370e-05 1.9932076503e+02
3.2598534744e-05 2.1250454932e+02
3.4845776099e-05 2.2655989591e+02
3.7247933506e-05 2.4154430356e+02
3.9815688069e-05 2.5751907241e+02
4.2560455768e-05 2.7454951230e+02
4.5494442020e-05 2.9270522497e+02
4.8630685342e-05 3.1206031306e+02
5.1983130106e-05 3.3269376259e+02
5.5566681112e-05 3.5468970583e+02
5.9397272707e-05 3.7813776618e+02
6.3491934270e-05 4.0313337273e+02
6.7868866609e-05 4.2977813278e+02
7.2547532909e-05 4.5818028331e+02
7.7548735135e-05 4.8845504343e+02
8.2894701336e-05 5.2072502326e+02
8.8609194791e-05 5.5512075363e+02
9.4717637694e-05 5.9178129069e+02
1.0124716937e-04 6.3085441603e+02
1.0822682816e-04 6.7249756810e+02
1.1568764603e-04 7.1687823713e+02
1.2366278679e-04 7.6417461141e+02
1.3218770619e-04 8.1457634140e+02
1.4130031923e-04 8.6828533477e+02
1.5104110935e-04 9.2551619813e+02
1.6145341215e-04 9.8649769518e+02
1.7258350272e-04 1.0514730361e+03
1.8448085757e-04 1.1207011787e+03
1.9719838747e-04 1.1944579386e+03
2.1079262660e-04 1.2730368239e+03
2.2532400908e-04 1.3567503529e+03
2.4085713085e-04 1.4459312534e+03
2.5746106985e-04 1.5409339573e+03
2.7520960430e-04 1.6421354653e+03
2.9418169288e-04 1.7499376541e+03
3.1446164940e-04 1.8647677740e+03
3.3613966662e-04 1.9870808615e+03
3.5931204911e-04 2.1173604154e+03
3.8408191176e-04 2.2561215992e+03
4.1055929614e-04 2.4039110551e+03
4.3886195635e-04 2.5613103441e+03
4.6911570826e-04 2.7289367838e+03
5.0145509886e-04 2.9074458923e+03
5.3602381376e-04 3.0975321701e+03
5.7297560852e-04 3.2999325192e+03
6.1247474514e-04 3.5154266294e+03
6.5469677793e-04 3.7448389283e+03
6.9982954301e-04 3.9890411844e+03
7.4807356577e-04 4.2489514161e+03
7.9964339966e-04 4.5255371889e+03
8.5476832464e-04 4.8198146324e+03
9.1369333677e-04 5.1328480455e+03
9.7668042872e-04 5.4657498206e+03
1.0440096958e-03 5.8196779160e+03
1.1159804417e-03 6.1958314926e+03
1.1929126922e-03 6.5954464315e+03
1.2751482427e-03 7.0197856929e+03
1.3630529866e-03 7.4701330266e+03
1.4570176136e-03 7.9477743971e+03
1.5574598219e-03 8.4539827890e+03
1.6648261808e-03 8.9899961851e+03
1.7795939930e-03 9.5569901593e+03
1.9022736233e-03 1.0156047236e+04
2.0334103610e-03 1.0788118631e+04
2.1735872142e-03 1.1453985976e+04
2.3234274704e-03 1.2154218562e+04
2.4835972581e-03 1.2889129325e+04
2.6548085734e-03 1.3658734203e+04
2.8378227726e-03 1.4462717430e+04
3.0334533658e-03 1.5300400157e+04
3.2425699755e-03 1.6170722647e+04
3.4661025274e-03 1.7072236271e+04
3.7050447427e-03 1.8003100887e+04
3.9604585618e-03 1.8961092180e+04
4.2334804311e-03 1.9943618043e+04
4.5253229327e-03 2.0947716126e+04
4.8372847959e-03 2.1970075727e+04
5.1707518287e-03 2.3007018693e+04
5.5272071622e-03 2.4054500797e+04
