z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6020000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.9609599999999998
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9928600422e+01
7.5206098700e-06 5.3231789542e+01
8.0390564108e-06 5.6753508142e+01
8.5932442744e-06 6.0508225328e+01
9.1856354629e-06 6.4511342477e+01
9.8188638731e-06 6.8779300322e+01
1.0495745300e-05 7.3329616750e+01
1.1219289263e-05 7.8180956088e+01
1.1992711734e-05 8.3353273986e+01
1.2819450603e-05 8.8867748124e+01
1.3703183868e-05 9.4747055377e+01
1.4647837816e-05 1.0101532772e+02
1.5657613403e-05 1.0769827191e+02
1.6736999896e-05 1.1482335845e+02
1.7890795789e-05 1.2241979643e+02
1.9124130631e-05 1.3051877915e+02
2.0442488676e-05 1.3915355341e+02
2.1851728889e-05 1.4835955814e+02
2.3358117687e-05 1.5817460073e+02
2.4968352591e-05 1.6863893263e+02
2.6689593142e-05 1.7979551391e+02
2.8529490010e-05 1.9169011408e+02
3.0496221370e-05 2.0437155139e+02
3.2598534744e-05 2.1789190707e+02
3.4845776099e-05 2.3230661349e+02
3.7247933506e-05 2.4767475649e+02
3.9815688069e-05 2.6405952897e+02
4.2560455768e-05 2.8152802928e+02
4.5494442020e-05 3.0015204233e+02
4.8630685342e-05 3.2000776241e+02
5.1983130106e-05 3.4117670028e+02
5.5566681112e-05 3.6374563280e+02
5.9397272707e-05 3.8780703121e+02
6.3491934270e-05 4.1345971629e+02
6.7868866609e-05 4.4080850559e+02
7.2547532909e-05 4.6996562445e+02
7.7548735135e-05 5.0105037843e+02
8.2894701336e-05 5.3419006038e+02
8.8609194791e-05 5.6952017721e+02
9.4717637694e-05 6.0718530661e+02
1.0124716937e-04 6.4733939936e+02
1.0822682816e-04 6.9014643445e+02
1.1568764603e-04 7.3578117500e+02
1.2366278679e-04 7.8442962176e+02
1.3218770619e-04 8.3629032338e+02
1.4130031923e-04 8.9157427557e+02
1.5104110935e-04 9.5050633214e+02
1.6145341215e-04 1.0133252050e+03
1.7258350272e-04 1.0802864877e+03
1.8448085757e-04 1.1516601862e+03
1.9719838747e-04 1.2277353552e+03
2.1079262660e-04 1.3088184850e+03
2.2532400908e-04 1.3952348126e+03
2.4085713085e-04 1.4873310422e+03
2.5746106985e-04 1.5854749422e+03
2.7520960430e-04 1.6900566556e+03
2.9418169288e-04 1.8014910182e+03
3.1446164940e-04 1.9202170541e+03
3.3613966662e-04 2.0466997906e+03
3.5931204911e-04 2.1814316684e+03
3.8408191176e-04 2.3249347597e+03
4.1055929614e-04 2.4777585504e+03
4.3886195635e-04 2.6404845762e+03
4.6911570826e-04 2.8137244073e+03
5.0145509886e-04 2.9981238810e+03
5.3602381376e-04 3.1943596754e+03
5.7297560852e-04 3.4031425339e+03
6.1247474514e-04 3.6252178708e+03
6.5469677793e-04 3.8613621422e+03
6.9982954301e-04 4.1123880871e+03
7.4807356577e-04 4.3791402934e+03
7.9964339966e-04 4.6624947937e+03
8.5476832464e-04 4.9633586631e+03
9.1369333677e-04 5.2826696156e+03
