z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9548898968e+01
7.5206098700e-06 5.2830353635e+01
8.0390564108e-06 5.6329117471e+01
8.5932442744e-06 6.0059605084e+01
9.1856354629e-06 6.4037139480e+01
9.8188638731e-06 6.8278095096e+01
1.0495745300e-05 7.2799905525e+01
1.1219289263e-05 7.7621179487e+01
1.1992711734e-05 8.2761731748e+01
1.2819450603e-05 8.8242737748e+01
1.3703183868e-05 9.4086733597e+01
1.4647837816e-05 1.0031771658e+02
1.5657613403e-05 1.0696136162e+02
1.6736999896e-05 1.1404498264e+02
1.7890795789e-05 1.2159767172e+02
1.9124130631e-05 1.2965057737e+02
2.0442488676e-05 1.3823675773e+02
2.1851728889e-05 1.4739155158e+02
2.3358117687e-05 1.5715255517e+02
2.4968352591e-05 1.6755998560e+02
2.6689593142e-05 1.7865664216e+02
2.8529490010e-05 1.9048801453e+02
3.0496221370e-05 2.0310293226e+02
3.2598534744e-05 2.1655316266e+02
3.4845776099e-05 2.3089404485e+02
3.7247933506e-05 2.4618447422e+02
3.9815688069e-05 2.6248742818e+02
4.2560455768e-05 2.7986971875e+02
4.5494442020e-05 2.9840304400e+02
4.8630685342e-05 3.1816332318e+02
5.1983130106e-05 3.3923182545e+02
5.5566681112e-05 3.6169507708e+02
5.9397272707e-05 3.8564548000e+02
6.3491934270e-05 4.1118112620e+02
6.7868866609e-05 4.3840703472e+02
7.2547532909e-05 4.6743493519e+02
7.7548735135e-05 4.9838379352e+02
8.2894701336e-05 5.3138058502e+02
8.8609194791e-05 5.6656066553e+02
9.4717637694e-05 6.0406798782e+02
1.0124716937e-04 6.4405618398e+02
1.0822682816e-04 6.8668902930e+02
1.1568764603e-04 7.3214056594e+02
1.2366278679e-04 7.8059708209e+02
1.3218770619e-04 8.3225556576e+02
1.4130031923e-04 8.8732729203e+02
1.5104110935e-04 9.4603621492e+02
1.6145341215e-04 1.0086210703e+03
