z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.3500000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9489972317e+01
7.5206098700e-06 5.2767529910e+01
8.0390564108e-06 5.6262135189e+01
8.5932442744e-06 5.9988184702e+01
9.1856354629e-06 6.3960992049e+01
9.8188638731e-06 6.8196886866e+01
1.0495745300e-05 7.2713329467e+01
1.1219289263e-05 7.7528879576e+01
1.1992711734e-05 8.2663316167e+01
1.2819450603e-05 8.8137793784e+01
1.3703183868e-05 9.3974842534e+01
1.4647837816e-05 1.0019841499e+02
1.5657613403e-05 1.0683416754e+02
1.6736999896e-05 1.1390935098e+02
1.7890795789e-05 1.2145309191e+02
1.9124130631e-05 1.2949641349e+02
2.0442488676e-05 1.3807240227e+02
2.1851728889e-05 1.4721627066e+02
2.3358117687e-05 1.5696571126e+02
2.4968352591e-05 1.6736080307e+02
2.6689593142e-05 1.7844420948e+02
2.8529490010e-05 1.9026159514e+02
3.0496221370e-05 2.0286155295e+02
3.2598534744e-05 2.1629577087e+02
3.4845776099e-05 2.3061962585e+02
3.7247933506e-05 2.4589193378e+02
3.9815688069e-05 2.6217553302e+02
4.2560455768e-05 2.7953726360e+02
4.5494442020e-05 2.9804852990e+02
4.8630685342e-05 3.1778546743e+02
5.1983130106e-05 3.3882898450e+02
5.5566681112e-05 3.6126572095e+02
5.9397272707e-05 3.8518765214e+02
6.3491934270e-05 4.1069323527e+02
6.7868866609e-05 4.3788701337e+02
7.2547532909e-05 4.6688065741e+02
7.7548735135e-05 4.9779304967e+02
8.2894701336e-05 5.3075111740e+02
8.8609194791e-05 5.6588970777e+02
9.4717637694e-05 6.0335304683e+02
1.0124716937e-04 6.4329457275e+02
1.0822682816e-04 6.8587756107e+02
1.1568764603e-04 7.3127637524e+02
1.2366278679e-04 7.7967638323e+02
1.3218770619e-04 8.3127529143e+02
1.4130031923e-04 8.8628335307e+02
1.5104110935e-04 9.4492499386e+02
1.6145341215e-04 1.0074383952e+03
1.7258350272e-04 1.0740775783e+03
1.8448085757e-04 1.1451124877e+03
1.9719838747e-04 1.2208308250e+03
2.1079262660e-04 1.3015385497e+03
2.2532400908e-04 1.3875595450e+03
2.4085713085e-04 1.4792397866e+03
2.5746106985e-04 1.5769455088e+03
2.7520960430e-04 1.6810663719e+03
2.9418169288e-04 1.7920157126e+03
3.1446164940e-04 1.9102305444e+03
3.3613966662e-04 2.0361757251e+03
3.5931204911e-04 2.1703416234e+03
3.8408191176e-04 2.3132484533e+03
4.1055929614e-04 2.4654446073e+03
4.3886195635e-04 2.6275098241e+03
4.6911570826e-04 2.8000543549e+03
5.0145509886e-04 2.9837212978e+03
5.3602381376e-04 3.1791860974e+03
5.7297560852e-04 3.3871567119e+03
6.1247474514e-04 3.6083774477e+03
6.5469677793e-04 3.8436229571e+03
6.9982954301e-04 4.0937042404e+03
7.4807356577e-04 4.3594646451e+03
7.9964339966e-04 4.6417778639e+03
8.5476832464e-04 4.9415539383e+03
9.1369333677e-04 5.2597259190e+03
9.7668042872e-04 5.5972588700e+03
1.0440096958e-03 5.9551428655e+03
1.1159804417e-03 6.3343843198e+03
1.1929126922e-03 6.7360103224e+03
1.2751482427e-03 7.1610546322e+03
1.3630529866e-03 7.6105530089e+03
1.4570176136e-03 8.0855338758e+03
1.5574598219e-03 8.5870036474e+03
1.6648261808e-03 9.1159387256e+03
1.7795939930e-03 9.6732654916e+03
