z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7100000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96192
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.8173066299e+01
7.5206098700e-06 5.1363371112e+01
8.0390564108e-06 5.4764949921e+01
8.5932442744e-06 5.8391805961e+01
9.1856354629e-06 6.2258843493e+01
9.8188638731e-06 6.6381967582e+01
1.0495745300e-05 7.0778138204e+01
1.1219289263e-05 7.5465435390e+01
1.1992711734e-05 8.0463129339e+01
1.2819450603e-05 8.5791767055e+01
1.3703183868e-05 9.1473274964e+01
1.4647837816e-05 9.7530996183e+01
1.5657613403e-05 1.0398984347e+02
1.6736999896e-05 1.1087636876e+02
1.7890795789e-05 1.1821887786e+02
1.9124130631e-05 1.2604754925e+02
2.0442488676e-05 1.3439456248e+02
2.1851728889e-05 1.4329420160e+02
2.3358117687e-05 1.5278303710e+02
2.4968352591e-05 1.6290004777e+02
2.6689593142e-05 1.7368678607e+02
2.8529490010e-05 1.8518752933e+02
3.0496221370e-05 1.9744947357e+02
3.2598534744e-05 2.1052295778e+02
3.4845776099e-05 2.2446160522e+02
3.7247933506e-05 2.3932255177e+02
3.9815688069e-05 2.5516671464e+02
4.2560455768e-05 2.7205899992e+02
4.5494442020e-05 2.9006858361e+02
4.8630685342e-05 3.0926911996e+02
5.1983130106e-05 3.2973912221e+02
5.5566681112e-05 3.5156222449e+02
5.9397272707e-05 3.7482752553e+02
6.3491934270e-05 3.9962990204e+02
6.7868866609e-05 4.2607038001e+02
7.2547532909e-05 4.5425658424e+02
7.7548735135e-05 4.8430308999e+02
8.2894701336e-05 5.1633183048e+02
8.8609194791e-05 5.5047262469e+02
9.4717637694e-05 5.8686377959e+02
1.0124716937e-04 6.2565229102e+02
1.0822682816e-04 6.6699477062e+02
1.1568764603e-04 7.1105784057e+02
1.2366278679e-04 7.5801877783e+02
1.3218770619e-04 8.0806627574e+02
1.4130031923e-04 8.6140123653e+02
1.5104110935e-04 9.1823721322e+02
1.6145341215e-04 9.7880186117e+02
1.7258350272e-04 1.0433372292e+03
1.8448085757e-04 1.1121010561e+03
1.9719838747e-04 1.1853678769e+03
2.1079262660e-04 1.2634298577e+03
2.2532400908e-04 1.3465981084e+03
2.4085713085e-04 1.4352038802e+03
2.5746106985e-04 1.5296000557e+03
2.7520960430e-04 1.6301620145e+03
2.9418169288e-04 1.7372899317e+03
3.1446164940e-04 1.8514092797e+03
3.3613966662e-04 1.9729732333e+03
3.5931204911e-04 2.1024633496e+03
3.8408191176e-04 2.2403927593e+03
4.1055929614e-04 2.3873059912e+03
4.3886195635e-04 2.5437824018e+03
4.6911570826e-04 2.7104370185e+03
5.0145509886e-04 2.8879229812e+03
5.3602381376e-04 3.0769323312e+03
