z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0493689617e+01
7.5206098700e-06 5.3830816754e+01
8.0390564108e-06 5.7388499694e+01
8.5932442744e-06 6.1181311283e+01
9.1856354629e-06 6.5224775086e+01
9.8188638731e-06 6.9535470615e+01
1.0495745300e-05 7.4131076882e+01
1.1219289263e-05 7.9030397790e+01
1.1992711734e-05 8.4253507290e+01
1.2819450603e-05 8.9821792920e+01
1.3703183868e-05 9.5758093694e+01
1.4647837816e-05 1.0208672188e+02
1.5657613403e-05 1.0883355734e+02
1.6736999896e-05 1.1602631606e+02
1.7890795789e-05 1.2369442677e+02
1.9124130631e-05 1.3186929946e+02
2.0442488676e-05 1.4058441249e+02
2.1851728889e-05 1.4987547224e+02
2.3358117687e-05 1.5978055099e+02
2.4968352591e-05 1.7034020304e+02
2.6689593142e-05 1.8159768247e+02
2.8529490010e-05 1.9359911725e+02
3.0496221370e-05 2.0639362544e+02
3.2598534744e-05 2.2003357638e+02
3.4845776099e-05 2.3457493908e+02
3.7247933506e-05 2.5007713707e+02
3.9815688069e-05 2.6660370159e+02
4.2560455768e-05 2.8422218443e+02
4.5494442020e-05 3.0300489827e+02
4.8630685342e-05 3.2302859729e+02
5.1983130106e-05 3.4437517392e+02
5.5566681112e-05 3.6713197814e+02
5.9397272707e-05 3.9139219487e+02
6.3491934270e-05 4.1725504720e+02
6.7868866609e-05 4.4482614472e+02
7.2547532909e-05 4.7421829632e+02
7.7548735135e-05 5.0555145222e+02
8.2894701336e-05 5.3895386506e+02
8.8609194791e-05 5.7456159644e+02
9.4717637694e-05 6.1252008452e+02
1.0124716937e-04 6.5298417304e+02
1.0822682816e-04 6.9611869192e+02
1.1568764603e-04 7.4209938618e+02
1.2366278679e-04 7.9111332238e+02
1.3218770619e-04 8.4335975951e+02
1.4130031923e-04 8.9905090374e+02
1.5104110935e-04 9.5841231486e+02
1.6145341215e-04 1.0216847641e+03
1.7258350272e-04 1.0891238279e+03
1.8448085757e-04 1.1610016294e+03
1.9719838747e-04 1.2376075353e+03
2.1079262660e-04 1.3192497238e+03
2.2532400908e-04 1.4062550676e+03
2.4085713085e-04 1.4989708766e+03
2.5746106985e-04 1.5977660587e+03
2.7520960430e-04 1.7030317001e+03
2.9418169288e-04 1.8151846657e+03
3.1446164940e-04 1.9346642308e+03
3.3613966662e-04 2.0619370749e+03
3.5931204911e-04 2.1974961201e+03
3.8408191176e-04 2.3418638987e+03
4.1055929614e-04 2.4955910436e+03
4.3886195635e-04 2.6592600042e+03
4.6911570826e-04 2.8334827238e+03
5.0145509886e-04 3.0189048202e+03
5.3602381376e-04 3.2162037274e+03
5.7297560852e-04 3.4260921795e+03
6.1247474514e-04 3.6493126368e+03
6.5469677793e-04 3.8866461110e+03
6.9982954301e-04 4.1389035722e+03
7.4807356577e-04 4.4069315226e+03
7.9964339966e-04 4.6916117646e+03
8.5476832464e-04 4.9938500210e+03
9.1369333677e-04 5.3145914944e+03
9.7668042872e-04 5.6548018246e+03
1.0440096958e-03 6.0154773065e+03
1.1159804417e-03 6.3976263114e+03
1.1929126922e-03 6.8022841499e+03
1.2751482427e-03 7.2304824169e+03
1.3630529866e-03 7.6832596744e+03
1.4570176136e-03 8.1616451948e+03
1.5574598219e-03 8.6666389889e+03
1.6648261808e-03 9.1992141280e+03
1.7795939930e-03 9.7602939847e+03
1.9022736233e-03 1.0350742479e+04
2.0334103610e-03 1.0971341784e+04
2.1735872142e-03 1.1622783035e+04
2.3234274704e-03 1.2305633819e+04
2.4835972581e-03 1.3020333527e+04
2.6548085734e-03 1.3767150625e+04
2.8378227726e-03 1.4546178008e+04
3.0334533658e-03 1.5357280978e+04
3.2425699755e-03 1.6200093530e+04
3.4661025274e-03 1.7073960757e+04
3.7050447427e-03 1.7977920271e+04
3.9604585618e-03 1.8910636247e+04
4.2334804311e-03 1.9870390135e+04
4.5253229327e-03 2.0855002626e+04
4.8372847959e-03 2.1862859211e+04
5.1707518287e-03 2.2888722492e+04
5.5272071622e-03 2.3929837213e+04
5.9082354419e-03 2.4981846617e+04
6.3155302778e-03 2.6039111999e+04
6.7509030923e-03 2.7096966332e+04
7.2162891738e-03 2.8148414653e+04
7.7137574553e-03 2.9186352377e+04
8.2455193624e-03 3.0202132875e+04
8.8139399886e-03 3.1186708208e+04
9.4215450808e-03 3.2130324440e+04
1.0071036406e-02 3.3022098036e+04
1.0765301995e-02 3.3850372579e+04
1.1507427320e-02 3.4602425218e+04
1.2300713919e-02 3.5264838254e+04
1.3148685917e-02 3.5823584598e+04
1.4055115171e-02 3.6264139244e+04
1.5024030581e-02 3.6571862000e+04
1.6059739515e-02 3.6732402501e+04
1.7166847363e-02 3.6732090375e+04
1.8350275233e-02 3.6558648667e+04
1.9615285099e-02 3.6201996452e+04
2.0967502147e-02 3.5655218653e+04
2.2412935272e-02 3.4915580452e+04
2.3958012462e-02 3.3985697762e+04
2.5609601289e-02 3.2874640815e+04
2.7375046164e-02 3.1598796223e+04
2.9262196273e-02 3.0182502381e+04
3.1279440969e-02 2.8658030884e+04
3.3435747027e-02 2.7064889816e+04
3.5740699619e-02 2.5448199960e+04
3.8204550743e-02 2.3855950681e+04
4.0838252753e-02 2.2335393763e+04
4.3653514236e-02 2.0928528726e+04
4.6478152275e-02 1.9737656712e+04
4.9302790314e-02 1.8747372075e+04
5.2127432078e-02 1.7927759028e+04
5.4952070117e-02 1.7243487885e+04
5.7776708156e-02 1.6657458389e+04
6.0601349920e-02 1.6133328300e+04
6.3425987959e-02 1.5638253795e+04
6.6250629723e-02 1.5144827240e+04
6.9075264037e-02 1.4633177546e+04
7.1899905801e-02 1.4089784827e+04
7.4724547565e-02 1.3509358734e+04
7.7549181879e-02 1.2896927655e+04
8.0373823643e-02 1.2258806564e+04
8.3198465407e-02 1.1607525092e+04
8.6023099720e-02 1.0959834926e+04
8.8847741485e-02 1.0333424133e+04
9.1672383249e-02 9.7425120944e+03
9.5292858779e-02 9.0517448299e+03
9.8913334310e-02 8.4484016319e+03
1.0253380984e-01 7.9419308131e+03
1.0615429282e-01 7.5317596782e+03
1.0977476835e-01 7.2057478279e+03
1.1339524388e-01 6.9468421302e+03
1.1701571941e-01 6.7372314331e+03
1.2063620240e-01 6.5576563571e+03
1.2425667793e-01 6.3888914292e+03
1.2787716091e-01 6.2152058728e+03
1.3149763644e-01 6.0256200068e+03
1.3511811197e-01 5.8125122913e+03
1.3873858750e-01 5.5755362292e+03
