z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9139181018e+01
7.5206098700e-06 5.2386761906e+01
8.0390564108e-06 5.5848966646e+01
8.5932442744e-06 5.9539991230e+01
9.1856354629e-06 6.3474943036e+01
9.8188638731e-06 6.7669941882e+01
1.0495745300e-05 7.2142174545e+01
1.1219289263e-05 7.6909960477e+01
1.1992711734e-05 8.1992822530e+01
1.2819450603e-05 8.7411574441e+01
1.3703183868e-05 9.3188424507e+01
1.4647837816e-05 9.9347012759e+01
1.5657613403e-05 1.0591256570e+02
1.6736999896e-05 1.1291196616e+02
1.7890795789e-05 1.2037386903e+02
1.9124130631e-05 1.2832882103e+02
2.0442488676e-05 1.3680939021e+02
2.1851728889e-05 1.4585026998e+02
2.3358117687e-05 1.5548846282e+02
2.4968352591e-05 1.6576340283e+02
2.6689593142e-05 1.7671712245e+02
2.8529490010e-05 1.8839440462e+02
3.0496221370e-05 2.0084297811e+02
3.2598534744e-05 2.1411374369e+02
3.4845776099e-05 2.2826091591e+02
3.7247933506e-05 2.4334225310e+02
3.9815688069e-05 2.5941932824e+02
4.2560455768e-05 2.7655773750e+02
4.5494442020e-05 2.9482738329e+02
4.8630685342e-05 3.1430268333e+02
5.1983130106e-05 3.3506295446e+02
5.5566681112e-05 3.5719267566e+02
5.9397272707e-05 3.8078183385e+02
6.3491934270e-05 4.0592623876e+02
6.7868866609e-05 4.3272789621e+02
7.2547532909e-05 4.6129546056e+02
7.7548735135e-05 4.9174458751e+02
8.2894701336e-05 5.2419834344e+02
8.8609194791e-05 5.5878773620e+02
9.4717637694e-05 5.9565232102e+02
1.0124716937e-04 6.3494039953e+02
1.0822682816e-04 6.7680995392e+02
1.1568764603e-04 7.2142904154e+02
1.2366278679e-04 7.6897644196e+02
1.3218770619e-04 8.1964242236e+02
1.4130031923e-04 8.7362953368e+02
1.5104110935e-04 9.3115305145e+02
1.6145341215e-04 9.9244243809e+02
1.7258350272e-04 1.0577416300e+03
1.8448085757e-04 1.1273103417e+03
1.9719838747e-04 1.2014251767e+03
2.1079262660e-04 1.2803804625e+03
2.2532400908e-04 1.3644895699e+03
2.4085713085e-04 1.4540861125e+03
2.5746106985e-04 1.5495254436e+03
2.7520960430e-04 1.6511855187e+03
2.9418169288e-04 1.7594692073e+03
3.1446164940e-04 1.8748047864e+03
3.3613966662e-04 1.9976483566e+03
3.5931204911e-04 2.1284845140e+03
3.8408191176e-04 2.2678295585e+03
4.1055929614e-04 2.4162312984e+03
4.3886195635e-04 2.5742724966e+03
4.6911570826e-04 2.7425717017e+03
5.0145509886e-04 2.9217856922e+03
5.3602381376e-04 3.1126102513e+03
5.7297560852e-04 3.3157835875e+03
6.1247474514e-04 3.5320867110e+03
6.5469677793e-04 3.7623453788e+03
6.9982954301e-04 4.0074326939e+03
7.4807356577e-04 4.2682679968e+03
7.9964339966e-04 4.5458201597e+03
8.5476832464e-04 4.8411065852e+03
