z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4580000000e+00        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9098210574e+01
7.5206098700e-06 5.2343083761e+01
8.0390564108e-06 5.5802401856e+01
8.5932442744e-06 5.9490349017e+01
9.1856354629e-06 6.3422020027e+01
9.8188638731e-06 6.7613521265e+01
1.0495745300e-05 7.2082025179e+01
1.1219289263e-05 7.6845835948e+01
1.1992711734e-05 8.1924460149e+01
1.2819450603e-05 8.7338694169e+01
1.3703183868e-05 9.3110727789e+01
1.4647837816e-05 9.9264181334e+01
1.5657613403e-05 1.0582426028e+02
1.6736999896e-05 1.1281782504e+02
1.7890795789e-05 1.2027350664e+02
1.9124130631e-05 1.2822182632e+02
2.0442488676e-05 1.3669532498e+02
2.1851728889e-05 1.4572866713e+02
2.3358117687e-05 1.5535882440e+02
2.4968352591e-05 1.6562519805e+02
2.6689593142e-05 1.7656978547e+02
2.8529490010e-05 1.8823733229e+02
3.0496221370e-05 2.0067552753e+02
3.2598534744e-05 2.1393522954e+02
3.4845776099e-05 2.2807060772e+02
3.7247933506e-05 2.4313937230e+02
3.9815688069e-05 2.5920304497e+02
4.2560455768e-05 2.7632716730e+02
4.5494442020e-05 2.9458158351e+02
4.8630685342e-05 3.1404064939e+02
5.1983130106e-05 3.3478361578e+02
5.5566681112e-05 3.5689489140e+02
5.9397272707e-05 3.8046438835e+02
6.3491934270e-05 4.0558783671e+02
6.7868866609e-05 4.3236715757e+02
7.2547532909e-05 4.6091091505e+02
7.7548735135e-05 4.9133466886e+02
8.2894701336e-05 5.2376138330e+02
8.8609194791e-05 5.5832195761e+02
9.4717637694e-05 5.9515583146e+02
1.0124716937e-04 6.3441118372e+02
1.0822682816e-04 6.7624586597e+02
1.1568764603e-04 7.2082779677e+02
1.2366278679e-04 7.6833560820e+02
1.3218770619e-04 8.1895941069e+02
1.4130031923e-04 8.7290158855e+02
1.5104110935e-04 9.3037724051e+02
1.6145341215e-04 9.9161564085e+02
1.7258350272e-04 1.0568605264e+03
1.8448085757e-04 1.1263713995e+03
1.9719838747e-04 1.2004246385e+03
2.1079262660e-04 1.2793143317e+03
2.2532400908e-04 1.3633535959e+03
2.4085713085e-04 1.4528757754e+03
2.5746106985e-04 1.5482359373e+03
2.7520960430e-04 1.6498117342e+03
2.9418169288e-04 1.7580057138e+03
3.1446164940e-04 1.8732458125e+03
3.3613966662e-04 1.9959877703e+03
3.5931204911e-04 2.1267158019e+03
3.8408191176e-04 2.2659458036e+03
4.1055929614e-04 2.4142251583e+03
4.3886195635e-04 2.5721361794e+03
4.6911570826e-04 2.7402969427e+03
5.0145509886e-04 2.9193637293e+03
5.3602381376e-04 3.1100318006e+03
5.7297560852e-04 3.3130388178e+03
6.1247474514e-04 3.5291652198e+03
