z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.5660000000e+00        0.022422555000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0386811047e+01
7.5206098700e-06 5.3716891110e+01
8.0390564108e-06 5.7267022652e+01
8.5932442744e-06 6.1051807438e+01
9.1856354629e-06 6.5086731072e+01
9.8188638731e-06 6.9388316443e+01
1.0495745300e-05 7.3974191238e+01
1.1219289263e-05 7.8863130908e+01
1.1992711734e-05 8.4075193698e+01
1.2819450603e-05 8.9631683824e+01
1.3703183868e-05 9.5555433805e+01
1.4647837816e-05 1.0187064488e+02
1.5657613403e-05 1.0860322461e+02
1.6736999896e-05 1.1578076227e+02
1.7890795789e-05 1.2343266394e+02
1.9124130631e-05 1.3159022000e+02
2.0442488676e-05 1.4028694270e+02
2.1851728889e-05 1.4955834519e+02
2.3358117687e-05 1.5944244485e+02
2.4968352591e-05 1.6997980009e+02
2.6689593142e-05 1.8121349808e+02
2.8529490010e-05 1.9318954759e+02
3.0496221370e-05 2.0595701397e+02
3.2598534744e-05 2.1956814196e+02
3.4845776099e-05 2.3407877303e+02
3.7247933506e-05 2.4954819808e+02
3.9815688069e-05 2.6603985713e+02
4.2560455768e-05 2.8362121662e+02
4.5494442020e-05 3.0236430945e+02
4.8630685342e-05 3.2234575959e+02
5.1983130106e-05 3.4364732220e+02
5.5566681112e-05 3.6635627643e+02
5.9397272707e-05 3.9056542542e+02
6.3491934270e-05 4.1637378374e+02
6.7868866609e-05 4.4388697022e+02
7.2547532909e-05 4.7321742887e+02
7.7548735135e-05 5.0448501815e+02
8.2894701336e-05 5.3781740376e+02
8.8609194791e-05 5.7335064789e+02
9.4717637694e-05 6.1122994570e+02
1.0124716937e-04 6.5160972361e+02
1.0822682816e-04 6.9465457217e+02
1.1568764603e-04 7.4053993350e+02
1.2366278679e-04 7.8945278877e+02
1.3218770619e-04 8.4159146174e+02
1.4130031923e-04 8.9716827027e+02
1.5104110935e-04 9.5640839705e+02
1.6145341215e-04 1.0195522464e+03
1.7258350272e-04 1.0868550515e+03
1.8448085757e-04 1.1585884458e+03
1.9719838747e-04 1.2350418374e+03
2.1079262660e-04 1.3165227045e+03
2.2532400908e-04 1.4033574783e+03
2.4085713085e-04 1.4958936059e+03
2.5746106985e-04 1.5944998449e+03
2.7520960430e-04 1.6995675397e+03
2.9418169288e-04 1.8115118985e+03
3.1446164940e-04 1.9307730734e+03
3.3613966662e-04 2.0578181243e+03
3.5931204911e-04 2.1931404302e+03
3.8408191176e-04 2.3372618491e+03
4.1055929614e-04 2.4907338969e+03
4.3886195635e-04 2.6541393184e+03
4.6911570826e-04 2.8280909089e+03
5.0145509886e-04 3.0132352463e+03
5.3602381376e-04 3.2102503335e+03
5.7297560852e-04 3.4198471703e+03
6.1247474514e-04 3.6427730921e+03
6.5469677793e-04 3.8798062704e+03
6.9982954301e-04 4.1317594448e+03
7.4807356577e-04 4.3994779586e+03
7.9964339966e-04 4.6838393663e+03
8.5476832464e-04 4.9857522547e+03
9.1369333677e-04 5.3061538866e+03
9.7668042872e-04 5.6460086290e+03
1.0440096958e-03 6.0063052038e+03
1.1159804417e-03 6.3880519735e+03
1.1929126922e-03 6.7922757633e+03
1.2751482427e-03 7.2200037908e+03
1.3630529866e-03 7.6722789869e+03
1.4570176136e-03 8.1501203203e+03
1.5574598219e-03 8.6545365462e+03
1.6648261808e-03 9.1865049949e+03
1.7795939930e-03 9.7469440738e+03
1.9022736233e-03 1.0336725052e+04
2.0334103610e-03 1.0956624923e+04
2.1735872142e-03 1.1607331117e+04
2.3234274704e-03 1.2289416363e+04
2.4835972581e-03 1.3003315901e+04
2.6548085734e-03 1.3749305491e+04
2.8378227726e-03 1.4527475479e+04
3.0334533658e-03 1.5337704093e+04
3.2425699755e-03 1.6179614228e+04
3.4661025274e-03 1.7052567948e+04
3.7050447427e-03 1.7955595780e+04
3.9604585618e-03 1.8887382569e+04
4.2334804311e-03 1.9846201491e+04
4.5253229327e-03 2.0829895192e+04
4.8372847959e-03 2.1836845262e+04
5.1707518287e-03 2.2861828800e+04
5.5272071622e-03 2.3902089798e+04
5.9082354419e-03 2.4953278981e+04
6.3155302778e-03 2.6009775914e+04
6.7509030923e-03 2.7066923353e+04
7.2162891738e-03 2.8117741715e+04
7.7137574553e-03 2.9155141430e+04
8.2455193624e-03 3.0170467942e+04
8.8139399886e-03 3.1154699017e+04
9.4215450808e-03 3.2098086494e+04
1.0071036406e-02 3.2989757185e+04
1.0765301995e-02 3.3818074261e+04
1.1507427320e-02 3.4570316721e+04
1.2300713919e-02 3.5233081628e+04
1.3148685917e-02 3.5792318685e+04
1.4055115171e-02 3.6233534496e+04
1.5024030581e-02 3.6542091107e+04
1.6059739515e-02 3.6703611398e+04
1.7166847363e-02 3.6704437886e+04
1.8350275233e-02 3.6532276954e+04
