z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0457463093e+01
7.5206098700e-06 5.3792205417e+01
8.0390564108e-06 5.7347329072e+01
8.5932442744e-06 6.1137425771e+01
9.1856354629e-06 6.5177989847e+01
9.8188638731e-06 6.9485601773e+01
1.0495745300e-05 7.4077909433e+01
1.1219289263e-05 7.8973706775e+01
1.1992711734e-05 8.4193068644e+01
1.2819450603e-05 8.9757350776e+01
1.3703183868e-05 9.5689407033e+01
1.4647837816e-05 1.0201348453e+02
1.5657613403e-05 1.0875550828e+02
1.6736999896e-05 1.1594310366e+02
1.7890795789e-05 1.2360570878e+02
1.9124130631e-05 1.3177470183e+02
2.0442488676e-05 1.4048357332e+02
2.1851728889e-05 1.4976796361e+02
2.3358117687e-05 1.5966592500e+02
2.4968352591e-05 1.7021801168e+02
2.6689593142e-05 1.8146744448e+02
2.8529490010e-05 1.9346026070e+02
3.0496221370e-05 2.0624556882e+02
3.2598534744e-05 2.1987577316e+02
3.4845776099e-05 2.3440667879e+02
3.7247933506e-05 2.4989777616e+02
3.9815688069e-05 2.6641246581e+02
4.2560455768e-05 2.8401840297e+02
4.5494442020e-05 3.0278763235e+02
4.8630685342e-05 3.2279691776e+02
5.1983130106e-05 3.4412823647e+02
5.5566681112e-05 3.6686877921e+02
5.9397272707e-05 3.9111157940e+02
6.3491934270e-05 4.1695578279e+02
6.7868866609e-05 4.4450718681e+02
7.2547532909e-05 4.7387830046e+02
7.7548735135e-05 5.0518912338e+02
8.2894701336e-05 5.3856759522e+02
8.8609194791e-05 5.7414974552e+02
9.4717637694e-05 6.1208113189e+02
1.0124716937e-04 6.5251624073e+02
1.0822682816e-04 6.9561992544e+02
1.1568764603e-04 7.4156770608e+02
1.2366278679e-04 7.9054672813e+02
1.3218770619e-04 8.4275594227e+02
1.4130031923e-04 8.9840718304e+02
1.5104110935e-04 9.5772630741e+02
1.6145341215e-04 1.0209535543e+03
