z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9112603536e+01
7.5206098700e-06 5.2358427933e+01
8.0390564108e-06 5.5818760098e+01
8.5932442744e-06 5.9507788348e+01
9.1856354629e-06 6.3440611890e+01
9.8188638731e-06 6.7633341822e+01
1.0495745300e-05 7.2103155625e+01
1.1219289263e-05 7.6868362842e+01
1.1992711734e-05 8.1948475767e+01
1.2819450603e-05 8.7364296881e+01
1.3703183868e-05 9.3138022466e+01
1.4647837816e-05 9.9293279769e+01
1.5657613403e-05 1.0585528165e+02
1.6736999896e-05 1.1285089639e+02
1.7890795789e-05 1.2030876339e+02
1.9124130631e-05 1.2825941285e+02
2.0442488676e-05 1.3673539520e+02
2.1851728889e-05 1.4577138508e+02
2.3358117687e-05 1.5540436496e+02
2.4968352591e-05 1.6567374762e+02
2.6689593142e-05 1.7662154275e+02
2.8529490010e-05 1.8829250907e+02
3.0496221370e-05 2.0073434954e+02
3.2598534744e-05 2.1399793739e+02
3.4845776099e-05 2.2813745785e+02
3.7247933506e-05 2.4321063801e+02
3.9815688069e-05 2.5927901753e+02
4.2560455768e-05 2.7640815710e+02
4.5494442020e-05 2.9466792132e+02
4.8630685342e-05 3.1413268766e+02
5.1983130106e-05 3.3488173002e+02
5.5566681112e-05 3.5699948171e+02
5.9397272707e-05 3.8057588095e+02
6.3491934270e-05 4.0570668562e+02
6.7868866609e-05 4.3249384636e+02
7.2547532909e-05 4.6104595874e+02
7.7548735135e-05 4.9147861587e+02
8.2894701336e-05 5.2391481752e+02
8.8609194791e-05 5.5848550063e+02
9.4717637694e-05 5.9533014492e+02
1.0124716937e-04 6.3459697172e+02
1.0822682816e-04 6.7644387769e+02
1.1568764603e-04 7.2103882919e+02
1.2366278679e-04 7.6856050897e+02
1.3218770619e-04 8.1919908117e+02
1.4130031923e-04 8.7315698699e+02
1.5104110935e-04 9.3064938535e+02
1.6145341215e-04 9.9190561432e+02
1.7258350272e-04 1.0571694781e+03
1.8448085757e-04 1.1267005503e+03
1.9719838747e-04 1.2007752845e+03
2.1079262660e-04 1.2796878486e+03
2.2532400908e-04 1.3637514432e+03
2.4085713085e-04 1.4532995010e+03
2.5746106985e-04 1.5486871821e+03
2.7520960430e-04 1.6502922369e+03
2.9418169288e-04 1.7585173159e+03
3.1446164940e-04 1.8737904631e+03
3.3613966662e-04 1.9965675309e+03
3.5931204911e-04 2.1273328518e+03
3.8408191176e-04 2.2666024443e+03
4.1055929614e-04 2.4149238181e+03
4.3886195635e-04 2.5728794181e+03
4.6911570826e-04 2.7410874551e+03
5.0145509886e-04 2.9202043488e+03
5.3602381376e-04 3.1109255015e+03
5.7297560852e-04 3.3139887173e+03
6.1247474514e-04 3.5301745781e+03
6.5469677793e-04 3.7603083873e+03
6.9982954301e-04 4.0052627674e+03
7.4807356577e-04 4.2659565523e+03
7.9964339966e-04 4.5433580792e+03
8.5476832464e-04 4.8384841875e+03
9.1369333677e-04 5.1523998066e+03
9.7668042872e-04 5.4862178629e+03
1.0440096958e-03 5.8410967275e+03
1.1159804417e-03 6.2182358225e+03
1.1929126922e-03 6.6188711083e+03
1.2751482427e-03 7.0442653980e+03
1.3630529866e-03 7.4957020335e+03
1.4570176136e-03 7.9744662447e+03
1.5574598219e-03 8.4818299018e+03
1.6648261808e-03 9.0190294249e+03
1.7795939930e-03 9.5872383013e+03
1.9022736233e-03 1.0187536368e+04
2.0334103610e-03 1.0820871468e+04
2.1735872142e-03 1.1488021097e+04
2.3234274704e-03 1.2189549585e+04
2.4835972581e-03 1.2925764011e+04
2.6548085734e-03 1.3696673545e+04
2.8378227726e-03 1.4501954729e+04
3.0334533658e-03 1.5340920130e+04
3.2425699755e-03 1.6212500601e+04
3.4661025274e-03 1.7115237387e+04
3.7050447427e-03 1.8047279617e+04
3.9604585618e-03 1.9006391797e+04
4.2334804311e-03 1.9989970353e+04
4.5253229327e-03 2.0995041305e+04
4.8372847959e-03 2.2018282322e+04
5.1707518287e-03 2.3056003726e+04
5.5272071622e-03 2.4104149986e+04
5.9082354419e-03 2.5158269025e+04
6.3155302778e-03 2.6213480584e+04
6.7509030923e-03 2.7264436376e+04
7.2162891738e-03 2.8305262151e+04
7.7137574553e-03 2.9329498154e+04
8.2455193624e-03 3.0330024189e+04
8.8139399886e-03 3.1298974017e+04
9.4215450808e-03 3.2227624951e+04
1.0071036406e-02 3.3106283154e+04
1.0765301995e-02 3.3924143149e+04
1.1507427320e-02 3.4669145585e+04
1.2300713919e-02 3.5327864470e+04
1.3148685917e-02 3.5885455132e+04
1.4055115171e-02 3.6325773801e+04
1.5024030581e-02 3.6631758133e+04
1.6059739515e-02 3.6786232427e+04
1.7166847363e-02 3.6773249461e+04
1.8350275233e-02 3.6579997217e+04
1.9615285099e-02 3.6199088845e+04
2.0967502147e-02 3.5630769963e+04
2.2412935272e-02 3.4884344593e+04
2.3958012462e-02 3.3978113313e+04
2.5609601289e-02 3.2937522039e+04
2.7375046164e-02 3.1791852285e+04
2.9262196273e-02 3.0570406028e+04
3.1279440969e-02 2.9299274833e+04
3.3435747027e-02 2.7999444084e+04
3.5740699619e-02 2.6686374805e+04
3.8204550743e-02 2.5370705732e+04
4.0838252753e-02 2.4059530621e+04
4.3653514236e-02 2.2757737850e+04
4.6478152275e-02 2.1545355920e+04
4.9302790314e-02 2.0417758501e+04
5.2127432078e-02 1.9367039293e+04
5.4952070117e-02 1.8386401227e+04
5.7776708156e-02 1.7469949809e+04
6.0601349920e-02 1.6612512842e+04
6.3425987959e-02 1.5809500830e+04
6.6250629723e-02 1.5056794250e+04
6.9075264037e-02 1.4350665075e+04
7.1899905801e-02 1.3687712785e+04
7.4724547565e-02 1.3064832991e+04
7.7549181879e-02 1.2479174024e+04
8.0373823643e-02 1.1928108396e+04
8.3198465407e-02 1.1409220412e+04
8.6023099720e-02 1.0920280813e+04
8.8847741485e-02 1.0459228143e+04
9.1672383249e-02 1.0024162427e+04
9.5292858779e-02 9.5017233011e+03
9.8913334310e-02 9.0157168450e+03
1.0253380984e-01 8.5630800331e+03
1.0615429282e-01 8.1410386707e+03
1.0977476835e-01 7.7470816562e+03
1.1339524388e-01 7.3789296262e+03
1.1701571941e-01 7.0345149949e+03
1.2063620240e-01 6.7119593140e+03
1.2425667793e-01 6.4095569426e+03
1.2787716091e-01 6.1257535144e+03
1.3149763644e-01 5.8591356973e+03
1.3511811197e-01 5.6084133520e+03
1.3873858750e-01 5.3724096642e+03
1.4235906303e-01 5.1500495886e+03
1.4597953856e-01 4.9403500071e+03
1.4960001409e-01 4.7424109376e+03
1.5322048962e-01 4.5554076245e+03
1.5684096515e-01 4.3785834611e+03
1.6046145558e-01 4.2112429535e+03
1.6408193111e-01 4.0527487271e+03
1.6770240664e-01 3.9025122675e+03
1.7132288217e-01 3.7599920851e+03
1.7494335771e-01 3.6246888555e+03
1.7856383324e-01 3.4961416766e+03
1.8218430877e-01 3.3739246831e+03
1.8580478430e-01 3.2576440034e+03
1.8942527473e-01 3.1469345632e+03
1.9304575026e-01 3.0414593876e+03
1.9666622579e-01 2.9409046198e+03
2.0028670132e-01 2.8449793249e+03
2.0390717685e-01 2.7534131656e+03
2.0752765238e-01 2.6659547242e+03
2.1114812791e-01 2.5823699778e+03
2.1476860344e-01 2.5024409037e+03
2.1838907898e-01 2.4259642186e+03
2.2200956941e-01 2.3527499323e+03
2.2563004494e-01 2.2826214853e+03
2.2925052047e-01 2.2154129842e+03
2.3287099600e-01 2.1509695449e+03
2.3649147153e-01 2.0891461793e+03
2.4011194706e-01 2.0298070631e+03
2.4373242259e-01 1.9728248645e+03
2.4735289812e-01 1.9180801252e+03
2.5097337365e-01 1.8654606953e+03
2.5459384918e-01 1.8148612143e+03
2.5821432471e-01 1.7661826314e+03
2.6183480024e-01 1.7193317657e+03
2.6545527577e-01 1.6742209026e+03
2.6907578111e-01 1.6307670673e+03
2.7269625664e-01 1.5888930980e+03
2.7631673217e-01 1.5485251834e+03
2.7993720770e-01 1.5095940114e+03
2.8355768323e-01 1.4720341333e+03
2.8717815876e-01 1.4357837129e+03
2.9079863429e-01 1.4007842931e+03
2.9441910982e-01 1.3669805800e+03
2.9803958535e-01 1.3343202440e+03
3.0166006088e-01 1.3027537325e+03
3.0528053641e-01 1.2722340987e+03
3.0890101194e-01 1.2427168410e+03
3.1252148747e-01 1.2141597538e+03
3.1614196301e-01 1.1865227889e+03
3.1976243854e-01 1.1597679268e+03
3.2338291407e-01 1.1338590560e+03
3.2700338960e-01 1.1087618609e+03
3.3062389493e-01 1.0844435201e+03
3.3424437046e-01 1.0608734032e+03
3.3786484599e-01 1.0380217787e+03
3.4148532152e-01 1.0158605355e+03
3.4510579705e-01 9.9436289985e+02
3.4872627258e-01 9.7350336092e+02
