z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0620000000e+00        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0439024437e+01
7.5206098700e-06 5.3772545754e+01
8.0390564108e-06 5.7326371590e+01
8.5932442744e-06 6.1115077501e+01
9.1856354629e-06 6.5154177541e+01
9.8188638731e-06 6.9460206589e+01
1.0495745300e-05 7.4050819139e+01
1.1219289263e-05 7.8944846921e+01
1.1992711734e-05 8.4162286561e+01
1.2819450603e-05 8.9724558899e+01
1.3703183868e-05 9.5654443126e+01
1.4647837816e-05 1.0197619205e+02
1.5657613403e-05 1.0871575435e+02
1.6736999896e-05 1.1590072520e+02
1.7890795789e-05 1.2356051917e+02
1.9124130631e-05 1.3172655127e+02
2.0442488676e-05 1.4043225351e+02
2.1851728889e-05 1.4971323945e+02
2.3358117687e-05 1.5960759243e+02
2.4968352591e-05 1.7015581610e+02
2.6689593142e-05 1.8140114731e+02
2.8529490010e-05 1.9338958898e+02
3.0496221370e-05 2.0617022300e+02
3.2598534744e-05 2.1979544068e+02
3.4845776099e-05 2.3432105806e+02
3.7247933506e-05 2.4980649695e+02
3.9815688069e-05 2.6631516372e+02
4.2560455768e-05 2.8391469616e+02
4.5494442020e-05 3.0267707885e+02
4.8630685342e-05 3.2267910410e+02
5.1983130106e-05 3.4400263539e+02
5.5566681112e-05 3.6673487085e+02
5.9397272707e-05 3.9096893598e+02
6.3491934270e-05 4.1680378485e+02
6.7868866609e-05 4.4434508919e+02
7.2547532909e-05 4.7370553482e+02
7.7548735135e-05 5.0500505208e+02
8.2894701336e-05 5.3837144155e+02
8.8609194791e-05 5.7394076918e+02
9.4717637694e-05 6.1185851887e+02
1.0124716937e-04 6.5227919726e+02
1.0822682816e-04 6.9536732166e+02
1.1568764603e-04 7.4129886896e+02
1.2366278679e-04 7.9026009014e+02
1.3218770619e-04 8.4245080326e+02
1.4130031923e-04 8.9808248355e+02
1.5104110935e-04 9.5738070016e+02
1.6145341215e-04 1.0205857748e+03
1.7258350272e-04 1.0879533746e+03
1.8448085757e-04 1.1597553678e+03
1.9719838747e-04 1.2362806808e+03
2.1079262660e-04 1.3178374047e+03
2.2532400908e-04 1.4047516763e+03
2.4085713085e-04 1.4973709710e+03
2.5746106985e-04 1.5960639708e+03
2.7520960430e-04 1.7012218819e+03
2.9418169288e-04 1.8132604101e+03
3.1446164940e-04 1.9326185756e+03
3.3613966662e-04 2.0597635864e+03
3.5931204911e-04 2.1951875457e+03
3.8408191176e-04 2.3394132471e+03
4.1055929614e-04 2.4929904864e+03
4.3886195635e-04 2.6565011994e+03
4.6911570826e-04 2.8305584072e+03
5.0145509886e-04 3.0158067437e+03
5.3602381376e-04 3.2129235093e+03
5.7297560852e-04 3.4226191973e+03
6.1247474514e-04 3.6456390752e+03
6.5469677793e-04 3.8827608133e+03
6.9982954301e-04 4.1347976460e+03
7.4807356577e-04 4.4025941571e+03
7.9964339966e-04 4.6870278599e+03
8.5476832464e-04 4.9890089344e+03
9.1369333677e-04 5.3094765385e+03
9.7668042872e-04 5.6493974916e+03
1.0440096958e-03 6.0097644294e+03
1.1159804417e-03 6.3915884289e+03
1.1929126922e-03 6.7958963732e+03
1.2751482427e-03 7.2237246291e+03
1.3630529866e-03 7.6761079827e+03
1.4570176136e-03 8.1540743710e+03
1.5574598219e-03 8.6586269675e+03
1.6648261808e-03 9.1907373333e+03
1.7795939930e-03 9.7513301373e+03
1.9022736233e-03 1.0341263662e+04
2.0334103610e-03 1.0961325061e+04
2.1735872142e-03 1.1612198222e+04
2.3234274704e-03 1.2294457439e+04
2.4835972581e-03 1.3008537913e+04
2.6548085734e-03 1.3754708352e+04
2.8378227726e-03 1.4533064646e+04
3.0334533658e-03 1.5343468755e+04
3.2425699755e-03 1.6185562402e+04
3.4661025274e-03 1.7058690151e+04
3.7050447427e-03 1.7961882550e+04
3.9604585618e-03 1.8893816084e+04
4.2334804311e-03 1.9852774188e+04
4.5253229327e-03 2.0836579806e+04
4.8372847959e-03 2.1843614373e+04
5.1707518287e-03 2.2868653377e+04
5.5272071622e-03 2.3908942307e+04
5.9082354419e-03 2.4960129157e+04
6.3155302778e-03 2.6016584777e+04
6.7509030923e-03 2.7073641037e+04
7.2162891738e-03 2.8124317871e+04
7.7137574553e-03 2.9161529839e+04
8.2455193624e-03 3.0176606655e+04
8.8139399886e-03 3.1160536616e+04
9.4215450808e-03 3.2103564070e+04
1.0071036406e-02 3.2994833245e+04
1.0765301995e-02 3.3822683301e+04
1.1507427320e-02 3.4574393324e+04
1.2300713919e-02 3.5236591176e+04
1.3148685917e-02 3.5795236643e+04
1.4055115171e-02 3.6235827965e+04
1.5024030581e-02 3.6543739039e+04
1.6059739515e-02 3.6704626168e+04
1.7166847363e-02 3.6704836919e+04
1.8350275233e-02 3.6532088737e+04
1.9615285099e-02 3.6176328811e+04
2.0967502147e-02 3.5630640300e+04
2.2412935272e-02 3.4892277124e+04
2.3958012462e-02 3.3963852590e+04
2.5609601289e-02 3.2854416337e+04
2.7375046164e-02 3.1580354235e+04
2.9262196273e-02 3.0165938451e+04
3.1279440969e-02 2.8643420173e+04
3.3435747027e-02 2.7052256157e+04
3.5740699619e-02 2.5437500702e+04
3.8204550743e-02 2.3847103819e+04
4.0838252753e-02 2.2328250496e+04
4.3653514236e-02 2.0922869597e+04
4.6478152275e-02 1.9733168917e+04
4.9302790314e-02 1.8743757329e+04
5.2127432078e-02 1.7924737729e+04
5.4952070117e-02 1.7240832549e+04
5.7776708156e-02 1.6654971782e+04
6.0601349920e-02 1.6130874687e+04
6.3425987959e-02 1.5635724209e+04
6.6250629723e-02 1.5142172275e+04
6.9075264037e-02 1.4630380917e+04
7.1899905801e-02 1.4086880000e+04
7.4724547565e-02 1.3506403915e+04
7.7549181879e-02 1.2894005413e+04
8.0373823643e-02 1.2256004909e+04
8.3198465407e-02 1.1604930482e+04
8.6023099720e-02 1.0957528386e+04
8.8847741485e-02 1.0331472182e+04
9.1672383249e-02 9.7409506624e+03
9.5292858779e-02 9.0506997765e+03
9.8913334310e-02 8.4478540797e+03
1.0253380984e-01 7.9418214859e+03
