z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2375000000e+00        0.022400110000000008        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9087267347e+01
7.5206098700e-06 5.2331417296e+01
8.0390564108e-06 5.5789964356e+01
8.5932442744e-06 5.9477089523e+01
9.1856354629e-06 6.3407884214e+01
9.8188638731e-06 6.7598451218e+01
1.0495745300e-05 7.2065959156e+01
1.1219289263e-05 7.6828708125e+01
1.1992711734e-05 8.1906200356e+01
1.2819450603e-05 8.7319227596e+01
1.3703183868e-05 9.3089974682e+01
1.4647837816e-05 9.9242056672e+01
1.5657613403e-05 1.0580067342e+02
1.6736999896e-05 1.1279267936e+02
1.7890795789e-05 1.2024669911e+02
1.9124130631e-05 1.2819324712e+02
2.0442488676e-05 1.3666485705e+02
2.1851728889e-05 1.4569618565e+02
2.3358117687e-05 1.5532419632e+02
2.4968352591e-05 1.6558828151e+02
2.6689593142e-05 1.7653042926e+02
2.8529490010e-05 1.8819537521e+02
3.0496221370e-05 2.0063079774e+02
3.2598534744e-05 2.1388754385e+02
3.4845776099e-05 2.2801977083e+02
3.7247933506e-05 2.4308517603e+02
3.9815688069e-05 2.5914526740e+02
4.2560455768e-05 2.7626557187e+02
4.5494442020e-05 2.9451591804e+02
4.8630685342e-05 3.1397064508e+02
5.1983130106e-05 3.3470898609e+02
5.5566681112e-05 3.5681533090e+02
5.9397272707e-05 3.8037957148e+02
6.3491934270e-05 4.0549741645e+02
6.7868866609e-05 4.3227076403e+02
7.2547532909e-05 4.6080815399e+02
7.7548735135e-05 4.9122512007e+02
8.2894701336e-05 5.2364459890e+02
8.8609194791e-05 5.5819746027e+02
9.4717637694e-05 5.9502311238e+02
1.0124716937e-04 6.3426970066e+02
1.0822682816e-04 6.7609504098e+02
1.1568764603e-04 7.2066701383e+02
1.2366278679e-04 7.6816421074e+02
1.3218770619e-04 8.1877669887e+02
1.4130031923e-04 8.7270681635e+02
1.5104110935e-04 9.3016961270e+02
1.6145341215e-04 9.9139430959e+02
1.7258350272e-04 1.0566245877e+03
1.8448085757e-04 1.1261198895e+03
1.9719838747e-04 1.2001565291e+03
2.1079262660e-04 1.2790285263e+03
2.2532400908e-04 1.3630489247e+03
2.4085713085e-04 1.4525509901e+03
2.5746106985e-04 1.5478897057e+03
2.7520960430e-04 1.6494426340e+03
