z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0541349513e+01
7.5206098700e-06 5.3881631819e+01
8.0390564108e-06 5.7442663938e+01
8.5932442744e-06 6.1239060265e+01
9.1856354629e-06 6.5286353195e+01
9.8188638731e-06 6.9601128694e+01
1.0495745300e-05 7.4201057282e+01
1.1219289263e-05 7.9105002491e+01
1.1992711734e-05 8.4333028613e+01
1.2819450603e-05 8.9906578875e+01
1.3703183868e-05 9.5848498680e+01
1.4647837816e-05 1.0218307434e+02
1.5657613403e-05 1.0893631972e+02
1.6736999896e-05 1.1613586001e+02
1.7890795789e-05 1.2381117965e+02
1.9124130631e-05 1.3199378500e+02
2.0442488676e-05 1.4071711913e+02
2.1851728889e-05 1.5001697240e+02
2.3358117687e-05 1.5993138174e+02
2.4968352591e-05 1.7050100252e+02
2.6689593142e-05 1.8176917051e+02
2.8529490010e-05 1.9378187090e+02
3.0496221370e-05 2.0658846650e+02
3.2598534744e-05 2.2024134136e+02
3.4845776099e-05 2.3479641213e+02
3.7247933506e-05 2.5031322092e+02
3.9815688069e-05 2.6685541572e+02
4.2560455768e-05 2.8449057986e+02
4.5494442020e-05 3.0329105325e+02
4.8630685342e-05 3.2333362248e+02
5.1983130106e-05 3.4470037297e+02
5.5566681112e-05 3.6747871994e+02
5.9397272707e-05 3.9176196623e+02
6.3491934270e-05 4.1764914733e+02
6.7868866609e-05 4.4524633283e+02
7.2547532909e-05 4.7466631660e+02
7.7548735135e-05 5.0602920548e+02
8.2894701336e-05 5.3946307009e+02
8.8609194791e-05 5.7510462650e+02
9.4717637694e-05 6.1309917426e+02
1.0124716937e-04 6.5360152603e+02
1.0822682816e-04 6.9677703016e+02
1.1568764603e-04 7.4280119886e+02
1.2366278679e-04 7.9186193924e+02
1.3218770619e-04 8.4415788004e+02
1.4130031923e-04 8.9990196615e+02
1.5104110935e-04 9.5932009514e+02
1.6145341215e-04 1.0226528526e+03
1.7258350272e-04 1.0901563177e+03
1.8448085757e-04 1.1621030550e+03
1.9719838747e-04 1.2387824241e+03
2.1079262660e-04 1.3205030588e+03
2.2532400908e-04 1.4075920611e+03
2.4085713085e-04 1.5003974808e+03
2.5746106985e-04 1.5992881908e+03
2.7520960430e-04 1.7046566148e+03
2.9418169288e-04 1.8169187263e+03
3.1446164940e-04 1.9365156611e+03
3.3613966662e-04 2.0639128487e+03
3.5931204911e-04 2.1996058383e+03
3.8408191176e-04 2.3441175719e+03
4.1055929614e-04 2.4979981367e+03
4.3886195635e-04 2.6618310857e+03
4.6911570826e-04 2.8362297201e+03
5.0145509886e-04 3.0218405595e+03
5.3602381376e-04 3.2193416063e+03
5.7297560852e-04 3.4294455690e+03
6.1247474514e-04 3.6528971350e+03
6.5469677793e-04 3.8904781764e+03
6.9982954301e-04 4.1430000652e+03
7.4807356577e-04 4.4113101188e+03
7.9964339966e-04 4.6962893687e+03
8.5476832464e-04 4.9988480986e+03
9.1369333677e-04 5.3199303062e+03
9.7668042872e-04 5.6605008128e+03
1.0440096958e-03 6.0215561706e+03
1.1159804417e-03 6.4041117723e+03
1.1929126922e-03 6.8091944138e+03
1.2751482427e-03 7.2378442776e+03
1.3630529866e-03 7.6910970838e+03
1.4570176136e-03 8.1699830990e+03
1.5574598219e-03 8.6755063126e+03
1.6648261808e-03 9.2086399741e+03
1.7795939930e-03 9.7703087455e+03
1.9022736233e-03 1.0361376305e+04
2.0334103610e-03 1.0982629979e+04
2.1735872142e-03 1.1634752976e+04
2.3234274704e-03 1.2318324387e+04
2.4835972581e-03 1.3033772581e+04
2.6548085734e-03 1.3781377186e+04
2.8378227726e-03 1.4561225464e+04
3.0334533658e-03 1.5373185533e+04
3.2425699755e-03 1.6216887528e+04
3.4661025274e-03 1.7091680962e+04
3.7050447427e-03 1.7996598041e+04
3.9604585618e-03 1.8930307052e+04
4.2334804311e-03 1.9891084605e+04
4.5253229327e-03 2.0876751175e+04
4.8372847959e-03 2.1885686498e+04
5.1707518287e-03 2.2912649005e+04
5.5272071622e-03 2.3954888015e+04
5.9082354419e-03 2.5008028612e+04
6.3155302778e-03 2.6066436559e+04
6.7509030923e-03 2.7125431529e+04
7.2162891738e-03 2.8178020800e+04
7.7137574553e-03 2.9217080758e+04
8.2455193624e-03 3.0233958751e+04
8.8139399886e-03 3.1219595574e+04
9.4215450808e-03 3.2164212123e+04
1.0071036406e-02 3.3056932591e+04
1.0765301995e-02 3.3886058149e+04
1.1507427320e-02 3.4638860692e+04
1.2300713919e-02 3.5301904117e+04
1.3148685917e-02 3.5861131583e+04
1.4055115171e-02 3.6301990452e+04
