z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9198947389e+01
7.5206098700e-06 5.2450478203e+01
8.0390564108e-06 5.5916893908e+01
8.5932442744e-06 5.9612407764e+01
9.1856354629e-06 6.3552145523e+01
9.8188638731e-06 6.7752246608e+01
1.0495745300e-05 7.2229918701e+01
1.1219289263e-05 7.7003503534e+01
1.1992711734e-05 8.2092547705e+01
1.2819450603e-05 8.7517890266e+01
1.3703183868e-05 9.3301766525e+01
1.4647837816e-05 9.9467845265e+01
1.5657613403e-05 1.0604138367e+02
1.6736999896e-05 1.1304929727e+02
1.7890795789e-05 1.2052027581e+02
1.9124130631e-05 1.2848490316e+02
2.0442488676e-05 1.3697578697e+02
2.1851728889e-05 1.4602766287e+02
2.3358117687e-05 1.5567757832e+02
2.4968352591e-05 1.6596501541e+02
2.6689593142e-05 1.7693205768e+02
2.8529490010e-05 1.8862354254e+02
3.0496221370e-05 2.0108725682e+02
3.2598534744e-05 2.1437416320e+02
3.4845776099e-05 2.2853854216e+02
3.7247933506e-05 2.4363822229e+02
3.9815688069e-05 2.5973485144e+02
4.2560455768e-05 2.7689410558e+02
4.5494442020e-05 2.9518597214e+02
4.8630685342e-05 3.1468495935e+02
5.1983130106e-05 3.3547048051e+02
5.5566681112e-05 3.5762711737e+02
5.9397272707e-05 3.8124496628e+02
6.3491934270e-05 4.0641995350e+02
6.7868866609e-05 4.3325420892e+02
7.2547532909e-05 4.6185651906e+02
7.7548735135e-05 4.9234268028e+02
8.2894701336e-05 5.2483590865e+02
8.8609194791e-05 5.5946737135e+02
9.4717637694e-05 5.9637679336e+02
1.0124716937e-04 6.3571265667e+02
1.0822682816e-04 6.7763313562e+02
1.1568764603e-04 7.2230649197e+02
1.2366278679e-04 7.6991172273e+02
1.3218770619e-04 8.2063932649e+02
1.4130031923e-04 8.7469210055e+02
1.5104110935e-04 9.3228558228e+02
1.6145341215e-04 9.9364951319e+02
1.7258350272e-04 1.0590281264e+03
1.8448085757e-04 1.1286814522e+03
1.9719838747e-04 1.2028864306e+03
2.1079262660e-04 1.2819377471e+03
2.2532400908e-04 1.3661491536e+03
2.4085713085e-04 1.4558546696e+03
2.5746106985e-04 1.5514100803e+03
2.7520960430e-04 1.6531938012e+03
2.9418169288e-04 1.7616091916e+03
3.1446164940e-04 1.8770850495e+03
3.3613966662e-04 2.0000780302e+03
3.5931204911e-04 2.1310733192e+03
3.8408191176e-04 2.2705878444e+03
4.1055929614e-04 2.4191700804e+03
4.3886195635e-04 2.5774034986e+03
4.6911570826e-04 2.7459074002e+03
5.0145509886e-04 2.9253393624e+03
5.3602381376e-04 3.1163960146e+03
5.7297560852e-04 3.3198164632e+03
6.1247474514e-04 3.5363826683e+03
6.5469677793e-04 3.7669213911e+03
6.9982954301e-04 4.0123067965e+03
7.4807356577e-04 4.2734593430e+03
7.9964339966e-04 4.5513490813e+03
8.5476832464e-04 4.8469946510e+03
9.1369333677e-04 5.1614628687e+03
9.7668042872e-04 5.4958686342e+03
1.0440096958e-03 5.8513723749e+03
1.1159804417e-03 6.2291756444e+03
1.1929126922e-03 6.6305166022e+03
1.2751482427e-03 7.0566603120e+03
1.3630529866e-03 7.5088924063e+03
1.4570176136e-03 7.9885004146e+03
1.5574598219e-03 8.4967584884e+03
1.6648261808e-03 9.0349052733e+03
1.7795939930e-03 9.6041163782e+03
1.9022736233e-03 1.0205473604e+04
2.0334103610e-03 1.0839926537e+04
2.1735872142e-03 1.1508254120e+04
2.3234274704e-03 1.2211021767e+04
2.4835972581e-03 1.2948537200e+04
2.6548085734e-03 1.3720809714e+04
2.8378227726e-03 1.4527515402e+04
3.0334533658e-03 1.5367965750e+04
3.2425699755e-03 1.6241089867e+04
3.4661025274e-03 1.7145426569e+04
3.7050447427e-03 1.8079121873e+04
3.9604585618e-03 1.9039936493e+04
4.2334804311e-03 2.0025262405e+04
4.5253229327e-03 2.1032120514e+04
4.8372847959e-03 2.2057182732e+04
5.1707518287e-03 2.3096752935e+04
5.5272071622e-03 2.4146768436e+04
5.9082354419e-03 2.5202769218e+04
6.3155302778e-03 2.6259866190e+04
6.7509030923e-03 2.7312701229e+04
7.2162891738e-03 2.8355389068e+04
7.7137574553e-03 2.9381457547e+04
8.2455193624e-03 3.0383772414e+04
8.8139399886e-03 3.1354451390e+04
9.4215450808e-03 3.2284753315e+04
1.0071036406e-02 3.3164962902e+04
1.0765301995e-02 3.3984249538e+04
1.1507427320e-02 3.4730524181e+04
1.2300713919e-02 3.5390325595e+04
1.3148685917e-02 3.5948767244e+04
1.4055115171e-02 3.6389655974e+04
1.5024030581e-02 3.6695872209e+04
1.6059739515e-02 3.6850176094e+04
1.7166847363e-02 3.6836552516e+04
1.8350275233e-02 3.6642124308e+04
1.9615285099e-02 3.6259452640e+04
2.0967502147e-02 3.5688757931e+04
2.2412935272e-02 3.4939359693e+04
2.3958012462e-02 3.4029623823e+04
2.5609601289e-02 3.2985110682e+04
2.7375046164e-02 3.1835252485e+04
2.9262196273e-02 3.0609516126e+04
3.1279440969e-02 2.9334148062e+04
3.3435747027e-02 2.8030259662e+04
3.5740699619e-02 2.6713399710e+04
3.8204550743e-02 2.5394256612e+04
4.0838252753e-02 2.4079942225e+04
4.3653514236e-02 2.2775340518e+04
4.6478152275e-02 2.1560602070e+04
4.9302790314e-02 2.0431020902e+04
5.2127432078e-02 1.9378619244e+04
5.4952070117e-02 1.8396543974e+04
5.7776708156e-02 1.7478856703e+04
6.0601349920e-02 1.6620350695e+04
6.3425987959e-02 1.5816409069e+04
6.6250629723e-02 1.5062890379e+04
6.9075264037e-02 1.4356048860e+04
7.1899905801e-02 1.3692469500e+04
7.4724547565e-02 1.3069035972e+04
7.7549181879e-02 1.2482886672e+04
8.0373823643e-02 1.1931385779e+04
8.3198465407e-02 1.1412110564e+04
8.6023099720e-02 1.0922825796e+04
8.8847741485e-02 1.0461464905e+04
9.1672383249e-02 1.0026123528e+04
9.5292858779e-02 9.5033726850e+03
9.8913334310e-02 9.0170950299e+03
1.0253380984e-01 8.5642218477e+03
1.0615429282e-01 8.1419741525e+03
1.0977476835e-01 7.7478367893e+03
1.1339524388e-01 7.3795269490e+03
1.1701571941e-01 7.0349741064e+03
1.2063620240e-01 6.7122972962e+03
1.2425667793e-01 6.4097887163e+03
1.2787716091e-01 6.1258921376e+03
1.3149763644e-01 5.8591926191e+03
1.3511811197e-01 5.6083986273e+03
1.3873858750e-01 5.3723321379e+03
1.4235906303e-01 5.1499170521e+03
1.4597953856e-01 4.9401693333e+03
1.4960001409e-01 4.7421881967e+03
1.5322048962e-01 4.5551481836e+03
1.5684096515e-01 4.3782920708e+03
1.6046145558e-01 4.2109238227e+03
1.6408193111e-01 4.0524055880e+03
1.6770240664e-01 3.9021484320e+03
1.7132288217e-01 3.7596104942e+03
1.7494335771e-01 3.6242921220e+03
1.7856383324e-01 3.4957321232e+03
1.8218430877e-01 3.3735043752e+03
1.8580478430e-01 3.2572147781e+03
1.8942527473e-01 3.1464980547e+03
1.9304575026e-01 3.0410170498e+03
1.9666622579e-01 2.9404577460e+03
2.0028670132e-01 2.8445290654e+03
2.0390717685e-01 2.7529605430e+03
2.0752765238e-01 2.6655006472e+03
2.1114812791e-01 2.5819152533e+03
2.1476860344e-01 2.5019862477e+03
2.1838907898e-01 2.4255102656e+03
2.2200956941e-01 2.3522972441e+03
2.2563004494e-01 2.2821705582e+03
2.2925052047e-01 2.2149642562e+03
2.3287099600e-01 2.1505234014e+03
2.3649147153e-01 2.0887029586e+03
2.4011194706e-01 2.0293670615e+03
2.4373242259e-01 1.9723883403e+03
2.4735289812e-01 1.9176473027e+03
2.5097337365e-01 1.8650317683e+03
2.5459384918e-01 1.8144363492e+03
2.5821432471e-01 1.7657619698e+03
2.6183480024e-01 1.7189154273e+03
2.6545527577e-01 1.6738089871e+03
2.6907578111e-01 1.6303596568e+03
2.7269625664e-01 1.5884902584e+03
2.7631673217e-01 1.5481269664e+03
2.7993720770e-01 1.5092004558e+03
2.8355768323e-01 1.4716452664e+03
2.8717815876e-01 1.4353995517e+03
2.9079863429e-01 1.4004048455e+03
2.9441910982e-01 1.3666058457e+03
2.9803958535e-01 1.3339502151e+03
3.0166006088e-01 1.3023883949e+03
3.0528053641e-01 1.2718734324e+03
3.0890101194e-01 1.2423608207e+03
3.1252148747e-01 1.2138083499e+03
3.1614196301e-01 1.1861759676e+03
3.1976243854e-01 1.1594256509e+03
3.2338291407e-01 1.1335212852e+03
3.2700338960e-01 1.1084285520e+03
3.3062389493e-01 1.0841146279e+03
3.3424437046e-01 1.0605488803e+03
3.3786484599e-01 1.0377015758e+03
3.4148532152e-01 1.0155446021e+03
3.4510579705e-01 9.9405118422e+02
3.4872627258e-01 9.7319581021e+02
3.5234674811e-01 9.5295416133e+02
3.5596722364e-01 9.3330304645e+02
3.5958769917e-01 9.1422034063e+02
3.6320817471e-01 8.9568492782e+02
