z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6875000000e+00        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0427874054e+01
7.5206098700e-06 5.3760654680e+01
8.0390564108e-06 5.7313692598e+01
8.5932442744e-06 6.1101572429e+01
9.1856354629e-06 6.5139770229e+01
9.8188638731e-06 6.9444854557e+01
1.0495745300e-05 7.4034452967e+01
1.1219289263e-05 7.8927392759e+01
1.1992711734e-05 8.4143680872e+01
1.2819450603e-05 8.9704731767e+01
1.3703183868e-05 9.5633287001e+01
1.4647837816e-05 1.0195366321e+02
1.5657613403e-05 1.0869173873e+02
1.6736999896e-05 1.1587512110e+02
1.7890795789e-05 1.2353322758e+02
1.9124130631e-05 1.3169745264e+02
2.0442488676e-05 1.4040124170e+02
2.1851728889e-05 1.4968019841e+02
2.3358117687e-05 1.5957237952e+02
2.4968352591e-05 1.7011830829e+02
2.6689593142e-05 1.8136113536e+02
2.8529490010e-05 1.9334697389e+02
3.0496221370e-05 2.0612480568e+02
3.2598534744e-05 2.1974711125e+02
3.4845776099e-05 2.3426954808e+02
3.7247933506e-05 2.4975166112e+02
3.9815688069e-05 2.6625673530e+02
4.2560455768e-05 2.8385241216e+02
4.5494442020e-05 3.0261081052e+02
4.8630685342e-05 3.2260855327e+02
5.1983130106e-05 3.4392754486e+02
5.5566681112e-05 3.6665497131e+02
5.9397272707e-05 3.9088386319e+02
6.3491934270e-05 4.1671333698e+02
6.7868866609e-05 4.4424905074e+02
7.2547532909e-05 4.7360339187e+02
7.7548735135e-05 5.0489662987e+02
8.2894701336e-05 5.3825632659e+02
8.8609194791e-05 5.7381856941e+02
9.4717637694e-05 6.1172899008e+02
1.0124716937e-04 6.5214196040e+02
1.0822682816e-04 6.9522220081e+02
1.1568764603e-04 7.4114542384e+02
1.2366278679e-04 7.9009828048e+02
1.3218770619e-04 8.4228002242e+02
1.4130031923e-04 8.9790266289e+02
1.5104110935e-04 9.5719188819e+02
1.6145341215e-04 1.0203880229e+03
1.7258350272e-04 1.0877465659e+03
1.8448085757e-04 1.1595397994e+03
1.9719838747e-04 1.2360570565e+03
2.1079262660e-04 1.3176061156e+03
2.2532400908e-04 1.4045141656e+03
2.4085713085e-04 1.4971284491e+03
2.5746106985e-04 1.5958185148e+03
2.7520960430e-04 1.7009757882e+03
2.9418169288e-04 1.8130163600e+03
3.1446164940e-04 1.9323809861e+03
3.3613966662e-04 2.0595363744e+03
3.5931204911e-04 2.1949771152e+03
3.8408191176e-04 2.3392258956e+03
4.1055929614e-04 2.4928354300e+03
4.3886195635e-04 2.6563878163e+03
4.6911570826e-04 2.8304983969e+03
5.0145509886e-04 3.0158129703e+03
5.3602381376e-04 3.2130116519e+03
5.7297560852e-04 3.4228075867e+03
6.1247474514e-04 3.6459458774e+03
6.5469677793e-04 3.8832080881e+03
6.9982954301e-04 4.1354083840e+03
7.4807356577e-04 4.4033913864e+03
7.9964339966e-04 4.6880368910e+03
8.5476832464e-04 4.9902534341e+03
9.1369333677e-04 5.3109821529e+03
9.7668042872e-04 5.6511843455e+03
1.0440096958e-03 6.0118491924e+03
1.1159804417e-03 6.3939886093e+03
1.1929126922e-03 6.7986230905e+03
1.2751482427e-03 7.2267885734e+03
1.3630529866e-03 7.6795192792e+03
1.4570176136e-03 8.1578451397e+03
1.5574598219e-03 8.6627707779e+03
1.6648261808e-03 9.1952725058e+03
1.7795939930e-03 9.7562768757e+03
1.9022736233e-03 1.0346647812e+04
2.0334103610e-03 1.0967172885e+04
2.1735872142e-03 1.1618536712e+04
2.3234274704e-03 1.2301309812e+04
2.4835972581e-03 1.3015932295e+04
2.6548085734e-03 1.3762672691e+04
2.8378227726e-03 1.4541628803e+04
3.0334533658e-03 1.5352677947e+04
3.2425699755e-03 1.6195447788e+04
3.4661025274e-03 1.7069289738e+04
3.7050447427e-03 1.7973241212e+04
3.9604585618e-03 1.8905986163e+04
4.2334804311e-03 1.9865795025e+04
4.5253229327e-03 2.0850504129e+04
4.8372847959e-03 2.1858507448e+04
5.1707518287e-03 2.2884561382e+04
5.5272071622e-03 2.3925913727e+04
5.9082354419e-03 2.4978213119e+04
6.3155302778e-03 2.6035831608e+04
6.7509030923e-03 2.7094100400e+04
7.2162891738e-03 2.8146041181e+04
7.7137574553e-03 2.9184560678e+04
8.2455193624e-03 3.0200985330e+04
8.8139399886e-03 3.1186274386e+04
9.4215450808e-03 3.2130668161e+04
1.0071036406e-02 3.3023291673e+04
1.0765301995e-02 3.3852484088e+04
1.1507427320e-02 3.4605500161e+04
1.2300713919e-02 3.5268925472e+04
1.3148685917e-02 3.5828679854e+04
1.4055115171e-02 3.6270247318e+04
1.5024030581e-02 3.6578957450e+04
1.6059739515e-02 3.6740410937e+04
1.7166847363e-02 3.6740939415e+04
1.8350275233e-02 3.6568202577e+04
1.9615285099e-02 3.6212083843e+04
2.0967502147e-02 3.5665664954e+04
2.2412935272e-02 3.4926138798e+04
2.3958012462e-02 3.3996140904e+04
2.5609601289e-02 3.2884682852e+04
2.7375046164e-02 3.1608174916e+04
2.9262196273e-02 3.0190957973e+04
3.1279440969e-02 2.8665334388e+04
3.3435747027e-02 2.7070871385e+04
3.5740699619e-02 2.5452752125e+04
3.8204550743e-02 2.3859056102e+04
4.0838252753e-02 2.2337130148e+04
4.3653514236e-02 2.0929068917e+04
4.6478152275e-02 1.9737328522e+04
4.9302790314e-02 1.8746521331e+04
5.2127432078e-02 1.7926714550e+04
5.4952070117e-02 1.7242556769e+04
5.7776708156e-02 1.6656894950e+04
6.0601349920e-02 1.6133344749e+04
6.3425987959e-02 1.5638972372e+04
6.6250629723e-02 1.5146303822e+04
6.9075264037e-02 1.4635385620e+04
7.1899905801e-02 1.4092633476e+04
7.4724547565e-02 1.3512691403e+04
7.7549181879e-02 1.2900550772e+04
8.0373823643e-02 1.2262508710e+04
8.3198465407e-02 1.1611091692e+04
8.6023099720e-02 1.0963073748e+04
8.8847741485e-02 1.0336182058e+04
9.1672383249e-02 9.7446812428e+03
9.5292858779e-02 9.0530835888e+03
9.8913334310e-02 8.4489173154e+03
1.0253380984e-01 7.9417113285e+03
1.0615429282e-01 7.5309603139e+03
1.0977476835e-01 7.2045753353e+03
1.1339524388e-01 6.9455155482e+03
1.1701571941e-01 6.7359611176e+03
1.2063620240e-01 6.5566311725e+03
1.2425667793e-01 6.3882551368e+03
1.2787716091e-01 6.2150430118e+03
1.3149763644e-01 6.0258886075e+03
1.3511811197e-01 5.8132160704e+03
1.3873858750e-01 5.5765672717e+03
1.4235906303e-01 5.3214749309e+03
1.4597953856e-01 5.0567219935e+03
1.4960001409e-01 4.7915718396e+03
1.5322048962e-01 4.5352543905e+03
1.5684096515e-01 4.2965886244e+03
1.6046145558e-01 4.0824666331e+03
1.6408193111e-01 3.8965954847e+03
1.6770240664e-01 3.7395671433e+03
1.7132288217e-01 3.6095774052e+03
1.7494335771e-01 3.5029241356e+03
1.7856383324e-01 3.4143583717e+03
1.8218430877e-01 3.3377682987e+03
1.8580478430e-01 3.2671040866e+03
1.8942527473e-01 3.1970610078e+03
1.9304575026e-01 3.1234026585e+03
1.9666622579e-01 3.0432052507e+03
2.0028670132e-01 2.9551894129e+03
2.0390717685e-01 2.8598375099e+03
2.0752765238e-01 2.7590296712e+03
2.1114812791e-01 2.6554627651e+03
2.1476860344e-01 2.5522147904e+03
2.1838907898e-01 2.4523901268e+03
2.2200956941e-01 2.3586712726e+03
2.2563004494e-01 2.2729795373e+03
2.2925052047e-01 2.1964267838e+03
2.3287099600e-01 2.1292929083e+03
2.3649147153e-01 2.0709694316e+03
2.4011194706e-01 2.0201656148e+03
2.4373242259e-01 1.9753054606e+03
2.4735289812e-01 1.9346561872e+03
2.5097337365e-01 1.8962797557e+03
2.5459384918e-01 1.8583082619e+03
2.5821432471e-01 1.8193814754e+03
2.6183480024e-01 1.7787452853e+03
2.6545527577e-01 1.7360720738e+03
2.6907578111e-01 1.6914150319e+03
2.7269625664e-01 1.6452449427e+03
2.7631673217e-01 1.5983455151e+03
2.7993720770e-01 1.5516621759e+03
2.8355768323e-01 1.5061882879e+03
2.8717815876e-01 1.4628106177e+03
2.9079863429e-01 1.4221565186e+03
2.9441910982e-01 1.3845770938e+03
2.9803958535e-01 1.3501926665e+03
3.0166006088e-01 1.3189016805e+03
3.0528053641e-01 1.2903790918e+03
3.0890101194e-01 1.2641240902e+03
3.1252148747e-01 1.2395434247e+03
3.1614196301e-01 1.2160362304e+03
3.1976243854e-01 1.1930674874e+03
