z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6875000000e+00        0.022467445000000003        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9139112999e+01
7.5206098700e-06 5.2386689411e+01
8.0390564108e-06 5.5848889381e+01
8.5932442744e-06 5.9539908882e+01
9.1856354629e-06 6.3474855275e+01
9.8188638731e-06 6.7669848356e+01
1.0495745300e-05 7.2142074879e+01
1.1219289263e-05 7.6909854274e+01
1.1992711734e-05 8.1992709369e+01
1.2819450603e-05 8.7411453877e+01
1.3703183868e-05 9.3188296066e+01
1.4647837816e-05 9.9346875940e+01
1.5657613403e-05 1.0591241997e+02
1.6736999896e-05 1.1291181097e+02
1.7890795789e-05 1.2037370378e+02
1.9124130631e-05 1.2832864511e+02
2.0442488676e-05 1.3680920295e+02
2.1851728889e-05 1.4585007071e+02
2.3358117687e-05 1.5548825082e+02
2.4968352591e-05 1.6576317736e+02
2.6689593142e-05 1.7671688273e+02
2.8529490010e-05 1.8839414985e+02
3.0496221370e-05 2.0084270747e+02
3.2598534744e-05 2.1411345634e+02
3.4845776099e-05 2.2826061100e+02
3.7247933506e-05 2.4334192979e+02
3.9815688069e-05 2.5941898568e+02
4.2560455768e-05 2.7655737489e+02
4.5494442020e-05 2.9482699985e+02
4.8630685342e-05 3.1430227837e+02
5.1983130106e-05 3.3506252737e+02
5.5566681112e-05 3.5719222598e+02
5.9397272707e-05 3.8078136131e+02
6.3491934270e-05 4.0592574330e+02
6.7868866609e-05 4.3272737810e+02
7.2547532909e-05 4.6129492046e+02
7.7548735135e-05 4.9174402656e+02
8.2894701336e-05 5.2419776341e+02
8.8609194791e-05 5.5878713963e+02
9.4717637694e-05 5.9565171141e+02
1.0124716937e-04 6.3493978154e+02
1.0822682816e-04 6.7680933363e+02
1.1568764603e-04 7.2142842679e+02
1.2366278679e-04 7.6897584271e+02
1.3218770619e-04 8.1964185113e+02
1.4130031923e-04 8.7362900607e+02
1.5104110935e-04 9.3115258679e+02
1.6145341215e-04 9.9244206016e+02
1.7258350272e-04 1.0577413679e+03
1.8448085757e-04 1.1273102309e+03
1.9719838747e-04 1.2014252601e+03
2.1079262660e-04 1.2803807922e+03
2.2532400908e-04 1.3644902084e+03
2.4085713085e-04 1.4540871350e+03
2.5746106985e-04 1.5495269401e+03
2.7520960430e-04 1.6511875967e+03
2.9418169288e-04 1.7594719950e+03
3.1446164940e-04 1.8748084363e+03
3.3613966662e-04 1.9976530495e+03
3.5931204911e-04 2.1284904645e+03
3.8408191176e-04 2.2678370203e+03
4.1055929614e-04 2.4162405714e+03
4.3886195635e-04 2.5742839347e+03
4.6911570826e-04 2.7425857220e+03
5.0145509886e-04 2.9218027858e+03
5.3602381376e-04 3.1126309959e+03
5.7297560852e-04 3.3158086618e+03
6.1247474514e-04 3.5321169119e+03
6.5469677793e-04 3.7623816408e+03
6.9982954301e-04 4.0074761123e+03
7.4807356577e-04 4.2683198540e+03
7.9964339966e-04 4.5458819562e+03
8.5476832464e-04 4.8411800747e+03
9.1369333677e-04 5.1552800248e+03
9.7668042872e-04 5.4892956939e+03
1.0440096958e-03 5.8443864962e+03
1.1159804417e-03 6.2217529846e+03
1.1929126922e-03 6.6226323449e+03
1.2751482427e-03 7.0482887158e+03
1.3630529866e-03 7.5000068727e+03
1.4570176136e-03 7.9790735899e+03
1.5574598219e-03 8.4867623983e+03
1.6648261808e-03 9.0243114973e+03
1.7795939930e-03 9.5928962729e+03
1.9022736233e-03 1.0193598578e+04
2.0334103610e-03 1.0827368387e+04
2.1735872142e-03 1.1494985430e+04
2.3234274704e-03 1.2197016370e+04
2.4835972581e-03 1.2933770705e+04
2.6548085734e-03 1.3705260090e+04
2.8378227726e-03 1.4511163612e+04
3.0334533658e-03 1.5350796420e+04
3.2425699755e-03 1.6223091975e+04
3.4661025274e-03 1.7126594129e+04
3.7050447427e-03 1.8059454610e+04
3.9604585618e-03 1.9019440475e+04
4.2334804311e-03 2.0003950627e+04
4.5253229327e-03 2.1010013435e+04
4.8372847959e-03 2.2034308722e+04
5.1707518287e-03 2.3073148671e+04
5.5272071622e-03 2.4122479206e+04
5.9082354419e-03 2.5177849137e+04
6.3155302778e-03 2.6234378334e+04
6.7509030923e-03 2.7286717646e+04
7.2162891738e-03 2.8328990679e+04
7.7137574553e-03 2.9354733920e+04
8.2455193624e-03 3.0356821386e+04
8.8139399886e-03 3.1327378545e+04
9.4215450808e-03 3.2257671312e+04
1.0071036406e-02 3.3137990646e+04
1.0765301995e-02 3.3957511198e+04
1.1507427320e-02 3.4704148050e+04
1.2300713919e-02 3.5364442776e+04
1.3148685917e-02 3.5923510109e+04
1.4055115171e-02 3.6365156349e+04
1.5024030581e-02 3.6672259140e+04
1.6059739515e-02 3.6827573099e+04
1.7166847363e-02 3.6815074192e+04
1.8350275233e-02 3.6621872309e+04
1.9615285099e-02 3.6240511207e+04
2.0967502147e-02 3.5671189488e+04
2.2412935272e-02 3.4923201242e+04
2.3958012462e-02 3.4014885012e+04
2.5609601289e-02 3.2971774135e+04
2.7375046164e-02 3.1823276502e+04
2.9262196273e-02 3.0598839211e+04
3.1279440969e-02 2.9324694364e+04
3.3435747027e-02 2.8021944331e+04
3.5740699619e-02 2.6706133469e+04
3.8204550743e-02 2.5387949229e+04
4.0838252753e-02 2.4074504907e+04
4.3653514236e-02 2.2770687439e+04
4.6478152275e-02 2.1556611727e+04
4.9302790314e-02 2.0427591290e+04
5.2127432078e-02 1.9375666158e+04
5.4952070117e-02 1.8393997479e+04
5.7776708156e-02 1.7476658391e+04
6.0601349920e-02 1.6618451537e+04
6.3425987959e-02 1.5814767718e+04
6.6250629723e-02 1.5061471817e+04
6.9075264037e-02 1.4354823319e+04
7.1899905801e-02 1.3691411583e+04
7.4724547565e-02 1.3068123937e+04
7.7549181879e-02 1.2482101852e+04
8.0373823643e-02 1.1930712098e+04
8.3198465407e-02 1.1411534144e+04
8.6023099720e-02 1.0922334619e+04
8.8847741485e-02 1.0461048546e+04
9.1672383249e-02 1.0025772918e+04
9.5292858779e-02 9.5030949302e+03
9.8913334310e-02 9.0168791963e+03
1.0253380984e-01 8.5640587101e+03
1.0615429282e-01 8.1418559045e+03
1.0977476835e-01 7.7477568068e+03
1.1339524388e-01 7.3794795964e+03
1.1701571941e-01 7.0349545780e+03
1.2063620240e-01 6.7123014845e+03
1.2425667793e-01 6.4098131034e+03
1.2787716091e-01 6.1259337047e+03
1.3149763644e-01 5.8592487712e+03
1.3511811197e-01 5.6084671305e+03
1.3873858750e-01 5.3724110659e+03
1.4235906303e-01 5.1500047420e+03
1.4597953856e-01 4.9402643480e+03
1.4960001409e-01 4.7422892928e+03
1.5322048962e-01 4.5552542849e+03
1.5684096515e-01 4.3784022448e+03
1.6046145558e-01 4.2110372614e+03
1.6408193111e-01 4.0525215909e+03
1.6770240664e-01 3.9022663918e+03
1.7132288217e-01 3.7597298845e+03
1.7494335771e-01 3.6244124869e+03
1.7856383324e-01 3.4958530679e+03
1.8218430877e-01 3.3736255583e+03
1.8580478430e-01 3.2573359046e+03
1.8942527473e-01 3.1466188703e+03
1.9304575026e-01 3.0411373356e+03
1.9666622579e-01 2.9405773143e+03
2.0028670132e-01 2.8446477556e+03
2.0390717685e-01 2.7530782181e+03
2.0752765238e-01 2.6656171912e+03
2.1114812791e-01 2.5820305684e+03
2.1476860344e-01 2.5021002521e+03
2.1838907898e-01 2.4256228916e+03
2.2200956941e-01 2.3524084360e+03
2.2563004494e-01 2.2822802714e+03
2.2925052047e-01 2.2150724555e+03
2.3287099600e-01 2.1506300597e+03
2.3649147153e-01 2.0888080561e+03
2.4011194706e-01 2.0294705847e+03
2.4373242259e-01 1.9724902813e+03
2.4735289812e-01 1.9177476583e+03
2.5097337365e-01 1.8651305394e+03
2.5459384918e-01 1.8145335406e+03
2.5821432471e-01 1.7658575892e+03
2.6183480024e-01 1.7190094852e+03
2.6545527577e-01 1.6739014965e+03
2.6907578111e-01 1.6304506323e+03
2.7269625664e-01 1.5885797167e+03
2.7631673217e-01 1.5482149255e+03
2.7993720770e-01 1.5092869349e+03
2.8355768323e-01 1.4717302857e+03
2.8717815876e-01 1.4354831323e+03
2.9079863429e-01 1.4004870090e+03
2.9441910982e-01 1.3666866143e+03
2.9803958535e-01 1.3340296116e+03
3.0166006088e-01 1.3024664422e+03
3.0528053641e-01 1.2719501536e+03
3.0890101194e-01 1.2424362391e+03
3.1252148747e-01 1.2138824887e+03
3.1614196301e-01 1.1862488502e+03
3.1976243854e-01 1.1594973005e+03
3.2338291407e-01 1.1335917248e+03
3.2700338960e-01 1.1084978046e+03
3.3062389493e-01 1.0841827161e+03
3.3424437046e-01 1.0606158266e+03
3.3786484599e-01 1.0377674026e+03
3.4148532152e-01 1.0156093312e+03
3.4510579705e-01 9.9411483722e+02
3.4872627258e-01 9.7325840845e+02
3.5234674811e-01 9.5301572579e+02
3.5596722364e-01 9.3336359777e+02
3.5958769917e-01 9.1427989909e+02
3.6320817471e-01 8.9574351335e+02
3.6682865024e-01 8.7773427888e+02
3.7044912577e-01 8.6023293800e+02
3.7406960130e-01 8.4322108962e+02
