z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0583839420e+01
7.5206098700e-06 5.3926924556e+01
8.0390564108e-06 5.7490959268e+01
8.5932442744e-06 6.1290542421e+01
9.1856354629e-06 6.5341225293e+01
9.8188638731e-06 6.9659616999e+01
1.0495745300e-05 7.4263428113e+01
1.1219289263e-05 7.9171496111e+01
1.1992711734e-05 8.4403930782e+01
1.2819450603e-05 8.9982157848e+01
1.3703183868e-05 9.5929057102e+01
1.4647837816e-05 1.0226898422e+02
1.5657613403e-05 1.0902786526e+02
1.6736999896e-05 1.1623346570e+02
1.7890795789e-05 1.2391526680e+02
1.9124130631e-05 1.3210473465e+02
2.0442488676e-05 1.4083540736e+02
2.1851728889e-05 1.5014305507e+02
2.3358117687e-05 1.6006581802e+02
2.4968352591e-05 1.7064432294e+02
2.6689593142e-05 1.8192190110e+02
2.8529490010e-05 1.9394476287e+02
3.0496221370e-05 2.0676211396e+02
3.2598534744e-05 2.2042641722e+02
3.4845776099e-05 2.3499374160e+02
3.7247933506e-05 2.5052361672e+02
3.9815688069e-05 2.6707968723e+02
4.2560455768e-05 2.8472962554e+02
4.5494442020e-05 3.0354587343e+02
4.8630685342e-05 3.2360532211e+02
5.1983130106e-05 3.4499001023e+02
5.5566681112e-05 3.6778744371e+02
5.9397272707e-05 3.9209097386e+02
6.3491934270e-05 4.1800000089e+02
6.7868866609e-05 4.4562032295e+02
7.2547532909e-05 4.7506495036e+02
7.7548735135e-05 5.0645404746e+02
8.2894701336e-05 5.3991609589e+02
8.8609194791e-05 5.7558740016e+02
9.4717637694e-05 6.1361365810e+02
1.0124716937e-04 6.5414998990e+02
1.0822682816e-04 6.9736151975e+02
1.1568764603e-04 7.4342430646e+02
1.2366278679e-04 7.9252575056e+02
1.3218770619e-04 8.4486546679e+02
1.4130031923e-04 9.0065604019e+02
1.5104110935e-04 9.6012343326e+02
1.6145341215e-04 1.0235088471e+03
1.7258350272e-04 1.0910683144e+03
1.8448085757e-04 1.1630744442e+03
1.9719838747e-04 1.2398171199e+03
2.1079262660e-04 1.3216050696e+03
2.2532400908e-04 1.4087657500e+03
2.4085713085e-04 1.5016470908e+03
2.5746106985e-04 1.6006186586e+03
2.7520960430e-04 1.7060722379e+03
2.9418169288e-04 1.8184257868e+03
3.1446164940e-04 1.9381183178e+03
3.3613966662e-04 2.0656183908e+03
3.5931204911e-04 2.2014194587e+03
3.8408191176e-04 2.3460449868e+03
4.1055929614e-04 2.5000465912e+03
4.3886195635e-04 2.6640077611e+03
4.6911570826e-04 2.8385415324e+03
5.0145509886e-04 3.0242946753e+03
5.3602381376e-04 3.2219458337e+03
5.7297560852e-04 3.4322090138e+03
6.1247474514e-04 3.6558280018e+03
6.5469677793e-04 3.8935852035e+03
6.9982954301e-04 4.1462930370e+03
7.4807356577e-04 4.4147995159e+03
7.9964339966e-04 4.6999880168e+03
8.5476832464e-04 5.0027677407e+03
9.1369333677e-04 5.3240799944e+03
9.7668042872e-04 5.6648991211e+03
1.0440096958e-03 6.0262171454e+03
1.1159804417e-03 6.4090498228e+03
1.1929126922e-03 6.8144296590e+03
1.2751482427e-03 7.2433924173e+03
1.3630529866e-03 7.6969789793e+03
1.4570176136e-03 8.1762176632e+03
1.5574598219e-03 8.6821139876e+03
1.6648261808e-03 9.2156399691e+03
1.7795939930e-03 9.7777215596e+03
1.9022736233e-03 1.0369225152e+04
2.0334103610e-03 1.0990932455e+04
2.1735872142e-03 1.1643534907e+04
2.3234274704e-03 1.2327604831e+04
2.4835972581e-03 1.3043582402e+04
2.6548085734e-03 1.3791733774e+04
2.8378227726e-03 1.4572151076e+04
3.0334533658e-03 1.5384702163e+04
3.2425699755e-03 1.6229016654e+04
3.4661025274e-03 1.7104447778e+04
3.7050447427e-03 1.8010013747e+04
3.9604585618e-03 1.8944391242e+04
4.2334804311e-03 1.9905856782e+04
4.5253229327e-03 2.0892223445e+04
4.8372847959e-03 2.1901866397e+04
5.1707518287e-03 2.2929551915e+04
5.5272071622e-03 2.3972514242e+04
5.9082354419e-03 2.5026379534e+04
6.3155302778e-03 2.6085502744e+04
6.7509030923e-03 2.7145206652e+04
7.2162891738e-03 2.8198485663e+04
7.7137574553e-03 2.9238226236e+04
8.2455193624e-03 3.0255740243e+04
8.8139399886e-03 3.1241967316e+04
9.4215450808e-03 3.2187145411e+04
1.0071036406e-02 3.3080358532e+04
1.0765301995e-02 3.3909918283e+04
