z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.1800000000e-01        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9235437654e+01
7.5206098700e-06 5.2489380087e+01
8.0390564108e-06 5.5958366789e+01
8.5932442744e-06 5.9656621560e+01
9.1856354629e-06 6.3599281371e+01
9.8188638731e-06 6.7802497617e+01
1.0495745300e-05 7.2283490740e+01
1.1219289263e-05 7.7060616077e+01
1.1992711734e-05 8.2153434722e+01
1.2819450603e-05 8.7582801185e+01
1.3703183868e-05 9.3370967263e+01
1.4647837816e-05 9.9541619295e+01
1.5657613403e-05 1.0612003320e+02
1.6736999896e-05 1.1313314446e+02
1.7890795789e-05 1.2060966411e+02
1.9124130631e-05 1.2858019869e+02
2.0442488676e-05 1.3707738005e+02
2.1851728889e-05 1.4613596956e+02
2.3358117687e-05 1.5579304218e+02
2.4968352591e-05 1.6608810925e+02
2.6689593142e-05 1.7706328556e+02
2.8529490010e-05 1.8876344174e+02
3.0496221370e-05 2.0123640007e+02
3.2598534744e-05 2.1453316102e+02
3.4845776099e-05 2.2870804532e+02
3.7247933506e-05 2.4381892445e+02
3.9815688069e-05 2.5992749198e+02
4.2560455768e-05 2.7709947257e+02
4.5494442020e-05 2.9540490553e+02
4.8630685342e-05 3.1491835436e+02
5.1983130106e-05 3.3571929123e+02
5.5566681112e-05 3.5789236058e+02
5.9397272707e-05 3.8152772558e+02
6.3491934270e-05 4.0672138359e+02
6.7868866609e-05 4.3357554020e+02
7.2547532909e-05 4.6219906257e+02
7.7548735135e-05 4.9270783286e+02
8.2894701336e-05 5.2522515847e+02
8.8609194791e-05 5.5988230375e+02
9.4717637694e-05 5.9681909721e+02
1.0124716937e-04 6.3618413083e+02
1.0822682816e-04 6.7813569609e+02
1.1568764603e-04 7.2284217936e+02
1.2366278679e-04 7.7048271017e+02
1.3218770619e-04 8.2124792811e+02
1.4130031923e-04 8.7534078055e+02
1.5104110935e-04 9.3297696433e+02
1.6145341215e-04 9.9438639087e+02
1.7258350272e-04 1.0598134738e+03
1.8448085757e-04 1.1295184358e+03
1.9719838747e-04 1.2037784212e+03
2.1079262660e-04 1.2828883334e+03
2.2532400908e-04 1.3671621557e+03
2.4085713085e-04 1.4569341540e+03
2.5746106985e-04 1.5525603761e+03
2.7520960430e-04 1.6544195160e+03
2.9418169288e-04 1.7629152304e+03
3.1446164940e-04 1.8784766325e+03
3.3613966662e-04 2.0015607135e+03
3.5931204911e-04 2.1326530153e+03
3.8408191176e-04 2.2722708452e+03
4.1055929614e-04 2.4209630798e+03
4.3886195635e-04 2.5793136178e+03
4.6911570826e-04 2.7479422132e+03
5.0145509886e-04 2.9275069235e+03
