z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.2420000000e+00        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 4.9206353136e+01
7.5206098700e-06 5.2458373398e+01
8.0390564108e-06 5.5925310899e+01
8.5932442744e-06 5.9621381037e+01
9.1856354629e-06 6.3561711843e+01
9.8188638731e-06 6.7762445170e+01
1.0495745300e-05 7.2240791290e+01
1.1219289263e-05 7.7015094696e+01
1.1992711734e-05 8.2104904931e+01
1.2819450603e-05 8.7531064185e+01
1.3703183868e-05 9.3315811114e+01
1.4647837816e-05 9.9482818065e+01
1.5657613403e-05 1.0605734603e+02
1.6736999896e-05 1.1306631458e+02
1.7890795789e-05 1.2053841780e+02
1.9124130631e-05 1.2850424416e+02
2.0442488676e-05 1.3699640622e+02
2.1851728889e-05 1.4604964485e+02
2.3358117687e-05 1.5570101309e+02
2.4968352591e-05 1.6598999897e+02
2.6689593142e-05 1.7695869240e+02
2.8529490010e-05 1.8865193754e+02
3.0496221370e-05 2.0111752843e+02
3.2598534744e-05 2.1440643543e+02
3.4845776099e-05 2.2857294723e+02
3.7247933506e-05 2.4367490114e+02
3.9815688069e-05 2.5977395435e+02
4.2560455768e-05 2.7693579272e+02
4.5494442020e-05 2.9523041429e+02
4.8630685342e-05 3.1473233856e+02
5.1983130106e-05 3.3552099086e+02
5.5566681112e-05 3.5768096575e+02
5.9397272707e-05 3.8130237328e+02
6.3491934270e-05 4.0648115426e+02
6.7868866609e-05 4.3331945412e+02
7.2547532909e-05 4.6192607595e+02
7.7548735135e-05 4.9241683376e+02
8.2894701336e-05 5.2491496247e+02
8.8609194791e-05 5.5955164934e+02
9.4717637694e-05 5.9646664079e+02
1.0124716937e-04 6.3580844165e+02
1.0822682816e-04 6.7773525066e+02
1.1568764603e-04 7.2241535562e+02
1.2366278679e-04 7.7002778133e+02
1.3218770619e-04 8.2076305607e+02
1.4130031923e-04 8.7482400886e+02
1.5104110935e-04 9.3242621096e+02
1.6145341215e-04 9.9379944016e+02
1.7258350272e-04 1.0591879683e+03
1.8448085757e-04 1.1288518674e+03
1.9719838747e-04 1.2030681219e+03
2.1079262660e-04 1.2821314650e+03
2.2532400908e-04 1.3663556997e+03
2.4085713085e-04 1.4560749005e+03
2.5746106985e-04 1.5516449118e+03
2.7520960430e-04 1.6534442123e+03
2.9418169288e-04 1.7618762298e+03
3.1446164940e-04 1.8773698356e+03
3.3613966662e-04 2.0003817642e+03
3.5931204911e-04 2.1313972864e+03
3.8408191176e-04 2.2709334222e+03
4.1055929614e-04 2.4195387456e+03
4.3886195635e-04 2.5777968355e+03
4.6911570826e-04 2.7463271091e+03
5.0145509886e-04 2.9257872697e+03
5.3602381376e-04 3.1168740826e+03
5.7297560852e-04 3.3203268022e+03
6.1247474514e-04 3.5369275490e+03
6.5469677793e-04 3.7675032584e+03
6.9982954301e-04 4.0129282850e+03
7.4807356577e-04 4.2741232933e+03
7.9964339966e-04 4.5520585586e+03
8.5476832464e-04 4.8477529655e+03
9.1369333677e-04 5.1622735972e+03
9.7668042872e-04 5.4967356445e+03
1.0440096958e-03 5.8522998523e+03
1.1159804417e-03 6.2301681204e+03
1.1929126922e-03 6.6315789855e+03
1.2751482427e-03 7.0577979220e+03
1.3630529866e-03 7.5101110098e+03
1.4570176136e-03 7.9898062632e+03
1.5574598219e-03 8.4981583596e+03
1.6648261808e-03 9.0364065121e+03
1.7795939930e-03 9.6057269408e+03
1.9022736233e-03 1.0207202102e+04
2.0334103610e-03 1.0841782279e+04
2.1735872142e-03 1.1510247160e+04
2.3234274704e-03 1.2213162940e+04
2.4835972581e-03 1.2950838164e+04
2.6548085734e-03 1.3723282986e+04
2.8378227726e-03 1.4530174389e+04
3.0334533658e-03 1.5370824778e+04
3.2425699755e-03 1.6244164206e+04
3.4661025274e-03 1.7148732450e+04
3.7050447427e-03 1.8082676502e+04
3.9604585618e-03 1.9043758053e+04
4.2334804311e-03 2.0029370049e+04
4.5253229327e-03 2.1036534341e+04
4.8372847959e-03 2.2061923737e+04
5.1707518287e-03 2.3101842933e+04
5.5272071622e-03 2.4152229941e+04
5.9082354419e-03 2.5208625270e+04
6.3155302778e-03 2.6266140124e+04
6.7509030923e-03 2.7319416356e+04
7.2162891738e-03 2.8362568265e+04
7.7137574553e-03 2.9389122732e+04
8.2455193624e-03 3.0391943882e+04
8.8139399886e-03 3.1363146981e+04
9.4215450808e-03 3.2293987387e+04
1.0071036406e-02 3.3174745055e+04
1.0765301995e-02 3.3994583055e+04
1.1507427320e-02 3.4741404110e+04
1.2300713919e-02 3.5401736442e+04
1.3148685917e-02 3.5960680208e+04
1.4055115171e-02 3.6402025790e+04
1.5024030581e-02 3.6708633711e+04
1.6059739515e-02 3.6863240895e+04
