z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6020000000e+00        0.022489890000000005        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0355977186e-06 5.0471139893e+01
7.5206098700e-06 5.3806779225e+01
8.0390564108e-06 5.7362864556e+01
8.5932442744e-06 6.1153984156e+01
9.1856354629e-06 6.5195650880e+01
9.8188638731e-06 6.9504431547e+01
1.0495745300e-05 7.4097984810e+01
1.1219289263e-05 7.8995099022e+01
1.1992711734e-05 8.4215887879e+01
1.2819450603e-05 8.9781689447e+01
1.3703183868e-05 9.5715331227e+01
1.4647837816e-05 1.0204113015e+02
1.5657613403e-05 1.0878497465e+02
1.6736999896e-05 1.1597453287e+02
1.7890795789e-05 1.2363922119e+02
1.9124130631e-05 1.3181044399e+02
2.0442488676e-05 1.4052167570e+02
2.1851728889e-05 1.4980859969e+02
2.3358117687e-05 1.5970928492e+02
2.4968352591e-05 1.7026424911e+02
2.6689593142e-05 1.8151674901e+02
2.8529490010e-05 1.9351284354e+02
3.0496221370e-05 2.0630164622e+02
3.2598534744e-05 2.1993560287e+02
3.4845776099e-05 2.3447052948e+02
3.7247933506e-05 2.4996581415e+02
3.9815688069e-05 2.6648509871e+02
4.2560455768e-05 2.8409588744e+02
4.5494442020e-05 3.0287038012e+02
4.8630685342e-05 3.2288524483e+02
5.1983130106e-05 3.4422252678e+02
5.5566681112e-05 3.6696944634e+02
5.9397272707e-05 3.9121905539e+02
6.3491934270e-05 4.1707074222e+02
6.7868866609e-05 4.4462992863e+02
7.2547532909e-05 4.7400948356e+02
7.7548735135e-05 5.0532939497e+02
8.2894701336e-05 5.3871755241e+02
8.8609194791e-05 5.7431037811e+02
9.4717637694e-05 6.1225312996e+02
1.0124716937e-04 6.5270060832e+02
1.0822682816e-04 6.9581761046e+02
1.1568764603e-04 7.4177988983e+02
1.2366278679e-04 7.9077435803e+02
1.3218770619e-04 8.4300059948e+02
1.4130031923e-04 8.9867056852e+02
1.5104110935e-04 9.5801040697e+02
1.6145341215e-04 1.0212598383e+03
1.7258350272e-04 1.0886757523e+03
1.8448085757e-04 1.1605294789e+03
1.9719838747e-04 1.2371113318e+03
2.1079262660e-04 1.3187292961e+03
2.2532400908e-04 1.4057100380e+03
2.4085713085e-04 1.4984018330e+03
2.5746106985e-04 1.5971739603e+03
2.7520960430e-04 1.7024185203e+03
2.9418169288e-04 1.8145521510e+03
3.1446164940e-04 1.9340148169e+03
3.3613966662e-04 2.0612746551e+03
3.5931204911e-04 2.1968258556e+03
3.8408191176e-04 2.3411910841e+03
4.1055929614e-04 2.4949237040e+03
4.3886195635e-04 2.6586069683e+03
4.6911570826e-04 2.8328546257e+03
5.0145509886e-04 3.0183151615e+03
5.3602381376e-04 3.2156661429e+03
5.7297560852e-04 3.4256220952e+03
6.1247474514e-04 3.6489308668e+03
6.5469677793e-04 3.8863714074e+03
6.9982954301e-04 4.1387580095e+03
7.4807356577e-04 4.4069384903e+03
7.9964339966e-04 4.6917917686e+03
8.5476832464e-04 4.9942278645e+03
9.1369333677e-04 5.3151842645e+03
9.7668042872e-04 5.6556283445e+03
1.0440096958e-03 6.0165513116e+03
1.1159804417e-03 6.3989605296e+03
1.1929126922e-03 6.8038851734e+03
1.2751482427e-03 7.2323556299e+03
1.3630529866e-03 7.6854123837e+03
1.4570176136e-03 8.1640813785e+03
1.5574598219e-03 8.6693715937e+03
1.6648261808e-03 9.2022580798e+03
1.7795939930e-03 9.7636714566e+03
1.9022736233e-03 1.0354471255e+04
2.0334103610e-03 1.0975443493e+04
2.1735872142e-03 1.1627276441e+04
2.3234274704e-03 1.2310542852e+04
2.4835972581e-03 1.3025678145e+04
2.6548085734e-03 1.3772956982e+04
2.8378227726e-03 1.4552475495e+04
3.0334533658e-03 1.5364105240e+04
3.2425699755e-03 1.6207479460e+04
3.4661025274e-03 1.7081942200e+04
3.7050447427e-03 1.7986535372e+04
3.9604585618e-03 1.8919938983e+04
4.2334804311e-03 1.9880421046e+04
4.5253229327e-03 2.0865823040e+04
4.8372847959e-03 2.1874513149e+04
5.1707518287e-03 2.2901276024e+04
5.5272071622e-03 2.3943335963e+04
5.9082354419e-03 2.4996341994e+04
6.3155302778e-03 2.6054666776e+04
6.7509030923e-03 2.7113631360e+04
7.2162891738e-03 2.8166249633e+04
7.7137574553e-03 2.9205415925e+04
8.2455193624e-03 3.0222460609e+04
8.8139399886e-03 3.1208339223e+04
9.4215450808e-03 3.2153270564e+04
1.0071036406e-02 3.3046378013e+04
1.0765301995e-02 3.3875990047e+04
1.1507427320e-02 3.4629342955e+04
1.2300713919e-02 3.5293013841e+04
1.3148685917e-02 3.5852920615e+04
1.4055115171e-02 3.6294515881e+04
1.5024030581e-02 3.6603135913e+04
1.6059739515e-02 3.6764359336e+04
1.7166847363e-02 3.6764498283e+04
1.8350275233e-02 3.6591215578e+04
1.9615285099e-02 3.6234381037e+04
2.0967502147e-02 3.5687066712e+04
2.2412935272e-02 3.4946477513e+04
2.3958012462e-02 3.4015224345e+04
2.5609601289e-02 3.2902367826e+04
2.7375046164e-02 3.1624316593e+04
2.9262196273e-02 3.0205444484e+04
3.1279440969e-02 2.8678090539e+04
3.3435747027e-02 2.7081865880e+04
3.5740699619e-02 2.5462000891e+04
3.8204550743e-02 2.3866643841e+04
4.0838252753e-02 2.2343190098e+04
4.3653514236e-02 2.0933780907e+04
4.6478152275e-02 1.9740989637e+04
4.9302790314e-02 1.8749417440e+04
5.2127432078e-02 1.7929097064e+04
5.4952070117e-02 1.7244642336e+04
5.7776708156e-02 1.6658872085e+04
6.0601349920e-02 1.6135346730e+04
6.3425987959e-02 1.5641100355e+04
6.6250629723e-02 1.5148602123e+04
6.9075264037e-02 1.4637861481e+04
7.1899905801e-02 1.4095260034e+04
7.4724547565e-02 1.3515403097e+04
7.7549181879e-02 1.2903265285e+04
8.0373823643e-02 1.2265134744e+04
8.3198465407e-02 1.1613532835e+04
8.6023099720e-02 1.0965250297e+04
8.8847741485e-02 1.0338025457e+04
9.1672383249e-02 9.7461544770e+03
9.5292858779e-02 9.0540592954e+03
9.8913334310e-02 8.4494100646e+03
1.0253380984e-01 7.9417771432e+03
1.0615429282e-01 7.5306919900e+03
1.0977476835e-01 7.2040807821e+03
1.1339524388e-01 6.9449063908e+03
1.1701571941e-01 6.7353509201e+03
1.2063620240e-01 6.5561181455e+03
1.2425667793e-01 6.3879146700e+03
1.2787716091e-01 6.2149171291e+03
1.3149763644e-01 6.0259924175e+03
1.3511811197e-01 5.8135235089e+03
1.3873858750e-01 5.5770244938e+03
1.4235906303e-01 5.3220128490e+03
1.4597953856e-01 5.0572632210e+03
1.4960001409e-01 4.7920482830e+03
1.5322048962e-01 4.5356071836e+03
1.5684096515e-01 4.2967787915e+03
1.6046145558e-01 4.0824777251e+03
1.6408193111e-01 3.8964317148e+03
1.6770240664e-01 3.7392518835e+03
1.7132288217e-01 3.6091460612e+03
1.7494335771e-01 3.5024208504e+03
1.7856383324e-01 3.4138326283e+03
1.8218430877e-01 3.3372667301e+03
1.8580478430e-01 3.2666658464e+03
1.8942527473e-01 3.1967154676e+03
1.9304575026e-01 3.1231647937e+03
1.9666622579e-01 3.0430759501e+03
2.0028670132e-01 2.9551564091e+03
2.0390717685e-01 2.8598767316e+03
2.0752765238e-01 2.7591106786e+03
2.1114812791e-01 2.6555533720e+03
2.1476860344e-01 2.5522842586e+03
2.1838907898e-01 2.4524136849e+03
2.2200956941e-01 2.3586319256e+03
2.2563004494e-01 2.2728696939e+03
2.2925052047e-01 2.1962470456e+03
2.3287099600e-01 2.1290515681e+03
2.3649147153e-01 2.0706820341e+03
2.4011194706e-01 2.0198499552e+03
2.4373242259e-01 1.9749818812e+03
2.4735289812e-01 1.9343440075e+03
2.5097337365e-01 1.8959959271e+03
2.5459384918e-01 1.8580642829e+03
2.5821432471e-01 1.8191836408e+03
2.6183480024e-01 1.7785948427e+03
2.6545527577e-01 1.7359634472e+03
2.6907578111e-01 1.6913396407e+03
2.7269625664e-01 1.6451909546e+03
2.7631673217e-01 1.5982995701e+03
2.7993720770e-01 1.5516119606e+03
2.8355768323e-01 1.5061237763e+03
2.8717815876e-01 1.4627233269e+03
2.9079863429e-01 1.4220433450e+03
2.9441910982e-01 1.3844370543e+03
2.9803958535e-01 1.3500284564e+03
3.0166006088e-01 1.3187188953e+03
3.0528053641e-01 1.2901842293e+03
3.0890101194e-01 1.2639255225e+03
3.1252148747e-01 1.2393485152e+03
3.1614196301e-01 1.2158520812e+03
3.1976243854e-01 1.1928986097e+03
3.2338291407e-01 1.1700454100e+03
3.2700338960e-01 1.1469643014e+03
3.3062389493e-01 1.1234844278e+03
3.3424437046e-01 1.0996000335e+03
3.3786484599e-01 1.0754252245e+03
3.4148532152e-01 1.0511609483e+03
3.4510579705e-01 1.0270839876e+03
3.4872627258e-01 1.0034981874e+03
3.5234674811e-01 9.8066245702e+02
3.5596722364e-01 9.5877400801e+02
3.5958769917e-01 9.3798461131e+02
3.6320817471e-01 9.1838110864e+02
3.6682865024e-01 8.9995643147e+02
3.7044912577e-01 8.8261838625e+02
