z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 5.0646190740e+01
7.5176321843e-06 5.3993449597e+01
8.0358786363e-06 5.7561902880e+01
8.5898518591e-06 6.1366200508e+01
9.1820147645e-06 6.5421941936e+01
9.8150003396e-06 6.9745707153e+01
1.0491621651e-05 7.4355254343e+01
1.1214888218e-05 7.9269434620e+01
1.1988014194e-05 8.4508385814e+01
1.2814437468e-05 9.0093547966e+01
1.3697833310e-05 9.6047880370e+01
1.4642127098e-05 1.0239570655e+02
1.5651517970e-05 1.0916304754e+02
1.6730495190e-05 1.1637764520e+02
1.7883852706e-05 1.2406903964e+02
1.9116721887e-05 1.3226873982e+02
2.0434579710e-05 1.4101035530e+02
2.1843288778e-05 1.5032964273e+02
2.3349110052e-05 1.6026484694e+02
2.4958739232e-05 1.7085660014e+02
2.6679332223e-05 1.8214834051e+02
2.8518539693e-05 1.9418625018e+02
3.0484536182e-05 2.0701968930e+02
3.2586063753e-05 2.2070121156e+02
3.4832464735e-05 2.3528673469e+02
3.7233727198e-05 2.5083616061e+02
3.9800528612e-05 2.6741301880e+02
4.2544274038e-05 2.8508519498e+02
4.5477172534e-05 3.0392514812e+02
4.8612251703e-05 3.2400977094e+02
5.1963459555e-05 3.4542141304e+02
5.5545689975e-05 3.6824766389e+02
5.9374870034e-05 3.9258184891e+02
6.3468025473e-05 4.1852346355e+02
6.7843349825e-05 4.4617870035e+02
7.2520306276e-05 4.7566060399e+02
7.7519667684e-05 5.0708931933e+02
8.2863683929e-05 5.4059373466e+02
8.8576096459e-05 5.7631021051e+02
9.4682312920e-05 6.1438475001e+02
1.0120947263e-04 6.5497237879e+02
1.0818659939e-04 6.9823891222e+02
1.1564471060e-04 7.4436014938e+02
1.2361696281e-04 7.9352404331e+02
1.3213881175e-04 8.4593045303e+02
1.4124813606e-04 9.0179194968e+02
1.5098541917e-04 9.6133530473e+02
1.6139398212e-04 1.0248016140e+03
1.7252007092e-04 1.0924474139e+03
1.8441317661e-04 1.1645459836e+03
1.9712616631e-04 1.2413873450e+03
2.1071554511e-04 1.3232803092e+03
2.2524174710e-04 1.4105531583e+03
2.4076933914e-04 1.5035541419e+03
2.5736738462e-04 1.6026539573e+03
2.7510963264e-04 1.7082446333e+03
2.9407499824e-04 1.8207438709e+03
3.1434779521e-04 1.9405924389e+03
3.3601815812e-04 2.0682590107e+03
3.5918239155e-04 2.2042380562e+03
3.8394352305e-04 2.3490538098e+03
4.1041165241e-04 2.5032598991e+03
4.3870438822e-04 2.6674377321e+03
4.6894757543e-04 2.8422039388e+03
5.0127564464e-04 3.0282056580e+03
5.3583231056e-04 3.2261222741e+03
5.7277124142e-04 3.4366671529e+03
6.1225669924e-04 3.6605886341e+03
6.5446412191e-04 3.8986680467e+03
6.9958122913e-04 4.1517187173e+03
7.4780860450e-04 4.4205914263e+03
7.9936068505e-04 4.7061664712e+03
8.5446657613e-04 5.0093563949e+03
9.1337133199e-04 5.3311062334e+03
9.7633688711e-04 5.6723843387e+03
1.0436431039e-03 6.0341888279e+03
1.1155892862e-03 6.4175351808e+03
1.1924952269e-03 6.8234527673e+03
1.2747028377e-03 7.2529818715e+03
1.3625776628e-03 7.7071647614e+03
1.4565102756e-03 8.1870258465e+03
1.5569184907e-03 8.6935776300e+03
1.6642485280e-03 9.2277874718e+03
1.7789776903e-03 9.7905865177e+03
1.9016158767e-03 1.0382835966e+04
2.0327086095e-03 1.1005321611e+04
2.1728384309e-03 1.1658731021e+04
2.3226283956e-03 1.2343637668e+04
2.4827446323e-03 1.3060478104e+04
2.6538986713e-03 1.3809523190e+04
2.8368518688e-03 1.4590853290e+04
3.0324172694e-03 1.5404345377e+04
3.2414644957e-03 1.6249619452e+04
3.4649230074e-03 1.7126023662e+04
3.7037860602e-03 1.8032581719e+04
3.9591155946e-03 1.8967960155e+04
4.2320471257e-03 1.9930422682e+04
4.5237941667e-03 2.0917788524e+04
4.8356531188e-03 2.1928430532e+04
5.1690107211e-03 2.2957090238e+04
5.5253496394e-03 2.4001011409e+04
5.9062531218e-03 2.5055802729e+04
6.3134157099e-03 2.6115820768e+04
6.7486464977e-03 2.7176366638e+04
7.2138812393e-03 2.8230431694e+04
7.7111884020e-03 2.9270888229e+04
8.2427784801e-03 3.0289048856e+04
8.8110147044e-03 3.1275829321e+04
9.4184242189e-03 3.2221472685e+04
1.0067706928e-02 3.3115037363e+04
1.0761748999e-02 3.3944829711e+04
1.1503636837e-02 3.4698080580e+04
1.2296669185e-02 3.5361358053e+04
1.3144370168e-02 3.5920565465e+04
1.4050509781e-02 3.6361133882e+04
1.5019116923e-02 3.6668411025e+04
1.6054498032e-02 3.6827966862e+04
1.7161253840e-02 3.6826109531e+04
1.8344307318e-02 3.6650528262e+04
1.9608918577e-02 3.6291138699e+04
2.0960709080e-02 3.5741011571e+04
2.2405687720e-02 3.4997404536e+04
2.3950278759e-02 3.4062980563e+04
2.5601351634e-02 3.2946869543e+04
2.7366243303e-02 3.1665529492e+04
2.9252804816e-02 3.0243411298e+04
3.1269419938e-02 2.8712923006e+04
3.3425055444e-02 2.7113747203e+04
3.5729292780e-02 2.5491164269e+04
3.8192380220e-02 2.3893361621e+04
4.0825270116e-02 2.2367754775e+04
4.3639659882e-02 2.0956488871e+04
4.6463403851e-02 1.9762191363e+04
4.9287147820e-02 1.8769350760e+04
5.2110888064e-02 1.7947916401e+04
5.4934632033e-02 1.7262422393e+04
5.7758376002e-02 1.6675624885e+04
6.0582116246e-02 1.6151050940e+04
6.3405863941e-02 1.5655705152e+04
6.6229604185e-02 1.5162056957e+04
6.9053344429e-02 1.4650138062e+04
7.1877092123e-02 1.4106383604e+04
7.4700832367e-02 1.3525337671e+04
7.7524572611e-02 1.2912097010e+04
8.0348320305e-02 1.2272988650e+04
8.3172060549e-02 1.1620572396e+04
8.5995800793e-02 1.0971633676e+04
8.8819548488e-02 1.0343908414e+04
9.1643288732e-02 9.7516639261e+03
9.5262281597e-02 9.0593170414e+03
9.8881267011e-02 8.4545712882e+03
1.0250025243e-01 7.9469593775e+03
1.0611924529e-01 7.5359346271e+03
1.0973823070e-01 7.2093405481e+03
1.1335721612e-01 6.9501010069e+03
1.1697620898e-01 6.7403883056e+03
1.2059519440e-01 6.5609152732e+03
1.2421417981e-01 6.3923927542e+03
1.2783317268e-01 6.2190041672e+03
1.3145215809e-01 6.0296799389e+03
1.3507114351e-01 5.8167496499e+03
1.3869012892e-01 5.5798283406e+03
1.4230911434e-01 5.3244746095e+03
1.4592811465e-01 5.0594785331e+03
1.4954710007e-01 4.7941004736e+03
1.5316608548e-01 4.5375705321e+03
1.5678507090e-01 4.2987239287e+03
1.6040405631e-01 4.0844606674e+03
1.6402305663e-01 3.8984872249e+03
1.6764204204e-01 3.7413817845e+03
1.7126102745e-01 3.6113267020e+03
1.7488001287e-01 3.5046157489e+03
1.7849899828e-01 3.4160008740e+03
1.8211798370e-01 3.3393710915e+03
1.8573698401e-01 3.2686657681e+03
1.8935596943e-01 3.1985736019e+03
1.9297495484e-01 3.1248538363e+03
1.9659394026e-01 3.0445875250e+03
2.0021292567e-01 2.9565022176e+03
2.0383191109e-01 2.8610833304e+03
2.0745091140e-01 2.7602105180e+03
