z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.9000000000e-01        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 4.9303969862e+01
7.5176321843e-06 5.2562468600e+01
8.0358786363e-06 5.6036320379e+01
8.5898518591e-06 5.9739756614e+01
9.1820147645e-06 6.3687947922e+01
9.8150003396e-06 6.7897068994e+01
1.0491621651e-05 7.2384353481e+01
1.1214888218e-05 7.7168190148e+01
1.1988014194e-05 8.2268163675e+01
1.2814437468e-05 8.7705166518e+01
1.3697833310e-05 9.3501473021e+01
1.4642127098e-05 9.9680806680e+01
1.5651517970e-05 1.0626847753e+02
1.6730495190e-05 1.1329147005e+02
1.7883852706e-05 1.2077851792e+02
1.9116721887e-05 1.2876029521e+02
2.0434579710e-05 1.3726944604e+02
2.1843288778e-05 1.4634081857e+02
2.3349110052e-05 1.5601152003e+02
2.4958739232e-05 1.6632112200e+02
2.6679332223e-05 1.7731179263e+02
2.8518539693e-05 1.8902848420e+02
3.0484536182e-05 2.0151908279e+02
3.2586063753e-05 2.1483464699e+02
3.4832464735e-05 2.2902957344e+02
3.7233727198e-05 2.4416183893e+02
3.9800528612e-05 2.6029322625e+02
4.2544274038e-05 2.7748951117e+02
4.5477172534e-05 2.9582088331e+02
4.8612251703e-05 3.1536197364e+02
5.1963459555e-05 3.3619242155e+02
5.5545689975e-05 3.5839695757e+02
5.9374870034e-05 3.8206586387e+02
6.3468025473e-05 4.0729529002e+02
6.7843349825e-05 4.3418758271e+02
7.2520306276e-05 4.6285180696e+02
7.7519667684e-05 4.9340387756e+02
8.2863683929e-05 5.2596745949e+02
8.8576096459e-05 5.6067392231e+02
9.4682312920e-05 5.9766326022e+02
1.0120947263e-04 6.3708433502e+02
1.0818659939e-04 6.7909563740e+02
1.1564471060e-04 7.2386577152e+02
1.2361696281e-04 7.7157414780e+02
1.3213881175e-04 8.2241175044e+02
1.4124813606e-04 8.7658167656e+02
1.5098541917e-04 9.3430001256e+02
1.6139398212e-04 9.9579699789e+02
1.7252007092e-04 1.0613173144e+03
1.8441317661e-04 1.1311217378e+03
1.9712616631e-04 1.2054876533e+03
2.1071554511e-04 1.2847103230e+03
2.2524174710e-04 1.3691042922e+03
2.4076933914e-04 1.4590042553e+03
2.5736738462e-04 1.5547668108e+03
2.7510963264e-04 1.6567711597e+03
2.9407499824e-04 1.7654214266e+03
3.1434779521e-04 1.8811474878e+03
3.3601815812e-04 2.0044068136e+03
3.5918239155e-04 2.1356858069e+03
3.8394352305e-04 2.2755021967e+03
4.1041165241e-04 2.4244061579e+03
4.3870438822e-04 2.5829818009e+03
4.6894757543e-04 2.7518501347e+03
5.0127564464e-04 2.9316697241e+03
5.3583231056e-04 3.1231390904e+03
5.7277124142e-04 3.3269986858e+03
