z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.0260000000e+00        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 5.0640023344e+01
7.5176321843e-06 5.3986856434e+01
8.0358786363e-06 5.7554884746e+01
8.5898518591e-06 6.1358710645e+01
9.1820147645e-06 6.5413948380e+01
9.8150003396e-06 6.9737204092e+01
1.0491621651e-05 7.4346175799e+01
1.1214888218e-05 7.9259753384e+01
1.1988014194e-05 8.4498070592e+01
1.2814437468e-05 9.0082581019e+01
1.3697833310e-05 9.6036154104e+01
1.4642127098e-05 1.0238321111e+02
1.5651517970e-05 1.0914972513e+02
1.6730495190e-05 1.1636345306e+02
1.7883852706e-05 1.2405389558e+02
1.9116721887e-05 1.3225260117e+02
2.0434579710e-05 1.4099316605e+02
2.1843288778e-05 1.5031132224e+02
2.3349110052e-05 1.6024528145e+02
2.4958739232e-05 1.7083574311e+02
2.6679332223e-05 1.8212611037e+02
2.8518539693e-05 1.9416257006e+02
3.0484536182e-05 2.0699444464e+02
3.2586063753e-05 2.2067428824e+02
3.4832464735e-05 2.3525807857e+02
3.7233727198e-05 2.5080560095e+02
3.9800528612e-05 2.6738043225e+02
4.2544274038e-05 2.8505046887e+02
4.5477172534e-05 3.0388807069e+02
4.8612251703e-05 3.2397030110e+02
5.1963459555e-05 3.4537932688e+02
5.5545689975e-05 3.6820281821e+02
5.9374870034e-05 3.9253407664e+02
6.3468025473e-05 4.1847261102e+02
6.7843349825e-05 4.4612445748e+02
7.2520306276e-05 4.7560275535e+02
7.7519667684e-05 5.0702781114e+02
8.2863683929e-05 5.4052805847e+02
8.8576096459e-05 5.7624021802e+02
9.4682312920e-05 6.1431012945e+02
1.0120947263e-04 6.5489303939e+02
1.0818659939e-04 6.9815436929e+02
1.1564471060e-04 7.4427016343e+02
1.2361696281e-04 7.9342804881e+02
1.3213881175e-04 8.4582813099e+02
1.4124813606e-04 9.0168318615e+02
1.5098541917e-04 9.6121949294e+02
1.6139398212e-04 1.0246784323e+03
1.7252007092e-04 1.0923164236e+03
1.8441317661e-04 1.1644063961e+03
1.9712616631e-04 1.2412391334e+03
2.1071554511e-04 1.3231229528e+03
2.2524174710e-04 1.4103858817e+03
2.4076933914e-04 1.5033762970e+03
2.5736738462e-04 1.6024651011e+03
2.7510963264e-04 1.7080445702e+03
2.9407499824e-04 1.8205316815e+03
3.1434779521e-04 1.9403677295e+03
3.3601815812e-04 2.0680215258e+03
3.5918239155e-04 2.2039870951e+03
3.8394352305e-04 2.3487887945e+03
4.1041165241e-04 2.5029795222e+03
4.3870438822e-04 2.6671421248e+03
4.6894757543e-04 2.8418932373e+03
5.0127564464e-04 3.0278789314e+03
5.3583231056e-04 3.2257788108e+03
5.7277124142e-04 3.4363072915e+03
6.1225669924e-04 3.6602120659e+03
6.5446412191e-04 3.8982728225e+03
6.9958122913e-04 4.1513066218e+03
7.4780860450e-04 4.4201609850e+03
7.9936068505e-04 4.7057169652e+03
8.5446657613e-04 5.0088868444e+03
9.1337133199e-04 5.3306161805e+03
9.7633688711e-04 5.6718730572e+03
1.0436431039e-03 6.0336542267e+03
1.1155892862e-03 6.4169743595e+03
1.1924952269e-03 6.8228660438e+03
1.2747028377e-03 7.2523680114e+03
1.3625776628e-03 7.7065174579e+03
1.4565102756e-03 8.1863454359e+03
1.5569184907e-03 8.6928599606e+03
1.6642485280e-03 9.2270352587e+03
1.7789776903e-03 9.7897953867e+03
1.9016158767e-03 1.0382005528e+04
2.0327086095e-03 1.1004447930e+04
2.1728384309e-03 1.1657813717e+04
2.3226283956e-03 1.2342673191e+04
2.4827446323e-03 1.3059463553e+04
2.6538986713e-03 1.3808458179e+04
2.8368518688e-03 1.4589740005e+04
3.0324172694e-03 1.5403173876e+04
3.2414644957e-03 1.6248391196e+04
