z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.67        0.14350435200000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0328082984e-06 4.9236456314e+01
7.5176321843e-06 5.2490493104e+01
8.0358786363e-06 5.5959588050e+01
8.5898518591e-06 5.9657953078e+01
9.1820147645e-06 6.3600738036e+01
9.8150003396e-06 6.7804095467e+01
1.0491621651e-05 7.2285235425e+01
1.1214888218e-05 7.7062521500e+01
1.1988014194e-05 8.2155511554e+01
1.2814437468e-05 8.7585069441e+01
1.3697833310e-05 9.3373439006e+01
1.4642127098e-05 9.9544311268e+01
1.5651517970e-05 1.0612296161e+02
1.6730495190e-05 1.1313633756e+02
1.7883852706e-05 1.2061313349e+02
1.9116721887e-05 1.2858398145e+02
2.0434579710e-05 1.3708148089e+02
2.1843288778e-05 1.4614043226e+02
2.3349110052e-05 1.5579789200e+02
2.4958739232e-05 1.6609337755e+02
2.6679332223e-05 1.7706899933e+02
2.8518539693e-05 1.8876964813e+02
3.0484536182e-05 2.0124314448e+02
3.2586063753e-05 2.1454047713e+02
3.4832464735e-05 2.2871596832e+02
3.7233727198e-05 2.4382751550e+02
3.9800528612e-05 2.5993681702e+02
4.2544274038e-05 2.7710955868e+02
4.5477172534e-05 2.9541583415e+02
4.8612251703e-05 3.1493017241e+02
5.1963459555e-05 3.3573210405e+02
5.5545689975e-05 3.5790624384e+02
5.9374870034e-05 3.8154275067e+02
6.3468025473e-05 4.0673764289e+02
6.7843349825e-05 4.3359312754e+02
7.2520306276e-05 4.6221812093e+02
7.7519667684e-05 4.9272837985e+02
8.2863683929e-05 5.2524740086e+02
8.8576096459e-05 5.5990637469e+02
9.4682312920e-05 5.9684510518e+02
1.0120947263e-04 6.3621225183e+02
1.0818659939e-04 6.7816609019e+02
1.1564471060e-04 7.2287499580e+02
1.2361696281e-04 7.7051813611e+02
1.3213881175e-04 8.2128623701e+02
1.4124813606e-04 8.7538212137e+02
1.5098541917e-04 9.3302158426e+02
1.6139398212e-04 9.9443455529e+02
1.7252007092e-04 1.0598653878e+03
1.8441317661e-04 1.1295745079e+03
1.9712616631e-04 1.2038389300e+03
2.1071554511e-04 1.2829535227e+03
2.2524174710e-04 1.3672324133e+03
2.4076933914e-04 1.4570098524e+03
2.5736738462e-04 1.5526419680e+03
