z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 5.0787859969e+01
7.5146531344e-06 5.4144506291e+01
8.0326990428e-06 5.7722973315e+01
8.5864585344e-06 6.1537957127e+01
9.1783931566e-06 6.5605082186e+01
9.8111349871e-06 6.9941014080e+01
1.0487496183e-05 7.4563493353e+01
1.1210484445e-05 7.9491478332e+01
1.1983313925e-05 8.4745137612e+01
1.2809421605e-05 9.0346030463e+01
1.3692479115e-05 9.6317084285e+01
1.4636413653e-05 1.0268277502e+02
1.5645420717e-05 1.0946914968e+02
1.6723986846e-05 1.1670406695e+02
1.7876907805e-05 1.2441709942e+02
1.9109307686e-05 1.3263988688e+02
2.0426668925e-05 1.4140612134e+02
2.1834845029e-05 1.5075162968e+02
2.3340098778e-05 1.6071479463e+02
2.4949120416e-05 1.7133637432e+02
2.6669067665e-05 1.8265992330e+02
2.8507582101e-05 1.9473176244e+02
3.0472841900e-05 2.0760141490e+02
3.2573581848e-05 2.2132142579e+02
3.4819146094e-05 2.3594817395e+02
3.7219513615e-05 2.5154139088e+02
3.9785358240e-05 2.6816504780e+02
4.2528085032e-05 2.8588706993e+02
4.5459892135e-05 3.0478014841e+02
4.8593814427e-05 3.2492149971e+02
5.1943781728e-05 3.4639360233e+02
5.5524687923e-05 3.6928422685e+02
5.9352456446e-05 3.9368718769e+02
6.3444102125e-05 4.1970213257e+02
6.7817825766e-05 4.4743541457e+02
7.2493057814e-05 4.7700060322e+02
7.7490592958e-05 5.0851815383e+02
8.2832651970e-05 5.4211718148e+02
8.8542976300e-05 5.7793467924e+02
9.4646966318e-05 6.1611672096e+02
1.0117175407e-04 6.5681918288e+02
1.0814634879e-04 7.0020780379e+02
1.1560175335e-04 7.4645950802e+02
1.2357112428e-04 7.9576252576e+02
1.3208988821e-04 8.4831693427e+02
1.4119592379e-04 9.0433646201e+02
1.5092969989e-04 9.6404806767e+02
1.6133450845e-04 1.0276936240e+03
1.7245661002e-04 1.0955308200e+03
1.8434545200e-04 1.1678329803e+03
1.9705388695e-04 1.2448914106e+03
2.1063841996e-04 1.3270155782e+03
2.2515944147e-04 1.4145350363e+03
2.4068150378e-04 1.5077983414e+03
2.5727364118e-04 1.6071777444e+03
2.7500960277e-04 1.7130663034e+03
2.9396824539e-04 1.8258820941e+03
3.1423388282e-04 1.9460684495e+03
3.3589659142e-04 2.0740940809e+03
3.5905267578e-04 2.2104557235e+03
3.8380510523e-04 2.3556777758e+03
4.1026389226e-04 2.5103156672e+03
4.3854673277e-04 2.6749536931e+03
4.6877932618e-04 2.8502091040e+03
5.0109607400e-04 3.0367297005e+03
5.3564074915e-04 3.2351979223e+03
5.7256681612e-04 3.4463291643e+03
6.1203847872e-04 3.6708720174e+03
6.5423129126e-04 3.9096109143e+03
6.9933279883e-04 4.1633625215e+03
7.4754346861e-04 4.4329774228e+03
7.9907773761e-04 4.7193389170e+03
8.5416465299e-04 5.0233634986e+03
9.1304921079e-04 5.3459970093e+03
9.7599311266e-04 5.6882117512e+03
1.0432762792e-03 6.0510069680e+03
1.1151977815e-03 6.4354006662e+03
1.1920774123e-03 6.8424252855e+03
1.2742570834e-03 7.2731262549e+03
1.3621019898e-03 7.7285408251e+03
1.4560027048e-03 8.2097033601e+03
1.5563768102e-03 8.7176212821e+03
1.6636705259e-03 9.2532688178e+03
1.7783609219e-03 9.8175773757e+03
1.9009577809e-03 1.0411404275e+04
2.0320063923e-03 1.1035544293e+04
2.1720889490e-03 1.1690681552e+04
2.3218288552e-03 1.2377386636e+04
2.4818913080e-03 1.3096097347e+04
2.6529883035e-03 1.3847083099e+04
2.8358804993e-03 1.4630426642e+04
3.0313807074e-03 1.5445988458e+04
3.2403585501e-03 1.6293400985e+04
3.4637427889e-03 1.7172000307e+04
3.7025266793e-03 1.8080799208e+04
3.9577721618e-03 1.9018464079e+04
4.2306133546e-03 1.9983249492e+04
4.5222640038e-03 2.0972969330e+04
4.8340205103e-03 2.1985980158e+04
5.1672691479e-03 2.3017012973e+04
5.5234907195e-03 2.4063279324e+04
5.9042698704e-03 2.5120406976e+04
6.3112992793e-03 2.6182701638e+04
6.7463885061e-03 2.7245469702e+04
