z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.3860000000e+00        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 4.9404284560e+01
7.5146531344e-06 5.2669444134e+01
8.0326990428e-06 5.6150398319e+01
8.5864585344e-06 5.9861410535e+01
9.1783931566e-06 6.3817679634e+01
9.8111349871e-06 6.8035414088e+01
1.0487496183e-05 7.2531883948e+01
1.1210484445e-05 7.7325511211e+01
1.1983313925e-05 8.2435928815e+01
1.2809421605e-05 8.7884074637e+01
1.3692479115e-05 9.3692253924e+01
1.4636413653e-05 9.9884260574e+01
1.5645420717e-05 1.0648544307e+02
1.6723986846e-05 1.1352283456e+02
1.7876907805e-05 1.2102525139e+02
1.9109307686e-05 1.2902339583e+02
2.0426668925e-05 1.3755002786e+02
2.1834845029e-05 1.4664002255e+02
2.3340098778e-05 1.5633059035e+02
2.4949120416e-05 1.6666136521e+02
2.6669067665e-05 1.7767463081e+02
2.8507582101e-05 1.8941539199e+02
3.0472841900e-05 2.0193167603e+02
3.2573581848e-05 2.1527462096e+02
3.4819146094e-05 2.2949876894e+02
3.7219513615e-05 2.4466218192e+02
3.9785358240e-05 2.6082677204e+02
4.2528085032e-05 2.7805847712e+02
4.5459892135e-05 2.9642759121e+02
4.8593814427e-05 3.1600897468e+02
5.1943781728e-05 3.3688234948e+02
5.5524687923e-05 3.5913265510e+02
5.9352456446e-05 3.8285037357e+02
6.3444102125e-05 4.0813182386e+02
6.7817825766e-05 4.3507964967e+02
7.2493057814e-05 4.6380298322e+02
7.7490592958e-05 4.9441815915e+02
8.2832651970e-05 5.2704896875e+02
8.8542976300e-05 5.6182710549e+02
9.4646966318e-05 5.9889286410e+02
1.0117175407e-04 6.3839542873e+02
1.0814634879e-04 6.8049359217e+02
1.1560175335e-04 7.2535628590e+02
1.2357112428e-04 7.7316336180e+02
1.3208988821e-04 8.2410609928e+02
1.4119592379e-04 8.7838809496e+02
1.5092969989e-04 9.3622587926e+02
1.6133450845e-04 9.9785008432e+02
1.7245661002e-04 1.0635060785e+03
1.8434545200e-04 1.1334550190e+03
1.9705388695e-04 1.2079748859e+03
2.1063841996e-04 1.2873616643e+03
2.2515944147e-04 1.3719304149e+03
2.4068150378e-04 1.4620165669e+03
2.5727364118e-04 1.5579774234e+03
2.7500960277e-04 1.6601931132e+03
2.9396824539e-04 1.7690684147e+03
3.1423388282e-04 1.8850342566e+03
3.3589659142e-04 2.0085488966e+03
3.5905267578e-04 2.1400999288e+03
3.8380510523e-04 2.2802060196e+03
4.1026389226e-04 2.4294182003e+03
4.3854673277e-04 2.5883225053e+03
