z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.67        0.14336070400000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0300170591e-06 5.0652851250e+01
7.5146531344e-06 5.4000556795e+01
8.0326990428e-06 5.7569531734e+01
8.5864585344e-06 6.1374362778e+01
9.1783931566e-06 6.5430686479e+01
9.8111349871e-06 6.9755081740e+01
1.0487496183e-05 7.4365277628e+01
1.1210484445e-05 7.9280149799e+01
1.1983313925e-05 8.4519856650e+01
1.2809421605e-05 9.0105875149e+01
1.3692479115e-05 9.6061065334e+01
1.4636413653e-05 1.0240980647e+02
1.5645420717e-05 1.0917817619e+02
1.6723986846e-05 1.1639385019e+02
1.7876907805e-05 1.2408637454e+02
1.9109307686e-05 1.3228730899e+02
2.0426668925e-05 1.4103024846e+02
2.1834845029e-05 1.5035096642e+02
2.3340098778e-05 1.6028767281e+02
2.4949120416e-05 1.7088104272e+02
2.6669067665e-05 1.8217450306e+02
2.8507582101e-05 1.9421427554e+02
3.0472841900e-05 2.0704976364e+02
3.2573581848e-05 2.2073336628e+02
3.4819146094e-05 2.3532129480e+02
3.7219513615e-05 2.5087315727e+02
3.9785358240e-05 2.6745274682e+02
4.2528085032e-05 2.8512778362e+02
4.5459892135e-05 3.0397078917e+02
4.8593814427e-05 3.2405884264e+02
5.1943781728e-05 3.4547403952e+02
5.5524687923e-05 3.6830415087e+02
5.9352456446e-05 3.9264253738e+02
6.3444102125e-05 4.1858866529e+02
6.7817825766e-05 4.4624890902e+02
7.2493057814e-05 4.7573592054e+02
7.7490592958e-05 5.0717069323e+02
8.2832651970e-05 5.4068118595e+02
8.8542976300e-05 5.7640458761e+02
9.4646966318e-05 6.1448657182e+02
1.0117175407e-04 6.5508244351e+02
1.0814634879e-04 6.9835794153e+02
1.1560175335e-04 7.4448912400e+02
1.2357112428e-04 7.9366391619e+02
1.3208988821e-04 8.4608239717e+02
1.4119592379e-04 9.0195748777e+02
1.5092969989e-04 9.6151581049e+02
1.6133450845e-04 1.0249988935e+03
1.7245661002e-04 1.0926634570e+03
1.8434545200e-04 1.1647830764e+03
1.9705388695e-04 1.2416485255e+03
2.1063841996e-04 1.3235690383e+03
2.2515944147e-04 1.4108723087e+03
2.4068150378e-04 1.5039089624e+03
2.5727364118e-04 1.6030487731e+03
2.7500960277e-04 1.7086859367e+03
2.9396824539e-04 1.8212378101e+03
3.1423388282e-04 1.9411481216e+03
3.3589659142e-04 2.0688857099e+03
3.5905267578e-04 2.2049463583e+03
3.8380510523e-04 2.3498574958e+03
4.1026389226e-04 2.5041715471e+03
4.3854673277e-04 2.6684762515e+03
4.6877932618e-04 2.8433873253e+03
5.0109607400e-04 3.0295557994e+03
5.3564074915e-04 3.2276645796e+03
5.7256681612e-04 3.4384289058e+03
6.1203847872e-04 3.6625993325e+03
6.5423129126e-04 3.9009598943e+03
6.9933279883e-04 4.1543281064e+03
7.4754346861e-04 4.4235531295e+03
7.9907773761e-04 4.7095192101e+03
8.5416465299e-04 5.0131381123e+03
9.1304921079e-04 5.3353523291e+03
9.7599311266e-04 5.6771300368e+03
1.0432762792e-03 6.0394632606e+03
1.1151977815e-03 6.4233646644e+03
1.1920774123e-03 6.8298615882e+03
1.2742570834e-03 7.2599905449e+03
