z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4580000000e+00        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 5.0299788783e+01
7.5235852819e-06 5.3624081666e+01
8.0422332758e-06 5.7168074060e+01
8.5966339611e-06 6.0946273673e+01
9.1892534328e-06 6.4974179180e+01
9.8227255876e-06 6.9268285882e+01
1.0499867130e-05 7.3846181971e+01
1.1223687579e-05 7.8726593831e+01
1.1997405636e-05 8.3929589895e+01
1.2824461919e-05 8.9476433416e+01
1.3708530787e-05 9.5389837285e+01
1.4653544895e-05 1.0169406596e+02
1.5663705199e-05 1.0841492979e+02
1.6743500964e-05 1.1557996060e+02
1.7897735233e-05 1.2321846826e+02
1.9131535737e-05 1.3136182385e+02
2.0450392185e-05 1.4004333508e+02
2.1860163542e-05 1.4929856340e+02
2.3367121685e-05 1.5916542591e+02
2.4977962312e-05 1.6968433129e+02
2.6699846785e-05 1.8089841760e+02
2.8540433050e-05 1.9285349569e+02
3.0507902920e-05 2.0559867207e+02
3.2611002098e-05 2.1918602046e+02
3.4859080188e-05 2.3367121605e+02
3.7262132537e-05 2.4911358075e+02
3.9830840251e-05 2.6557635506e+02
4.2576630221e-05 2.8312690185e+02
4.5511700591e-05 3.0183713679e+02
4.8649104429e-05 3.2178348301e+02
5.2002786106e-05 3.4304773183e+02
5.5587661336e-05 3.6571681625e+02
5.9419664467e-05 3.8988344520e+02
6.3515828515e-05 4.1564655650e+02
6.7894368840e-05 4.4311136218e+02
7.2574752267e-05 4.7239020925e+02
7.7577780758e-05 5.0360278347e+02
8.2925696915e-05 5.3687647182e+02
8.8642278570e-05 5.7234722322e+02
9.4752940640e-05 6.1015972971e+02
1.0128484428e-04 6.5046824190e+02
1.0826704238e-04 6.9343733904e+02
1.1573055963e-04 7.3924174787e+02
1.2370858167e-04 7.8806770165e+02
1.3223658607e-04 8.4011434446e+02
1.4135247329e-04 8.9559273461e+02
1.5109677042e-04 9.5472792847e+02
1.6151281307e-04 1.0177596600e+03
1.7264689086e-04 1.0849430656e+03
1.8454850942e-04 1.1565486841e+03
1.9727057952e-04 1.2328659900e+03
2.1086966444e-04 1.3142014009e+03
2.2540622740e-04 1.4008810852e+03
2.4094486434e-04 1.4932515067e+03
2.5755469687e-04 1.5916809641e+03
