z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6740000000e+00        0.022445000000000007        0.67        0.14379164800000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0383857747e-06 4.8976179108e+01
7.5235852819e-06 5.2212955031e+01
8.0422332758e-06 5.5663648673e+01
8.5966339611e-06 5.9342384753e+01
9.1892534328e-06 6.3264241286e+01
9.8227255876e-06 6.7445277721e+01
1.0499867130e-05 7.1902622506e+01
1.1223687579e-05 7.6654526555e+01
1.1997405636e-05 8.1720457582e+01
1.2824461919e-05 8.7121169226e+01
1.3708530787e-05 9.2878762942e+01
1.4653544895e-05 9.9016831777e+01
1.5663705199e-05 1.0556050777e+02
1.6743500964e-05 1.1253657317e+02
1.7897735233e-05 1.1997360500e+02
1.9131535737e-05 1.2790202396e+02
2.0450392185e-05 1.3635431132e+02
2.1860163542e-05 1.4536503066e+02
2.3367121685e-05 1.5497108081e+02
2.4977962312e-05 1.6521173673e+02
2.6699846785e-05 1.7612888524e+02
2.8540433050e-05 1.8776718787e+02
3.0507902920e-05 2.0017421771e+02
3.2611002098e-05 2.1340067359e+02
3.4859080188e-05 2.2750059022e+02
3.7262132537e-05 2.4253155551e+02
3.9830840251e-05 2.5855491209e+02
4.2576630221e-05 2.7563607879e+02
4.5511700591e-05 2.9384465134e+02
4.8649104429e-05 3.1325485951e+02
5.2002786106e-05 3.3394572347e+02
5.5587661336e-05 3.5600147362e+02
5.9419664467e-05 3.7951176040e+02
6.3515828515e-05 4.0457205786e+02
6.7894368840e-05 4.3128407963e+02
7.2574752267e-05 4.5975609618e+02
7.7577780758e-05 4.9010333135e+02
8.2925696915e-05 5.2244848043e+02
8.8642278570e-05 5.5692215014e+02
9.4752940640e-05 5.9366333129e+02
1.0128484428e-04 6.3281990400e+02
1.0826704238e-04 6.7454934876e+02
1.1573055963e-04 7.1901905388e+02
1.2370858167e-04 7.6640726420e+02
1.3223658607e-04 8.1690366924e+02
1.4135247329e-04 8.7070998209e+02
1.5109677042e-04 9.2804093794e+02
1.6151281307e-04 9.8912514926e+02
1.7264689086e-04 1.0542057359e+03
1.8454850942e-04 1.1235416235e+03
1.9727057952e-04 1.1974083958e+03
2.1086966444e-04 1.2760994663e+03
2.2540622740e-04 1.3599272223e+03
2.4094486434e-04 1.4492240540e+03
2.5755469687e-04 1.5443442647e+03
2.7530954685e-04 1.6456646777e+03
2.9428832931e-04 1.7535864450e+03
3.1457544537e-04 1.8685367825e+03
3.3626108780e-04 1.9909701352e+03
3.5944164847e-04 2.1213698369e+03
3.8422018406e-04 2.2602499964e+03
4.1070685256e-04 2.4081571037e+03
4.3901943718e-04 2.5656719925e+03
4.6928375377e-04 2.7334110018e+03
5.0163437845e-04 2.9120287369e+03
5.3621520055e-04 3.1022196400e+03
5.7317980099e-04 3.3047183591e+03
6.1269267462e-04 3.5203044475e+03
6.5492937574e-04 3.7498007884e+03
7.0007768227e-04 3.9940771592e+03
7.4833841063e-04 4.2540513297e+03
7.9992599785e-04 4.5306882613e+03
8.5506984033e-04 4.8250025764e+03
9.1401510872e-04 5.1380572025e+03
9.7702385392e-04 5.4709623620e+03
1.0443761712e-03 5.8248733620e+03
1.1163714808e-03 6.2009871482e+03
1.1933299247e-03 6.6005372030e+03
1.2755935313e-03 7.0247845082e+03
1.3635280775e-03 7.4750088649e+03
1.4575244859e-03 7.9524939385e+03
1.5580008039e-03 8.4585108475e+03
1.6654033680e-03 8.9942926710e+03
1.7802099465e-03 9.5610135174e+03
1.9029309042e-03 1.0159752097e+04
2.0341116469e-03 1.0791456447e+04
2.1743357647e-03 1.1456907333e+04
2.3242260795e-03 1.2156668387e+04
2.4844494183e-03 1.2891052653e+04
2.6557180099e-03 1.3660074278e+04
2.8387929778e-03 1.4463414100e+04
3.0344885308e-03 1.5300394515e+04
3.2436747570e-03 1.6169956440e+04
3.4672813490e-03 1.7070649642e+04
3.7063024938e-03 1.8000635992e+04
3.9618010633e-03 1.8957695514e+04
4.2349123396e-03 1.9939233416e+04
4.5268512331e-03 2.0942298090e+04
4.8389150761e-03 2.1963577165e+04
5.1724915393e-03 2.2999402636e+04
5.5290632881e-03 2.4045733572e+04
5.9102158993e-03 2.5098137328e+04
6.3176439144e-03 2.6151753130e+04
6.7531582899e-03 2.7201248893e+04
7.2186952457e-03 2.8240770444e+04
7.7163246460e-03 2.9263877884e+04
8.2482593134e-03 3.0263471366e+04
8.8168624788e-03 3.1231698935e+04
9.4246631488e-03 3.2159860913e+04
1.0074364021e-02 3.3038281087e+04
1.0768852197e-02 3.3856168545e+04
1.1511215940e-02 3.4601481847e+04
1.2304755859e-02 3.5260806968e+04
1.3152998872e-02 3.5819311915e+04
1.4059716836e-02 3.6260859223e+04
1.5028940514e-02 3.6568388106e+04
1.6064977273e-02 3.6724715434e+04
1.7172437161e-02 3.6713875783e+04
1.8356239423e-02 3.6523024909e+04
1.9621647894e-02 3.6144729940e+04
2.0974289626e-02 3.5579177896e+04
2.2420179099e-02 3.4835605138e+04
2.3965740576e-02 3.3932250786e+04
2.5617847219e-02 3.2894504663e+04
2.7383843437e-02 3.1751611501e+04
2.9271582142e-02 3.0532851646e+04
3.1289454550e-02 2.9264310549e+04
3.3446431160e-02 2.7966975047e+04
3.5752099007e-02 2.6656311832e+04
3.8216713816e-02 2.5342963241e+04
4.0851227939e-02 2.4034025605e+04
4.3667357415e-02 2.2734382980e+04
4.6492893249e-02 2.1523928301e+04
4.9318429083e-02 2.0398066524e+04
5.2143961191e-02 1.9348915653e+04
5.4969497025e-02 1.8369691709e+04
5.7795032859e-02 1.7454519376e+04
6.0620568693e-02 1.6598241965e+04
6.3446104526e-02 1.5796280516e+04
6.6271640360e-02 1.5044529000e+04
6.9097176194e-02 1.4339266607e+04
7.1922704577e-02 1.3677107215e+04
7.4748240411e-02 1.3054949013e+04
7.7573776245e-02 1.2469947732e+04
8.0399312079e-02 1.1919485270e+04
8.3224847913e-02 1.1401149943e+04
8.6050383747e-02 1.0912716225e+04
8.8875919581e-02 1.0452129673e+04
9.1701455414e-02 1.0017492934e+04
