z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 5.0347085185e+01
7.5265597843e-06 5.3674458187e+01
8.0454074123e-06 5.7221745067e+01
8.6000218289e-06 6.1003464147e+01
9.1928695838e-06 6.5035100474e+01
9.8265845736e-06 6.9333193298e+01
1.0503986232e-05 7.3915322957e+01
1.1228084077e-05 7.8800285846e+01
1.2002097719e-05 8.4008090041e+01
1.2829469597e-05 8.9560055913e+01
1.3713875887e-05 9.5478947351e+01
1.4659249246e-05 1.0178898052e+02
1.5669793356e-05 1.0851606005e+02
1.6749998394e-05 1.1568769159e+02
1.7904669221e-05 1.2333327048e+02
1.9138937205e-05 1.3148409050e+02
2.0458292056e-05 1.4017358885e+02
2.1868594558e-05 1.4943731114e+02
2.3376118406e-05 1.5931323511e+02
2.4987564757e-05 1.6984180559e+02
2.6710096790e-05 1.8106611825e+02
2.8551370633e-05 1.9303215579e+02
3.0519575375e-05 2.0578894544e+02
3.2623458537e-05 2.1938868142e+02
3.4872377000e-05 2.3388709240e+02
3.7276324292e-05 2.4934349397e+02
3.9845985157e-05 2.6582120859e+02
4.2592790123e-05 2.8338765307e+02
4.5528948249e-05 3.0211472350e+02
4.8667512601e-05 3.2207902275e+02
5.2022434829e-05 3.4336243783e+02
5.5608630646e-05 3.6605178997e+02
5.9442041675e-05 3.9023995444e+02
6.3539715484e-05 4.1602589555e+02
6.7919856519e-05 4.4351505158e+02
7.2601949796e-05 4.7281961474e+02
7.7606804552e-05 5.0405944102e+02
8.2956677943e-05 5.3736212020e+02
8.8675340521e-05 5.7286353572e+02
9.4788221759e-05 6.1070845963e+02
1.0132250463e-04 6.5105125245e+02
1.0830722749e-04 6.9405621313e+02
1.1577344412e-04 7.3989859388e+02
1.2375434744e-04 7.8876463516e+02
1.3228542230e-04 8.4085310547e+02
1.4140459825e-04 8.9637537127e+02
1.5115240239e-04 9.5555630692e+02
1.6157217033e-04 1.0186356944e+03
1.7271023535e-04 1.0858682233e+03
1.8461611762e-04 1.1575250306e+03
1.9734272791e-04 1.2338944007e+03
2.1094665863e-04 1.3152830948e+03
2.2548838751e-04 1.4020167014e+03
2.4103255419e-04 1.4944411057e+03
2.5764826569e-04 1.5929236092e+03
2.7540940209e-04 1.6978547502e+03
2.9439490754e-04 1.8096470433e+03
3.1468918314e-04 1.9287390388e+03
3.3638245077e-04 2.0555954631e+03
3.5957116052e-04 2.1907065185e+03
3.8435839815e-04 2.3345919425e+03
4.1085435078e-04 2.4878005881e+03
4.3917683070e-04 2.6509100037e+03
4.6945171198e-04 2.8245303527e+03
5.0181365805e-04 3.0093041330e+03
5.3640641272e-04 3.2059051979e+03
5.7338393526e-04 3.4150423949e+03
6.1291042948e-04 3.6374559266e+03
6.5516179893e-04 3.8739249096e+03
7.0032570511e-04 4.1252570157e+03
7.4860308086e-04 4.3922968711e+03
8.0020842142e-04 4.6759226964e+03
8.5537123960e-04 4.9770440674e+03
9.1433670605e-04 5.2965999553e+03
9.7736704629e-04 5.6355612460e+03
1.0447424138e-03 5.9949178626e+03
1.1167622870e-03 6.3756826845e+03
1.1937469244e-03 6.7788831488e+03
1.2760384707e-03 7.2055511718e+03
1.3640029356e-03 7.6567220294e+03
1.4580312418e-03 8.1334158798e+03
1.5585414367e-03 8.6366338443e+03
1.6659803223e-03 9.1673434494e+03
1.7808256671e-03 9.7264719081e+03
1.9035878358e-03 1.0314875885e+04
2.0348127000e-03 1.0933342614e+04
2.1750836167e-03 1.1582559667e+04
2.3250242230e-03 1.2263100394e+04
2.4853011128e-03 1.2975397044e+04
2.6566267479e-03 1.3719722856e+04
2.8397627175e-03 1.4496170774e+04
3.0355232302e-03 1.5304615379e+04
3.2447788399e-03 1.6144689368e+04
3.4684594721e-03 1.7015742125e+04
3.7075595465e-03 1.7916816201e+04
3.9631421678e-03 1.8846586846e+04
4.2363437824e-03 1.9803347452e+04
4.5283786021e-03 2.0784923323e+04
4.8405448906e-03 2.1789704155e+04
5.1742303185e-03 2.2812493970e+04
5.5309189484e-03 2.3850533528e+04
5.9121958911e-03 2.4899486875e+04
6.3197561540e-03 2.5953745940e+04
6.7554120906e-03 2.7008645544e+04
7.2211003862e-03 2.8057227110e+04
7.7188909054e-03 2.9092415600e+04
8.2509964705e-03 3.0105577182e+04
8.8197840378e-03 3.1087719683e+04
9.4277802855e-03 3.2029116325e+04
1.0077689774e-02 3.2918929468e+04
1.0772400536e-02 3.3745510716e+04
1.1515002698e-02 3.4496197119e+04
1.2308795936e-02 3.5157640394e+04
1.3157309033e-02 3.5715824842e+04
1.4064315706e-02 3.6156280119e+04
1.5033846721e-02 3.6464426136e+04
1.6070213169e-02 3.6625922448e+04
1.7178023234e-02 3.6627174409e+04
1.8362199888e-02 3.6455895329e+04
1.9628006965e-02 3.6102056077e+04
2.0981075242e-02 3.5558733912e+04
2.2427417338e-02 3.4823167351e+04
2.3973463103e-02 3.3897954383e+04
2.5626087561e-02 3.2792089420e+04
2.7392636985e-02 3.1521870360e+04
2.9280962423e-02 3.0111496564e+04
3.1299460679e-02 2.8593100217e+04
3.3457107842e-02 2.7006027400e+04
3.5763490945e-02 2.5395196430e+04
3.8228869438e-02 2.3808430444e+04
4.0864195675e-02 2.2292802298e+04
4.3681193143e-02 2.0890179913e+04
4.6507623047e-02 1.9702585830e+04
4.9334052950e-02 1.8714771428e+04
5.2160482854e-02 1.7896959509e+04
5.4986912757e-02 1.7213995487e+04
5.7813346386e-02 1.6628940900e+04
6.0639776289e-02 1.6105614284e+04
6.3466206193e-02 1.5611288829e+04
6.6292636097e-02 1.5118662146e+04
6.9119066000e-02 1.4607940251e+04
7.1945495903e-02 1.4065619207e+04
7.4771925807e-02 1.3486526554e+04
7.7598355710e-02 1.2875586151e+04
8.0424785614e-02 1.2239058926e+04
8.3251215518e-02 1.1589408501e+04
8.6077645421e-02 1.0943343748e+04
8.8904075324e-02 1.0318500750e+04
9.1730505228e-02 9.7290553384e+03
9.5353960991e-02 9.0398421473e+03
9.8977416754e-02 8.4377824962e+03
1.0260087252e-01 7.9322772945e+03
1.0622432083e-01 7.5227783889e+03
1.0984777659e-01 7.1972208128e+03
1.1347123236e-01 6.9386107007e+03
1.1709468067e-01 6.7291613532e+03
1.2071813643e-01 6.5496510183e+03
1.2434159219e-01 6.3809111354e+03
1.2796504796e-01 6.2072737092e+03
1.3158850372e-01 6.0178591048e+03
1.3521194458e-01 5.8049747020e+03
1.3883540034e-01 5.5683192686e+03
1.4245885611e-01 5.3134348057e+03
1.4608231187e-01 5.0491001614e+03
1.4970576763e-01 4.7845572301e+03
1.5332922339e-01 4.5289846364e+03
1.5695267916e-01 4.2911273536e+03
1.6057612002e-01 4.0777947419e+03
1.6419957578e-01 3.8926337830e+03
1.6782303155e-01 3.7361993488e+03
1.7144648731e-01 3.6066655691e+03
1.7506994307e-01 3.5003143532e+03
1.7869339883e-01 3.4118903747e+03
1.8231685460e-01 3.3352948005e+03
1.8594029546e-01 3.2645074653e+03
1.8956375122e-01 3.1942752820e+03
1.9318720698e-01 3.1204050757e+03
1.9681066275e-01 3.0400107838e+03
2.0043411851e-01 2.9518460442e+03
2.0405757427e-01 2.8564198159e+03
2.0768101513e-01 2.7556296383e+03
2.1130447090e-01 2.6521793225e+03
2.1492792666e-01 2.5491349423e+03
2.1855138242e-01 2.4495757295e+03
2.2217483819e-01 2.3561537034e+03
2.2579829395e-01 2.2707671032e+03
2.2942174971e-01 2.1945046762e+03
2.3304519057e-01 2.1276273410e+03
2.3666864634e-01 2.0695079970e+03
2.4029210210e-01 2.0188442908e+03
2.4391555786e-01 1.9740578326e+03
2.4753901362e-01 1.9334231160e+03
2.5116246939e-01 1.8950133467e+03
2.5478592515e-01 1.8569757783e+03
2.5840938091e-01 1.8179667640e+03
2.6203283668e-01 1.7772458212e+03
2.6565629244e-01 1.7345010792e+03
2.6927971840e-01 1.6898002874e+03
2.7290317416e-01 1.6436242696e+03
2.7652662992e-01 1.5967576013e+03
2.8015008569e-01 1.5501402334e+03
2.8377354145e-01 1.5047590095e+03
2.8739699721e-01 1.4614928503e+03
2.9102045298e-01 1.4209615773e+03
2.9464390874e-01 1.3835044969e+03
2.9826736450e-01 1.3492319116e+03
3.0189082027e-01 1.3180329588e+03
3.0551427603e-01 1.2895782709e+03
3.0913773179e-01 1.2633671472e+03
3.1276118755e-01 1.2388081815e+03
3.1638464332e-01 1.2153031087e+03
3.2000806928e-01 1.1923191733e+03
3.2363152504e-01 1.1694212542e+03
3.2725498080e-01 1.1462906921e+03
3.3087843656e-01 1.1227674222e+03
3.3450189233e-01 1.0988524244e+03
3.3812534809e-01 1.0746632101e+03
3.4174880385e-01 1.0504009274e+03
3.4537225962e-01 1.0263437121e+03
3.4899571538e-01 1.0027941264e+03
3.5261917114e-01 9.8000860950e+02
3.5624262691e-01 9.5817816117e+02
3.5986608267e-01 9.3744835830e+02
3.6348953843e-01 9.1790087796e+02
3.6711296439e-01 8.9952466188e+02
3.7073642016e-01 8.8222627490e+02
3.7435987592e-01 8.6585727054e+02
3.7798333168e-01 8.5023791731e+02
3.8160678744e-01 8.3518400442e+02
3.8523024321e-01 8.2053084798e+02
3.8885369897e-01 8.0613595058e+02
3.9247715473e-01 7.9187424207e+02
3.9610061050e-01 7.7765711649e+02
3.9972406626e-01 7.6345734815e+02
4.0334752202e-01 7.4930377249e+02
4.0697097778e-01 7.3525483024e+02
4.1059443355e-01 7.2137582104e+02
4.1421788931e-01 7.0773687378e+02
4.1784131527e-01 6.9441518621e+02
4.2146477103e-01 6.8148543648e+02
4.2508822680e-01 6.6900515549e+02
4.2871168256e-01 6.5700233878e+02
4.3233513832e-01 6.4547614650e+02
4.3595859408e-01 6.3440495206e+02
4.3958204985e-01 6.2375264120e+02
4.4320550561e-01 6.1347316123e+02
4.4682896137e-01 6.0351318059e+02
4.5045241714e-01 5.9381390860e+02
4.5407587290e-01 5.8431763943e+02
4.5769932866e-01 5.7497849535e+02
4.6132278442e-01 5.6576865576e+02
4.6494621038e-01 5.5667426286e+02
4.6856966615e-01 5.4768996251e+02
4.7219312191e-01 5.3881795934e+02
4.7581657767e-01 5.3007064141e+02
4.7944003344e-01 5.2146813051e+02
4.8306348920e-01 5.1303467781e+02
4.8668694496e-01 5.0479358961e+02
4.9031040072e-01 4.9676180321e+02
4.9393385649e-01 4.8894593258e+02
4.9755731225e-01 4.8134625766e+02
5.0118076801e-01 4.7396123871e+02
5.0480419397e-01 4.6678695634e+02
5.0842767954e-01 4.5981116249e+02
5.1205110550e-01 4.5301356039e+02
5.1567459106e-01 4.4637189357e+02
5.1929801703e-01 4.3986778993e+02
5.2292150259e-01 4.3348802157e+02
5.2654492855e-01 4.2722219514e+02
5.3016841412e-01 4.2106068718e+02
5.3379184008e-01 4.1499436412e+02
5.3741526604e-01 4.0901909662e+02
5.4103875160e-01 4.0313740428e+02
5.4466217756e-01 3.9735562110e+02
5.4828566313e-01 3.9167952116e+02
5.5190908909e-01 3.8611172905e+02
5.5553257465e-01 3.8065399449e+02
5.5915600061e-01 3.7530911703e+02
5.6277948618e-01 3.7008105105e+02
5.6640291214e-01 3.6497119632e+02
5.7002639770e-01 3.5997608840e+02
5.7364982367e-01 3.5508946327e+02
5.7727330923e-01 3.5030491696e+02
5.8089673519e-01 3.4561762022e+02
6.2893003225e-01 2.9074773847e+02
7.6817673445e-01 1.8672311121e+02
9.3825298548e-01 1.1872370517e+02
1.1459846497e+00 7.4811242141e+01
1.3997083902e+00 4.6755753415e+01
1.7096090317e+00 2.9003989259e+01
2.0881209373e+00 1.7869377224e+01
2.5504362583e+00 1.0940764648e+01
3.1151092053e+00 6.6602991852e+00
3.8048019409e+00 4.0331960398e+00
4.6471996307e+00 2.4304873697e+00
5.6761007309e+00 1.4581068146e+00
