z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
9.5400000000e-01        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 4.8904131750e+01
7.5265597843e-06 5.2136117574e+01
8.0454074123e-06 5.5581697161e+01
8.6000218289e-06 5.9254983528e+01
9.1928695838e-06 6.3171029070e+01
9.8265845736e-06 6.7345862778e+01
1.0503986232e-05 7.1796598570e+01
1.1228084077e-05 7.6541452711e+01
1.2002097719e-05 8.1599861953e+01
1.2829469597e-05 8.6992552457e+01
1.3713875887e-05 9.2741595579e+01
1.4659249246e-05 9.8870539612e+01
1.5669793356e-05 1.0540448661e+02
1.6749998394e-05 1.1237017389e+02
1.7904669221e-05 1.1979613601e+02
1.9138937205e-05 1.2771275931e+02
2.0458292056e-05 1.3615246341e+02
2.1868594558e-05 1.4514975796e+02
2.3376118406e-05 1.5474148347e+02
2.4987564757e-05 1.6496687505e+02
2.6710096790e-05 1.7586775152e+02
2.8551370633e-05 1.8748867821e+02
3.0519575375e-05 1.9987718391e+02
3.2623458537e-05 2.1308388268e+02
3.4872377000e-05 2.2716275226e+02
3.7276324292e-05 2.4217125983e+02
3.9845985157e-05 2.5817065438e+02
4.2592790123e-05 2.7522625329e+02
4.5528948249e-05 2.9340758788e+02
4.8667512601e-05 3.1278874688e+02
5.2022434829e-05 3.3344864527e+02
5.5608630646e-05 3.5547135347e+02
5.9442041675e-05 3.7894639643e+02
6.3539715484e-05 4.0396915576e+02
6.7919856519e-05 4.3064108525e+02
7.2601949796e-05 4.5907036060e+02
7.7606804552e-05 4.8937203075e+02
8.2956677943e-05 5.2166864562e+02
8.8675340521e-05 5.5609051967e+02
9.4788221759e-05 5.9277646734e+02
1.0132250463e-04 6.3187421834e+02
1.0830722749e-04 6.7354086681e+02
1.1577344412e-04 7.1794365673e+02
1.2375434744e-04 7.6526053734e+02
1.3228542230e-04 8.1568088092e+02
1.4140459825e-04 8.6940618920e+02
1.5115240239e-04 9.2665078922e+02
1.6157217033e-04 9.8764285989e+02
1.7271023535e-04 1.0526253152e+03
1.8461611762e-04 1.1218566735e+03
1.9734272791e-04 1.1956119955e+03
2.1094665863e-04 1.2741843063e+03
2.2548838751e-04 1.3578854842e+03
2.4103255419e-04 1.4470475385e+03
2.5764826569e-04 1.5420240153e+03
2.7540940209e-04 1.6431913535e+03
2.9439490754e-04 1.7509501051e+03
3.1468918314e-04 1.8657266705e+03
3.3638245077e-04 1.9879747911e+03
3.5957116052e-04 2.1181772025e+03
3.8435839815e-04 2.2568471892e+03
4.1085435078e-04 2.4045303521e+03
4.3917683070e-04 2.5618065668e+03
4.6945171198e-04 2.7292913029e+03
5.0181365805e-04 2.9076383770e+03
5.3640641272e-04 3.0975400803e+03
5.7338393526e-04 3.2997317018e+03
6.1291042948e-04 3.5149896742e+03
6.5516179893e-04 3.7441371641e+03
7.0032570511e-04 3.9880415953e+03
7.4860308086e-04 4.2476195457e+03
8.0020842142e-04 4.5238343640e+03
8.5537123960e-04 4.8176992589e+03
9.1433670605e-04 5.1302750137e+03
9.7736704629e-04 5.4626705218e+03
1.0447424138e-03 5.8160390333e+03
1.1167622870e-03 6.1915753341e+03
1.1937469244e-03 6.5905109549e+03
1.2760384707e-03 7.0141048400e+03
1.3640029356e-03 7.4636352755e+03
1.4580312418e-03 7.9403831736e+03
1.5585414367e-03 8.4456169048e+03
1.6659803223e-03 8.9805691645e+03
1.7808256671e-03 9.5464113965e+03
1.9035878358e-03 1.0144219808e+04
2.0348127000e-03 1.0774942386e+04
2.1750836167e-03 1.1439356731e+04
2.3250242230e-03 1.2138028600e+04
2.4853011128e-03 1.2871268569e+04
2.6566267479e-03 1.3639090959e+04
2.8397627175e-03 1.4441178231e+04
3.0355232302e-03 1.5276852792e+04
3.2447788399e-03 1.6145058021e+04
3.4684594721e-03 1.7044345538e+04
3.7075595465e-03 1.7972879444e+04
3.9631421678e-03 1.8928442339e+04
4.2363437824e-03 1.9908445614e+04
4.5283786021e-03 2.0909937328e+04
4.8405448906e-03 2.1929610924e+04
5.1742303185e-03 2.2963801359e+04
5.5309189484e-03 2.4008475328e+04
5.9121958911e-03 2.5059202704e+04
6.3197561540e-03 2.6111128903e+04
6.7554120906e-03 2.7158931120e+04
