z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6740000000e+00        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 5.0132625014e+01
7.5265597843e-06 5.3445832213e+01
8.0454074123e-06 5.6977999446e+01
8.6000218289e-06 6.0743606199e+01
9.1928695838e-06 6.4758091962e+01
9.8265845736e-06 6.9037856228e+01
1.0503986232e-05 7.3600483593e+01
1.1228084077e-05 7.8464637834e+01
1.2002097719e-05 8.3650260520e+01
1.2829469597e-05 8.9178584261e+01
1.3713875887e-05 9.5072271735e+01
1.4659249246e-05 1.0135545542e+02
1.5669793356e-05 1.0805386339e+02
1.6749998394e-05 1.1519494510e+02
1.7904669221e-05 1.2280797731e+02
1.9138937205e-05 1.3092411707e+02
2.0458292056e-05 1.3957661357e+02
2.1868594558e-05 1.4880091408e+02
2.3376118406e-05 1.5863480961e+02
2.4987564757e-05 1.6911858052e+02
2.6710096790e-05 1.8029514225e+02
2.8551370633e-05 1.9221028361e+02
3.0519575375e-05 2.0491277273e+02
3.2623458537e-05 2.1845468810e+02
3.4872377000e-05 2.3289148475e+02
3.7276324292e-05 2.4828216643e+02
3.9845985157e-05 2.6468984173e+02
4.2592790123e-05 2.8218167110e+02
4.5528948249e-05 3.0082929059e+02
4.8667512601e-05 3.2070899723e+02
5.2022434829e-05 3.4190198739e+02
5.5608630646e-05 3.6449517770e+02
5.9442041675e-05 3.8858099324e+02
6.3539715484e-05 4.1425776476e+02
6.7919856519e-05 4.4163068205e+02
7.2601949796e-05 4.7081152914e+02
7.7606804552e-05 5.0191953172e+02
8.2956677943e-05 5.3508191331e+02
8.8675340521e-05 5.7043394821e+02
9.4788221759e-05 6.0812007375e+02
1.0132250463e-04 6.4829383739e+02
1.0830722749e-04 6.9111911488e+02
1.1577344412e-04 7.3677032212e+02
1.2375434744e-04 7.8543336859e+02
1.3228542230e-04 8.3730618694e+02
1.4140459825e-04 8.9259920974e+02
1.5115240239e-04 9.5153738215e+02
1.6157217033e-04 1.0143589967e+03
1.7271023535e-04 1.0813186062e+03
1.8461611762e-04 1.1526864417e+03
1.9734272791e-04 1.2287498946e+03
2.1094665863e-04 1.3098155303e+03
2.2548838751e-04 1.3962083460e+03
2.4103255419e-04 1.4882732541e+03
2.5764826569e-04 1.5863778363e+03
2.7540940209e-04 1.6909119198e+03
2.9439490754e-04 1.8022874715e+03
3.1468918314e-04 1.9209441064e+03
3.3638245077e-04 2.0473451681e+03
3.5957116052e-04 2.1819828134e+03
3.8435839815e-04 2.3253756821e+03
4.1085435078e-04 2.4780737697e+03
4.3917683070e-04 2.6406563085e+03
4.6945171198e-04 2.8137343103e+03
5.0181365805e-04 2.9979509902e+03
5.3640641272e-04 3.1939794358e+03
5.7338393526e-04 3.4025325647e+03
6.1291042948e-04 3.6243493539e+03
6.5516179893e-04 3.8602071274e+03
7.0032570511e-04 4.1109143530e+03
7.4860308086e-04 4.3773138203e+03
8.0020842142e-04 4.6602775558e+03
8.5537123960e-04 4.9607110605e+03
9.1433670605e-04 5.2795469537e+03
9.7736704629e-04 5.6177466680e+03
1.0447424138e-03 5.9762928224e+03
1.1167622870e-03 6.3561892219e+03
1.1937469244e-03 6.7584549259e+03
