z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7820000000e+00        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 4.8834076248e+01
7.5265597843e-06 5.2061432253e+01
8.0454074123e-06 5.5502076050e+01
8.6000218289e-06 5.9170100441e+01
9.1928695838e-06 6.3080536260e+01
9.8265845736e-06 6.7249389538e+01
1.0503986232e-05 7.1693749681e+01
1.1228084077e-05 7.6431806860e+01
1.2002097719e-05 8.1482969989e+01
1.2829469597e-05 8.6867935541e+01
1.3713875887e-05 9.2608743260e+01
1.4659249246e-05 9.8728907713e+01
1.5669793356e-05 1.0525349500e+02
1.6749998394e-05 1.1220920415e+02
1.7904669221e-05 1.1962452884e+02
1.9138937205e-05 1.2752981193e+02
2.0458292056e-05 1.3595742657e+02
2.1868594558e-05 1.4494183303e+02
2.3376118406e-05 1.5451981904e+02
2.4987564757e-05 1.6473056356e+02
2.6710096790e-05 1.7561582553e+02
2.8551370633e-05 1.8722010648e+02
3.0519575375e-05 1.9959086716e+02
3.2623458537e-05 2.1277864920e+02
3.4872377000e-05 2.2683735310e+02
3.7276324292e-05 2.4182436378e+02
3.9845985157e-05 2.5780084263e+02
4.2592790123e-05 2.7483201360e+02
4.5528948249e-05 2.9298730857e+02
4.8667512601e-05 3.1234071033e+02
5.2022434829e-05 3.3297102106e+02
5.5608630646e-05 3.5496219106e+02
5.9442041675e-05 3.7840361738e+02
6.3539715484e-05 4.0339054545e+02
6.7919856519e-05 4.3002428424e+02
7.2601949796e-05 4.5841285513e+02
7.7606804552e-05 4.8867114302e+02
8.2956677943e-05 5.2092152322e+02
8.8675340521e-05 5.5529412462e+02
9.4788221759e-05 5.9192756416e+02
1.0132250463e-04 6.3096936154e+02
1.0830722749e-04 6.7257638782e+02
1.1577344412e-04 7.1691564972e+02
1.2375434744e-04 7.6416484435e+02
1.3228542230e-04 8.1451307606e+02
1.4140459825e-04 8.6816156188e+02
1.5115240239e-04 9.2532432654e+02
1.6157217033e-04 9.8622922773e+02
1.7271023535e-04 1.0511188381e+03
1.8461611762e-04 1.1202513136e+03
1.9734272791e-04 1.1939013302e+03
2.1094665863e-04 1.2723615044e+03
2.2548838751e-04 1.3559432806e+03
2.4103255419e-04 1.4449782080e+03
2.5764826569e-04 1.5398193441e+03
2.7540940209e-04 1.6408426100e+03
2.9439490754e-04 1.7484480088e+03
3.1468918314e-04 1.8630613593e+03
3.3638245077e-04 1.9851357871e+03
3.5957116052e-04 2.1151533768e+03
3.8435839815e-04 2.2536267247e+03
4.1085435078e-04 2.4011007052e+03
4.3917683070e-04 2.5581544277e+03
4.6945171198e-04 2.7254025558e+03
5.0181365805e-04 2.9034980575e+03
5.3640641272e-04 3.0931323355e+03
5.7338393526e-04 3.2950397457e+03
6.1291042948e-04 3.5099957487e+03
6.5516179893e-04 3.7388224957e+03
7.0032570511e-04 3.9823863585e+03
7.4860308086e-04 4.2416028237e+03
8.0020842142e-04 4.5174341184e+03
8.5537123960e-04 4.8108923001e+03
9.1433670605e-04 5.1230369808e+03
9.7736704629e-04 5.4549758700e+03
1.0447424138e-03 5.8078610339e+03
1.1167622870e-03 6.1828860892e+03
1.1937469244e-03 6.5812814285e+03
1.2760384707e-03 7.0043049147e+03
1.3640029356e-03 7.4532338338e+03
1.4580312418e-03 7.9293482172e+03
1.5585414367e-03 8.4339157112e+03
1.6659803223e-03 8.9681684931e+03
1.7808256671e-03 9.5332777479e+03
1.9035878358e-03 1.0130319750e+04
2.0348127000e-03 1.0760242945e+04
2.1750836167e-03 1.1423825857e+04
2.3250242230e-03 1.2121635712e+04
2.4853011128e-03 1.2853985168e+04
2.6566267479e-03 1.3620891316e+04
2.8397627175e-03 1.4422040129e+04
3.0355232302e-03 1.5256758305e+04
3.2447788399e-03 1.6123994321e+04
3.4684594721e-03 1.7022305704e+04
3.7075595465e-03 1.7949863241e+04
3.9631421678e-03 1.8904456964e+04
4.2363437824e-03 1.9883506383e+04
4.5283786021e-03 2.0884068290e+04
4.8405448906e-03 2.1902845400e+04
5.1742303185e-03 2.2936182392e+04
5.5309189484e-03 2.3980056036e+04
5.9121958911e-03 2.5030046542e+04
6.3197561540e-03 2.6081309803e+04
6.7554120906e-03 2.7128533506e+04
7.2211003862e-03 2.8165881658e+04
7.7188909054e-03 2.9186932833e+04
8.2509964705e-03 3.0184607378e+04
8.8197840378e-03 3.1151081478e+04
9.4277802855e-03 3.2077674475e+04
1.0077689774e-02 3.2954738625e+04
1.0772400536e-02 3.3771512069e+04
1.1515002698e-02 3.4515985895e+04
1.2308795936e-02 3.5174778814e+04
1.3157309033e-02 3.5733097463e+04
1.4064315706e-02 3.6174844961e+04
1.5033846721e-02 3.6483001375e+04
1.6070213169e-02 3.6640424070e+04
1.7178023234e-02 3.6631181320e+04
1.8362199888e-02 3.6442451429e+04
1.9628006965e-02 3.6066804963e+04
2.0981075242e-02 3.5504405170e+04
2.2427417338e-02 3.4764436296e+04
2.3973463103e-02 3.3865051953e+04
2.5626087561e-02 3.2831535301e+04
2.7392636985e-02 3.1693014335e+04
2.9280962423e-02 3.0478659274e+04
3.1299460679e-02 2.9214456777e+04
3.3457107842e-02 2.7921318296e+04
3.5763490945e-02 2.6614663060e+04
3.8228869438e-02 2.5305104948e+04
4.0864195675e-02 2.3999729659e+04
4.3681193143e-02 2.2703417345e+04
4.6507623047e-02 2.1495877156e+04
4.9334052950e-02 2.0372579460e+04
5.2160482854e-02 1.9325694558e+04
5.4986912757e-02 1.8348484671e+04
5.7813346386e-02 1.7435107325e+04
6.0639776289e-02 1.6580437429e+04
6.3466206193e-02 1.5779919080e+04
6.6292636097e-02 1.5029466659e+04
6.9119066000e-02 1.4325376675e+04
7.1945495903e-02 1.3664276104e+04
7.4771925807e-02 1.3043079341e+04
7.7598355710e-02 1.2458951324e+04
8.0424785614e-02 1.1909283521e+04
8.3251215518e-02 1.1391672601e+04
8.6077645421e-02 1.0903900364e+04
8.8904075324e-02 1.0443918803e+04
9.1730505228e-02 1.0009836246e+04
9.5353960991e-02 9.4884467488e+03
9.8977416754e-02 9.0033883554e+03
1.0260087252e-01 8.5516099831e+03
1.0622432083e-01 8.1303494292e+03
1.0984777659e-01 7.7371010695e+03
1.1347123236e-01 7.3695951037e+03
1.1709468067e-01 7.0257713998e+03
1.2071813643e-01 6.7037566575e+03
1.2434159219e-01 6.4018498264e+03
1.2796504796e-01 6.1185023463e+03
1.3158850372e-01 5.8523037313e+03
1.3521194458e-01 5.6019689851e+03
1.3883540034e-01 5.3663223730e+03
1.4245885611e-01 5.1442926914e+03
1.4608231187e-01 4.9348992937e+03
1.4970576763e-01 4.7372444001e+03
1.5332922339e-01 4.5505052206e+03
1.5695267916e-01 4.3739269073e+03
1.6057612002e-01 4.2068168816e+03
1.6419957578e-01 4.0485364364e+03
1.6782303155e-01 3.8984997447e+03
1.7144648731e-01 3.7561664645e+03
1.7506994307e-01 3.6210383073e+03
1.7869339883e-01 3.4926553083e+03
1.8231685460e-01 3.3705924507e+03
1.8594029546e-01 3.2544570993e+03
1.8956375122e-01 3.1438843701e+03
1.9318720698e-01 3.0385375044e+03
1.9681066275e-01 2.9381036927e+03
2.0043411851e-01 2.8422925300e+03
2.0405757427e-01 2.7508341629e+03
2.0768101513e-01 2.6634779681e+03
2.1130447090e-01 2.5799896110e+03
2.1492792666e-01 2.5001518092e+03
2.1855138242e-01 2.4237616217e+03
2.2217483819e-01 2.3506296680e+03
2.2579829395e-01 2.2805790765e+03
2.2942174971e-01 2.2134445294e+03
2.3304519057e-01 2.1490716484e+03
2.3666864634e-01 2.0873151445e+03
2.4029210210e-01 2.0280396748e+03
2.4391555786e-01 1.9711181028e+03
2.4753901362e-01 1.9164311513e+03
2.5116246939e-01 1.8638668386e+03
2.5478592515e-01 1.8133199601e+03
2.5840938091e-01 1.7646916100e+03
2.6203283668e-01 1.7178887428e+03
2.6565629244e-01 1.6728237694e+03
2.6927971840e-01 1.6294145339e+03
2.7290317416e-01 1.5875825554e+03
2.7652662992e-01 1.5472548529e+03
2.8015008569e-01 1.5083622097e+03
2.8377354145e-01 1.4708392663e+03
2.8739699721e-01 1.4346242700e+03
2.9102045298e-01 1.3996588420e+03
2.9464390874e-01 1.3658877619e+03
2.9826736450e-01 1.3332587687e+03
3.0189082027e-01 1.3017223747e+03
3.0551427603e-01 1.2712316935e+03
3.0913773179e-01 1.2417422807e+03
3.1276118755e-01 1.2132119845e+03
3.1638464332e-01 1.1856008072e+03
3.2000806928e-01 1.1588709933e+03
3.2363152504e-01 1.1329860367e+03
3.2725498080e-01 1.1079118874e+03
3.3087843656e-01 1.0836159613e+03
3.3450189233e-01 1.0600672655e+03
3.3812534809e-01 1.0372363073e+03
3.4174880385e-01 1.0150950094e+03
3.4537225962e-01 9.9361663013e+02
3.4899571538e-01 9.7277568860e+02
3.5261917114e-01 9.5254789548e+02
3.5624262691e-01 9.3291008736e+02
3.5986608267e-01 9.1384016546e+02
3.6348953843e-01 8.9531703842e+02
3.6711296439e-01 8.7732071415e+02
3.7073642016e-01 8.5983166148e+02
3.7435987592e-01 8.4283165066e+02
3.7798333168e-01 8.2630311240e+02
3.8160678744e-01 8.1022924597e+02
3.8523024321e-01 7.9459397985e+02
3.8885369897e-01 7.7938193444e+02
3.9247715473e-01 7.6457838705e+02
3.9610061050e-01 7.5016923901e+02
3.9972406626e-01 7.3614098452e+02
4.0334752202e-01 7.2248068132e+02
4.0697097778e-01 7.0917592311e+02
4.1059443355e-01 6.9621481343e+02
4.1421788931e-01 6.8358594098e+02
4.1784131527e-01 6.7127845634e+02
4.2146477103e-01 6.5928164771e+02
4.2508822680e-01 6.4758552730e+02
4.2871168256e-01 6.3618040428e+02
4.3233513832e-01 6.2505696870e+02
4.3595859408e-01 6.1420627382e+02
4.3958204985e-01 6.0361971947e+02
4.4320550561e-01 5.9328903629e+02
4.4682896137e-01 5.8320627067e+02
4.5045241714e-01 5.7336377060e+02
4.5407587290e-01 5.6375417222e+02
4.5769932866e-01 5.5437038703e+02
4.6132278442e-01 5.4520558974e+02
4.6494621038e-01 5.3625327960e+02
4.6856966615e-01 5.2750697660e+02
4.7219312191e-01 5.1896065288e+02
4.7581657767e-01 5.1060842661e+02
4.7944003344e-01 5.0244462709e+02
4.8306348920e-01 4.9446378585e+02
4.8668694496e-01 4.8666062811e+02
4.9031040072e-01 4.7903006474e+02
4.9393385649e-01 4.7156718454e+02
4.9755731225e-01 4.6426724690e+02
5.0118076801e-01 4.5712567485e+02
5.0480419397e-01 4.5013810522e+02
5.0842767954e-01 4.4330009806e+02
5.1205110550e-01 4.3660775355e+02
5.1567459106e-01 4.3005686545e+02
5.1929801703e-01 4.2364379657e+02
5.2292150259e-01 4.1736461119e+02
5.2654492855e-01 4.1121591425e+02
5.3016841412e-01 4.0519402000e+02
5.3379184008e-01 3.9929575678e+02
5.3741526604e-01 3.9351776409e+02
5.4103875160e-01 3.8785679443e+02
5.4466217756e-01 3.8230997978e+02
5.4828566313e-01 3.7687418062e+02
5.5190908909e-01 3.7154671244e+02
5.5553257465e-01 3.6632462672e+02
5.5915600061e-01 3.6120540883e+02
5.6277948618e-01 3.5618628747e+02
5.6640291214e-01 3.5126490545e+02
5.7002639770e-01 3.4643865609e+02
5.7364982367e-01 3.4170532819e+02
5.7727330923e-01 3.3706246809e+02
5.8089673519e-01 3.3250800010e+02
6.2893003225e-01 2.7952714037e+02
7.6817673445e-01 1.7939819361e+02
9.3825298548e-01 1.1412421139e+02
1.1459846497e+00 7.2006653524e+01
1.3997083902e+00 4.5086140270e+01
1.7096090317e+00 2.8029040290e+01
2.0881209373e+00 1.7309182107e+01
2.5504362583e+00 1.0622879121e+01
3.1151092053e+00 6.4817205474e+00
3.8048019409e+00 3.9336508697e+00
4.6471996307e+00 2.3753217296e+00
5.6761007309e+00 1.4276686321e+00
