z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
7.0355977186e-06 5.0615936213e+01 6.5946368585e-01
7.5206098700e-06 5.3961157361e+01 6.5946368585e-01
8.0390564108e-06 5.7527448883e+01 6.5946368585e-01
8.5932442744e-06 6.1329437405e+01 6.5946368585e-01
9.1856354629e-06 6.5382705655e+01 6.5946368585e-01
9.8188638731e-06 6.9703836326e+01 6.5946368585e-01
1.0495745300e-05 7.4310556798e+01 6.5946368585e-01
1.1219289263e-05 7.9221734761e+01 6.5946368585e-01
1.1992711734e-05 8.4457487856e+01 6.5946368585e-01
1.2819450603e-05 9.0039262620e+01 6.5946368585e-01
1.3703183868e-05 9.5989926588e+01 6.5946368585e-01
1.4647837816e-05 1.0233385601e+02 6.5946368585e-01
1.5657613403e-05 1.0909705864e+02 6.5946368585e-01
1.6736999896e-05 1.1630721762e+02 6.5946368585e-01
1.7890795789e-05 1.2399387567e+02 6.5946368585e-01
1.9124130631e-05 1.3218853156e+02 6.5946368585e-01
2.0442488676e-05 1.4092473663e+02 6.5946368585e-01
2.1851728889e-05 1.5023829649e+02 6.5946368585e-01
2.3358117687e-05 1.6016735004e+02 6.5946368585e-01
2.4968352591e-05 1.7075251849e+02 6.5946368585e-01
2.6689593142e-05 1.8203723875e+02 6.5946368585e-01
2.8529490010e-05 1.9406771958e+02 6.5946368585e-01
3.0496221370e-05 2.0689313448e+02 6.5946368585e-01
3.2598534744e-05 2.2056609546e+02 6.5946368585e-01
3.4845776099e-05 2.3514256527e+02 6.5946368585e-01
3.7247933506e-05 2.5068229597e+02 6.5946368585e-01
3.9815688069e-05 2.6724872369e+02 6.5946368585e-01
4.2560455768e-05 2.8490982825e+02 6.5946368585e-01
4.5494442020e-05 3.0373790511e+02 6.5946368585e-01
4.8630685342e-05 3.2380986355e+02 6.5946368585e-01
5.1983130106e-05 3.4520794600e+02 6.5946368585e-01
5.5566681112e-05 3.6801969293e+02 6.5946368585e-01
5.9397272707e-05 3.9233839896e+02 6.5946368585e-01
6.3491934270e-05 4.1826346375e+02 6.5946368585e-01
6.7868866609e-05 4.4590095336e+02 6.5946368585e-01
7.2547532909e-05 4.7536374061e+02 6.5946368585e-01
7.7548735135e-05 5.0677224187e+02 6.5946368585e-01
8.2894701336e-05 5.4025480305e+02 6.5946368585e-01
8.8609194791e-05 5.7594783991e+02 6.5946368585e-01
9.4717637694e-05 6.1399717135e+02 6.5946368585e-01
1.0124716937e-04 6.5455798435e+02 6.5946368585e-01
1.0822682816e-04 6.9779532513e+02 6.5946368585e-01
1.1568764603e-04 7.4388546755e+02 6.5946368585e-01
1.2366278679e-04 7.9301577278e+02 6.5946368585e-01
1.3218770619e-04 8.4538588220e+02 6.5946368585e-01
1.4130031923e-04 9.0120820861e+02 6.5946368585e-01
1.5104110935e-04 9.6070919938e+02 6.5946368585e-01
1.6145341215e-04 1.0241297574e+03 6.5946368585e-01
1.7258350272e-04 1.0917260834e+03 6.5946368585e-01
1.8448085757e-04 1.1637706579e+03 6.5946368585e-01
1.9719838747e-04 1.2405534346e+03 6.5946368585e-01
2.1079262660e-04 1.3223825419e+03 6.5946368585e-01
2.2532400908e-04 1.4095853356e+03 6.5946368585e-01
2.4085713085e-04 1.5025097320e+03 6.5946368585e-01
2.5746106985e-04 1.6015255412e+03 6.5946368585e-01
2.7520960430e-04 1.7070239061e+03 6.5946368585e-01
2.9418169288e-04 1.8194216525e+03 6.5946368585e-01
3.1446164940e-04 1.9391583424e+03 6.5946368585e-01
3.3613966662e-04 2.0667010453e+03 6.5946368585e-01
3.5931204911e-04 2.2025430756e+03 6.5946368585e-01
3.8408191176e-04 2.3472069391e+03 6.5946368585e-01
4.1055929614e-04 2.5012436322e+03 6.5946368585e-01
4.3886195635e-04 2.6652344655e+03 6.5946368585e-01
4.6911570826e-04 2.8397930294e+03 6.5946368585e-01
5.0145509886e-04 3.0255649128e+03 6.5946368585e-01
5.3602381376e-04 3.2232274228e+03 6.5946368585e-01
5.7297560852e-04 3.4334923914e+03 6.5946368585e-01
6.1247474514e-04 3.6571064564e+03 6.5946368585e-01
6.5469677793e-04 3.8948476928e+03 6.5946368585e-01
6.9982954301e-04 4.1475329111e+03 6.5946368585e-01
7.4807356577e-04 4.4160083942e+03 6.5946368585e-01
7.9964339966e-04 4.7011571956e+03 6.5946368585e-01
8.5476832464e-04 5.0038929642e+03 6.5946368585e-01
9.1369333677e-04 5.3251605053e+03 6.5946368585e-01
9.7668042872e-04 5.6659332549e+03 6.5946368585e-01
1.0440096958e-03 6.0272065428e+03 6.5946368585e-01
1.1159804417e-03 6.4099998382e+03 6.5946368585e-01
1.1929126922e-03 6.8153427153e+03 6.5946368585e-01
1.2751482427e-03 7.2442726075e+03 6.5946368585e-01
1.3630529866e-03 7.6978258255e+03 6.5946368585e-01
1.4570176136e-03 8.1770319434e+03 6.5946368585e-01
1.5574598219e-03 8.6828935890e+03 6.5946368585e-01
1.6648261808e-03 9.2163797072e+03 6.5946368585e-01
1.7795939930e-03 9.7784188233e+03 6.5946368585e-01
1.9022736233e-03 1.0369877149e+04 6.5946368585e-01
2.0334103610e-03 1.0991537813e+04 6.5946368585e-01
2.1735872142e-03 1.1644089068e+04 6.5946368585e-01
2.3234274704e-03 1.2328104647e+04 6.5946368585e-01
2.4835972581e-03 1.3044012322e+04 6.5946368585e-01
2.6548085734e-03 1.3792089417e+04 6.5946368585e-01
2.8378227726e-03 1.4572419015e+04 6.5946368585e-01
3.0334533658e-03 1.5384873122e+04 6.5946368585e-01
3.2425699755e-03 1.6229073366e+04 6.5946368585e-01
3.4661025274e-03 1.7104368544e+04 6.5946368585e-01
3.7050447427e-03 1.8009782976e+04 6.5946368585e-01
3.9604585618e-03 1.8943981694e+04 6.5946368585e-01
4.2334804311e-03 1.9905235644e+04 6.5946368585e-01
4.5253229327e-03 2.0891363297e+04 6.5946368585e-01
4.8372847959e-03 2.1900736644e+04 6.5946368585e-01
5.1707518287e-03 2.2928110135e+04 6.5946368585e-01
5.5272071622e-03 2.3970721772e+04 6.5946368585e-01
5.9082354419e-03 2.5024192778e+04 6.5946368585e-01
6.3155302778e-03 2.6082889125e+04 6.5946368585e-01
6.7509030923e-03 2.7142110925e+04 6.5946368585e-01
7.2162891738e-03 2.8194858871e+04 6.5946368585e-01
7.7137574553e-03 2.9234001169e+04 6.5946368585e-01
8.2455193624e-03 3.0250879067e+04 6.5946368585e-01
8.8139399886e-03 3.1236429619e+04 6.5946368585e-01
9.4215450808e-03 3.2180889273e+04 6.5946368585e-01
1.0071036406e-02 3.3073340277e+04 6.5946368585e-01
1.0765301995e-02 3.3902105892e+04 6.5946368585e-01
1.1507427320e-02 3.4654436014e+04 6.5946368585e-01
1.2300713919e-02 3.5316913621e+04 6.5946368585e-01
1.3148685917e-02 3.5875497433e+04 6.5946368585e-01
1.4055115171e-02 3.6315609488e+04 6.5946368585e-01
1.5024030581e-02 3.6622640388e+04 6.5946368585e-01
1.6059739515e-02 3.6782187324e+04 6.5946368585e-01
1.7166847363e-02 3.6780586263e+04 6.5946368585e-01
1.8350275233e-02 3.6605551928e+04 6.5946368585e-01
1.9615285099e-02 3.6247019867e+04 6.5946368585e-01
2.0967502147e-02 3.5698071612e+04 6.5946368585e-01
2.2412935272e-02 3.4955992320e+04 6.5946368585e-01
2.3958012462e-02 3.4023409258e+04 6.5946368585e-01
2.5609601289e-02 3.2909446001e+04 6.5946368585e-01
2.7375046164e-02 3.1630530827e+04 6.5946368585e-01
2.9262196273e-02 3.0211054646e+04 6.5946368585e-01
3.1279440969e-02 2.8683353049e+04 6.5946368585e-01
3.3435747027e-02 2.7087010184e+04 6.5946368585e-01
3.5740699619e-02 2.5467215036e+04 6.5946368585e-01
3.8204550743e-02 2.3872051072e+04 6.5946368585e-01
4.0838252753e-02 2.2348838284e+04 6.5946368585e-01
4.3653514236e-02 2.0939621916e+04 6.5946368585e-01
4.6478152275e-02 1.9746865365e+04 6.5946368585e-01
4.9302790314e-02 1.8755123895e+04 6.5946368585e-01
5.2127432078e-02 1.7934420845e+04 6.5946368585e-01
5.4952070117e-02 1.7249367833e+04 6.5946368585e-01
5.7776708156e-02 1.6662805879e+04 6.5946368585e-01
6.0601349920e-02 1.6138343972e+04 6.5946368585e-01
6.3425987959e-02 1.5643063811e+04 6.5946368585e-01
6.6250629723e-02 1.5149512705e+04 6.5946368585e-01
6.9075264037e-02 1.4637768340e+04 6.5946368585e-01
7.1899905801e-02 1.4094275593e+04 6.5946368585e-01
7.4724547565e-02 1.3513705827e+04 6.5946368585e-01
7.7549181879e-02 1.2901065445e+04 6.5946368585e-01
8.0373823643e-02 1.2262662132e+04 6.5946368585e-01
8.3198465407e-02 1.1611021438e+04 6.5946368585e-01
8.6023099720e-02 1.0962907344e+04 6.5946368585e-01
8.8847741485e-02 1.0336030322e+04 6.5946368585e-01
9.1672383249e-02 9.7446258882e+03 6.5946368585e-01
9.5292858779e-02 9.0532287009e+03 6.5946368585e-01
9.8913334310e-02 8.4492959112e+03 6.5946368585e-01
